NOC,Sport,Gold_Medals,Silver_Medals,Bronze_Medals,No_Medals,Total_Medals,Country_Event_Participation,Event_Total_Participation
ALG,Handball,0,0,0,59,0,59,4419
ALG,Judo,0,1,1,55,2,57,4876
ALG,Karate,0,0,0,1,0,1,81
ALG,Marathon Swimming,0,0,0,1,0,1,89
ALG,Rowing,0,0,0,14,0,14,11625
ALG,Sailing,0,0,0,6,0,6,7266
ALG,Shooting,0,0,0,6,0,6,12580
ALG,Swimming,0,0,0,44,0,44,26416
ALG,Table Tennis,0,0,0,13,0,13,2480
ALG,Taekwondo,0,0,0,1,0,1,870
ALG,Tennis,0,0,0,2,0,2,3446
ALG,Trampolining,0,0,0,1,0,1,152
ALG,Volleyball,0,0,0,31,0,31,4003
ALG,Weightlifting,0,0,0,21,0,21,4256
ALG,Wrestling,0,0,0,35,0,35,7734
AND,Athletics,0,0,0,15,0,15,43294
AND,Boxing,0,0,0,1,0,1,6584
AND,Canoe Slalom,0,0,0,5,0,5,256
AND,Canoeing,0,0,0,1,0,1,6171
AND,Cycling,0,0,0,5,0,5,10859
AND,Judo,0,0,0,6,0,6,4876
AND,Sailing,0,0,0,5,0,5,7266
AND,Shooting,0,0,0,12,0,12,12580
AND,Swimming,0,0,0,10,0,10,26416
ANG,Athletics,0,0,0,31,0,31,43294
ANG,Basketball,0,0,0,71,0,71,5111
ANG,Beach Volleyball,0,0,0,2,0,2,756
ANG,Boxing,0,0,0,7,0,7,6584
ANG,Canoe Sprint,0,0,0,3,0,3,756
ANG,Canoeing,0,0,0,6,0,6,6171
ANG,Handball,0,0,0,113,0,113,4419
ANG,Judo,0,0,0,16,0,16,4876
ANG,Rowing,0,0,0,3,0,3,11625
ANG,Sailing,0,0,0,11,0,11,7266
ANG,Shooting,0,0,0,3,0,3,12580
ANG,Swimming,0,0,0,47,0,47,26416
ANT,Athletics,0,0,0,100,0,100,43294
ANT,Boxing,0,0,0,3,0,3,6584
ANT,Canoeing,0,0,0,3,0,3,6171
ANT,Cycling,0,0,0,17,0,17,10859
ANT,Sailing,0,0,0,11,0,11,7266
ANT,Swimming,0,0,0,10,0,10,26416
ANZ,Athletics,0,0,1,21,1,22,43294
ANZ,Boxing,0,1,0,0,1,1,6584
ANZ,Diving,0,0,0,1,0,1,3193
ANZ,Rowing,0,0,0,10,0,10,11625
ANZ,Rugby,15,0,0,0,15,15,162
ANZ,Shooting,0,0,0,3,0,3,12580
ANZ,Swimming,5,3,3,22,11,33,26416
ANZ,Tennis,0,0,1,0,1,1,3446
ARG,Archery,0,0,0,3,0,3,2846
ARG,Art Competitions,0,0,0,2,0,2,3578
ARG,Artistic Gymnastics,0,0,0,5,0,5,2297
ARG,Athletics,2,3,0,253,5,258,43294
ARG,Basketball,12,0,12,76,24,100,5111
ARG,Beach Volleyball,0,0,0,18,0,18,756
ARG,Boxing,7,7,10,114,24,138,6584
ARG,Canoe Slalom,0,0,0,1,0,1,256
ARG,Canoe Sprint,0,0,0,6,0,6,756
ARG,Canoeing,0,0,0,49,0,49,6171
ARG,Cycling,2,0,0,177,2,179,10859
ARG,Cycling BMX Freestyle,1,0,0,0,1,1,42
ARG,Cycling BMX Racing,0,0,0,3,0,3,115
ARG,Cycling Mountain Bike,0,0,0,1,0,1,144
ARG,Cycling Road,0,0,0,2,0,2,493
ARG,Diving,0,0,0,9,0,9,3193
ARG,Equestrian,0,0,0,9,0,9,835
ARG,Equestrianism,0,1,0,155,1,156,6344
ARG,Fencing,0,0,5,236,5,241,11558
ARG,Figure Skating,0,0,0,1,0,1,54
ARG,Football,34,34,0,114,68,182,7906
ARG,Golf,0,0,0,5,0,5,487
ARG,Gymnastics,0,0,0,133,0,133,26707
ARG,Handball,0,0,0,75,0,75,4419
ARG,Hockey,18,49,48,241,115,356,6264
ARG,Judo,1,0,1,66,2,68,4876
ARG,Marathon Swimming,0,0,0,1,0,1,89
ARG,Modern Pentathlon,0,0,0,20,0,20,1821
ARG,Polo,9,0,0,0,9,9,95
ARG,Rowing,2,1,3,184,6,190,11625
ARG,Rugby Sevens,0,0,13,27,13,40,928
ARG,Sailing,2,12,9,173,23,196,7266
ARG,Shooting,0,1,0,131,1,132,12580
ARG,Skateboarding,0,0,0,2,0,2,168
ARG,Surfing,0,0,0,1,0,1,88
ARG,Swimming,1,1,1,263,3,266,26416
ARG,Synchronized Swimming,0,0,0,4,0,4,909
ARG,Table Tennis,0,0,0,17,0,17,2480
ARG,Taekwondo,1,0,0,8,1,9,870
ARG,Tennis,0,2,5,108,7,115,3446
ARG,Triathlon,0,0,0,8,0,8,822
ARG,Volleyball,0,0,24,107,24,131,4003
ARG,Water Polo,0,0,0,28,0,28,4418
ARG,Weightlifting,0,1,1,34,2,36,4256
ARG,Wrestling,0,0,0,69,0,69,7734
ARM,Artistic Gymnastics,0,1,1,4,2,6,2297
ARM,Athletics,0,0,0,20,0,20,43294
ARM,Boxing,0,0,2,20,2,22,6584
ARM,Canoeing,0,0,0,2,0,2,6171
ARM,Cycling,0,0,0,1,0,1,10859
ARM,Diving,0,0,0,3,0,3,3193
ARM,Gymnastics,0,0,0,20,0,20,26707
ARM,Judo,0,0,0,9,0,9,4876
ARM,Shooting,0,0,0,11,0,11,12580
ARM,Swimming,0,0,0,13,0,13,26416
ARM,Taekwondo,0,0,0,1,0,1,870
ARM,Tennis,0,0,0,3,0,3,3446
ARM,Weightlifting,0,4,5,32,9,41,4256
ARM,Wrestling,2,5,4,47,11,58,7734
ARU,Athletics,0,0,0,9,0,9,43294
ARU,Boxing,0,0,0,2,0,2,6584
ARU,Cycling,0,0,0,3,0,3,10859
ARU,Cycling BMX Racing,0,0,0,1,0,1,115
ARU,Fencing,0,0,0,2,0,2,11558
ARU,Judo,0,0,0,5,0,5,4876
ARU,Sailing,0,0,0,6,0,6,7266
ARU,Shooting,0,0,0,2,0,2,12580
ARU,Swimming,0,0,0,15,0,15,26416
ARU,Synchronized Swimming,0,0,0,4,0,4,909
ARU,Taekwondo,0,0,0,1,0,1,870
ARU,Weightlifting,0,0,0,3,0,3,4256
ASA,Archery,0,0,0,1,0,1,2846
ASA,Athletics,0,0,0,13,0,13,43294
ASA,Boxing,0,0,0,5,0,5,6584
ASA,Judo,0,0,0,3,0,3,4876
ASA,Sailing,0,0,0,4,0,4,7266
ASA,Swimming,0,0,0,7,0,7,26416
ASA,Weightlifting,0,0,0,8,0,8,4256
ASA,Wrestling,0,0,0,2,0,2,7734
AUS,3x3 Basketball,0,0,0,4,0,4,128
AUS,"3x3 Basketball, Basketball",0,0,0,1,0,1,1
AUS,Archery,1,0,4,81,5,86,2846
AUS,Art Competitions,0,0,0,3,0,3,3578
AUS,Artistic Gymnastics,0,0,0,52,0,52,2297
AUS,Artistic Swimming,0,0,0,21,0,21,257
AUS,Athletics,25,40,35,1049,100,1149,43294
AUS,Badminton,0,0,0,65,0,65,1816
AUS,Baseball,0,24,0,44,24,68,894
AUS,Baseball/Softball,0,0,0,15,0,15,234
AUS,Basketball,0,36,47,226,83,309,5111
AUS,Beach Volleyball,2,2,2,40,6,46,756
AUS,Boxing,0,1,6,135,7,142,6584
AUS,Breaking,0,0,0,2,0,2,33
AUS,Canoe Slalom,4,0,1,7,5,12,256
AUS,Canoe Sprint,2,4,2,30,8,38,756
AUS,Canoeing,6,10,25,201,41,242,6171
AUS,Cycling,26,29,29,344,84,428,10859
AUS,Cycling BMX Freestyle,1,0,1,2,2,4,42
AUS,Cycling BMX Racing,1,0,0,5,1,6,115
AUS,Cycling Mountain Bike,0,0,0,3,0,3,144
AUS,Cycling Road,1,0,1,17,2,19,493
AUS,Cycling Track,5,2,11,51,18,69,878
AUS,Diving,3,5,14,148,22,170,3193
AUS,Equestrian,0,5,1,34,6,40,835
AUS,Equestrianism,18,7,12,194,37,231,6344
AUS,Fencing,0,0,0,147,0,147,11558
AUS,Football,0,0,0,224,0,224,7906
AUS,Golf,0,0,0,12,0,12,487
AUS,Gymnastics,0,0,0,513,0,513,26707
AUS,Handball,0,0,0,30,0,30,4419
AUS,Hockey,64,63,79,246,206,452,6264
AUS,Judo,0,0,2,91,2,93,4876
AUS,Karate,0,0,0,1,0,1,81
AUS,Marathon Swimming,0,0,1,4,1,5,89
AUS,"Marathon Swimming, Swimming",0,0,0,2,0,2,52
AUS,Modern Pentathlon,1,0,0,55,1,56,1821
AUS,Rhythmic Gymnastics,0,0,0,19,0,19,848
AUS,Rowing,30,56,76,425,162,587,11625
AUS,Rugby Sevens,12,0,0,64,12,76,928
AUS,Sailing,26,18,14,177,58,235,7266
AUS,Shooting,5,1,6,275,12,287,12580
AUS,Skateboarding,3,0,0,11,3,14,168
AUS,Softball,0,15,45,0,60,60,478
AUS,Sport Climbing,0,0,0,4,0,4,108
AUS,Surfing,0,1,1,6,2,8,88
AUS,Swimming,155,184,166,925,505,1430,26416
AUS,Synchronized Swimming,0,0,0,57,0,57,909
AUS,Table Tennis,0,0,0,96,0,96,2480
AUS,Taekwondo,1,1,0,27,2,29,870
AUS,Tennis,4,2,8,111,14,125,3446
AUS,Trampoline Gymnastics,0,0,0,3,0,3,64
AUS,Trampolining,0,1,0,5,1,6,152
AUS,Triathlon,1,2,2,40,5,45,822
AUS,Volleyball,0,0,0,48,0,48,4003
AUS,Water Polo,13,13,26,249,52,301,4418
AUS,Weightlifting,1,1,2,82,4,86,4256
AUS,Wrestling,0,1,2,100,3,103,7734
AUT,Archery,0,0,0,5,0,5,2846
AUT,Art Competitions,3,3,4,189,10,199,3578
AUT,Artistic Gymnastics,0,0,0,11,0,11,2297
AUT,Artistic Swimming,0,0,0,4,0,4,257
AUT,Athletics,1,2,5,333,8,341,43294
AUT,Badminton,0,0,0,11,0,11,1816
AUT,Beach Volleyball,0,0,0,22,0,22,756
AUT,Boxing,0,0,0,37,0,37,6584
AUT,Canoe Slalom,0,0,0,9,0,9,256
AUT,Canoe Sprint,0,0,0,4,0,4,756
AUT,Canoeing,4,7,10,99,21,120,6171
AUT,Cycling,1,0,2,211,3,214,10859
AUT,Cycling Mountain Bike,0,0,0,5,0,5,144
AUT,Cycling Road,1,0,0,11,1,12,493
AUT,Cycling Track,0,0,0,8,0,8,878
AUT,Diving,0,0,1,75,1,76,3193
AUT,Equestrian,0,0,0,25,0,25,835
AUT,Equestrianism,1,4,1,104,6,110,6344
AUT,Fencing,1,7,5,202,13,215,11558
AUT,Football,0,13,0,37,13,50,7906
AUT,Golf,0,0,0,8,0,8,487
AUT,Gymnastics,2,1,0,362,3,365,26707
AUT,Handball,0,22,0,44,22,66,4419
AUT,Hockey,0,0,0,55,0,55,6264
AUT,Judo,2,3,3,63,8,71,4876
AUT,Karate,0,0,1,0,1,1,81
AUT,Marathon Swimming,0,0,0,1,0,1,89
AUT,"Marathon Swimming, Swimming",0,0,0,4,0,4,52
AUT,Modern Pentathlon,0,0,0,38,0,38,1821
AUT,Rhythmic Gymnastics,0,0,0,6,0,6,848
AUT,Rowing,0,5,5,128,10,138,11625
AUT,Sailing,8,5,2,127,15,142,7266
AUT,Shooting,1,2,5,187,8,195,12580
AUT,Skateboarding,0,0,0,1,0,1,168
AUT,Sport Climbing,0,0,3,1,3,4,108
AUT,Swimming,2,6,9,217,17,234,26416
AUT,Synchronized Swimming,0,0,0,14,0,14,909
AUT,Table Tennis,0,0,0,66,0,66,2480
AUT,Taekwondo,0,0,0,4,0,4,870
AUT,Tennis,0,2,0,41,2,43,3446
AUT,Trampoline Gymnastics,0,0,0,1,0,1,64
AUT,Triathlon,1,0,0,24,1,25,822
AUT,Tug-Of-War,0,0,0,8,0,8,170
AUT,Water Polo,0,0,0,28,0,28,4418
AUT,Weightlifting,4,5,2,73,11,84,4256
AUT,Wrestling,1,2,3,89,6,95,7734
AZE,3x3 Basketball,0,0,0,4,0,4,128
AZE,Archery,0,0,0,2,0,2,2846
AZE,Artistic Gymnastics,0,0,0,12,0,12,2297
AZE,Athletics,0,0,0,24,0,24,43294
AZE,Badminton,0,0,0,3,0,3,1816
AZE,Boxing,0,2,8,37,10,47,6584
AZE,Canoeing,0,1,1,5,2,7,6171
AZE,Cycling,0,0,0,6,0,6,10859
AZE,Cycling Road,0,0,0,1,0,1,493
AZE,Diving,0,0,0,2,0,2,3193
AZE,Equestrianism,0,0,0,2,0,2,6344
AZE,Fencing,0,0,0,6,0,6,11558
AZE,Gymnastics,0,0,0,18,0,18,26707
AZE,Judo,3,2,2,40,7,47,4876
AZE,Karate,0,2,0,1,2,3,81
AZE,Rhythmic Gymnastics,0,0,0,23,0,23,848
AZE,Rowing,0,0,0,5,0,5,11625
AZE,Shooting,1,0,2,16,3,19,12580
AZE,Swimming,0,0,0,15,0,15,26416
AZE,Taekwondo,1,1,2,8,4,12,870
AZE,Trampoline Gymnastics,0,0,0,1,0,1,64
AZE,Triathlon,0,0,0,3,0,3,822
AZE,Weightlifting,0,0,1,20,1,21,4256
AZE,Wrestling,4,9,16,57,29,86,7734
BAH,Athletics,14,11,13,250,38,288,43294
BAH,Boxing,0,0,0,7,0,7,6584
BAH,Cycling,0,0,0,2,0,2,10859
BAH,Diving,0,0,0,1,0,1,3193
BAH,Rowing,0,0,0,1,0,1,11625
BAH,Sailing,2,0,2,50,4,54,7266
BAH,Swimming,0,0,0,49,0,49,26416
BAH,Tennis,0,0,0,13,0,13,3446
BAH,Wrestling,0,0,0,2,0,2,7734
BAN,Archery,0,0,0,7,0,7,2846
BAN,Athletics,0,0,0,30,0,30,43294
BAN,Golf,0,0,0,1,0,1,487
BAN,Gymnastics,0,0,0,3,0,3,26707
BAN,Shooting,0,0,0,10,0,10,12580
BAN,Swimming,0,0,0,17,0,17,26416
BAR,Athletics,0,0,1,116,1,117,43294
BAR,Boxing,0,0,0,9,0,9,6584
BAR,Cycling,0,0,0,24,0,24,10859
BAR,Diving,0,0,0,1,0,1,3193
BAR,Gymnastics,0,0,0,7,0,7,26707
BAR,Judo,0,0,0,5,0,5,4876
BAR,Sailing,0,0,0,15,0,15,7266
BAR,Shooting,0,0,0,8,0,8,12580
BAR,Swimming,0,0,0,40,0,40,26416
BAR,Synchronized Swimming,0,0,0,1,0,1,909
BAR,Tennis,0,0,0,1,0,1,3446
BAR,Triathlon,0,0,0,2,0,2,822
BAR,Weightlifting,0,0,0,2,0,2,4256
BDI,Athletics,1,1,0,37,2,39,43294
BDI,Boxing,0,0,0,1,0,1,6584
BDI,Judo,0,0,0,3,0,3,4876
BDI,Swimming,0,0,0,11,0,11,26416
BEL,3x3 Basketball,0,0,0,4,0,4,128
BEL,Archery,35,14,3,30,52,82,2846
BEL,Art Competitions,2,1,5,163,8,171,3578
BEL,Artistic Gymnastics,1,0,0,45,1,46,2297
BEL,Athletics,6,11,4,601,21,622,43294
BEL,Badminton,0,0,0,9,0,9,1816
BEL,Basketball,0,0,0,58,0,58,5111
BEL,Beach Volleyball,0,0,0,2,0,2,756
BEL,Boxing,1,1,2,56,4,60,6584
BEL,Canoe Slalom,0,0,0,1,0,1,256
BEL,Canoe Sprint,0,0,0,10,0,10,756
BEL,Canoeing,0,0,0,96,0,96,6171
BEL,Cycling,13,12,22,293,47,340,10859
BEL,Cycling BMX Racing,0,0,0,5,0,5,115
BEL,Cycling Mountain Bike,0,0,0,5,0,5,144
BEL,Cycling Road,2,1,1,16,4,20,493
BEL,"Cycling Road, Cycling Track",0,0,0,3,0,3,30
BEL,Cycling Track,0,0,1,24,1,25,878
BEL,Diving,0,0,0,12,0,12,3193
BEL,Equestrian,0,0,4,37,4,41,835
BEL,Equestrianism,7,5,11,183,23,206,6344
BEL,Fencing,10,19,19,297,48,345,11558
BEL,Figure Skating,0,0,0,2,0,2,54
BEL,Football,14,0,9,44,23,67,7906
BEL,Golf,0,0,0,9,0,9,487
BEL,Gymnastics,0,24,24,152,48,200,26707
BEL,Hockey,18,16,14,236,48,284,6264
BEL,Ice Hockey,0,0,0,7,0,7,60
BEL,Judo,2,1,11,49,14,63,4876
BEL,Modern Pentathlon,0,0,0,15,0,15,1821
BEL,Polo,0,0,0,4,0,4,95
BEL,Rhythmic Gymnastics,0,0,0,4,0,4,848
BEL,Rowing,0,26,4,155,30,185,11625
BEL,Sailing,4,8,7,86,19,105,7266
BEL,Shooting,1,13,3,201,17,218,12580
BEL,Skateboarding,0,0,0,2,0,2,168
BEL,Sport Climbing,0,0,0,1,0,1,108
BEL,Swimming,1,2,2,286,5,291,26416
BEL,Synchronized Swimming,0,0,0,5,0,5,909
BEL,Table Tennis,0,0,0,16,0,16,2480
BEL,Taekwondo,0,0,1,5,1,6,870
BEL,Tennis,1,0,2,86,3,89,3446
BEL,Triathlon,0,0,0,23,0,23,822
BEL,Tug-Of-War,0,0,8,0,8,8,170
BEL,Volleyball,0,0,0,12,0,12,4003
BEL,Water Polo,0,36,18,46,54,100,4418
BEL,Weightlifting,1,2,1,45,4,49,4256
BEL,Wrestling,0,3,1,109,4,113,7734
BEN,Athletics,0,0,0,47,0,47,43294
BEN,Boxing,0,0,0,13,0,13,6584
BEN,Cycling,0,0,0,2,0,2,10859
BEN,Fencing,0,0,0,1,0,1,11558
BEN,Judo,0,0,0,5,0,5,4876
BEN,Rowing,0,0,0,1,0,1,11625
BEN,Swimming,0,0,0,11,0,11,26416
BEN,Taekwondo,0,0,0,2,0,2,870
BEN,Tennis,0,0,0,1,0,1,3446
BER,Athletics,0,0,0,63,0,63,43294
BER,Boxing,0,0,1,3,1,4,6584
BER,Cycling,0,0,0,4,0,4,10859
BER,Diving,0,0,0,4,0,4,3193
BER,Equestrianism,0,0,0,11,0,11,6344
BER,Rowing,0,0,0,4,0,4,11625
BER,Sailing,0,0,0,62,0,62,7266
BER,Swimming,0,0,0,53,0,53,26416
BER,Tennis,0,0,0,1,0,1,3446
BER,Triathlon,1,0,0,8,1,9,822
BHU,Archery,0,0,0,36,0,36,2846
BHU,Athletics,0,0,0,1,0,1,43294
BHU,Judo,0,0,0,1,0,1,4876
BHU,Shooting,0,0,0,3,0,3,12580
BHU,Swimming,0,0,0,2,0,2,26416
BIH,Athletics,0,0,0,24,0,24,43294
BIH,Canoeing,0,0,0,3,0,3,6171
BIH,Judo,0,0,0,10,0,10,4876
BIH,Shooting,0,0,0,20,0,20,12580
BIH,Swimming,0,0,0,21,0,21,26416
BIH,Table Tennis,0,0,0,2,0,2,2480
BIH,Taekwondo,0,0,0,2,0,2,870
BIH,Tennis,0,0,0,3,0,3,3446
BIH,Weightlifting,0,0,0,1,0,1,4256
BIH,Wrestling,0,0,0,1,0,1,7734
BIZ,Athletics,0,0,0,41,0,41,43294
BIZ,Boxing,0,0,0,1,0,1,6584
BIZ,Canoe Sprint,0,0,0,2,0,2,756
BIZ,Cycling,0,0,0,27,0,27,10859
BIZ,Judo,0,0,0,2,0,2,4876
BIZ,Shooting,0,0,0,6,0,6,12580
BIZ,Taekwondo,0,0,0,1,0,1,870
BIZ,Weightlifting,0,0,0,1,0,1,4256
BLR,Archery,0,0,0,16,0,16,2846
BLR,Artistic Gymnastics,0,0,0,5,0,5,2297
BLR,Artistic Swimming,0,0,0,2,0,2,257
BLR,Athletics,4,6,8,259,18,277,43294
BLR,Badminton,0,0,0,6,0,6,1816
BLR,Basketball,0,0,0,22,0,22,5111
BLR,Boxing,0,2,0,24,2,26,6584
BLR,Canoe Sprint,0,4,0,14,4,18,756
BLR,Canoeing,6,4,12,38,22,60,6171
BLR,Cycling,0,0,1,37,1,38,10859
BLR,Cycling Road,0,0,0,3,0,3,493
BLR,Cycling Track,0,0,0,2,0,2,878
BLR,Diving,0,0,0,19,0,19,3193
BLR,Equestrian,0,0,0,1,0,1,835
BLR,Equestrianism,0,0,0,6,0,6,6344
BLR,Fencing,0,0,0,24,0,24,11558
BLR,Football,0,0,0,16,0,16,7906
BLR,Gymnastics,0,0,4,232,4,236,26707
BLR,Judo,1,0,1,25,2,27,4876
BLR,Modern Pentathlon,0,0,1,16,1,17,1821
BLR,Rhythmic Gymnastics,0,14,8,32,22,54,848
BLR,Rowing,2,1,14,54,17,71,11625
BLR,Sailing,0,0,0,21,0,21,7266
BLR,Shooting,1,2,4,88,7,95,12580
BLR,Swimming,0,2,1,108,3,111,26416
BLR,Synchronized Swimming,0,0,0,8,0,8,909
BLR,Table Tennis,0,0,0,28,0,28,2480
BLR,Tennis,2,0,1,32,3,35,3446
BLR,Trampoline Gymnastics,1,0,0,1,1,2,64
BLR,Trampolining,1,0,0,11,1,12,152
BLR,Weightlifting,1,5,6,38,12,50,4256
BLR,Wrestling,0,6,8,61,14,75,7734
BOH,Art Competitions,0,0,0,1,0,1,3578
BOH,Athletics,0,1,0,38,1,39,43294
BOH,Cycling,0,0,0,11,0,11,10859
BOH,Fencing,0,0,6,45,6,51,11558
BOH,Gymnastics,0,0,0,7,0,7,26707
BOH,Rowing,0,0,0,1,0,1,11625
BOH,Shooting,0,0,0,5,0,5,12580
BOH,Tennis,0,0,5,23,5,28,3446
BOH,Wrestling,0,0,0,10,0,10,7734
BOL,Art Competitions,0,0,0,1,0,1,3578
BOL,Athletics,0,0,0,43,0,43,43294
BOL,Boxing,0,0,0,1,0,1,6584
BOL,Canoeing,0,0,0,2,0,2,6171
BOL,Cycling,0,0,0,10,0,10,10859
BOL,Diving,0,0,0,2,0,2,3193
BOL,Equestrianism,0,0,0,3,0,3,6344
BOL,Fencing,0,0,0,4,0,4,11558
BOL,Gymnastics,0,0,0,5,0,5,26707
BOL,Judo,0,0,0,6,0,6,4876
BOL,Shooting,0,0,0,20,0,20,12580
BOL,Swimming,0,0,0,27,0,27,26416
BOL,Tennis,0,0,0,2,0,2,3446
BOL,Weightlifting,0,0,0,3,0,3,4256
BOL,Wrestling,0,0,0,1,0,1,7734
BOT,Athletics,1,7,6,88,14,102,43294
BOT,Boxing,0,0,0,12,0,12,6584
BOT,Judo,0,0,0,1,0,1,4876
BOT,Sailing,0,0,0,1,0,1,7266
BOT,Swimming,0,0,0,8,0,8,26416
BOT,Weightlifting,0,0,0,1,0,1,4256
BRA,Archery,0,0,0,29,0,29,2846
BRA,Art Competitions,0,0,0,1,0,1,3578
BRA,Artistic Gymnastics,2,3,5,76,10,86,2297
BRA,Athletics,5,8,17,612,30,642,43294
BRA,Badminton,0,0,0,6,0,6,1816
BRA,Basketball,0,12,46,209,58,267,5111
BRA,Beach Volleyball,8,14,6,36,28,64,756
BRA,Boxing,2,2,5,88,9,97,6584
BRA,Canoe Slalom,0,0,0,9,0,9,256
BRA,Canoe Sprint,1,1,0,10,2,12,756
BRA,Canoeing,0,3,1,45,4,49,6171
BRA,Cycling,0,0,0,95,0,95,10859
BRA,Cycling BMX Freestyle,0,0,0,1,0,1,42
BRA,Cycling BMX Racing,0,0,0,3,0,3,115
BRA,Cycling Mountain Bike,0,0,0,5,0,5,144
BRA,Cycling Road,0,0,0,2,0,2,493
BRA,Diving,0,0,0,51,0,51,3193
BRA,Equestrian,0,0,0,34,0,34,835
BRA,Equestrianism,1,0,8,161,9,170,6344
BRA,Fencing,0,0,0,99,0,99,11558
BRA,Football,39,107,34,192,180,372,7906
BRA,Golf,0,0,0,3,0,3,487
BRA,Gymnastics,1,2,1,197,4,201,26707
BRA,Handball,0,0,0,192,0,192,4419
BRA,Hockey,0,0,0,16,0,16,6264
BRA,Judo,5,4,28,130,37,167,4876
BRA,Marathon Swimming,1,0,0,2,1,3,89
BRA,"Marathon Swimming, Swimming",0,0,0,5,0,5,52
BRA,Modern Pentathlon,0,0,1,32,1,33,1821
BRA,Rhythmic Gymnastics,0,0,0,37,0,37,848
BRA,Rowing,0,0,0,140,0,140,11625
BRA,Rugby Sevens,0,0,0,52,0,52,928
BRA,Sailing,14,6,16,170,36,206,7266
BRA,Shooting,1,2,5,119,8,127,12580
BRA,Skateboarding,0,3,2,19,5,24,168
BRA,Surfing,1,1,1,7,3,10,88
BRA,Swimming,1,4,17,570,22,592,26416
BRA,Synchronized Swimming,0,0,0,33,0,33,909
BRA,Table Tennis,0,0,0,78,0,78,2480
BRA,Taekwondo,0,0,3,17,3,20,870
BRA,Tennis,0,0,2,59,2,61,3446
BRA,Trampoline Gymnastics,0,0,0,2,0,2,64
BRA,Trampolining,0,0,0,1,0,1,152
BRA,Triathlon,0,0,0,27,0,27,822
BRA,Volleyball,60,48,37,190,145,335,4003
BRA,Water Polo,0,0,0,96,0,96,4418
BRA,Weightlifting,0,0,0,29,0,29,4256
BRA,Wrestling,0,0,0,17,0,17,7734
BRN,Athletics,2,3,1,89,6,95,43294
BRN,Boxing,0,0,0,1,0,1,6584
BRN,Cycling,0,0,0,7,0,7,10859
BRN,Fencing,0,0,0,7,0,7,11558
BRN,Handball,0,0,0,16,0,16,4419
BRN,Judo,0,0,0,1,0,1,4876
BRN,Modern Pentathlon,0,0,0,12,0,12,1821
BRN,Sailing,0,0,0,5,0,5,7266
BRN,Shooting,0,0,0,10,0,10,12580
BRN,Swimming,0,0,0,16,0,16,26416
BRN,Weightlifting,0,0,1,1,1,2,4256
BRN,Wrestling,1,0,0,1,1,2,7734
BRU,Athletics,0,0,0,8,0,8,43294
BRU,Badminton,0,0,0,1,0,1,1816
BRU,Shooting,0,0,0,2,0,2,12580
BRU,Swimming,0,0,0,4,0,4,26416
