NOC,Name,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Competitions
ALG,Ahmed (jindiyeh-),0,0,0,0,2
ALG,Ahmed Farfar,0,0,0,0,1
ALG,Ahmed Kessam,0,0,0,0,2
ALG,Ahmed Krama,0,0,0,0,1
ALG,Ahmed Moussa,0,0,0,0,1
ALG,Ahmed Sad,0,0,0,0,1
ALG,Ahmed Tarbi,0,0,0,0,2
ALG,Akram Bounabi,0,0,0,0,1
ALG,Al-Tayeb Filali,0,0,0,0,1
ALG,Ali Akacha,0,0,0,0,1
ALG,Ali Bakhta,0,0,0,0,1
ALG,Ali Boudina,0,0,0,0,2
ALG,Ali Bourai,0,0,0,0,1
ALG,Ali Dif,0,0,0,0,1
ALG,Ali Fergani,0,0,0,0,1
ALG,Ali Gouaned,0,0,0,0,1
ALG,Ali Idir,0,0,0,0,1
ALG,Ali Massaoudi,0,0,0,0,1
ALG,Ali Mebarki,0,0,0,0,1
ALG,Ali Sadi-sief,1,0,1,0,3
ALG,Allaoua Khellil,0,0,0,0,1
ALG,Amar Benikhlef,1,0,1,0,2
ALG,Amar Daoud,0,0,0,0,1
ALG,Amar Hecini,0,0,0,0,1
ALG,Amar Meridja,0,0,0,0,4
ALG,Amel Khamtache,0,0,0,0,1
ALG,Amel Melih,0,0,0,0,2
ALG,Amina Belkadi,0,0,0,0,1
ALG,Amina Bettiche,0,0,0,0,1
ALG,Amina Rouba,0,0,0,0,2
ALG,Amine Bouanani,0,0,0,0,1
ALG,Amira Kheris,0,0,0,0,2
ALG,Anissa (-nassonenko),0,0,0,0,3
ALG,Antar Zerguelaine,0,0,0,0,1
ALG,Asma Al-menaifi,0,0,0,0,2
ALG,Assa Aout,0,0,0,0,2
ALG,Assa Sad-guerni,1,0,0,1,2
ALG,Ayoub Abdellaoui,0,0,0,0,1
ALG,Azzadine Lagab,0,0,0,0,1
ALG,Azzedine Basbas,0,0,0,0,3
ALG,Azzedine Bouzerar,0,0,0,0,1
ALG,Azzedine Brahmi,0,0,0,0,2
ALG,Azzedine Lagab,0,0,0,0,2
ALG,Azzedine Ouhib,0,0,0,0,1
ALG,Azzedine Sad,0,0,0,0,2
ALG,Bachir Sid,0,0,0,0,2
ALG,Baghdad Bounedjah,0,0,0,0,1
ALG,Bahia Boussad,0,0,0,0,1
ALG,Baya Rahouli,0,0,0,0,3
ALG,Ben Beghouach,0,0,0,0,2
ALG,Benaissa Abed,0,0,0,0,1
ALG,Benamar Kechkouche,0,0,0,0,1
ALG,Benamar Meskine,0,0,0,0,1
ALG,Berkane Adda,0,0,0,0,1
ALG,Bilal Tabti,0,0,0,0,2
ALG,Boualem Alouane,0,0,0,0,1
ALG,Boualem Miloudi,0,0,0,0,1
ALG,Boualem Rahoui,0,0,0,0,2
ALG,Bouchra Hirech,0,0,0,0,1
ALG,Bouzid Mahiouz,0,0,0,0,1
ALG,Brahim Bourdrali,0,0,0,0,2
ALG,Celia Bourihane,0,0,0,0,1
ALG,Chaabane Merzekane,0,0,0,0,1
ALG,Chafik Bouaoud,0,0,0,0,1
ALG,Chaima Benadouda,0,0,0,0,2
ALG,Chaouki Dries,0,0,0,0,1
ALG,Chouaib Bouloudinats,0,0,0,0,3
ALG,Dallal Achour,0,0,0,0,1
ALG,David Kaci,0,0,0,0,1
ALG,Derradji Harek,0,0,0,0,2
ALG,Diana Bouzidi,0,0,0,0,2
ALG,Djaffar Hocine,0,0,0,0,1
ALG,Djahid Berrahal,0,0,0,0,1
ALG,Djamel Menad,0,0,0,0,1
ALG,Djamel Sedjati,1,0,0,1,1
ALG,Djamel Yahiouche,0,0,0,0,4
ALG,Djillali Brahim,0,0,0,0,1
ALG,Dounia Khelif,0,0,0,0,1
ALG,El-Hachemi Abdenouz,0,0,0,0,1
ALG,El-Hadi Laameche,0,0,0,0,1
ALG,El-Tayeb Khelfallah,0,0,0,0,1
ALG,Elkrim Ouakali,0,0,0,0,1
ALG,Fadi Rouabah,0,0,0,0,1
ALG,Fahem Hammachi,0,0,0,0,1
ALG,Farah Boufadene,0,0,0,0,4
ALG,Farid Chaal,0,0,0,0,1
ALG,Farid Oulami,0,0,0,0,1
ALG,Fateh Benferdjallah,0,0,0,0,2
ALG,Fateh Ziadi,0,0,0,0,1
ALG,Fatima Oukazi,0,0,0,0,1
ALG,Faycal Gharzouli,0,0,0,0,1
ALG,Faycal Tellouche,0,0,0,0,1
ALG,Faza Tsabet,0,0,0,0,1
ALG,Ferial Salhi,0,0,0,0,1
ALG,Fethi Nourine,0,0,0,0,1
ALG,Fethnour Lacheheb,0,0,0,0,1
ALG,Fouad Bouzenada,0,0,0,0,1
ALG,Foudil Taalba,0,0,0,0,1
ALG,Fouzia Aouissi,0,0,0,0,1
ALG,Hadia Bentaleb,0,0,0,0,1
ALG,Hadj Kheir,0,0,0,0,1
ALG,Hakim Sadi,0,0,0,0,1
ALG,Hakim Toumi,0,0,0,0,2
ALG,Hamid Sints,0,0,0,0,1
ALG,Hamza Bouras,0,0,0,0,2
ALG,Hamza Kramou,0,0,0,0,1
ALG,Hamza Mansouri,0,0,0,0,1
ALG,Haris Belkebla,0,0,0,0,1
ALG,Hassane Azzoun,0,0,0,0,1
ALG,Hassiba Boulmerka,1,1,0,0,4
ALG,Hemza Haloui,0,0,0,0,1
ALG,Hicham Bouchicha,0,0,0,0,1
ALG,Hichem Blida,0,0,0,0,1
ALG,Hichem Bouchicha,0,0,0,0,1
ALG,Hichem Chabane,0,0,0,0,1
ALG,Hocine Ledra,0,0,0,0,1
ALG,Hocine Soltani,2,1,0,1,2
ALG,Houari Ferhani,0,0,0,0,1
ALG,Houd Zourdani,0,0,0,0,1
ALG,Houda Chaabi,0,0,0,0,2
ALG,Ibtissem Doudou,0,0,0,0,1
ALG,Ichrak Chaib,0,0,0,0,1
ALG,Idir Khourta,0,0,0,0,1
ALG,Ikhlef Allah,0,0,0,0,1
ALG,Ilyas Abbadi,0,0,0,0,2
ALG,Imane Khelif,1,1,0,0,2
ALG,Imne Sahraoui,0,0,0,0,1
ALG,Irbeh Benzine,0,0,0,0,1
ALG,Ishak Ghaiou,0,0,0,0,1
ALG,Issam Nima,0,0,0,0,1
ALG,Jaouad Syoud,0,0,0,0,1
ALG,Jugurtha Ait,0,0,0,0,1
ALG,Kader Silia,0,0,0,0,1
ALG,Kahina Saidi,0,0,0,0,1
ALG,Kamal Boulahfane,0,0,0,0,3
ALG,Kamel Aboud,0,0,0,0,1
ALG,Kamel Ait,0,0,0,0,1
ALG,Kamel Daoud,0,0,0,0,1
ALG,Kamel Hebri,0,0,0,0,1
ALG,Kamel Kohil,0,0,0,0,1
ALG,Kamel Larbi,0,0,0,0,1
ALG,Kamel Maoudj,0,0,0,0,1
ALG,Kamel Ouchia,0,0,0,0,2
ALG,Kamel Talhaoui,0,0,0,0,1
ALG,Kaouther Mohamed,0,0,0,0,2
ALG,Karim El-mahouab,0,0,0,0,1
ALG,Katia Belabbas,0,0,0,0,1
ALG,Kaylia Nemour,1,1,0,0,6
ALG,Kenza Dahmani,0,0,0,0,1
ALG,Khaled Meddah,0,0,0,0,2
ALG,Khoudir Aggoune,0,0,0,0,1
ALG,Koceila Adoul,0,0,0,0,1
ALG,Koceila Mammeri,0,0,0,0,1
ALG,Krimo Bernaoui,0,0,0,0,1
ALG,Lad Bessou,0,0,0,0,1
ALG,Lad Bouneb,0,0,0,0,1
ALG,Lahcen Babaci,0,0,0,0,1
ALG,Lakhdar Belloumi,0,0,0,0,1
ALG,Lamine Ouahab,0,0,0,0,1
ALG,Lamya Matoub,0,0,0,0,1
ALG,Larbi Bouriah,0,0,0,0,1
ALG,Larbi Bourrada,0,0,0,0,1
ALG,Larbi Lazhari,0,0,0,0,7
ALG,Lea Moutoussamy,0,0,0,0,1
ALG,Leila Boucetta,0,0,0,0,1
ALG,Leila Lassouani,0,0,0,0,3
ALG,Lies Tizioualou,0,0,0,0,1
ALG,Lila Latrous,0,0,0,0,2
ALG,Lotfi Khada,0,0,0,0,3
ALG,Loubna Benhadja,0,0,0,0,1
ALG,Loucif Hamani,0,0,0,0,1
ALG,Lydia Oulmou,0,0,0,0,2
ALG,Lyes Bouyacoub,0,0,0,0,1
ALG,Lyes Cherifi,0,0,0,0,1
ALG,Lynda Loghraibi,0,0,0,0,1
ALG,Lynda Mekzine,0,0,0,0,1
ALG,Mahmoud Bouanik,0,0,0,0,2
ALG,Mahmoud Guendouz,0,0,0,0,1
ALG,Mahrez Mebarek,0,0,0,0,3
ALG,Makhlouf Hocine,0,0,0,0,1
ALG,Malik Bouziane,0,0,0,0,1
ALG,Malik Louahla,0,0,0,0,3
ALG,Mazouz Djedaa,0,0,0,0,1
ALG,Mebarek Soltani,0,0,0,0,2
ALG,Mehdi Addadi,0,0,0,0,2
ALG,Mehdi Aidet,0,0,0,0,3
ALG,Mehdi Assous,0,0,0,0,1
ALG,Mehdi Bouloussa,0,0,0,0,1
ALG,Mehdi Hamama,0,0,0,0,1
ALG,Mehdi Lili,0,0,0,0,1
ALG,Meriem Mebarki,0,0,0,0,1
ALG,Meriem Moussa,0,0,0,0,1
ALG,Messaoud Zeghdane,0,0,0,0,1
ALG,Meziane Dahmani,0,0,0,0,2
ALG,Meziane Tahar,0,0,0,0,1
ALG,Miloud Rahmouni,0,0,0,0,1
ALG,Miloud Rebiai,0,0,0,0,1
ALG,Mohamed Al-aich,0,0,0,0,1
ALG,Mohamed Allalou,1,0,0,1,2
ALG,Mohamed Ameur,0,0,0,0,1
ALG,Mohamed Azzaoui,0,0,0,0,1
ALG,Mohamed Azzouzi,0,0,0,0,2
ALG,Mohamed Bahari,1,0,0,1,1
ALG,Mohamed Belabbas,0,0,0,0,1
ALG,Mohamed Bendahmane,0,0,0,0,1
ALG,Mohamed Benkhemassa,0,0,0,0,1
ALG,Mohamed Bouaichaoui,0,0,0,0,2
ALG,Mohamed Bouchiche,0,0,0,0,1
ALG,Mohamed Boudjadja,0,0,0,0,2
ALG,Mohamed Bouhalla,0,0,0,0,1
ALG,Mohamed Bourguieg,0,0,0,0,6
ALG,Mohamed Bouziane,0,0,0,0,1
ALG,Mohamed Djouadi,0,0,0,0,1
ALG,Mohamed Flissi,0,0,0,0,3
ALG,Mohamed Garidi,0,0,0,0,1
ALG,Mohamed Ghrib,0,0,0,0,1
ALG,Mohamed Gouni,0,0,0,0,1
ALG,Mohamed Guesmia,0,0,0,0,1
ALG,Mohamed Hachaichi,0,0,0,0,1
ALG,Mohamed Haddad,0,0,0,0,1
ALG,Mohamed Haioun,0,0,0,0,1
ALG,Mohamed Halimi,0,0,0,0,2
ALG,Mohamed Kacemi,0,0,0,0,1
ALG,Mohamed Khaldi,0,0,0,0,2
ALG,Mohamed Kheddis,0,0,0,0,1
ALG,Mohamed Lazhari,0,0,0,0,7
ALG,Mohamed Louafi,0,0,0,0,1
ALG,Mohamed Machou,0,0,0,0,1
ALG,Mohamed Meridja,0,0,0,0,1
ALG,Mohamed Mir,0,0,0,0,1
ALG,Mohamed Moualek,0,0,0,0,1
ALG,Mohamed Ouadahi,0,0,0,0,1
ALG,Mohamed Salmi,0,0,0,0,1
ALG,Mohamed Serir,0,0,0,0,2
ALG,Mohamed Triki,0,0,0,0,1
ALG,Mohamed Zaoui,1,0,0,1,1
ALG,Mohammed Belferar,0,0,0,0,1
ALG,Mohammed Benkablia,0,0,0,0,1
ALG,Mohammed Fardj,0,0,0,0,1
ALG,Mohammed Houmri,0,0,0,0,1
ALG,Mohammed Tayeb,0,0,0,0,1
ALG,Mohammed Triki,0,0,0,0,1
ALG,Mokdad El-yamine,0,0,0,0,1
ALG,Mouloud Mekhnache,0,0,0,0,2
ALG,Mouni Abderrahim,0,0,0,0,2
ALG,Mounir Benamadi,0,0,0,0,1
ALG,Mourad Amara,0,0,0,0,1
ALG,Mourad Benslimani,0,0,0,0,1
ALG,Mourad Boussebt,0,0,0,0,2
ALG,Mourad Kadi,0,0,0,0,1
ALG,Mourad Malaoui,0,0,0,0,1
ALG,Mourad Sennoun,0,0,0,0,1
ALG,Moussa Aouanouk,0,0,0,0,2
ALG,Moustafa Salmi,0,0,0,0,2
ALG,Mustapha Bennacer,0,0,0,0,1
ALG,Mustapha Doballah,0,0,0,0,1
ALG,Mustapha Kouchene,0,0,0,0,1
ALG,Mustapha Moussa,1,0,0,1,1
ALG,Nabil Kassel,0,0,0,0,2
ALG,Nabil Kebbab,0,0,0,0,2
ALG,Nabil Lasmari,0,0,0,0,1
ALG,Nabil Madi,0,0,0,0,2
ALG,Nabil Rouabhi,0,0,0,0,1
ALG,Nacer Keddam,0,0,0,0,1
ALG,Nadjet Berrichi,0,0,0,0,1
ALG,Nadjim Manseur,0,0,0,0,1
ALG,Nafaa Benami,0,0,0,0,1
ALG,Nahida Touhami,0,0,0,0,2
ALG,Narimne Madani,0,0,0,0,1
ALG,Nasria Baghdad-azadj,0,0,0,0,2
ALG,Nasserredine Fillali,0,0,0,0,1
ALG,Nassim Al-bernaoui,0,0,0,0,2
ALG,Nassima Akouche,0,0,0,0,1
ALG,Nawal Mansouri,0,0,0,0,2
ALG,Nefissa Cherouati,0,0,0,0,1
ALG,Nesrine Houili,0,0,0,0,1
ALG,Nesrine Medjahed,0,0,0,0,1
ALG,Newfel Ouatah,0,0,0,0,1
ALG,Nihed Benchadli,0,0,0,0,1
ALG,Nora Kehli,0,0,0,0,2
ALG,Noureddine Al-yagoubi,0,0,0,0,2
ALG,Noureddine Bekkouche,0,0,0,0,1
ALG,Noureddine Madjhoud,0,0,0,0,2
ALG,Noureddine Meziane,0,0,0,0,2
ALG,Noureddine Morceli,1,1,0,0,3
ALG,Noureddine Tadjine,0,0,0,0,1
ALG,Nouria Mrah-benida,1,1,0,0,2
