NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,TOPSIS_Score_Sum,Host,Sport_topsis_score,Unnamed: 10,Unnamed: 11,Historical_Bronze,Historical_Gold,Historical_No_Medal,Historical_Silver
ALG,Boxing,0,1,4,0,1,0.007865081,0,0.457064907,,,5,2,75,0
ALG,Canoe Slalom,0,0,2,0,0,0.0,0,0.0,,,0,0,2,0
ALG,Cycling Road,0,0,2,0,0,0.001125348,0,0.016826317,,,0,0,5,0
ALG,Fencing,0,0,8,0,0,0.0,0,0.017970243,,,0,0,33,0
ALG,Judo,0,0,3,0,0,0.002248224,0,0.31150285,,,1,0,55,1
ALG,Rowing,0,0,2,0,0,0.0,0,0.007289997,,,0,0,14,0
ALG,Sailing,0,0,1,0,0,0.001125348,0,0.002838911,,,0,0,6,0
ALG,Shooting,0,0,3,0,0,0.0,0,0.002772621,,,0,0,6,0
ALG,Swimming,0,0,2,0,0,0.004493981,0,0.023474399,,,0,0,44,0
ALG,Table Tennis,0,0,2,0,0,0.0,0,0.010591497,,,0,0,13,0
ALG,Weightlifting,0,0,1,0,0,0.002248224,0,0.013425876,,,0,0,21,0
ALG,Wrestling,0,0,8,0,0,0.001125348,0,0.019823481,,,0,0,35,0
AND,Athletics,0,0,1,0,0,0.0,0,0.094743629,,,0,0,15,0
AND,Canoe Slalom,0,0,3,0,0,0.001125348,0,0.931423193,,,0,0,5,0
ANG,Athletics,0,0,1,0,0,0.0,0,0.14538821,,,0,0,31,0
ANG,Canoe Sprint,0,0,3,0,0,0.0,0,0.0,,,0,0,3,0
ANG,Handball,0,0,15,0,0,0.013489349,0,1.0,,,0,0,113,0
ANG,Judo,0,0,1,0,0,0.0,0,0.122212275,,,0,0,16,0
ANG,Rowing,0,0,1,0,0,0.0,0,0.0,,,0,0,3,0
ANG,Sailing,0,0,3,0,0,0.001125348,0,0.062527862,,,0,0,11,0
ANG,Swimming,0,0,2,0,0,0.003368633,0,0.224899813,,,0,0,47,0
ANT,Athletics,0,0,2,0,0,0.002248224,0,1.0,,,0,0,100,0
ANT,Sailing,0,0,1,0,0,0.0,0,0.127282115,,,0,0,11,0
ANT,Swimming,0,0,2,0,0,0.001125348,0,0.070935187,,,0,0,10,0
ARG,Archery,0,0,1,0,0,0.0,0,0.0,,,0,0,3,0
ARG,Athletics,0,0,6,0,0,0.0,0,0.069094627,,,0,2,253,3
ARG,Canoe Sprint,0,0,2,0,0,0.001125348,0,0.004144335,,,0,0,6,0
ARG,Cycling BMX Freestyle,0,1,0,0,1,0.0,0,0.0,,,0,1,0,0
ARG,Cycling BMX Racing,0,0,2,0,0,0.0,0,0.013707599,,,0,0,3,0
ARG,Cycling Road,0,0,1,0,0,0.0,0,0.001911387,,,0,0,2,0
ARG,Equestrian,0,0,1,0,0,0.004501392,0,0.005798719,,,0,0,9,0
ARG,Fencing,0,0,1,0,0,0.0,0,0.067696797,,,5,0,236,0
ARG,Football,0,0,18,0,0,0.0,0,0.504033218,,,0,34,114,34
ARG,Golf,0,0,2,0,0,0.0,0,0.005325472,,,0,0,5,0
ARG,Handball,0,0,15,0,0,0.003373572,0,0.018276435,,,0,0,75,0
ARG,Hockey,16,0,18,0,16,1.709852166,0,0.607774917,,,48,18,241,49
ARG,Judo,0,0,1,0,0,0.123613999,0,0.027483104,,,1,1,66,0
ARG,Modern Pentathlon,0,0,1,0,0,0.0,0,0.007001626,,,0,0,20,0
ARG,Rowing,0,0,4,0,0,0.002248224,0,0.058445889,,,3,2,184,1
ARG,Rugby Sevens,0,0,14,0,0,1.03976283,0,0.285475311,,,13,0,27,0
ARG,Sailing,0,0,5,2,2,0.002250696,0,0.191926988,,,9,2,173,12
ARG,Shooting,0,0,5,0,0,0.006747144,0,0.033491752,,,0,0,131,1
ARG,Skateboarding,0,0,2,0,0,0.0,0,0.0,,,0,0,2,0
ARG,Swimming,0,0,5,0,0,0.00449892,0,0.059471901,,,1,1,263,1
ARG,Table Tennis,0,0,1,0,0,0.0,0,0.0048923,,,0,0,17,0
ARG,Taekwondo,0,0,1,0,0,0.0,0,0.050093026,,,0,1,8,0
ARG,Tennis,0,0,15,0,0,0.004501392,0,0.077873083,,,5,0,108,2
ARG,Triathlon,0,0,1,0,0,0.0,0,0.005196214,,,0,0,8,0
ARG,Volleyball,0,0,13,0,0,0.959852236,0,0.238162493,,,24,0,107,0
ARM,Artistic Gymnastics,0,0,3,1,1,0.079989894,0,0.315433454,,,1,0,4,1
ARM,Athletics,0,0,1,0,0,0.001125348,0,0.024520182,,,0,0,20,0
ARM,Boxing,0,0,1,0,0,0.079989894,0,0.147611313,,,2,0,20,0
ARM,Shooting,0,0,1,0,0,0.0,0,0.014918425,,,0,0,11,0
ARM,Swimming,0,0,2,0,0,0.001125348,0,0.015922465,,,0,0,13,0
ARM,Weightlifting,0,0,2,1,1,0.164831348,0,0.362679151,,,5,0,32,4
ARM,Wrestling,1,0,3,1,2,0.15954354,0,0.820992235,,,4,2,47,5
ARU,Cycling BMX Racing,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
ARU,Sailing,0,0,2,0,0,0.0,0,0.0,,,0,0,6,0
ARU,Shooting,0,0,1,0,0,0.0,0,0.0,,,0,0,2,0
ARU,Swimming,0,0,3,0,0,0.003373572,0,0.247397105,,,0,0,15,0
ASA,Athletics,0,0,1,0,0,0.0,0,0.448214099,,,0,0,13,0
ASA,Swimming,0,0,1,0,0,0.0,0,0.269569569,,,0,0,7,0
AUS,3x3 Basketball,0,0,4,0,0,0.0,0,0.0,,,0,0,4,0
AUS,"3x3 Basketball, Basketball",0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
AUS,Archery,0,0,4,0,0,0.165821,0,0.025802165,,,4,1,81,0
AUS,Artistic Gymnastics,0,0,40,0,0,0.010098504,0,0.007616028,,,0,0,52,0
AUS,Artistic Swimming,0,0,11,0,0,0.002250696,0,0.015575974,,,0,0,21,0
AUS,Athletics,5,1,82,2,8,0.280954183,0,0.212830794,,,35,25,1049,40
AUS,Badminton,0,0,3,0,0,0.001125348,0,0.010403949,,,0,0,65,0
AUS,Basketball,11,0,12,0,11,1.04432589,0,0.178641438,,,47,0,226,36
AUS,Beach Volleyball,0,0,6,0,0,0.172290252,0,0.047628516,,,2,2,40,2
AUS,Boxing,2,0,10,0,2,0.079981078,0,0.029020959,,,6,0,135,1
AUS,Breaking,0,0,2,0,0,0.0,0,0.0,,,0,0,2,0
AUS,Canoe Slalom,0,3,5,0,3,0.12020334,0,0.185562955,,,1,4,7,0
AUS,Canoe Sprint,2,0,8,4,6,0.170185158,0,0.080426419,,,2,2,30,4
AUS,Cycling BMX Freestyle,1,0,1,0,1,0.080581957,0,0.171932279,,,1,1,2,0
AUS,Cycling BMX Racing,0,1,2,0,1,0.0,0,0.097876826,,,0,1,5,0
AUS,Cycling Mountain Bike,0,0,1,0,0,0.0,0,0.003845398,,,0,0,3,0
AUS,Cycling Road,0,1,7,0,1,0.003376044,0,0.040935322,,,1,1,17,0
AUS,Cycling Track,5,5,25,2,12,0.40444396,0,0.090543303,,,11,5,51,2
AUS,Diving,0,0,10,1,1,0.20309091,0,0.060996981,,,14,3,148,5
AUS,Equestrian,0,0,21,1,1,0.387081887,0,0.079175946,,,1,0,34,5
AUS,Football,0,0,19,0,0,0.010128132,0,0.027876803,,,0,0,224,0
AUS,Golf,0,0,4,0,0,0.001125348,0,0.004768376,,,0,0,12,0
AUS,Hockey,0,0,35,0,0,1.55507072,0,0.379333603,,,79,64,246,63
AUS,Judo,0,0,3,0,0,0.002250696,0,0.015466141,,,2,0,91,0
AUS,Marathon Swimming,0,0,3,0,0,0.079981078,0,0.077438856,,,1,0,4,0
AUS,"Marathon Swimming, Swimming",0,0,2,0,0,0.0,0,0.0,,,0,0,2,0
AUS,Modern Pentathlon,0,0,1,0,0,0.001125348,0,0.014680378,,,0,1,55,0
AUS,Rhythmic Gymnastics,0,0,6,0,0,0.0,0,0.004711091,,,0,0,19,0
AUS,Rowing,2,0,36,0,2,1.462998949,0,0.28647175,,,76,30,425,56
AUS,Rugby Sevens,0,0,25,0,0,0.406331979,0,0.102183618,,,0,12,64,0
AUS,Sailing,0,1,10,1,2,0.526074648,0,0.143677054,,,14,26,177,18
AUS,Shooting,1,0,14,0,1,0.040325247,0,0.044462843,,,6,5,275,1
AUS,Skateboarding,0,2,7,0,2,0.080581957,0,0.123851317,,,0,3,11,0
AUS,Sport Climbing,0,0,2,0,0,0.0,0,0.006939648,,,0,0,4,0
AUS,Surfing,0,0,3,1,1,0.079981078,0,0.093917649,,,1,0,6,1
AUS,Swimming,15,17,52,19,51,4.455950193,0,0.704548672,,,166,155,925,184
AUS,Table Tennis,0,0,12,0,0,0.014604819,0,0.013840588,,,0,0,96,0
AUS,Taekwondo,0,0,3,0,0,0.002248224,0,0.032358126,,,0,1,27,1
AUS,Tennis,0,2,13,0,2,0.176801482,0,0.046824004,,,8,4,111,2
AUS,Trampoline Gymnastics,0,0,1,0,0,0.0,0,0.008802693,,,0,0,3,0
AUS,Triathlon,0,0,4,0,0,0.00899784,0,0.040662338,,,2,1,40,2
AUS,Water Polo,0,0,13,13,13,0.172451144,0,0.110243732,,,26,13,249,13
AUS,Weightlifting,0,0,3,0,0,0.0,0,0.019883449,,,2,1,82,1
AUS,Wrestling,0,0,2,0,0,0.0,0,0.017457053,,,2,0,100,1
AUT,Archery,0,0,1,0,0,0.0,0,0.0,,,0,0,5,0
AUT,Artistic Gymnastics,0,0,6,0,0,0.004486578,0,0.003219516,,,0,0,11,0
AUT,Artistic Swimming,0,0,2,0,0,0.0,0,0.006689693,,,0,0,4,0
AUT,Athletics,0,0,7,0,0,0.082229302,0,0.148747408,,,5,1,333,2
AUT,Badminton,0,0,1,0,0,0.0,0,0.003538412,,,0,0,11,0
AUT,Beach Volleyball,0,0,2,0,0,0.0,0,0.0,,,0,0,22,0
AUT,Canoe Slalom,0,0,6,0,0,0.0,0,0.016063879,,,0,0,9,0
AUT,Cycling Mountain Bike,0,0,3,0,0,0.0,0,0.015740668,,,0,0,5,0
AUT,Cycling Road,0,0,7,0,0,0.081707305,0,0.257024335,,,0,1,11,0
AUT,Cycling Track,0,0,3,0,0,0.002250696,0,0.004071879,,,0,0,8,0
AUT,Diving,0,0,1,0,0,0.0,0,0.0,,,1,0,75,0
AUT,Equestrian,0,0,17,0,0,0.003376044,0,0.015064528,,,0,0,25,0
AUT,Golf,0,0,3,0,0,0.001125348,0,0.007323874,,,0,0,8,0
AUT,Judo,1,0,11,0,1,0.170615891,0,0.170766431,,,3,2,63,3
AUT,Marathon Swimming,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
AUT,"Marathon Swimming, Swimming",0,0,4,0,0,0.0,0,0.0,,,0,0,4,0
AUT,Rowing,0,0,3,0,0,0.079989894,0,0.149627493,,,5,0,128,5
AUT,Sailing,0,3,6,0,3,0.159979788,0,0.332936348,,,2,8,127,5
AUT,Shooting,0,0,10,0,0,0.001125348,0,0.135191235,,,5,1,187,2
AUT,Sport Climbing,2,0,0,0,2,0.079981078,0,0.411099434,,,3,0,1,0
AUT,Swimming,0,0,11,0,0,0.00787002,0,0.235965729,,,9,2,217,6
AUT,Table Tennis,0,0,2,0,0,0.024604936,0,0.021791064,,,0,0,66,0
AUT,Taekwondo,0,0,1,0,0,0.0,0,0.0,,,0,0,4,0
AUT,Tennis,0,0,2,0,0,0.001125348,0,0.066055659,,,0,0,41,2
AUT,Trampoline Gymnastics,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
AUT,Triathlon,0,0,4,0,0,0.006747144,0,0.143506978,,,0,1,24,0
AZE,3x3 Basketball,0,0,4,0,0,0.0,0,0.0,,,0,0,4,0
AZE,Archery,0,0,1,0,0,0.0,0,0.0,,,0,0,2,0
AZE,Athletics,0,0,1,0,0,0.001125348,0,0.027469361,,,0,0,24,0
AZE,Badminton,0,0,2,0,0,0.0,0,0.004812725,,,0,0,3,0
AZE,Boxing,0,0,4,1,1,0.079981078,0,0.278393995,,,8,0,37,2
AZE,Fencing,0,0,1,0,0,0.0,0,0.006121458,,,0,0,6,0
AZE,Judo,0,2,7,0,2,0.079981078,0,0.350340596,,,2,3,40,2
AZE,Rhythmic Gymnastics,0,0,6,0,0,0.0,0,0.081339649,,,0,0,23,0
AZE,Rowing,0,0,1,0,0,0.0,0,0.0,,,0,0,5,0
AZE,Shooting,0,0,2,0,0,0.003368633,0,0.223370257,,,2,1,16,0
AZE,Swimming,0,0,2,0,0,0.0,0,0.016898954,,,0,0,15,0
AZE,Taekwondo,0,0,0,1,1,0.0,0,0.330224048,,,2,1,8,1
AZE,Trampoline Gymnastics,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
AZE,Triathlon,0,0,1,0,0,0.001125348,0,0.010578499,,,0,0,3,0
AZE,Wrestling,3,0,9,0,3,0.400338836,0,0.654541888,,,16,4,57,9
BAH,Athletics,0,0,19,0,0,0.298804765,0,0.991205687,,,13,14,250,11
BAH,Swimming,0,0,2,0,0,0.005611926,0,0.040945649,,,0,0,49,0
BAN,Archery,0,0,1,0,0,0.002250696,0,0.468545612,,,0,0,7,0
BAN,Athletics,0,0,1,0,0,0.0,0,0.66845925,,,0,0,30,0
BAN,Shooting,0,0,1,0,0,0.0,0,0.304390668,,,0,0,10,0
BAN,Swimming,0,0,2,0,0,0.0,0,0.455403921,,,0,0,17,0
BAR,Athletics,0,0,2,0,0,0.001125348,0,1.0,,,1,0,116,0
BAR,Swimming,0,0,1,0,0,0.002248224,0,0.052583909,,,0,0,40,0
BAR,Triathlon,0,0,1,0,0,0.0,0,0.0,,,0,0,2,0
BDI,Athletics,0,0,5,0,0,0.089572166,0,1.0,,,0,1,37,1
BDI,Judo,0,0,1,0,0,0.0,0,0.0,,,0,0,3,0
BDI,Swimming,0,0,2,0,0,0.0,0,0.041932617,,,0,0,11,0
BEL,Artistic Gymnastics,0,0,22,0,0,0.097571798,0,0.032312113,,,0,1,45,0
BEL,Athletics,1,1,57,1,3,0.25307994,0,0.181229113,,,4,6,601,11
BEL,Badminton,0,0,2,0,0,0.002248224,0,0.002326439,,,0,0,9,0
BEL,Basketball,0,0,12,0,0,0.0,0,0.014917926,,,0,0,58,0
BEL,Boxing,0,0,3,0,0,0.0,0,0.0,,,2,1,56,1
BEL,Canoe Sprint,0,0,5,0,0,0.002250696,0,0.005674688,,,0,0,10,0
BEL,Cycling BMX Racing,0,0,4,0,0,0.0,0,0.0,,,0,0,5,0
BEL,Cycling Mountain Bike,0,0,3,0,0,0.0,0,0.0,,,0,0,5,0
BEL,Cycling Road,1,2,6,0,3,0.088400116,0,0.142568639,,,1,2,16,1
BEL,"Cycling Road, Cycling Track",0,0,3,0,0,0.0,0,0.0,,,0,0,3,0
BEL,Cycling Track,1,0,16,0,1,0.001125348,0,0.026305573,,,1,0,24,0
BEL,Equestrian,0,0,23,0,0,0.324460968,0,0.063362869,,,4,0,37,0
BEL,Fencing,0,0,1,0,0,0.0,0,0.0,,,19,10,297,19
BEL,Golf,0,0,3,0,0,0.001125348,0,0.008019541,,,0,0,9,0
BEL,Hockey,0,0,38,0,0,1.58476139,0,0.28988315,,,14,18,236,16
BEL,Judo,1,0,3,0,1,0.081106426,0,0.137108071,,,11,2,49,1
BEL,Rowing,0,0,3,0,0,0.0,0,0.228867455,,,4,0,155,26
BEL,Sailing,0,0,8,0,0,0.0,0,0.148315609,,,7,4,86,8
BEL,Sport Climbing,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
BEL,Swimming,0,0,8,0,0,0.008973156,0,0.075495643,,,2,1,286,2
BEL,Table Tennis,0,0,2,0,0,0.0,0,0.0,,,0,0,16,0
BEL,Taekwondo,1,0,0,0,1,0.001125348,0,0.085088277,,,1,0,5,0
BEL,Tennis,0,0,3,0,0,0.002250696,0,0.037078886,,,2,1,86,0
BEL,Triathlon,0,0,4,0,0,0.005624268,0,0.013536184,,,0,0,23,0
BEL,Weightlifting,0,0,1,0,0,0.0,0,0.059502951,,,1,1,45,2
BEN,Athletics,0,0,2,0,0,0.002250696,0,0.825859805,,,0,0,47,0
BEN,Judo,0,0,1,0,0,0.0,0,0.166040516,,,0,0,5,0
BEN,Swimming,0,0,2,0,0,0.0,0,0.209319061,,,0,0,11,0
BER,Athletics,0,0,1,0,0,0.0,0,0.0,,,0,0,63,0
BER,Rowing,0,0,1,0,0,0.0,0,0.003641124,,,0,0,4,0
BER,Sailing,0,0,1,0,0,0.0,0,0.0,,,0,0,62,0
BER,Swimming,0,0,2,0,0,0.0,0,0.0,,,0,0,53,0
BER,Triathlon,0,0,3,0,0,0.080650937,0,0.51221261,,,0,1,8,0
BHU,Archery,0,0,1,0,0,0.0,0,1.0,,,0,0,36,0
BHU,Athletics,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
BHU,Swimming,0,0,1,0,0,0.0,0,0.016147596,,,0,0,2,0
BIH,Athletics,0,0,1,0,0,0.002250696,0,0.717020423,,,0,0,24,0
BIH,Judo,0,0,2,0,0,0.0,0,0.489603972,,,0,0,10,0
BIH,Swimming,0,0,3,0,0,0.001125348,0,0.706963849,,,0,0,21,0
BIZ,Athletics,0,0,1,0,0,0.0,0,0.813362721,,,0,0,41,0
BOL,Athletics,0,0,2,0,0,0.0,0,0.920546126,,,0,0,43,0
BOL,Swimming,0,0,2,0,0,0.0,0,0.618709917,,,0,0,27,0
BOT,Athletics,0,1,10,6,7,0.570674011,0,1.0,,,6,1,88,7
BOT,Swimming,0,0,2,0,0,0.001125348,0,0.015346392,,,0,0,8,0
BRA,Archery,0,0,4,0,0,0.004493981,0,0.006231082,,,0,0,29,0
BRA,Artistic Gymnastics,5,1,35,2,8,0.161183234,0,0.085214874,,,5,2,76,3
BRA,Athletics,1,0,54,1,2,0.191415137,0,0.159619288,,,17,5,612,8
BRA,Badminton,0,0,2,0,0,0.0,0,0.001429719,,,0,0,6,0
BRA,Basketball,0,0,12,0,0,0.0,0,0.271997023,,,46,0,209,12
BRA,Beach Volleyball,0,2,6,0,2,0.1253357,0,0.29556762,,,6,8,36,14
BRA,Boxing,1,0,9,0,1,0.246703867,0,0.071952902,,,5,2,88,2
BRA,Canoe Slalom,0,0,6,0,0,0.001125348,0,0.01263114,,,0,0,9,0
BRA,Canoe Sprint,0,0,6,1,1,0.081716535,0,0.128140739,,,0,1,10,1
BRA,Cycling BMX Freestyle,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
BRA,Cycling BMX Racing,0,0,1,0,0,0.0,0,0.00932085,,,0,0,3,0
BRA,Cycling Mountain Bike,0,0,2,0,0,0.0,0,0.012414606,,,0,0,5,0
BRA,Cycling Road,0,0,2,0,0,0.0,0,0.0,,,0,0,2,0
BRA,Diving,0,0,1,0,0,0.002248224,0,0.010683167,,,0,0,51,0
BRA,Equestrian,0,0,17,0,0,0.009002784,0,0.015685258,,,0,0,34,0
BRA,Fencing,0,0,3,0,0,0.005616857,0,0.017890878,,,0,0,99,0
BRA,Football,0,0,0,22,22,1.945084718,0,0.713704545,,,34,39,192,107
BRA,Handball,0,0,17,0,0,0.004501392,0,0.0370472,,,0,0,192,0
BRA,Judo,11,1,10,1,13,0.251235297,0,0.213144133,,,28,5,130,4
BRA,Marathon Swimming,0,0,2,0,0,0.080581957,0,0.300830189,,,0,1,2,0
BRA,"Marathon Swimming, Swimming",0,0,5,0,0,0.0,0,0.0,,,0,0,5,0
BRA,Modern Pentathlon,0,0,1,0,0,0.0,0,0.028629052,,,1,0,32,0
BRA,Rhythmic Gymnastics,0,0,6,0,0,0.0,0,0.016840128,,,0,0,37,0
BRA,Rowing,0,0,2,0,0,0.0,0,0.025207143,,,0,0,140,0
BRA,Rugby Sevens,0,0,14,0,0,0.003376044,0,0.021894514,,,0,0,52,0
BRA,Sailing,0,0,12,0,0,0.678841921,0,0.197488794,,,16,14,170,6
BRA,Shooting,0,0,4,0,0,0.0,0,0.057603728,,,5,1,119,2
BRA,Skateboarding,2,0,10,0,2,0.258422496,0,0.151486506,,,2,0,19,3
BRA,Surfing,1,0,4,1,2,0.080581957,0,0.182052623,,,1,1,7,1
BRA,Swimming,0,0,39,0,0,0.204897989,0,0.138196475,,,17,1,570,4
BRA,Table Tennis,0,0,12,0,0,0.022423084,0,0.017804106,,,0,0,78,0
BRA,Taekwondo,1,0,3,0,1,0.0,0,0.122755328,,,3,0,17,0
BRA,Tennis,0,0,10,0,0,0.165573035,0,0.033264897,,,2,0,59,0
BRA,Trampoline Gymnastics,0,0,2,0,0,0.0,0,0.0,,,0,0,2,0
BRA,Triathlon,0,0,4,0,0,0.0,0,0.012628819,,,0,0,27,0
BRA,Volleyball,13,0,13,0,13,1.151258071,0,0.646451105,,,37,60,190,48
BRA,Weightlifting,0,0,2,0,0,0.0,0,0.005619753,,,0,0,29,0
BRA,Wrestling,0,0,1,0,0,0.001125348,0,0.003001089,,,0,0,17,0
BRN,Athletics,0,1,7,1,2,0.089516876,0,0.570937427,,,1,2,89,3
BRN,Judo,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
BRN,Swimming,0,0,2,0,0,0.0,0,0.022612003,,,0,0,16,0
BRN,Weightlifting,1,0,1,0,1,0.0,0,0.0,,,1,0,1,0
BRN,Wrestling,0,1,0,0,1,0.0,0,0.0,,,0,1,1,0
BRU,Athletics,0,0,1,0,0,0.0,0,0.646233634,,,0,0,8,0
BRU,Swimming,0,0,2,0,0,0.0,0,0.341284914,,,0,0,4,0
BUL,Artistic Gymnastics,0,0,12,0,0,0.006715091,0,0.010386017,,,0,0,19,0
BUL,Athletics,0,0,5,0,0,0.101827893,0,0.139240207,,,6,5,298,8
BUL,Badminton,0,0,3,0,0,0.003376044,0,0.027228389,,,0,0,38,0
BUL,Boxing,1,0,4,0,1,0.080581957,0,0.144499135,,,10,5,87,5
BUL,Canoe Sprint,0,0,1,0,0,0.0,0,0.002002945,,,0,0,2,0
BUL,Fencing,0,0,1,0,0,0.0,0,0.0,,,0,0,47,0
BUL,Judo,0,0,2,0,0,0.002250696,0,0.043853242,,,2,0,29,1
BUL,Modern Pentathlon,0,0,1,0,0,0.0,0,0.0,,,0,0,29,0
BUL,Rhythmic Gymnastics,0,0,6,1,1,0.402909785,0,0.218754946,,,11,5,38,8
BUL,Rowing,0,0,2,0,0,0.0,0,0.0,,,16,5,144,13
BUL,Shooting,0,0,5,0,0,0.087274768,0,0.118293788,,,6,4,134,7
BUL,Swimming,0,0,6,0,0,0.00562674,0,0.041230243,,,1,1,137,1
BUL,Taekwondo,1,0,0,0,1,0.0,0,0.0,,,1,0,0,0
BUL,Tennis,0,0,1,0,0,0.0,0,0.0,,,1,0,16,0
BUL,Weightlifting,1,1,1,0,2,0.0,0,0.301073826,,,9,13,60,16
BUL,Wrestling,0,2,4,0,2,0.159962156,0,0.384458483,,,23,18,163,32
BUR,Athletics,0,0,2,0,0,0.083349711,0,0.939294826,,,1,0,30,0
BUR,Cycling Road,0,0,1,0,0,0.0,0,0.071443849,,,0,0,2,0
BUR,Judo,0,0,1,0,0,0.0,0,0.038739671,,,0,0,8,0
BUR,Swimming,0,0,2,0,0,0.0,0,0.037321822,,,0,0,11,0
BUR,Taekwondo,0,0,2,0,0,0.0,0,0.061506791,,,0,0,3,0
CAF,Athletics,0,0,1,0,0,0.0,0,0.519854924,,,0,0,31,0
CAF,Judo,0,0,1,0,0,0.0,0,0.0,,,0,0,5,0
CAF,Swimming,0,0,2,0,0,0.0,0,0.111541999,,,0,0,6,0
CAM,Athletics,0,0,1,0,0,0.0,0,0.547888536,,,0,0,19,0
CAM,Swimming,0,0,2,0,0,0.0,0,0.754753263,,,0,0,27,0
CAN,3x3 Basketball,0,0,4,0,0,0.0,0,0.0,,,0,0,4,0
CAN,Archery,0,0,4,0,0,0.006727411,0,0.007796127,,,0,0,54,0
CAN,Artistic Gymnastics,0,0,76,0,0,0.029123343,0,0.0169896,,,0,0,107,0
CAN,Artistic Swimming,0,0,11,0,0,0.002250696,0,0.017053083,,,0,0,21,0
CAN,Athletics,1,8,55,1,10,1.216488403,0,0.362166367,,,60,32,1167,28
CAN,Badminton,0,0,4,0,0,0.0,0,0.01242049,,,0,0,73,0
CAN,Basketball,0,0,24,0,0,0.006747144,0,0.065436684,,,0,0,205,9
CAN,Beach Volleyball,0,0,4,2,2,0.002250696,0,0.058915606,,,2,0,32,2
CAN,Boxing,1,0,1,0,1,0.001125348,0,0.078059596,,,8,3,130,7
CAN,Breaking,0,1,0,0,1,0.0,0,0.0,,,0,1,0,0
CAN,Canoe Slalom,0,0,6,0,0,0.0,0,0.007472345,,,0,0,10,0
CAN,Canoe Sprint,2,1,16,0,3,0.214247789,0,0.049858603,,,4,1,39,1
CAN,Cycling BMX Freestyle,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
CAN,Cycling BMX Racing,0,0,1,0,0,0.0,0,0.004467364,,,0,0,3,0
CAN,Cycling Mountain Bike,0,0,2,0,0,0.0,0,0.006421213,,,0,0,5,0
CAN,Cycling Road,0,0,6,0,0,0.001125348,0,0.005762932,,,0,0,15,0
CAN,Cycling Track,0,0,40,0,0,0.163957125,0,0.021119158,,,1,1,60,0
CAN,Diving,2,0,7,0,2,0.4303142,0,0.087583163,,,14,1,156,7
CAN,Equestrian,0,0,23,0,0,0.004501392,0,0.008957146,,,0,0,34,0
CAN,Fencing,1,0,23,0,1,0.006749616,0,0.040064351,,,1,0,297,0
CAN,Football,0,0,19,0,0,2.394973262,0,0.302299617,,,36,35,65,0
CAN,Golf,0,0,4,0,0,0.002250696,0,0.029599169,,,0,1,14,0
CAN,Judo,0,1,13,0,1,0.241108232,0,0.040130921,,,5,1,93,2
CAN,Marathon Swimming,0,0,1,0,0,0.0,0,0.006176277,,,0,0,3,0
