NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,TOPSIS_Score_Sum,Host,Sport_topsis_score,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Bronze,Total_Gold,Total_No_Medal,Total_Silver,Gold_Ratio,Silver_Ratio,Bronze_Ratio,No_Medal_Ratio
ALG,Artistic Gymnastics,0,1,5,0,1,0,0,0,,,,44,42,2169,42,0.023809524,0,0,0.00230521
ALG,Athletics,1,0,7,0,1,0.002250696,0,0.610245783,0,0,0,1452,1500,38865,1477,0,0,0.000688705,0.000180111
ALG,Badminton,0,0,2,0,0,0,0,0,,,,76,70,1600,70,0,0,0,0.00125
ALG,Boxing,0,1,4,0,1,0.007865081,0,0.457064907,0,0,0,493,278,5536,277,0.003597122,0,0,0.000722543
ALG,Canoe Slalom,0,0,2,0,0,0,0,0,,,,10,10,226,10,0,0,0,0.008849558
ALG,Cycling Road,0,0,2,0,0,0.001125348,0,0.016826317,0,0,0,6,7,473,7,0,0,0,0.00422833
ALG,Fencing,0,0,8,0,0,0,0,0.017970243,0,0,0,626,654,9635,643,0,0,0,0.000830306
ALG,Judo,0,0,3,0,0,0.002248224,0,0.31150285,0,0,0,374,190,4122,190,0,0,0,0.000727802
ALG,Rowing,0,0,2,0,0,0,0,0.007289997,0,0,0,1086,1074,8392,1073,0,0,0,0.000238322
ALG,Sailing,0,0,1,0,0,0.001125348,0,0.002838911,0,0,0,396,479,5947,444,0,0,0,0.000168152
ALG,Shooting,0,0,3,0,0,0,0,0.002772621,0,0,0,443,446,11244,447,0,0,0,0.000266809
ALG,Swimming,0,0,2,0,0,0.004493981,0,0.023474399,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
ALG,Table Tennis,0,0,2,0,0,0,0,0.010591497,0,0,0,80,74,2252,74,0,0,0,0.000888099
ALG,Weightlifting,0,0,1,0,0,0.002248224,0,0.013425876,0,0,0,240,241,3538,237,0,0,0,0.000282646
ALG,Wrestling,0,0,8,0,0,0.001125348,0,0.019823481,0,0,0,540,449,6294,451,0,0,0,0.001271052
AND,Athletics,0,0,1,0,0,0,0,0.094743629,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
AND,Canoe Slalom,0,0,3,0,0,0.001125348,0,0.931423193,0,0,0,10,10,226,10,0,0,0,0.013274336
ANG,Athletics,0,0,1,0,0,0,0,0.14538821,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
ANG,Canoe Sprint,0,0,3,0,0,0,0,0,,,,44,42,628,42,0,0,0,0.00477707
ANG,Handball,0,0,15,0,0,0.013489349,0,1,0,0,0,414,412,3172,421,0,0,0,0.004728878
ANG,Judo,0,0,1,0,0,0,0,0.122212275,0,0,0,374,190,4122,190,0,0,0,0.000242601
ANG,Rowing,0,0,1,0,0,0,0,0,,,,1086,1074,8392,1073,0,0,0,0.000119161
ANG,Sailing,0,0,3,0,0,0.001125348,0,0.062527862,0,0,0,396,479,5947,444,0,0,0,0.000504456
ANG,Swimming,0,0,2,0,0,0.003368633,0,0.224899813,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
ANT,Athletics,0,0,2,0,0,0.002248224,0,1,0,0,0,1452,1500,38865,1477,0,0,0,5.15E-05
ANT,Sailing,0,0,1,0,0,0,0,0.127282115,0,0,0,396,479,5947,444,0,0,0,0.000168152
ANT,Swimming,0,0,2,0,0,0.001125348,0,0.070935187,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
ARG,Archery,0,0,1,0,0,0,0,0,,,,118,155,2433,140,0,0,0,0.000411015
ARG,Athletics,0,0,6,0,0,0,0,0.069094627,0,0,0,1452,1500,38865,1477,0,0,0,0.000154381
ARG,Canoe Sprint,0,0,2,0,0,0.001125348,0,0.004144335,0,0,0,44,42,628,42,0,0,0,0.003184713
ARG,Cycling BMX Freestyle,0,1,0,0,1,0,0,0,,,,4,4,30,4,0.25,0,0,0
ARG,Cycling BMX Racing,0,0,2,0,0,0,0,0.013707599,0,0,0,4,4,103,4,0,0,0,0.019417476
ARG,Cycling Road,0,0,1,0,0,0,0,0.001911387,0,0,0,6,7,473,7,0,0,0,0.002114165
ARG,Equestrian,0,0,1,0,0,0.004501392,0,0.005798719,0,0,0,29,30,747,29,0,0,0,0.001338688
ARG,Fencing,0,0,1,0,0,0,0,0.067696797,0,0,0,626,654,9635,643,0,0,0,0.000103788
ARG,Football,0,0,18,0,0,0,0,0.504033218,0,0,0,626,601,6079,600,0,0,0,0.002961013
ARG,Golf,0,0,2,0,0,0,0,0.005325472,0,0,0,20,19,429,19,0,0,0,0.004662005
ARG,Handball,0,0,15,0,0,0.003373572,0,0.018276435,0,0,0,414,412,3172,421,0,0,0,0.004728878
ARG,Hockey,16,0,18,0,16,1.709852166,0,0.607774917,2,19,0,580,589,4526,569,0,0,0.027586207,0.003977022
ARG,Judo,0,0,1,0,0,0.123613999,0,0.027483104,1,0,1,374,190,4122,190,0,0,0,0.000242601
ARG,Modern Pentathlon,0,0,1,0,0,0,0,0.007001626,0,0,0,66,66,1623,66,0,0,0,0.000616143
ARG,Rowing,0,0,4,0,0,0.002248224,0,0.058445889,0,0,0,1086,1074,8392,1073,0,0,0,0.000476644
ARG,Rugby Sevens,0,0,14,0,0,1.03976283,0,0.285475311,0,0,13,76,76,698,78,0,0,0,0.020057307
ARG,Sailing,0,0,5,2,2,0.002250696,0,0.191926988,0,0,0,396,479,5947,444,0,0.004504505,0,0.00084076
ARG,Shooting,0,0,5,0,0,0.006747144,0,0.033491752,0,0,0,443,446,11244,447,0,0,0,0.000444682
ARG,Skateboarding,0,0,2,0,0,0,0,0,,,,8,8,144,8,0,0,0,0.013888889
ARG,Swimming,0,0,5,0,0,0.00449892,0,0.059471901,0,0,0,1096,1241,22946,1133,0,0,0,0.000217903
ARG,Table Tennis,0,0,1,0,0,0,0,0.0048923,0,0,0,80,74,2252,74,0,0,0,0.00044405
ARG,Taekwondo,0,0,1,0,0,0,0,0.050093026,0,0,0,96,56,662,56,0,0,0,0.001510574
ARG,Tennis,0,0,15,0,0,0.004501392,0,0.077873083,0,0,0,144,122,3058,122,0,0,0,0.004905167
ARG,Triathlon,0,0,1,0,0,0,0,0.005196214,0,0,0,19,19,765,19,0,0,0,0.00130719
ARG,Volleyball,0,0,13,0,0,0.959852236,0,0.238162493,0,0,12,375,372,2884,372,0,0,0,0.004507628
ARM,Artistic Gymnastics,0,0,3,1,1,0.079989894,0,0.315433454,0,0,1,44,42,2169,42,0,0.023809524,0,0.001383126
ARM,Athletics,0,0,1,0,0,0.001125348,0,0.024520182,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
ARM,Boxing,0,0,1,0,0,0.079989894,0,0.147611313,0,0,1,493,278,5536,277,0,0,0,0.000180636
ARM,Shooting,0,0,1,0,0,0,0,0.014918425,0,0,0,443,446,11244,447,0,0,0,8.89E-05
ARM,Swimming,0,0,2,0,0,0.001125348,0,0.015922465,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
ARM,Weightlifting,0,0,2,1,1,0.164831348,0,0.362679151,0,2,0,240,241,3538,237,0,0.004219409,0,0.000565291
ARM,Wrestling,1,0,3,1,2,0.15954354,0,0.820992235,1,1,1,540,449,6294,451,0,0.002217295,0.001851852,0.000476644
ARU,Cycling BMX Racing,0,0,1,0,0,0,0,0,,,,4,4,103,4,0,0,0,0.009708738
ARU,Sailing,0,0,2,0,0,0,0,0,,,,396,479,5947,444,0,0,0,0.000336304
ARU,Shooting,0,0,1,0,0,0,0,0,0,0,0,443,446,11244,447,0,0,0,8.89E-05
ARU,Swimming,0,0,3,0,0,0.003373572,0,0.247397105,0,0,0,1096,1241,22946,1133,0,0,0,0.000130742
ASA,Athletics,0,0,1,0,0,0,0,0.448214099,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
ASA,Swimming,0,0,1,0,0,0,0,0.269569569,0,0,0,1096,1241,22946,1133,0,0,0,4.36E-05
AUS,3x3 Basketball,0,0,4,0,0,0,0,0,,,,16,16,80,16,0,0,0,0.05
AUS,"3x3 Basketball, Basketball",0,0,1,0,0,0,0,0,,,,0,0,1,0,0,0,0,1
AUS,Archery,0,0,4,0,0,0.165821,0,0.025802165,0,0,2,118,155,2433,140,0,0,0,0.001644061
AUS,Artistic Gymnastics,0,0,40,0,0,0.010098504,0,0.007616028,0,0,0,44,42,2169,42,0,0,0,0.018441678
AUS,Artistic Swimming,0,0,11,0,0,0.002250696,0,0.015575974,0,0,0,21,21,194,21,0,0,0,0.056701031
AUS,Athletics,5,1,82,2,8,0.280954183,0,0.212830794,0,1,2,1452,1500,38865,1477,0.000666667,0.001354096,0.003443526,0.002109867
AUS,Badminton,0,0,3,0,0,0.001125348,0,0.010403949,0,0,0,76,70,1600,70,0,0,0,0.001875
AUS,Basketball,11,0,12,0,11,1.04432589,0,0.178641438,0,0,13,403,413,3888,407,0,0,0.027295285,0.00308642
AUS,Beach Volleyball,0,0,6,0,0,0.172290252,0,0.047628516,0,2,0,32,32,660,32,0,0,0,0.009090909
AUS,Boxing,2,0,10,0,2,0.079981078,0,0.029020959,0,0,1,493,278,5536,277,0,0,0.004056795,0.001806358
AUS,Breaking,0,0,2,0,0,0,0,0,,,,2,2,27,2,0,0,0,0.074074074
AUS,Canoe Slalom,0,3,5,0,3,0.12020334,0,0.185562955,1,0,1,10,10,226,10,0.3,0,0,0.022123894
AUS,Canoe Sprint,2,0,8,4,6,0.170185158,0,0.080426419,2,0,0,44,42,628,42,0,0.095238095,0.045454545,0.012738854
AUS,Cycling BMX Freestyle,1,0,1,0,1,0.080581957,0,0.171932279,1,0,0,4,4,30,4,0,0,0.25,0.033333333
AUS,Cycling BMX Racing,0,1,2,0,1,0,0,0.097876826,0,0,0,4,4,103,4,0.25,0,0,0.019417476
AUS,Cycling Mountain Bike,0,0,1,0,0,0,0,0.003845398,0,0,0,4,3,133,4,0,0,0,0.007518797
AUS,Cycling Road,0,1,7,0,1,0.003376044,0,0.040935322,0,0,1,6,7,473,7,0.142857143,0,0,0.014799154
AUS,Cycling Track,5,5,25,2,12,0.40444396,0,0.090543303,0,0,6,56,56,710,56,0.089285714,0.035714286,0.089285714,0.035211268
AUS,Diving,0,0,10,1,1,0.20309091,0,0.060996981,0,1,2,167,166,2694,166,0,0.006024096,0,0.003711952
AUS,Equestrian,0,0,21,1,1,0.387081887,0,0.079175946,0,4,1,29,30,747,29,0,0.034482759,0,0.02811245
AUS,Football,0,0,19,0,0,0.010128132,0,0.027876803,0,0,0,626,601,6079,600,0,0,0,0.003125514
AUS,Golf,0,0,4,0,0,0.001125348,0,0.004768376,0,0,0,20,19,429,19,0,0,0,0.009324009
AUS,Hockey,0,0,35,0,0,1.55507072,0,0.379333603,0,18,0,580,589,4526,569,0,0,0,0.007733098
AUS,Judo,0,0,3,0,0,0.002250696,0,0.015466141,0,0,0,374,190,4122,190,0,0,0,0.000727802
AUS,Marathon Swimming,0,0,3,0,0,0.079981078,0,0.077438856,0,0,1,2,4,81,2,0,0,0,0.037037037
AUS,"Marathon Swimming, Swimming",0,0,2,0,0,0,0,0,,,,0,0,52,0,0,0,0,0.038461538
AUS,Modern Pentathlon,0,0,1,0,0,0.001125348,0,0.014680378,0,0,0,66,66,1623,66,0,0,0,0.000616143
AUS,Rhythmic Gymnastics,0,0,6,0,0,0,0,0.004711091,0,0,0,56,56,680,56,0,0,0,0.008823529
AUS,Rowing,2,0,36,0,2,1.462998949,0,0.28647175,8,3,8,1086,1074,8392,1073,0,0,0.001841621,0.0042898
AUS,Rugby Sevens,0,0,25,0,0,0.406331979,0,0.102183618,5,0,0,76,76,698,78,0,0,0,0.035816619
AUS,Sailing,0,1,10,1,2,0.526074648,0,0.143677054,4,3,0,396,479,5947,444,0.002087683,0.002252252,0,0.00168152
AUS,Shooting,1,0,14,0,1,0.040325247,0,0.044462843,0,0,0,443,446,11244,447,0,0,0.002257336,0.001245109
AUS,Skateboarding,0,2,7,0,2,0.080581957,0,0.123851317,1,0,0,8,8,144,8,0.25,0,0,0.048611111
AUS,Sport Climbing,0,0,2,0,0,0,0,0.006939648,0,0,0,6,6,90,6,0,0,0,0.022222222
AUS,Surfing,0,0,3,1,1,0.079981078,0,0.093917649,0,0,1,4,4,76,4,0,0.25,0,0.039473684
AUS,Swimming,15,17,52,19,51,4.455950193,0,0.704548672,27,10,35,1096,1241,22946,1133,0.01369863,0.016769638,0.013686131,0.00226619
AUS,Table Tennis,0,0,12,0,0,0.014604819,0,0.013840588,0,0,0,80,74,2252,74,0,0,0,0.005328597
AUS,Taekwondo,0,0,3,0,0,0.002248224,0,0.032358126,0,0,0,96,56,662,56,0,0,0,0.004531722
AUS,Tennis,0,2,13,0,2,0.176801482,0,0.046824004,0,0,2,144,122,3058,122,0.016393443,0,0,0.004251145
AUS,Trampoline Gymnastics,0,0,1,0,0,0,0,0.008802693,0,0,0,4,4,52,4,0,0,0,0.019230769
AUS,Triathlon,0,0,4,0,0,0.00899784,0,0.040662338,0,0,0,19,19,765,19,0,0,0,0.005228758
AUS,Water Polo,0,0,13,13,13,0.172451144,0,0.110243732,0,0,2,412,402,3205,399,0,0.032581454,0,0.004056162
AUS,Weightlifting,0,0,3,0,0,0,0,0.019883449,0,0,0,240,241,3538,237,0,0,0,0.000847937
AUS,Wrestling,0,0,2,0,0,0,0,0.017457053,0,0,0,540,449,6294,451,0,0,0,0.000317763
AUT,Archery,0,0,1,0,0,0,0,0,,,,118,155,2433,140,0,0,0,0.000411015
AUT,Artistic Gymnastics,0,0,6,0,0,0.004486578,0,0.003219516,0,0,0,44,42,2169,42,0,0,0,0.002766252
AUT,Artistic Swimming,0,0,2,0,0,0,0,0.006689693,0,0,0,21,21,194,21,0,0,0,0.010309278
AUT,Athletics,0,0,7,0,0,0.082229302,0,0.148747408,0,0,1,1452,1500,38865,1477,0,0,0,0.000180111
AUT,Badminton,0,0,1,0,0,0,0,0.003538412,0,0,0,76,70,1600,70,0,0,0,0.000625
AUT,Beach Volleyball,0,0,2,0,0,0,0,0,,,,32,32,660,32,0,0,0,0.003030303
AUT,Canoe Slalom,0,0,6,0,0,0,0,0.016063879,0,0,0,10,10,226,10,0,0,0,0.026548673
AUT,Cycling Mountain Bike,0,0,3,0,0,0,0,0.015740668,0,0,0,4,3,133,4,0,0,0,0.022556391
AUT,Cycling Road,0,0,7,0,0,0.081707305,0,0.257024335,1,0,0,6,7,473,7,0,0,0,0.014799154
AUT,Cycling Track,0,0,3,0,0,0.002250696,0,0.004071879,0,0,0,56,56,710,56,0,0,0,0.004225352
AUT,Diving,0,0,1,0,0,0,0,0,,,,167,166,2694,166,0,0,0,0.000371195
AUT,Equestrian,0,0,17,0,0,0.003376044,0,0.015064528,0,0,0,29,30,747,29,0,0,0,0.022757697
AUT,Golf,0,0,3,0,0,0.001125348,0,0.007323874,0,0,0,20,19,429,19,0,0,0,0.006993007
AUT,Judo,1,0,11,0,1,0.170615891,0,0.170766431,0,1,1,374,190,4122,190,0,0,0.002673797,0.002668607
AUT,Marathon Swimming,0,0,1,0,0,0,0,0,,,,2,4,81,2,0,0,0,0.012345679
AUT,"Marathon Swimming, Swimming",0,0,4,0,0,0,0,0,,,,0,0,52,0,0,0,0,0.076923077
AUT,Rowing,0,0,3,0,0,0.079989894,0,0.149627493,0,0,1,1086,1074,8392,1073,0,0,0,0.000357483
AUT,Sailing,0,3,6,0,3,0.159979788,0,0.332936348,0,0,2,396,479,5947,444,0.006263048,0,0,0.001008912
AUT,Shooting,0,0,10,0,0,0.001125348,0,0.135191235,0,0,0,443,446,11244,447,0,0,0,0.000889363
AUT,Sport Climbing,2,0,0,0,2,0.079981078,0,0.411099434,0,0,1,6,6,90,6,0,0,0.333333333,0
AUT,Swimming,0,0,11,0,0,0.00787002,0,0.235965729,0,0,0,1096,1241,22946,1133,0,0,0,0.000479386
AUT,Table Tennis,0,0,2,0,0,0.024604936,0,0.021791064,0,0,0,80,74,2252,74,0,0,0,0.000888099
AUT,Taekwondo,0,0,1,0,0,0,0,0,,,,96,56,662,56,0,0,0,0.001510574
AUT,Tennis,0,0,2,0,0,0.001125348,0,0.066055659,0,0,0,144,122,3058,122,0,0,0,0.000654022
AUT,Trampoline Gymnastics,0,0,1,0,0,0,0,0,,,,4,4,52,4,0,0,0,0.019230769
AUT,Triathlon,0,0,4,0,0,0.006747144,0,0.143506978,0,0,0,19,19,765,19,0,0,0,0.005228758
AZE,3x3 Basketball,0,0,4,0,0,0,0,0,,,,16,16,80,16,0,0,0,0.05
AZE,Archery,0,0,1,0,0,0,0,0,,,,118,155,2433,140,0,0,0,0.000411015
AZE,Athletics,0,0,1,0,0,0.001125348,0,0.027469361,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
AZE,Badminton,0,0,2,0,0,0,0,0.004812725,0,0,0,76,70,1600,70,0,0,0,0.00125
AZE,Boxing,0,0,4,1,1,0.079981078,0,0.278393995,0,0,1,493,278,5536,277,0,0.003610108,0,0.000722543
AZE,Fencing,0,0,1,0,0,0,0,0.006121458,0,0,0,626,654,9635,643,0,0,0,0.000103788
AZE,Judo,0,2,7,0,2,0.079981078,0,0.350340596,0,0,1,374,190,4122,190,0.010526316,0,0,0.001698205
AZE,Rhythmic Gymnastics,0,0,6,0,0,0,0,0.081339649,0,0,0,56,56,680,56,0,0,0,0.008823529
AZE,Rowing,0,0,1,0,0,0,0,0,,,,1086,1074,8392,1073,0,0,0,0.000119161
AZE,Shooting,0,0,2,0,0,0.003368633,0,0.223370257,0,0,0,443,446,11244,447,0,0,0,0.000177873
AZE,Swimming,0,0,2,0,0,0,0,0.016898954,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
AZE,Taekwondo,0,0,0,1,1,0,0,0.330224048,0,0,0,96,56,662,56,0,0.017857143,0,0
AZE,Trampoline Gymnastics,0,0,1,0,0,0,0,0,,,,4,4,52,4,0,0,0,0.019230769
AZE,Triathlon,0,0,1,0,0,0.001125348,0,0.010578499,0,0,0,19,19,765,19,0,0,0,0.00130719
AZE,Wrestling,3,0,9,0,3,0.400338836,0,0.654541888,0,3,3,540,449,6294,451,0,0,0.005555556,0.001429933
BAH,Athletics,0,0,19,0,0,0.298804765,0,0.991205687,2,0,2,1452,1500,38865,1477,0,0,0,0.000488872
BAH,Swimming,0,0,2,0,0,0.005611926,0,0.040945649,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
BAN,Archery,0,0,1,0,0,0.002250696,0,0.468545612,0,0,0,118,155,2433,140,0,0,0,0.000411015
BAN,Athletics,0,0,1,0,0,0,0,0.66845925,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
BAN,Shooting,0,0,1,0,0,0,0,0.304390668,0,0,0,443,446,11244,447,0,0,0,8.89E-05
BAN,Swimming,0,0,2,0,0,0,0,0.455403921,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
BAR,Athletics,0,0,2,0,0,0.001125348,0,1,0,0,0,1452,1500,38865,1477,0,0,0,5.15E-05
BAR,Swimming,0,0,1,0,0,0.002248224,0,0.052583909,0,0,0,1096,1241,22946,1133,0,0,0,4.36E-05
BAR,Triathlon,0,0,1,0,0,0,0,0,,,,19,19,765,19,0,0,0,0.00130719
BDI,Athletics,0,0,5,0,0,0.089572166,0,1,0,1,0,1452,1500,38865,1477,0,0,0,0.00012865
BDI,Judo,0,0,1,0,0,0,0,0,,,,374,190,4122,190,0,0,0,0.000242601
BDI,Swimming,0,0,2,0,0,0,0,0.041932617,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
BEL,Artistic Gymnastics,0,0,22,0,0,0.097571798,0,0.032312113,1,0,0,44,42,2169,42,0,0,0,0.010142923
BEL,Athletics,1,1,57,1,3,0.25307994,0,0.181229113,2,0,1,1452,1500,38865,1477,0.000666667,0.000677048,0.000688705,0.001466615
BEL,Badminton,0,0,2,0,0,0.002248224,0,0.002326439,0,0,0,76,70,1600,70,0,0,0,0.00125
BEL,Basketball,0,0,12,0,0,0,0,0.014917926,0,0,0,403,413,3888,407,0,0,0,0.00308642
BEL,Boxing,0,0,3,0,0,0,0,0,,,,493,278,5536,277,0,0,0,0.000541908
BEL,Canoe Sprint,0,0,5,0,0,0.002250696,0,0.005674688,0,0,0,44,42,628,42,0,0,0,0.007961783
BEL,Cycling BMX Racing,0,0,4,0,0,0,0,0,0,0,0,4,4,103,4,0,0,0,0.038834951
BEL,Cycling Mountain Bike,0,0,3,0,0,0,0,0,0,0,0,4,3,133,4,0,0,0,0.022556391
BEL,Cycling Road,1,2,6,0,3,0.088400116,0,0.142568639,0,1,0,6,7,473,7,0.285714286,0,0.166666667,0.012684989
BEL,"Cycling Road, Cycling Track",0,0,3,0,0,0,0,0,,,,0,0,30,0,0,0,0,0.1
BEL,Cycling Track,1,0,16,0,1,0.001125348,0,0.026305573,0,0,0,56,56,710,56,0,0,0.017857143,0.022535211
BEL,Equestrian,0,0,23,0,0,0.324460968,0,0.063362869,0,0,4,29,30,747,29,0,0,0,0.030789826
BEL,Fencing,0,0,1,0,0,0,0,0,,,,626,654,9635,643,0,0,0,0.000103788
BEL,Golf,0,0,3,0,0,0.001125348,0,0.008019541,0,0,0,20,19,429,19,0,0,0,0.006993007
BEL,Hockey,0,0,38,0,0,1.58476139,0,0.28988315,18,3,0,580,589,4526,569,0,0,0,0.008395935
BEL,Judo,1,0,3,0,1,0.081106426,0,0.137108071,0,0,1,374,190,4122,190,0,0,0.002673797,0.000727802
BEL,Rowing,0,0,3,0,0,0,0,0.228867455,0,0,0,1086,1074,8392,1073,0,0,0,0.000357483
BEL,Sailing,0,0,8,0,0,0,0,0.148315609,0,0,0,396,479,5947,444,0,0,0,0.001345216
BEL,Sport Climbing,0,0,1,0,0,0,0,0,,,,6,6,90,6,0,0,0,0.011111111
BEL,Swimming,0,0,8,0,0,0.008973156,0,0.075495643,0,0,0,1096,1241,22946,1133,0,0,0,0.000348645
BEL,Table Tennis,0,0,2,0,0,0,0,0,,,,80,74,2252,74,0,0,0,0.000888099
BEL,Taekwondo,1,0,0,0,1,0.001125348,0,0.085088277,0,0,0,96,56,662,56,0,0,0.010416667,0
BEL,Tennis,0,0,3,0,0,0.002250696,0,0.037078886,0,0,0,144,122,3058,122,0,0,0,0.000981033
BEL,Triathlon,0,0,4,0,0,0.005624268,0,0.013536184,0,0,0,19,19,765,19,0,0,0,0.005228758
BEL,Weightlifting,0,0,1,0,0,0,0,0.059502951,0,0,0,240,241,3538,237,0,0,0,0.000282646
BEN,Athletics,0,0,2,0,0,0.002250696,0,0.825859805,0,0,0,1452,1500,38865,1477,0,0,0,5.15E-05
BEN,Judo,0,0,1,0,0,0,0,0.166040516,0,0,0,374,190,4122,190,0,0,0,0.000242601
BEN,Swimming,0,0,2,0,0,0,0,0.209319061,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
BER,Athletics,0,0,1,0,0,0,0,0,,,,1452,1500,38865,1477,0,0,0,2.57E-05
BER,Rowing,0,0,1,0,0,0,0,0.003641124,0,0,0,1086,1074,8392,1073,0,0,0,0.000119161
BER,Sailing,0,0,1,0,0,0,0,0,,,,396,479,5947,444,0,0,0,0.000168152
BER,Swimming,0,0,2,0,0,0,0,0,,,,1096,1241,22946,1133,0,0,0,8.72E-05
BER,Triathlon,0,0,3,0,0,0.080650937,0,0.51221261,1,0,0,19,19,765,19,0,0,0,0.003921569
BHU,Archery,0,0,1,0,0,0,0,1,0,0,0,118,155,2433,140,0,0,0,0.000411015
BHU,Athletics,0,0,1,0,0,0,0,0,,,,1452,1500,38865,1477,0,0,0,2.57E-05
BHU,Swimming,0,0,1,0,0,0,0,0.016147596,0,0,0,1096,1241,22946,1133,0,0,0,4.36E-05
BIH,Athletics,0,0,1,0,0,0.002250696,0,0.717020423,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
BIH,Judo,0,0,2,0,0,0,0,0.489603972,0,0,0,374,190,4122,190,0,0,0,0.000485201
BIH,Swimming,0,0,3,0,0,0.001125348,0,0.706963849,0,0,0,1096,1241,22946,1133,0,0,0,0.000130742
BIZ,Athletics,0,0,1,0,0,0,0,0.813362721,0,0,0,1452,1500,38865,1477,0,0,0,2.57E-05
BOL,Athletics,0,0,2,0,0,0,0,0.920546126,0,0,0,1452,1500,38865,1477,0,0,0,5.15E-05
BOL,Swimming,0,0,2,0,0,0,0,0.618709917,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
BOT,Athletics,0,1,10,6,7,0.570674011,0,1,0,1,6,1452,1500,38865,1477,0.000666667,0.004062288,0,0.000257301
BOT,Swimming,0,0,2,0,0,0.001125348,0,0.015346392,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
BRA,Archery,0,0,4,0,0,0.004493981,0,0.006231082,0,0,0,118,155,2433,140,0,0,0,0.001644061
BRA,Artistic Gymnastics,5,1,35,2,8,0.161183234,0,0.085214874,1,1,0,44,42,2169,42,0.023809524,0.047619048,0.113636364,0.016136468
BRA,Athletics,1,0,54,1,2,0.191415137,0,0.159619288,0,0,2,1452,1500,38865,1477,0,0.000677048,0.000688705,0.001389425
BRA,Badminton,0,0,2,0,0,0,0,0.001429719,0,0,0,76,70,1600,70,0,0,0,0.00125
BRA,Basketball,0,0,12,0,0,0,0,0.271997023,0,0,0,403,413,3888,407,0,0,0,0.00308642
BRA,Beach Volleyball,0,2,6,0,2,0.1253357,0,0.29556762,1,1,0,32,32,660,32,0.0625,0,0,0.009090909
