NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,TOPSIS_Score_Sum,Host,Sport_topsis_score,Unnamed: 10,Unnamed: 11,TOPSIS_Product
ALG,Judo,0,0,3,0,0,0.002248224,0,0.31150285,,,0.0007003281834384001
ALG,Rowing,0,0,2,0,0,1e-10,0,0.007289997,,,7.289997000000001e-13
ALG,Sailing,0,0,1,0,0,0.001125348,0,0.002838911,,,3.194762816028e-06
ALG,Shooting,0,0,3,0,0,1e-10,0,0.002772621,,,2.7726209999999997e-13
ALG,Swimming,0,0,2,0,0,0.004493981,0,0.023474399,,,0.000105493503092419
ALG,Table Tennis,0,0,2,0,0,1e-10,0,0.010591497,,,1.0591497e-12
ALG,Weightlifting,0,0,1,0,0,0.002248224,0,0.013425876,,,3.0184376644224e-05
ALG,Wrestling,0,0,8,0,0,0.001125348,0,0.019823481,,,2.2308314696388e-05
AND,Athletics,0,0,1,0,0,1e-10,0,0.094743629,,,9.4743629e-12
AND,Canoe Slalom,0,0,3,0,0,0.001125348,0,0.931423193,,,0.001048175227396164
ANG,Athletics,0,0,1,0,0,1e-10,0,0.14538821,,,1.4538821e-11
ANG,Canoe Sprint,0,0,3,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
ANG,Handball,0,0,15,0,0,0.013489349,0,1.0,,,0.013489349
ANG,Judo,0,0,1,0,0,1e-10,0,0.122212275,,,1.22212275e-11
ANG,Rowing,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
ANG,Sailing,0,0,3,0,0,0.001125348,0,0.062527862,,,7.0365604445976e-05
ANG,Swimming,0,0,2,0,0,0.003368633,0,0.224899813,,,0.000757604931765629
ANT,Athletics,0,0,2,0,0,0.002248224,0,1.0,,,0.002248224
ANT,Sailing,0,0,1,0,0,1e-10,0,0.127282115,,,1.2728211500000001e-11
ANT,Swimming,0,0,2,0,0,0.001125348,0,0.070935187,,,7.9826770820076e-05
ARG,Archery,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
ARG,Athletics,0,0,6,0,0,1e-10,0,0.069094627,,,6.909462700000001e-12
ARG,Canoe Sprint,0,0,2,0,0,0.001125348,0,0.004144335,,,4.6638191035799995e-06
ARG,Cycling BMX Freestyle,0,1,0,0,1,1e-10,0,1e-10,,,1.0000000000000001e-20
ARG,Cycling BMX Racing,0,0,2,0,0,1e-10,0,0.013707599,,,1.3707599e-12
ARG,Cycling Road,0,0,1,0,0,1e-10,0,0.001911387,,,1.9113870000000001e-13
ARG,Equestrian,0,0,1,0,0,0.004501392,0,0.005798719,,,2.6102307316848e-05
ARG,Fencing,0,0,1,0,0,1e-10,0,0.067696797,,,6.7696797000000005e-12
ARG,Football,0,0,18,0,0,1e-10,0,0.504033218,,,5.04033218e-11
ARG,Golf,0,0,2,0,0,1e-10,0,0.005325472,,,5.325472000000001e-13
ARG,Handball,0,0,15,0,0,0.003373572,0,0.018276435,,,6.165686937582e-05
ARG,Hockey,16,0,18,0,16,1.709852166,0,0.607774917,,,1.03920525827292
ARG,Judo,0,0,1,0,0,0.123613999,0,0.027483104,,,0.003397296390372896
ARG,Modern Pentathlon,0,0,1,0,0,1e-10,0,0.007001626,,,7.001626000000001e-13
ARG,Rowing,0,0,4,0,0,0.002248224,0,0.058445889,,,0.000131399450351136
ARG,Rugby Sevens,0,0,14,0,0,1.03976283,0,0.285475311,,,0.2968266172604901
ARG,Sailing,0,0,5,2,2,0.002250696,0,0.191926988,,,0.000431969304183648
ARG,Shooting,0,0,5,0,0,0.006747144,0,0.033491752,,,0.000225973673556288
ARG,Skateboarding,0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
ARG,Swimming,0,0,5,0,0,0.00449892,0,0.059471901,,,0.00026755932484692
ARG,Table Tennis,0,0,1,0,0,1e-10,0,0.0048923,,,4.8923e-13
ARG,Taekwondo,0,0,1,0,0,1e-10,0,0.050093026,,,5.0093026e-12
ARG,Tennis,0,0,15,0,0,0.004501392,0,0.077873083,,,0.00035053727283153595
ARG,Triathlon,0,0,1,0,0,1e-10,0,0.005196214,,,5.196214000000001e-13
ARG,Volleyball,0,0,13,0,0,0.959852236,0,0.238162493,,,0.22860080143738434
ARM,Artistic Gymnastics,0,0,3,1,1,0.079989894,0,0.315433454,,,0.02523148854951388
ARM,Athletics,0,0,1,0,0,0.001125348,0,0.024520182,,,2.7593737773336e-05
ARM,Boxing,0,0,1,0,0,0.079989894,0,0.147611313,,,0.011807413280070822
ARM,Shooting,0,0,1,0,0,1e-10,0,0.014918425,,,1.4918425e-12
ARM,Swimming,0,0,2,0,0,0.001125348,0,0.015922465,,,1.791831414282e-05
ARM,Weightlifting,0,0,2,1,1,0.164831348,0,0.362679151,,,0.05978089335082554
ARM,Wrestling,1,0,3,1,2,0.15954354,0,0.820992235,,,0.1309840074844119
ARU,Cycling BMX Racing,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
ARU,Sailing,0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
ARU,Shooting,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
ARU,Swimming,0,0,3,0,0,0.003373572,0,0.247397105,,,0.00083461194630906
ASA,Athletics,0,0,1,0,0,1e-10,0,0.448214099,,,4.4821409899999996e-11
ASA,Swimming,0,0,1,0,0,1e-10,0,0.269569569,,,2.69569569e-11
AUS,3x3 Basketball,0,0,4,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AUS,"3x3 Basketball, Basketball",0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AUS,Archery,0,0,4,0,0,0.165821,0,0.025802165,,,0.004278540802465
AUS,Artistic Gymnastics,0,0,40,0,0,0.010098504,0,0.007616028,,,7.691048922211199e-05
AUS,Artistic Swimming,0,0,11,0,0,0.002250696,0,0.015575974,,,3.5056782377904e-05
AUS,Athletics,5,1,82,2,8,0.280954183,0,0.212830794,,,0.059795701845511307
AUS,Badminton,0,0,3,0,0,0.001125348,0,0.010403949,,,1.1708063199251998e-05
AUS,Basketball,11,0,12,0,11,1.04432589,0,0.178641438,,,0.18655987873022986
AUS,Beach Volleyball,0,0,6,0,0,0.172290252,0,0.047628516,,,0.008205929024026032
AUS,Boxing,2,0,10,0,2,0.079981078,0,0.029020959,,,0.0023211275854138017
AUS,Breaking,0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AUS,Canoe Slalom,0,3,5,0,3,0.12020334,0,0.185562955,,,0.0223052869712697
AUS,Canoe Sprint,2,0,8,4,6,0.170185158,0,0.080426419,,,0.013687382824889202
AUS,Cycling BMX Freestyle,1,0,1,0,1,0.080581957,0,0.171932279,,,0.013854639513290001
AUS,Cycling BMX Racing,0,1,2,0,1,1e-10,0,0.097876826,,,9.787682600000001e-12
AUS,Cycling Mountain Bike,0,0,1,0,0,1e-10,0,0.003845398,,,3.845398e-13
AUS,Cycling Road,0,1,7,0,1,0.003376044,0,0.040935322,,,0.000138199448226168
AUS,Cycling Track,5,5,25,2,12,0.40444396,0,0.090543303,,,0.03661969201679988
AUS,Diving,0,0,10,1,1,0.20309091,0,0.060996981,,,0.01238793237854271
AUS,Equestrian,0,0,21,1,1,0.387081887,0,0.079175946,,,0.0306475745826901
AUS,Football,0,0,19,0,0,0.010128132,0,0.027876803,,,0.000282339940521996
AUS,Golf,0,0,4,0,0,0.001125348,0,0.004768376,,,5.366082394848001e-06
AUS,Hockey,0,0,35,0,0,1.55507072,0,0.379333603,,,0.5898905791374042
AUS,Judo,0,0,3,0,0,0.002250696,0,0.015466141,,,3.4809581684136e-05
AUS,Marathon Swimming,0,0,3,0,0,0.079981078,0,0.077438856,,,0.006193643181966768
AUS,"Marathon Swimming, Swimming",0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AUS,Modern Pentathlon,0,0,1,0,0,0.001125348,0,0.014680378,,,1.6520534021544e-05
AUS,Rhythmic Gymnastics,0,0,6,0,0,1e-10,0,0.004711091,,,4.711091e-13
AUS,Rowing,2,0,36,0,2,1.462998949,0,0.28647175,,,0.41910786916819076
AUS,Rugby Sevens,0,0,25,0,0,0.406331979,0,0.102183618,,,0.041520471723320025
AUS,Sailing,0,1,10,1,2,0.526074648,0,0.143677054,,,0.07558485560872699
AUS,Shooting,1,0,14,0,1,0.040325247,0,0.044462843,,,0.0017929751262972212
AUS,Skateboarding,0,2,7,0,2,0.080581957,0,0.123851317,,,0.00998018150088737
AUS,Sport Climbing,0,0,2,0,0,1e-10,0,0.006939648,,,6.939647999999999e-13
AUS,Surfing,0,0,3,1,1,0.079981078,0,0.093917649,,,0.007511634810245622
AUS,Swimming,15,17,52,19,51,4.455950193,0,0.704548672,,,3.1394337909762937
AUS,Table Tennis,0,0,12,0,0,0.014604819,0,0.013840588,,,0.000202139282593572
AUS,Taekwondo,0,0,3,0,0,0.002248224,0,0.032358126,,,7.2748315468224e-05
AUS,Tennis,0,2,13,0,2,0.176801482,0,0.046824004,,,0.008278553300373928
AUS,Trampoline Gymnastics,0,0,1,0,0,1e-10,0,0.008802693,,,8.802693e-13
AUS,Triathlon,0,0,4,0,0,0.00899784,0,0.040662338,,,0.00036587321134992
AUS,Water Polo,0,0,13,13,13,0.172451144,0,0.110243732,,,0.019011657702229408
AUS,Weightlifting,0,0,3,0,0,1e-10,0,0.019883449,,,1.9883449e-12
AUS,Wrestling,0,0,2,0,0,1e-10,0,0.017457053,,,1.7457053000000002e-12
AUT,Archery,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AUT,Artistic Gymnastics,0,0,6,0,0,0.004486578,0,0.003219516,,,1.4444609656247999e-05
AUT,Artistic Swimming,0,0,2,0,0,1e-10,0,0.006689693,,,6.689693e-13
AUT,Athletics,0,0,7,0,0,0.082229302,0,0.148747408,,,0.012231395534149217
AUT,Badminton,0,0,1,0,0,1e-10,0,0.003538412,,,3.538412e-13
AUT,Beach Volleyball,0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AUT,Canoe Slalom,0,0,6,0,0,1e-10,0,0.016063879,,,1.6063879e-12
AUT,Cycling Mountain Bike,0,0,3,0,0,1e-10,0,0.015740668,,,1.5740668e-12
AUT,Cycling Road,0,0,7,0,0,0.081707305,0,0.257024335,,,0.02100076573226717
AUT,Cycling Track,0,0,3,0,0,0.002250696,0,0.004071879,,,9.164561777784e-06
AUT,Diving,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AUT,Equestrian,0,0,17,0,0,0.003376044,0,0.015064528,,,5.0858509367232e-05
AUT,Golf,0,0,3,0,0,0.001125348,0,0.007323874,,,8.241906958152e-06
AUT,Judo,1,0,11,0,1,0.170615891,0,0.170766431,,,0.02913546677795502
AUT,Marathon Swimming,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AUT,"Marathon Swimming, Swimming",0,0,4,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AUT,Rowing,0,0,3,0,0,0.079989894,0,0.149627493,,,0.011968687304555742
AUT,Sailing,0,3,6,0,3,0.159979788,0,0.332936348,,,0.05326308637053423
AUT,Shooting,0,0,10,0,0,0.001125348,0,0.135191235,,,0.00015213718592478
AUT,Sport Climbing,2,0,0,0,2,0.079981078,0,0.411099434,,,0.03288017589650985
AUT,Swimming,0,0,11,0,0,0.00787002,0,0.235965729,,,0.0018570550065445802
AUT,Table Tennis,0,0,2,0,0,0.024604936,0,0.021791064,,,0.000536167735091904
AUT,Taekwondo,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AUT,Tennis,0,0,2,0,0,0.001125348,0,0.066055659,,,7.4335603744332e-05
AUT,Trampoline Gymnastics,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AUT,Triathlon,0,0,4,0,0,0.006747144,0,0.143506978,,,0.000968262245570832
AZE,3x3 Basketball,0,0,4,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AZE,Archery,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AZE,Athletics,0,0,1,0,0,0.001125348,0,0.027469361,,,3.0912590462628e-05
AZE,Badminton,0,0,2,0,0,1e-10,0,0.004812725,,,4.812725000000001e-13
AZE,Boxing,0,0,4,1,1,0.079981078,0,0.278393995,,,0.02226625182882661
AZE,Fencing,0,0,1,0,0,1e-10,0,0.006121458,,,6.121458e-13
AZE,Judo,0,2,7,0,2,0.079981078,0,0.350340596,,,0.028020618535242486
AZE,Rhythmic Gymnastics,0,0,6,0,0,1e-10,0,0.081339649,,,8.1339649e-12
AZE,Rowing,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AZE,Shooting,0,0,2,0,0,0.003368633,0,0.223370257,,,0.0007524524189486809
AZE,Swimming,0,0,2,0,0,1e-10,0,0.016898954,,,1.6898954e-12
AZE,Taekwondo,0,0,0,1,1,1e-10,0,0.330224048,,,3.30224048e-11
AZE,Trampoline Gymnastics,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AZE,Triathlon,0,0,1,0,0,0.001125348,0,0.010578499,,,1.1904492692652e-05
AZE,Wrestling,3,0,9,0,3,0.400338836,0,0.654541888,,,0.2620385375551624
BAH,Athletics,0,0,19,0,0,0.298804765,0,0.991205687,,,0.29617698237069856
BAH,Swimming,0,0,2,0,0,0.005611926,0,0.040945649,,,0.000229783952209974
BAN,Archery,0,0,1,0,0,0.002250696,0,0.468545612,,,0.001054553734745952
BAN,Athletics,0,0,1,0,0,1e-10,0,0.66845925,,,6.6845925e-11
BAN,Shooting,0,0,1,0,0,1e-10,0,0.304390668,,,3.04390668e-11
BAN,Swimming,0,0,2,0,0,1e-10,0,0.455403921,,,4.55403921e-11
BAR,Athletics,0,0,2,0,0,0.001125348,0,1.0,,,0.001125348
BAR,Swimming,0,0,1,0,0,0.002248224,0,0.052583909,,,0.000118220406227616
BAR,Triathlon,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BDI,Athletics,0,0,5,0,0,0.089572166,0,1.0,,,0.089572166
BDI,Judo,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BDI,Swimming,0,0,2,0,0,1e-10,0,0.041932617,,,4.1932617e-12
BEL,Artistic Gymnastics,0,0,22,0,0,0.097571798,0,0.032312113,,,0.0031527509625891743
BEL,Athletics,1,1,57,1,3,0.25307994,0,0.181229113,,,0.04586545304429322
BEL,Badminton,0,0,2,0,0,0.002248224,0,0.002326439,,,5.230355994336e-06
BEL,Basketball,0,0,12,0,0,1e-10,0,0.014917926,,,1.4917926e-12
BEL,Boxing,0,0,3,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BEL,Canoe Sprint,0,0,5,0,0,0.002250696,0,0.005674688,,,1.2771997582848e-05
BEL,Cycling BMX Racing,0,0,4,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BEL,Cycling Mountain Bike,0,0,3,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BEL,Cycling Road,1,2,6,0,3,0.088400116,0,0.142568639,,,0.012603084225562123
BEL,"Cycling Road, Cycling Track",0,0,3,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BEL,Cycling Track,1,0,16,0,1,0.001125348,0,0.026305573,,,2.9602923964404e-05
BEL,Equestrian,0,0,23,0,0,0.324460968,0,0.063362869,,,0.020558777810997193
BEL,Fencing,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BEL,Golf,0,0,3,0,0,0.001125348,0,0.008019541,,,9.024774425268e-06
BEL,Hockey,0,0,38,0,0,1.58476139,0,0.28988315,,,0.45939562373157844
BEL,Judo,1,0,3,0,1,0.081106426,0,0.137108071,,,0.011120345614564245
BEL,Rowing,0,0,3,0,0,1e-10,0,0.228867455,,,2.28867455e-11
BEL,Sailing,0,0,8,0,0,1e-10,0,0.148315609,,,1.4831560899999998e-11
BEL,Sport Climbing,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BEL,Swimming,0,0,8,0,0,0.008973156,0,0.075495643,,,0.000677434181959308
BEL,Table Tennis,0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BEL,Taekwondo,1,0,0,0,1,0.001125348,0,0.085088277,,,9.5753922345396e-05
BEL,Tennis,0,0,3,0,0,0.002250696,0,0.037078886,,,8.3453300404656e-05
BEL,Triathlon,0,0,4,0,0,0.005624268,0,0.013536184,,,7.6131126513312e-05
BEL,Weightlifting,0,0,1,0,0,1e-10,0,0.059502951,,,5.9502951e-12
BEN,Athletics,0,0,2,0,0,0.002250696,0,0.825859805,,,0.00185875935967428
BEN,Judo,0,0,1,0,0,1e-10,0,0.166040516,,,1.66040516e-11
BEN,Swimming,0,0,2,0,0,1e-10,0,0.209319061,,,2.09319061e-11
BER,Athletics,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BER,Rowing,0,0,1,0,0,1e-10,0,0.003641124,,,3.641124e-13
BER,Sailing,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BER,Swimming,0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BER,Triathlon,0,0,3,0,0,0.080650937,0,0.51221261,,,0.04131042693971557
BHU,Archery,0,0,1,0,0,1e-10,0,1.0,,,1e-10
BHU,Athletics,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BHU,Swimming,0,0,1,0,0,1e-10,0,0.016147596,,,1.6147596e-12
BIH,Athletics,0,0,1,0,0,0.002250696,0,0.717020423,,,0.001613794997964408
BIH,Judo,0,0,2,0,0,1e-10,0,0.489603972,,,4.89603972e-11
BIH,Swimming,0,0,3,0,0,0.001125348,0,0.706963849,,,0.0007955803535444519
BIZ,Athletics,0,0,1,0,0,1e-10,0,0.813362721,,,8.13362721e-11
BOL,Athletics,0,0,2,0,0,1e-10,0,0.920546126,,,9.20546126e-11
BOL,Swimming,0,0,2,0,0,1e-10,0,0.618709917,,,6.18709917e-11
BOT,Athletics,0,1,10,6,7,0.570674011,0,1.0,,,0.570674011
BOT,Swimming,0,0,2,0,0,0.001125348,0,0.015346392,,,1.7270031544416e-05
BRA,Archery,0,0,4,0,0,0.004493981,0,0.006231082,,,2.8002364117442e-05
BRA,Artistic Gymnastics,5,1,35,2,8,0.161183234,0,0.085214874,,,0.013735208976222517
BRA,Athletics,1,0,54,1,2,0.191415137,0,0.159619288,,,0.030553547880362457
BRA,Badminton,0,0,2,0,0,1e-10,0,0.001429719,,,1.429719e-13
BRA,Basketball,0,0,12,0,0,1e-10,0,0.271997023,,,2.71997023e-11
BRA,Beach Volleyball,0,2,6,0,2,0.1253357,0,0.29556762,,,0.037045174550034
BRA,Boxing,1,0,9,0,1,0.246703867,0,0.071952902,,,0.017751059165272032
BRA,Canoe Slalom,0,0,6,0,0,0.001125348,0,0.01263114,,,1.421442813672e-05
BRA,Canoe Sprint,0,0,6,1,1,0.081716535,0,0.128140739,,,0.010471217183419366
BRA,Cycling BMX Freestyle,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BRA,Cycling BMX Racing,0,0,1,0,0,1e-10,0,0.00932085,,,9.32085e-13
BRA,Cycling Mountain Bike,0,0,2,0,0,1e-10,0,0.012414606,,,1.2414606e-12
BRA,Cycling Road,0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BRA,Diving,0,0,1,0,0,0.002248224,0,0.010683167,,,2.4018152445408e-05
BRA,Equestrian,0,0,17,0,0,0.009002784,0,0.015685258,,,0.000141210989758272
BRA,Fencing,0,0,3,0,0,0.005616857,0,0.017890878,,,0.000100490503330446
BRA,Football,0,0,0,22,22,1.945084718,0,0.713704545,,,1.3882158036466432
BRA,Handball,0,0,17,0,0,0.004501392,0,0.0370472,,,0.0001667639697024
BRA,Judo,11,1,10,1,13,0.251235297,0,0.213144133,,,0.05354932955806251
BRA,Marathon Swimming,0,0,2,0,0,0.080581957,0,0.300830189,,,0.024241485354299874
BRA,"Marathon Swimming, Swimming",0,0,5,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BRA,Modern Pentathlon,0,0,1,0,0,1e-10,0,0.028629052,,,2.8629052e-12
BRA,Rhythmic Gymnastics,0,0,6,0,0,1e-10,0,0.016840128,,,1.6840128e-12
BRA,Rowing,0,0,2,0,0,1e-10,0,0.025207143,,,2.5207143e-12
BRA,Rugby Sevens,0,0,14,0,0,0.003376044,0,0.021894514,,,7.3916842622616e-05
BRA,Sailing,0,0,12,0,0,0.678841921,0,0.197488794,,,0.13406367229493327
BRA,Shooting,0,0,4,0,0,1e-10,0,0.057603728,,,5.7603728e-12
BRA,Skateboarding,2,0,10,0,2,0.258422496,0,0.151486506,,,0.03914752099083897
BRA,Surfing,1,0,4,1,2,0.080581957,0,0.182052623,,,0.01467015663832321
BRA,Swimming,0,0,39,0,0,0.204897989,0,0.138196475,,,0.02831617981438878
BRA,Table Tennis,0,0,12,0,0,0.022423084,0,0.017804106,,,0.000399222964382904
BRA,Taekwondo,1,0,3,0,1,1e-10,0,0.122755328,,,1.22755328e-11
BRA,Tennis,0,0,10,0,0,0.165573035,0,0.033264897,,,0.0055077699552523954
BRA,Trampoline Gymnastics,0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BRA,Triathlon,0,0,4,0,0,1e-10,0,0.012628819,,,1.2628819e-12
BRA,Volleyball,13,0,13,0,13,1.151258071,0,0.646451105,,,0.7442320521381185
BRA,Weightlifting,0,0,2,0,0,1e-10,0,0.005619753,,,5.619753e-13
BRA,Wrestling,0,0,1,0,0,0.001125348,0,0.003001089,,,3.3772695039720002e-06
BRN,Athletics,0,1,7,1,2,0.089516876,0,0.570937427,,,0.051108534856518055
BRN,Judo,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BRN,Swimming,0,0,2,0,0,1e-10,0,0.022612003,,,2.2612003e-12
BRN,Weightlifting,1,0,1,0,1,1e-10,0,1e-10,,,1.0000000000000001e-20
BRN,Wrestling,0,1,0,0,1,1e-10,0,1e-10,,,1.0000000000000001e-20
BRU,Athletics,0,0,1,0,0,1e-10,0,0.646233634,,,6.46233634e-11
BRU,Swimming,0,0,2,0,0,1e-10,0,0.341284914,,,3.41284914e-11
BUL,Artistic Gymnastics,0,0,12,0,0,0.006715091,0,0.010386017,,,6.974304928254701e-05
BUL,Athletics,0,0,5,0,0,0.101827893,0,0.139240207,,,0.014178536899693853
BUL,Badminton,0,0,3,0,0,0.003376044,0,0.027228389,,,9.192423931311599e-05
BUL,Boxing,1,0,4,0,1,0.080581957,0,0.144499135,,,0.011644023083107195
BUL,Canoe Sprint,0,0,1,0,0,1e-10,0,0.002002945,,,2.002945e-13
BUL,Fencing,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BUL,Judo,0,0,2,0,0,0.002250696,0,0.043853242,,,9.8700316356432e-05
BUL,Modern Pentathlon,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BUL,Rhythmic Gymnastics,0,0,6,1,1,0.402909785,0,0.218754946,,,0.08813850826054662
BUL,Rowing,0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BUL,Shooting,0,0,5,0,0,0.087274768,0,0.118293788,,,0.010324062903541185
BUL,Swimming,0,0,6,0,0,0.00562674,0,0.041230243,,,0.00023199185749782
BUL,Taekwondo,1,0,0,0,1,1e-10,0,1e-10,,,1.0000000000000001e-20
BUL,Tennis,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
BUL,Weightlifting,1,1,1,0,2,1e-10,0,0.301073826,,,3.01073826e-11
BUL,Wrestling,0,2,4,0,2,0.159962156,0,0.384458483,,,0.06149880783316935
BUR,Athletics,0,0,2,0,0,0.083349711,0,0.939294826,,,0.07828995229089529
BUR,Cycling Road,0,0,1,0,0,1e-10,0,0.071443849,,,7.1443849e-12
BUR,Judo,0,0,1,0,0,1e-10,0,0.038739671,,,3.8739671e-12
BUR,Swimming,0,0,2,0,0,1e-10,0,0.037321822,,,3.7321822e-12
BUR,Taekwondo,0,0,2,0,0,1e-10,0,0.061506791,,,6.1506791e-12
CAF,Athletics,0,0,1,0,0,1e-10,0,0.519854924,,,5.19854924e-11
CAF,Judo,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
CAF,Swimming,0,0,2,0,0,1e-10,0,0.111541999,,,1.1154199900000001e-11
CAM,Athletics,0,0,1,0,0,1e-10,0,0.547888536,,,5.47888536e-11
CAM,Swimming,0,0,2,0,0,1e-10,0,0.754753263,,,7.54753263e-11
CAN,3x3 Basketball,0,0,4,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
CAN,Archery,0,0,4,0,0,0.006727411,0,0.007796127,,,5.2447750537197e-05
CAN,Artistic Gymnastics,0,0,76,0,0,0.029123343,0,0.0169896,,,0.0004947939482328
CAN,Artistic Swimming,0,0,11,0,0,0.002250696,0,0.017053083,,,3.8381305695768e-05
CAN,Athletics,1,8,55,1,10,1.216488403,0,0.362166367,,,0.4405711854121419
CAN,Badminton,0,0,4,0,0,1e-10,0,0.01242049,,,1.242049e-12
CAN,Basketball,0,0,24,0,0,0.006747144,0,0.065436684,,,0.00044151072983049594
