NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,Participation Count
AND,Shooting,0,0,12,0,0,12
AND,Swimming,0,0,10,0,0,10
ANG,Athletics,0,0,31,0,0,31
ANG,Basketball,0,0,71,0,0,71
ANG,Beach Volleyball,0,0,2,0,0,2
ANG,Boxing,0,0,7,0,0,7
ANG,Canoe Sprint,0,0,3,0,0,3
ANG,Canoeing,0,0,6,0,0,6
ANG,Handball,0,0,113,0,0,113
ANG,Judo,0,0,16,0,0,16
ANG,Rowing,0,0,3,0,0,3
ANG,Sailing,0,0,11,0,0,11
ANG,Shooting,0,0,3,0,0,3
ANG,Swimming,0,0,47,0,0,47
ANT,Athletics,0,0,100,0,0,100
ANT,Boxing,0,0,3,0,0,3
ANT,Canoeing,0,0,3,0,0,3
ANT,Cycling,0,0,17,0,0,17
ANT,Sailing,0,0,11,0,0,11
ANT,Swimming,0,0,10,0,0,10
ANZ,Athletics,1,0,21,0,1,22
ANZ,Boxing,0,0,0,1,1,1
ANZ,Diving,0,0,1,0,0,1
ANZ,Rowing,0,0,10,0,0,10
ANZ,Rugby,0,15,0,0,15,15
ANZ,Shooting,0,0,3,0,0,3
ANZ,Swimming,3,5,22,3,11,33
ANZ,Tennis,1,0,0,0,1,1
ARG,Archery,0,0,3,0,0,3
ARG,Art Competitions,0,0,2,0,0,2
ARG,Artistic Gymnastics,0,0,5,0,0,5
ARG,Athletics,0,2,253,3,5,258
ARG,Basketball,12,12,76,0,24,100
ARG,Beach Volleyball,0,0,18,0,0,18
ARG,Boxing,10,7,114,7,24,138
ARG,Canoe Slalom,0,0,1,0,0,1
ARG,Canoe Sprint,0,0,6,0,0,6
ARG,Canoeing,0,0,49,0,0,49
ARG,Cycling,0,2,177,0,2,179
ARG,Cycling BMX Freestyle,0,1,0,0,1,1
ARG,Cycling BMX Racing,0,0,3,0,0,3
ARG,Cycling Mountain Bike,0,0,1,0,0,1
ARG,Cycling Road,0,0,2,0,0,2
ARG,Diving,0,0,9,0,0,9
ARG,Equestrian,0,0,9,0,0,9
ARG,Equestrianism,0,0,155,1,1,156
ARG,Fencing,5,0,236,0,5,241
ARG,Figure Skating,0,0,1,0,0,1
ARG,Football,0,34,114,34,68,182
ARG,Golf,0,0,5,0,0,5
ARG,Gymnastics,0,0,133,0,0,133
ARG,Handball,0,0,75,0,0,75
ARG,Hockey,48,18,241,49,115,356
ARG,Judo,1,1,66,0,2,68
ARG,Marathon Swimming,0,0,1,0,0,1
ARG,Modern Pentathlon,0,0,20,0,0,20
ARG,Polo,0,9,0,0,9,9
ARG,Rowing,3,2,184,1,6,190
ARG,Rugby Sevens,13,0,27,0,13,40
ARG,Sailing,9,2,173,12,23,196
ARG,Shooting,0,0,131,1,1,132
ARG,Skateboarding,0,0,2,0,0,2
ARG,Surfing,0,0,1,0,0,1
ARG,Swimming,1,1,263,1,3,266
ARG,Synchronized Swimming,0,0,4,0,0,4
ARG,Table Tennis,0,0,17,0,0,17
ARG,Taekwondo,0,1,8,0,1,9
ARG,Tennis,5,0,108,2,7,115
ARG,Triathlon,0,0,8,0,0,8
ARG,Volleyball,24,0,107,0,24,131
ARG,Water Polo,0,0,28,0,0,28
ARG,Weightlifting,1,0,34,1,2,36
ARG,Wrestling,0,0,69,0,0,69
ARM,Artistic Gymnastics,1,0,4,1,2,6
ARM,Athletics,0,0,20,0,0,20
ARM,Boxing,2,0,20,0,2,22
ARM,Canoeing,0,0,2,0,0,2
ARM,Cycling,0,0,1,0,0,1
ARM,Diving,0,0,3,0,0,3
ARM,Gymnastics,0,0,20,0,0,20
ARM,Judo,0,0,9,0,0,9
ARM,Shooting,0,0,11,0,0,11
ARM,Swimming,0,0,13,0,0,13
ARM,Taekwondo,0,0,1,0,0,1
ARM,Tennis,0,0,3,0,0,3
ARM,Weightlifting,5,0,32,4,9,41
ARM,Wrestling,4,2,47,5,11,58
ARU,Athletics,0,0,9,0,0,9
ARU,Boxing,0,0,2,0,0,2
ARU,Cycling,0,0,3,0,0,3
ARU,Cycling BMX Racing,0,0,1,0,0,1
ARU,Fencing,0,0,2,0,0,2
ARU,Judo,0,0,5,0,0,5
ARU,Sailing,0,0,6,0,0,6
ARU,Shooting,0,0,2,0,0,2
ARU,Swimming,0,0,15,0,0,15
ARU,Synchronized Swimming,0,0,4,0,0,4
ARU,Taekwondo,0,0,1,0,0,1
ARU,Weightlifting,0,0,3,0,0,3
ASA,Archery,0,0,1,0,0,1
ASA,Athletics,0,0,13,0,0,13
ASA,Boxing,0,0,5,0,0,5
ASA,Judo,0,0,3,0,0,3
ASA,Sailing,0,0,4,0,0,4
ASA,Swimming,0,0,7,0,0,7
ASA,Weightlifting,0,0,8,0,0,8
ASA,Wrestling,0,0,2,0,0,2
AUS,3x3 Basketball,0,0,4,0,0,4
AUS,"3x3 Basketball, Basketball",0,0,1,0,0,1
AUS,Archery,4,1,81,0,5,86
AUS,Art Competitions,0,0,3,0,0,3
AUS,Artistic Gymnastics,0,0,52,0,0,52
AUS,Artistic Swimming,0,0,21,0,0,21
AUS,Athletics,35,25,1049,40,100,1149
AUS,Badminton,0,0,65,0,0,65
AUS,Baseball,0,0,44,24,24,68
AUS,Baseball/Softball,0,0,15,0,0,15
AUS,Basketball,47,0,226,36,83,309
AUS,Beach Volleyball,2,2,40,2,6,46
AUS,Boxing,6,0,135,1,7,142
AUS,Breaking,0,0,2,0,0,2
AUS,Canoe Slalom,1,4,7,0,5,12
AUS,Canoe Sprint,2,2,30,4,8,38
AUS,Canoeing,25,6,201,10,41,242
AUS,Cycling,29,26,344,29,84,428
AUS,Cycling BMX Freestyle,1,1,2,0,2,4
AUS,Cycling BMX Racing,0,1,5,0,1,6
AUS,Cycling Mountain Bike,0,0,3,0,0,3
AUS,Cycling Road,1,1,17,0,2,19
AUS,Cycling Track,11,5,51,2,18,69
AUS,Diving,14,3,148,5,22,170
AUS,Equestrian,1,0,34,5,6,40
AUS,Equestrianism,12,18,194,7,37,231
AUS,Fencing,0,0,147,0,0,147
AUS,Football,0,0,224,0,0,224
AUS,Golf,0,0,12,0,0,12
AUS,Gymnastics,0,0,513,0,0,513
AUS,Handball,0,0,30,0,0,30
AUS,Hockey,79,64,246,63,206,452
AUS,Judo,2,0,91,0,2,93
AUS,Karate,0,0,1,0,0,1
AUS,Marathon Swimming,1,0,4,0,1,5
AUS,"Marathon Swimming, Swimming",0,0,2,0,0,2
AUS,Modern Pentathlon,0,1,55,0,1,56
AUS,Rhythmic Gymnastics,0,0,19,0,0,19
AUS,Rowing,76,30,425,56,162,587
AUS,Rugby Sevens,0,12,64,0,12,76
AUS,Sailing,14,26,177,18,58,235
AUS,Shooting,6,5,275,1,12,287
AUS,Skateboarding,0,3,11,0,3,14
AUS,Softball,45,0,0,15,60,60
AUS,Sport Climbing,0,0,4,0,0,4
AUS,Surfing,1,0,6,1,2,8
AUS,Swimming,166,155,925,184,505,1430
AUS,Synchronized Swimming,0,0,57,0,0,57
AUS,Table Tennis,0,0,96,0,0,96
AUS,Taekwondo,0,1,27,1,2,29
AUS,Tennis,8,4,111,2,14,125
AUS,Trampoline Gymnastics,0,0,3,0,0,3
AUS,Trampolining,0,0,5,1,1,6
AUS,Triathlon,2,1,40,2,5,45
AUS,Volleyball,0,0,48,0,0,48
AUS,Water Polo,26,13,249,13,52,301
AUS,Weightlifting,2,1,82,1,4,86
AUS,Wrestling,2,0,100,1,3,103
AUT,Archery,0,0,5,0,0,5
AUT,Art Competitions,4,3,189,3,10,199
AUT,Artistic Gymnastics,0,0,11,0,0,11
AUT,Artistic Swimming,0,0,4,0,0,4
AUT,Athletics,5,1,333,2,8,341
AUT,Badminton,0,0,11,0,0,11
AUT,Beach Volleyball,0,0,22,0,0,22
AUT,Boxing,0,0,37,0,0,37
AUT,Canoe Slalom,0,0,9,0,0,9
AUT,Canoe Sprint,0,0,4,0,0,4
AUT,Canoeing,10,4,99,7,21,120
AUT,Cycling,2,1,211,0,3,214
AUT,Cycling Mountain Bike,0,0,5,0,0,5
AUT,Cycling Road,0,1,11,0,1,12
AUT,Cycling Track,0,0,8,0,0,8
AUT,Diving,1,0,75,0,1,76
AUT,Equestrian,0,0,25,0,0,25
AUT,Equestrianism,1,1,104,4,6,110
AUT,Fencing,5,1,202,7,13,215
AUT,Football,0,0,37,13,13,50
AUT,Golf,0,0,8,0,0,8
AUT,Gymnastics,0,2,362,1,3,365
AUT,Handball,0,0,44,22,22,66
AUT,Hockey,0,0,55,0,0,55
AUT,Judo,3,2,63,3,8,71
AUT,Karate,1,0,0,0,1,1
AUT,Marathon Swimming,0,0,1,0,0,1
AUT,"Marathon Swimming, Swimming",0,0,4,0,0,4
AUT,Modern Pentathlon,0,0,38,0,0,38
AUT,Rhythmic Gymnastics,0,0,6,0,0,6
AUT,Rowing,5,0,128,5,10,138
AUT,Sailing,2,8,127,5,15,142
AUT,Shooting,5,1,187,2,8,195
AUT,Skateboarding,0,0,1,0,0,1
AUT,Sport Climbing,3,0,1,0,3,4
AUT,Swimming,9,2,217,6,17,234
AUT,Synchronized Swimming,0,0,14,0,0,14
AUT,Table Tennis,0,0,66,0,0,66
AUT,Taekwondo,0,0,4,0,0,4
AUT,Tennis,0,0,41,2,2,43
AUT,Trampoline Gymnastics,0,0,1,0,0,1
AUT,Triathlon,0,1,24,0,1,25
AUT,Tug-Of-War,0,0,8,0,0,8
AUT,Water Polo,0,0,28,0,0,28
AUT,Weightlifting,2,4,73,5,11,84
AUT,Wrestling,3,1,89,2,6,95
AZE,3x3 Basketball,0,0,4,0,0,4
AZE,Archery,0,0,2,0,0,2
AZE,Artistic Gymnastics,0,0,12,0,0,12
AZE,Athletics,0,0,24,0,0,24
AZE,Badminton,0,0,3,0,0,3
AZE,Boxing,8,0,37,2,10,47
AZE,Canoeing,1,0,5,1,2,7
AZE,Cycling,0,0,6,0,0,6
AZE,Cycling Road,0,0,1,0,0,1
AZE,Diving,0,0,2,0,0,2
AZE,Equestrianism,0,0,2,0,0,2
AZE,Fencing,0,0,6,0,0,6
AZE,Gymnastics,0,0,18,0,0,18
AZE,Judo,2,3,40,2,7,47
AZE,Karate,0,0,1,2,2,3
AZE,Rhythmic Gymnastics,0,0,23,0,0,23
AZE,Rowing,0,0,5,0,0,5
AZE,Shooting,2,1,16,0,3,19
AZE,Swimming,0,0,15,0,0,15
AZE,Taekwondo,2,1,8,1,4,12
AZE,Trampoline Gymnastics,0,0,1,0,0,1
AZE,Triathlon,0,0,3,0,0,3
AZE,Weightlifting,1,0,20,0,1,21
AZE,Wrestling,16,4,57,9,29,86
BAH,Athletics,13,14,250,11,38,288
BAH,Boxing,0,0,7,0,0,7
BAH,Cycling,0,0,2,0,0,2
BAH,Diving,0,0,1,0,0,1
BAH,Rowing,0,0,1,0,0,1
BAH,Sailing,2,2,50,0,4,54
BAH,Swimming,0,0,49,0,0,49
BAH,Tennis,0,0,13,0,0,13
BAH,Wrestling,0,0,2,0,0,2
BAN,Archery,0,0,7,0,0,7
BAN,Athletics,0,0,30,0,0,30
BAN,Golf,0,0,1,0,0,1
BAN,Gymnastics,0,0,3,0,0,3
BAN,Shooting,0,0,10,0,0,10
BAN,Swimming,0,0,17,0,0,17
BAR,Athletics,1,0,116,0,1,117
BAR,Boxing,0,0,9,0,0,9
BAR,Cycling,0,0,24,0,0,24
BAR,Diving,0,0,1,0,0,1
BAR,Gymnastics,0,0,7,0,0,7
BAR,Judo,0,0,5,0,0,5
BAR,Sailing,0,0,15,0,0,15
BAR,Shooting,0,0,8,0,0,8
BAR,Swimming,0,0,40,0,0,40
BAR,Synchronized Swimming,0,0,1,0,0,1
BAR,Tennis,0,0,1,0,0,1
BAR,Triathlon,0,0,2,0,0,2
BAR,Weightlifting,0,0,2,0,0,2
BDI,Athletics,0,1,37,1,2,39
BDI,Boxing,0,0,1,0,0,1
BDI,Judo,0,0,3,0,0,3
BDI,Swimming,0,0,11,0,0,11
BEL,3x3 Basketball,0,0,4,0,0,4
BEL,Archery,3,35,30,14,52,82
BEL,Art Competitions,5,2,163,1,8,171
BEL,Artistic Gymnastics,0,1,45,0,1,46
BEL,Athletics,4,6,601,11,21,622
BEL,Badminton,0,0,9,0,0,9
BEL,Basketball,0,0,58,0,0,58
BEL,Beach Volleyball,0,0,2,0,0,2
BEL,Boxing,2,1,56,1,4,60
BEL,Canoe Slalom,0,0,1,0,0,1
BEL,Canoe Sprint,0,0,10,0,0,10
BEL,Canoeing,0,0,96,0,0,96
BEL,Cycling,22,13,293,12,47,340
BEL,Cycling BMX Racing,0,0,5,0,0,5
BEL,Cycling Mountain Bike,0,0,5,0,0,5
BEL,Cycling Road,1,2,16,1,4,20
BEL,"Cycling Road, Cycling Track",0,0,3,0,0,3
BEL,Cycling Track,1,0,24,0,1,25
BEL,Diving,0,0,12,0,0,12
BEL,Equestrian,4,0,37,0,4,41
BEL,Equestrianism,11,7,183,5,23,206
BEL,Fencing,19,10,297,19,48,345
BEL,Figure Skating,0,0,2,0,0,2
BEL,Football,9,14,44,0,23,67
BEL,Golf,0,0,9,0,0,9
BEL,Gymnastics,24,0,152,24,48,200
BEL,Hockey,14,18,236,16,48,284
BEL,Ice Hockey,0,0,7,0,0,7
BEL,Judo,11,2,49,1,14,63
BEL,Modern Pentathlon,0,0,15,0,0,15
BEL,Polo,0,0,4,0,0,4
BEL,Rhythmic Gymnastics,0,0,4,0,0,4
BEL,Rowing,4,0,155,26,30,185
BEL,Sailing,7,4,86,8,19,105
BEL,Shooting,3,1,201,13,17,218
BEL,Skateboarding,0,0,2,0,0,2
BEL,Sport Climbing,0,0,1,0,0,1
BEL,Swimming,2,1,286,2,5,291
BEL,Synchronized Swimming,0,0,5,0,0,5
BEL,Table Tennis,0,0,16,0,0,16
BEL,Taekwondo,1,0,5,0,1,6
BEL,Tennis,2,1,86,0,3,89
BEL,Triathlon,0,0,23,0,0,23
BEL,Tug-Of-War,8,0,0,0,8,8
BEL,Volleyball,0,0,12,0,0,12
BEL,Water Polo,18,0,46,36,54,100
BEL,Weightlifting,1,1,45,2,4,49
BEL,Wrestling,1,0,109,3,4,113
BEN,Athletics,0,0,47,0,0,47
BEN,Boxing,0,0,13,0,0,13
BEN,Cycling,0,0,2,0,0,2
BEN,Fencing,0,0,1,0,0,1
BEN,Judo,0,0,5,0,0,5
BEN,Rowing,0,0,1,0,0,1
BEN,Swimming,0,0,11,0,0,11
BEN,Taekwondo,0,0,2,0,0,2
BEN,Tennis,0,0,1,0,0,1
BER,Athletics,0,0,63,0,0,63
BER,Boxing,1,0,3,0,1,4
BER,Cycling,0,0,4,0,0,4
BER,Diving,0,0,4,0,0,4
BER,Equestrianism,0,0,11,0,0,11
BER,Rowing,0,0,4,0,0,4
BER,Sailing,0,0,62,0,0,62
BER,Swimming,0,0,53,0,0,53
BER,Tennis,0,0,1,0,0,1
BER,Triathlon,0,1,8,0,1,9
BHU,Archery,0,0,36,0,0,36
BHU,Athletics,0,0,1,0,0,1
BHU,Judo,0,0,1,0,0,1
BHU,Shooting,0,0,3,0,0,3
BHU,Swimming,0,0,2,0,0,2
BIH,Athletics,0,0,24,0,0,24
BIH,Canoeing,0,0,3,0,0,3
BIH,Judo,0,0,10,0,0,10
BIH,Shooting,0,0,20,0,0,20
BIH,Swimming,0,0,21,0,0,21
BIH,Table Tennis,0,0,2,0,0,2
BIH,Taekwondo,0,0,2,0,0,2
BIH,Tennis,0,0,3,0,0,3
BIH,Weightlifting,0,0,1,0,0,1
BIH,Wrestling,0,0,1,0,0,1
BIZ,Athletics,0,0,41,0,0,41
BIZ,Boxing,0,0,1,0,0,1
BIZ,Canoe Sprint,0,0,2,0,0,2
BIZ,Cycling,0,0,27,0,0,27
BIZ,Judo,0,0,2,0,0,2
BIZ,Shooting,0,0,6,0,0,6
BIZ,Taekwondo,0,0,1,0,0,1
BIZ,Weightlifting,0,0,1,0,0,1
BLR,Archery,0,0,16,0,0,16
BLR,Artistic Gymnastics,0,0,5,0,0,5
BLR,Artistic Swimming,0,0,2,0,0,2
BLR,Athletics,8,4,259,6,18,277
BLR,Badminton,0,0,6,0,0,6
BLR,Basketball,0,0,22,0,0,22
BLR,Boxing,0,0,24,2,2,26
BLR,Canoe Sprint,0,0,14,4,4,18
BLR,Canoeing,12,6,38,4,22,60
BLR,Cycling,1,0,37,0,1,38
BLR,Cycling Road,0,0,3,0,0,3
BLR,Cycling Track,0,0,2,0,0,2
BLR,Diving,0,0,19,0,0,19
BLR,Equestrian,0,0,1,0,0,1
BLR,Equestrianism,0,0,6,0,0,6
BLR,Fencing,0,0,24,0,0,24
BLR,Football,0,0,16,0,0,16
BLR,Gymnastics,4,0,232,0,4,236
BLR,Judo,1,1,25,0,2,27
BLR,Modern Pentathlon,1,0,16,0,1,17
BLR,Rhythmic Gymnastics,8,0,32,14,22,54
BLR,Rowing,14,2,54,1,17,71
BLR,Sailing,0,0,21,0,0,21
BLR,Shooting,4,1,88,2,7,95
BLR,Swimming,1,0,108,2,3,111
BLR,Synchronized Swimming,0,0,8,0,0,8
BLR,Table Tennis,0,0,28,0,0,28
BLR,Tennis,1,2,32,0,3,35
BLR,Trampoline Gymnastics,0,1,1,0,1,2
BLR,Trampolining,0,1,11,0,1,12
BLR,Weightlifting,6,1,38,5,12,50
BLR,Wrestling,8,0,61,6,14,75
BOH,Art Competitions,0,0,1,0,0,1
BOH,Athletics,0,0,38,1,1,39
BOH,Cycling,0,0,11,0,0,11
BOH,Fencing,6,0,45,0,6,51
BOH,Gymnastics,0,0,7,0,0,7
BOH,Rowing,0,0,1,0,0,1
BOH,Shooting,0,0,5,0,0,5
BOH,Tennis,5,0,23,0,5,28
BOH,Wrestling,0,0,10,0,0,10
BOL,Art Competitions,0,0,1,0,0,1
BOL,Athletics,0,0,43,0,0,43
BOL,Boxing,0,0,1,0,0,1
BOL,Canoeing,0,0,2,0,0,2
BOL,Cycling,0,0,10,0,0,10
BOL,Diving,0,0,2,0,0,2
BOL,Equestrianism,0,0,3,0,0,3
BOL,Fencing,0,0,4,0,0,4
BOL,Gymnastics,0,0,5,0,0,5
BOL,Judo,0,0,6,0,0,6
BOL,Shooting,0,0,20,0,0,20
BOL,Swimming,0,0,27,0,0,27
BOL,Tennis,0,0,2,0,0,2
BOL,Weightlifting,0,0,3,0,0,3
BOL,Wrestling,0,0,1,0,0,1
BOT,Athletics,6,1,88,7,14,102
BOT,Boxing,0,0,12,0,0,12
BOT,Judo,0,0,1,0,0,1
BOT,Sailing,0,0,1,0,0,1
BOT,Swimming,0,0,8,0,0,8
BOT,Weightlifting,0,0,1,0,0,1
BRA,Archery,0,0,29,0,0,29
BRA,Art Competitions,0,0,1,0,0,1
BRA,Artistic Gymnastics,5,2,76,3,10,86
BRA,Athletics,17,5,612,8,30,642
BRA,Badminton,0,0,6,0,0,6
BRA,Basketball,46,0,209,12,58,267
BRA,Beach Volleyball,6,8,36,14,28,64
BRA,Boxing,5,2,88,2,9,97
BRA,Canoe Slalom,0,0,9,0,0,9
BRA,Canoe Sprint,0,1,10,1,2,12
BRA,Canoeing,1,0,45,3,4,49
BRA,Cycling,0,0,95,0,0,95
BRA,Cycling BMX Freestyle,0,0,1,0,0,1
BRA,Cycling BMX Racing,0,0,3,0,0,3
BRA,Cycling Mountain Bike,0,0,5,0,0,5
BRA,Cycling Road,0,0,2,0,0,2
BRA,Diving,0,0,51,0,0,51
BRA,Equestrian,0,0,34,0,0,34
BRA,Equestrianism,8,1,161,0,9,170
BRA,Fencing,0,0,99,0,0,99
BRA,Football,34,39,192,107,180,372
BRA,Golf,0,0,3,0,0,3
BRA,Gymnastics,1,1,197,2,4,201
BRA,Handball,0,0,192,0,0,192
BRA,Hockey,0,0,16,0,0,16
BRA,Judo,28,5,130,4,37,167
BRA,Marathon Swimming,0,1,2,0,1,3
BRA,"Marathon Swimming, Swimming",0,0,5,0,0,5
BRA,Modern Pentathlon,1,0,32,0,1,33
BRA,Rhythmic Gymnastics,0,0,37,0,0,37
BRA,Rowing,0,0,140,0,0,140
BRA,Rugby Sevens,0,0,52,0,0,52
BRA,Sailing,16,14,170,6,36,206
BRA,Shooting,5,1,119,2,8,127
BRA,Skateboarding,2,0,19,3,5,24
BRA,Surfing,1,1,7,1,3,10
BRA,Swimming,17,1,570,4,22,592
BRA,Synchronized Swimming,0,0,33,0,0,33
BRA,Table Tennis,0,0,78,0,0,78
BRA,Taekwondo,3,0,17,0,3,20
BRA,Tennis,2,0,59,0,2,61
BRA,Trampoline Gymnastics,0,0,2,0,0,2
BRA,Trampolining,0,0,1,0,0,1
BRA,Triathlon,0,0,27,0,0,27
BRA,Volleyball,37,60,190,48,145,335
BRA,Water Polo,0,0,96,0,0,96
BRA,Weightlifting,0,0,29,0,0,29
BRA,Wrestling,0,0,17,0,0,17
BRN,Athletics,1,2,89,3,6,95
BRN,Boxing,0,0,1,0,0,1
BRN,Cycling,0,0,7,0,0,7
BRN,Fencing,0,0,7,0,0,7
BRN,Handball,0,0,16,0,0,16
BRN,Judo,0,0,1,0,0,1
BRN,Modern Pentathlon,0,0,12,0,0,12
BRN,Sailing,0,0,5,0,0,5
BRN,Shooting,0,0,10,0,0,10
BRN,Swimming,0,0,16,0,0,16
BRN,Weightlifting,1,0,1,0,1,2
BRN,Wrestling,0,1,1,0,1,2
BRU,Athletics,0,0,8,0,0,8
BRU,Badminton,0,0,1,0,0,1
BRU,Shooting,0,0,2,0,0,2
BRU,Swimming,0,0,4,0,0,4
BUL,Archery,0,0,7,0,0,7
BUL,Art Competitions,0,0,5,0,0,5
BUL,Artistic Gymnastics,0,0,19,0,0,19
BUL,Athletics,6,5,298,8,19,317
BUL,Badminton,0,0,38,0,0,38
BUL,Basketball,12,0,61,12,24,85
BUL,Beach Volleyball,0,0,4,0,0,4
BUL,Boxing,10,5,87,5,20,107
BUL,Canoe Sprint,0,0,2,0,0,2
BUL,Canoeing,18,4,105,6,28,133
BUL,Cycling,0,0,81,0,0,81
BUL,Diving,0,0,5,0,0,5
BUL,Equestrianism,0,0,72,3,3,75
BUL,Fencing,0,0,47,0,0,47
BUL,Football,14,0,37,18,32,69
BUL,Gymnastics,6,2,964,2,10,974
BUL,Judo,2,0,29,1,3,32
BUL,Karate,0,1,0,0,1,1
BUL,Modern Pentathlon,0,0,29,0,0,29
BUL,Rhythmic Gymnastics,11,5,38,8,24,62
BUL,Rowing,16,5,144,13,34,178
BUL,Sailing,0,0,11,0,0,11
BUL,Shooting,6,4,134,7,17,151
BUL,Swimming,1,1,137,1,3,140
BUL,Synchronized Swimming,0,0,2,0,0,2
BUL,Table Tennis,0,0,4,0,0,4
BUL,Taekwondo,1,0,0,0,1,1
BUL,Tennis,1,0,16,0,1,17
BUL,Volleyball,10,0,84,12,22,106
BUL,Water Polo,0,0,22,0,0,22
BUL,Weightlifting,9,13,60,16,38,98
BUL,Wrestling,23,18,163,32,73,236
BUR,Athletics,1,0,30,0,1,31
BUR,Boxing,0,0,4,0,0,4
BUR,Cycling Road,0,0,2,0,0,2
BUR,Fencing,0,0,1,0,0,1
BUR,Judo,0,0,8,0,0,8
BUR,Swimming,0,0,11,0,0,11
BUR,Taekwondo,0,0,3,0,0,3
CAF,Archery,0,0,1,0,0,1
CAF,Athletics,0,0,31,0,0,31
CAF,Basketball,0,0,12,0,0,12
CAF,Boxing,0,0,6,0,0,6
CAF,Cycling,0,0,7,0,0,7
CAF,Judo,0,0,5,0,0,5
CAF,Swimming,0,0,6,0,0,6
CAF,Taekwondo,0,0,4,0,0,4
CAF,Wrestling,0,0,1,0,0,1
CAM,Athletics,0,0,19,0,0,19
CAM,Boxing,0,0,5,0,0,5
CAM,Cycling,0,0,8,0,0,8
CAM,Equestrianism,0,0,2,0,0,2
CAM,Judo,0,0,1,0,0,1
CAM,Sailing,0,0,3,0,0,3
CAM,Swimming,0,0,27,0,0,27
CAM,Taekwondo,0,0,2,0,0,2
CAM,Wrestling,0,0,2,0,0,2
CAN,3x3 Basketball,0,0,4,0,0,4
CAN,Archery,0,0,54,0,0,54
CAN,Art Competitions,1,0,81,1,2,83
CAN,Artistic Gymnastics,0,0,107,0,0,107
CAN,Artistic Swimming,0,0,21,0,0,21
CAN,Athletics,60,32,1167,28,120,1287
CAN,Badminton,0,0,73,0,0,73
CAN,Baseball,0,0,48,0,0,48
CAN,Baseball/Softball,15,0,0,0,15,15
CAN,Basketball,0,0,205,9,9,214
CAN,Beach Volleyball,2,0,32,2,4,36
CAN,Boxing,8,3,130,7,18,148
CAN,Breaking,0,1,0,0,1,1
