Name,NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals
Chaima Benadouda,ALG,Fencing,0,0,2,0,0
Kaouther Mohamed,ALG,Fencing,0,0,1,0,0
Kaouther Mohamed,ALG,Fencing,0,0,2,0,0
Meriem Mebarki,ALG,Fencing,0,0,1,0,0
Meriem Mebarki,ALG,Fencing,0,0,1,0,0
Nora Kehli,ALG,Fencing,0,0,2,0,0
Salim Heroui,ALG,Fencing,0,0,1,0,0
Salim Heroui,ALG,Fencing,0,0,2,0,0
Saoussen Boudiaf,ALG,Fencing,0,0,2,0,0
Amina Belkadi,ALG,Judo,0,0,1,0,0
Fethi Nourine,ALG,Judo,0,0,1,0,0
Fethi Nourine,ALG,Judo,0,0,1,0,0
Mehdi Lili,ALG,Judo,0,0,1,0,0
Redouane Dris,ALG,Judo,0,0,1,0,0
Sonia Asselah,ALG,Judo,0,0,3,0,0
Sonia Asselah,ALG,Judo,0,0,3,0,0
Lamya Matoub,ALG,Karate,0,0,1,0,0
Lamya Matoub,ALG,Karate,0,0,1,0,0
Nefissa Cherouati,ALG,Marathon Swimming,0,0,1,0,0
Nefissa Cherouati,ALG,Marathon Swimming,0,0,1,0,0
Ali Boudina,ALG,Rowing,0,0,1,0,0
Ali Boudina,ALG,Rowing,0,0,2,0,0
Kamel Ait,ALG,Rowing,0,0,1,0,0
Kamel Ait,ALG,Rowing,0,0,1,0,0
Nihed Benchadli,ALG,Rowing,0,0,1,0,0
Hamza Bouras,ALG,Sailing,0,0,2,0,0
Hamza Bouras,ALG,Sailing,0,0,2,0,0
Nadjet Berrichi,ALG,Sailing,0,0,1,0,0
Nadjet Berrichi,ALG,Sailing,0,0,1,0,0
Houda Chaabi,ALG,Shooting,0,0,1,0,0
Houda Chaabi,ALG,Shooting,0,0,2,0,0
Amel Melih,ALG,Swimming,0,0,2,0,0
Amel Melih,ALG,Swimming,0,0,2,0,0
Jaouad Syoud,ALG,Swimming,0,0,1,0,0
Nesrine Medjahed,ALG,Swimming,0,0,1,0,0
Oussama Sahnoune,ALG,Swimming,0,0,4,0,0
Oussama Sahnoune,ALG,Swimming,0,0,4,0,0
Larbi Bouriah,ALG,Table Tennis,0,0,1,0,0
Larbi Bouriah,ALG,Table Tennis,0,0,1,0,0
Lynda Loghraibi,ALG,Table Tennis,0,0,1,0,0
Mehdi Bouloussa,ALG,Table Tennis,0,0,1,0,0
Walid Bidani,ALG,Weightlifting,0,0,3,0,0
Walid Bidani,ALG,Weightlifting,0,0,4,0,0
Abdelkarim Fergat,ALG,Wrestling,0,0,1,0,0
Abdelkarim Fergat,ALG,Wrestling,0,0,2,0,0
Abdelmalek Merabet,ALG,Wrestling,0,0,1,0,0
Abdelmalek Merabet,ALG,Wrestling,0,0,1,0,0
Adem Boudjemline,ALG,Wrestling,0,0,2,0,0
Adem Boudjemline,ALG,Wrestling,0,0,2,0,0
Bachir Sid,ALG,Wrestling,0,0,1,0,0
Bachir Sid,ALG,Wrestling,0,0,2,0,0
Djahid Berrahal,ALG,Wrestling,0,0,1,0,0
Djahid Berrahal,ALG,Wrestling,0,0,1,0,0
Elkrim Ouakali,ALG,Wrestling,0,0,1,0,0
Fadi Rouabah,ALG,Wrestling,0,0,1,0,0
Fateh Benferdjallah,ALG,Wrestling,0,0,1,0,0
Fateh Benferdjallah,ALG,Wrestling,0,0,2,0,0
Ibtissem Doudou,ALG,Wrestling,0,0,1,0,0
Ishak Ghaiou,ALG,Wrestling,0,0,1,0,0
Mohammed Fardj,ALG,Wrestling,0,0,1,0,0
Mohammed Fardj,ALG,Wrestling,0,0,1,0,0
Nahuel Carabana,AND,Athletics,0,0,1,0,0
Pol Moya,AND,Athletics,0,0,1,0,0
Pol Moya,AND,Athletics,0,0,1,0,0
Monica Doria,AND,Canoe Slalom,0,0,2,0,0
Monica Doria,AND,Canoe Slalom,0,0,5,0,0
Aveni Miguel,ANG,Athletics,0,0,1,0,0
Aveni Miguel,ANG,Athletics,0,0,1,0,0
Manuel Antonio,ANG,Athletics,0,0,1,0,0
Manuel Antonio,ANG,Athletics,0,0,1,0,0
Marcos Santos,ANG,Athletics,0,0,1,0,0
Benilson Sanda,ANG,Canoe Sprint,0,0,2,0,0
Manuel Antonio,ANG,Canoe Sprint,0,0,1,0,0
Albertina Kassoma,ANG,Handball,0,0,2,0,0
Albertina Kassoma,ANG,Handball,0,0,3,0,0
Azenaide Carlos,ANG,Handball,0,0,4,0,0
Azenaide Carlos,ANG,Handball,0,0,5,0,0
Chelcia Gabriel,ANG,Handball,0,0,1,0,0
Dolores Rosario,ANG,Handball,0,0,1,0,0
Eliane Paulo,ANG,Handball,0,0,1,0,0
Helena Paulo,ANG,Handball,0,0,1,0,0
Helena Paulo,ANG,Handball,0,0,2,0,0
Helena Sousa,ANG,Handball,0,0,1,0,0
Helena Sousa,ANG,Handball,0,0,1,0,0
Isabel Guialo,ANG,Handball,0,0,3,0,0
Isabel Guialo,ANG,Handball,0,0,3,0,0
Juliana Machado,ANG,Handball,0,0,2,0,0
Juliana Machado,ANG,Handball,0,0,3,0,0
Liliana Venancio,ANG,Handball,0,0,1,0,0
Liliana Venancio,ANG,Handball,0,0,1,0,0
Liliane Mario,ANG,Handball,0,0,1,0,0
Magda Cazanga,ANG,Handball,0,0,3,0,0
Magda Cazanga,ANG,Handball,0,0,3,0,0
Marilia Quizelete,ANG,Handball,0,0,1,0,0
Marilia Quizelete,ANG,Handball,0,0,2,0,0
Marta Alberto,ANG,Handball,0,0,1,0,0
Natalia Fonseca,ANG,Handball,0,0,1,0,0
Natalia Fonseca,ANG,Handball,0,0,2,0,0
Natalia Santos,ANG,Handball,0,0,1,0,0
Natalia Santos,ANG,Handball,0,0,2,0,0
Stelvia Pascoal,ANG,Handball,0,0,1,0,0
Stelvia Pascoal,ANG,Handball,0,0,2,0,0
Teresa Almeida,ANG,Handball,0,0,2,0,0
Teresa Almeida,ANG,Handball,0,0,3,0,0
Vilma Nenganga,ANG,Handball,0,0,1,0,0
Vilma Nenganga,ANG,Handball,0,0,2,0,0
Wuta Dombaxi,ANG,Handball,0,0,3,0,0
Wuta Dombaxi,ANG,Handball,0,0,3,0,0
Diassonema Mucungui,ANG,Judo,0,0,1,0,0
Diassonema Mucungui,ANG,Judo,0,0,1,0,0
Edmilson Pedro,ANG,Judo,0,0,1,0,0
Andre Matias,ANG,Rowing,0,0,1,0,0
Filipe Andre,ANG,Sailing,0,0,1,0,0
Manuela Paulo,ANG,Sailing,0,0,1,0,0
Matias Montinho,ANG,Sailing,0,0,2,0,0
Matias Montinho,ANG,Sailing,0,0,3,0,0
Paixao Afonso,ANG,Sailing,0,0,1,0,0
Paixao Afonso,ANG,Sailing,0,0,1,0,0
Catarina Sousa,ANG,Swimming,0,0,1,0,0
Catarina Sousa,ANG,Swimming,0,0,1,0,0
Henrique Mascarenhas,ANG,Swimming,0,0,1,0,0
Jorge Lima,ANG,Swimming,0,0,4,0,0
Jorge Lima,ANG,Swimming,0,0,4,0,0
Lia Lima,ANG,Swimming,0,0,1,0,0
Salvador Gordo,ANG,Swimming,0,0,1,0,0
Salvador Gordo,ANG,Swimming,0,0,1,0,0
Cejhae Greene,ANT,Athletics,0,0,3,0,0
Cejhae Greene,ANT,Athletics,0,0,4,0,0
Joella Lloyd,ANT,Athletics,0,0,1,0,0
Joella Lloyd,ANT,Athletics,0,0,2,0,0
Alston Ryan,ANT,Boxing,0,0,1,0,0
Alston Ryan,ANT,Boxing,0,0,1,0,0
Jalese Gordon,ANT,Sailing,0,0,1,0,0
Jalese Gordon,ANT,Sailing,0,0,1,0,0
Tiger Tyson,ANT,Sailing,0,0,1,0,0
Ellie Shaw,ANT,Swimming,0,0,1,0,0
Jadon Wuilliez,ANT,Swimming,0,0,1,0,0
Samantha Roberts,ANT,Swimming,0,0,2,0,0
Samantha Roberts,ANT,Swimming,0,0,2,0,0
Stefano Mitchell,ANT,Swimming,0,0,1,0,0
Stefano Mitchell,ANT,Swimming,0,0,1,0,0
Damian Jajarabilla,ARG,Archery,0,0,1,0,0
Abigail Magistrati,ARG,Artistic Gymnastics,0,0,5,0,0
Abigail Magistrati,ARG,Artistic Gymnastics,0,0,5,0,0
Belen Casetta,ARG,Athletics,0,0,1,0,0
Belen Casetta,ARG,Athletics,0,0,2,0,0
Cristina Gomez,ARG,Athletics,0,0,1,0,0
Cristina Gomez,ARG,Athletics,0,0,1,0,0
Daiana Ocampo,ARG,Athletics,0,0,1,0,0
Elian Larregina,ARG,Athletics,0,0,1,0,0
Eulalio Munoz,ARG,Athletics,0,0,1,0,0
Eulalio Munoz,ARG,Athletics,0,0,1,0,0
Florencia Borelli,ARG,Athletics,0,0,1,0,0
German Chiaraviglio,ARG,Athletics,0,0,1,0,0
German Chiaraviglio,ARG,Athletics,0,0,1,0,0
Joaquin Arbe,ARG,Athletics,0,0,1,0,0
Joaquin Arbe,ARG,Athletics,0,0,1,0,0
Joaquin Gomez,ARG,Athletics,0,0,1,0,0
Nazareno Sasia,ARG,Athletics,0,0,1,0,0
Santiago Lorenzo,ARG,Athletics,0,0,1,0,0
Santiago Lorenzo,ARG,Athletics,0,0,1,0,0
Facundo Campazzo,ARG,Basketball,0,0,3,0,0
Facundo Campazzo,ARG,Basketball,0,0,3,0,0
Francisco Caffaro,ARG,Basketball,0,0,1,0,0
Francisco Caffaro,ARG,Basketball,0,0,1,0,0
Gabriel Deck,ARG,Basketball,0,0,2,0,0
Gabriel Deck,ARG,Basketball,0,0,2,0,0
Leandro Bolmaro,ARG,Basketball,0,0,1,0,0
Leandro Bolmaro,ARG,Basketball,0,0,1,0,0
Luca Vildoza,ARG,Basketball,0,0,1,0,0
Luca Vildoza,ARG,Basketball,0,0,1,0,0
Luis Scola,ARG,Basketball,0,0,1,0,0
Luis Scola,ARG,Basketball,0,0,1,0,0
Marcos Delia,ARG,Basketball,0,0,1,0,0
Marcos Delia,ARG,Basketball,0,0,1,0,0
Nicolas Brussino,ARG,Basketball,0,0,1,0,0
Nicolas Brussino,ARG,Basketball,0,0,1,0,0
Nicolas Laprovittola,ARG,Basketball,0,0,1,0,0
Nicolas Laprovittola,ARG,Basketball,0,0,1,0,0
Pablo Vaulet,ARG,Basketball,0,0,1,0,0
Pablo Vaulet,ARG,Basketball,0,0,1,0,0
Patricio Garino,ARG,Basketball,0,0,1,0,0
Patricio Garino,ARG,Basketball,0,0,1,0,0
Tayavek Gallizzi,ARG,Basketball,0,0,1,0,0
Tayavek Gallizzi,ARG,Basketball,0,0,1,0,0
Amado Azaad,ARG,Beach Volleyball,0,0,1,0,0
Amado Azaad,ARG,Beach Volleyball,0,0,1,0,0
Ana Gallay,ARG,Beach Volleyball,0,0,3,0,0
Ana Gallay,ARG,Beach Volleyball,0,0,3,0,0
Fernanda Pereyra,ARG,Beach Volleyball,0,0,1,0,0
Fernanda Pereyra,ARG,Beach Volleyball,0,0,1,0,0
Nicolas Capogrosso,ARG,Beach Volleyball,0,0,1,0,0
Nicolas Capogrosso,ARG,Beach Volleyball,0,0,1,0,0
Agustin Arregui,ARG,Boxing,0,0,1,0,0
Agustin Arregui,ARG,Boxing,0,0,1,0,0
Jehiel Cuello,ARG,Boxing,0,0,1,0,0
Jehiel Cuello,ARG,Boxing,0,0,1,0,0
Luis Romo,ARG,Boxing,0,0,1,0,0
Luis Romo,ARG,Boxing,0,0,1,0,0
Nicanor Quiroga,ARG,Boxing,0,0,1,0,0
Nicanor Quiroga,ARG,Boxing,0,0,1,0,0
Lucas Rossi,ARG,Canoe Slalom,0,0,1,0,0
Lucas Rossi,ARG,Canoe Slalom,0,0,1,0,0
Agustin Vernice,ARG,Canoe Sprint,0,0,1,0,0
Agustin Vernice,ARG,Canoe Sprint,0,0,2,0,0
Brenda Rojas,ARG,Canoe Sprint,0,0,2,0,0
Brenda Rojas,ARG,Canoe Sprint,0,0,3,0,0
Ruben Rezola,ARG,Canoe Sprint,0,0,1,0,0
Ruben Rezola,ARG,Canoe Sprint,0,0,1,0,0
Brenda Rojas,ARG,Canoeing,0,0,1,0,0
Brenda Rojas,ARG,Canoeing,0,0,1,0,0
Jose Torres,ARG,Cycling BMX Freestyle,0,1,0,0,1
Emiliano Villegas,ARG,Cycling BMX Racing,0,0,1,0,0
Nahuel Molina,ARG,Cycling BMX Racing,0,0,1,0,0
Nicolas Torres,ARG,Cycling BMX Racing,0,0,1,0,0
Nicolas Torres,ARG,Cycling BMX Racing,0,0,1,0,0
Sofia Gomez,ARG,Cycling Mountain Bike,0,0,1,0,0
Sofia Gomez,ARG,Cycling Mountain Bike,0,0,1,0,0
Eduardo Sepulveda,ARG,Cycling Road,0,0,1,0,0
Eduardo Sepulveda,ARG,Cycling Road,0,0,2,0,0
Fabian Sejanes,ARG,Equestrian,0,0,2,0,0
Fabian Sejanes,ARG,Equestrian,0,0,2,0,0
Martin Dopazo,ARG,Equestrian,0,0,2,0,0
Martin Dopazo,ARG,Equestrian,0,0,2,0,0
Matias Albarracin,ARG,Equestrian,0,0,2,0,0
Matias Albarracin,ARG,Equestrian,0,0,2,0,0
Carlos Bustamante,ARG,Equestrianism,0,0,2,0,0
Carlos Bustamante,ARG,Equestrianism,0,0,2,0,0
Belen Perez,ARG,Fencing,0,0,1,0,0
Belen Perez,ARG,Fencing,0,0,1,0,0
di Maria,ARG,Fencing,0,0,1,0,0
Adolfo Gaich,ARG,Football,0,0,1,0,0
Adolfo Gaich,ARG,Football,0,0,1,0,0
Agustin Urzi,ARG,Football,0,0,1,0,0
Agustin Urzi,ARG,Football,0,0,1,0,0
Bruno Amione,ARG,Football,0,0,1,0,0
Claudio Bravo,ARG,Football,0,0,1,0,0
Claudio Bravo,ARG,Football,0,0,1,0,0
Claudio Echeverri,ARG,Football,0,0,1,0,0
Cristian Medina,ARG,Football,0,0,1,0,0
Esequiel Barco,ARG,Football,0,0,1,0,0
Esequiel Barco,ARG,Football,0,0,1,0,0
Ezequiel Fernandez,ARG,Football,0,0,1,0,0
Ezequiel Ponce,ARG,Football,0,0,1,0,0
Ezequiel Ponce,ARG,Football,0,0,1,0,0
Facundo Medina,ARG,Football,0,0,1,0,0
Facundo Medina,ARG,Football,0,0,1,0,0
Fausto Vera,ARG,Football,0,0,1,0,0
Fausto Vera,ARG,Football,0,0,1,0,0
Fernando Valenzuela,ARG,Football,0,0,1,0,0
Fernando Valenzuela,ARG,Football,0,0,1,0,0
Francisco Ortega,ARG,Football,0,0,1,0,0
Francisco Ortega,ARG,Football,0,0,1,0,0
Geronimo Rulli,ARG,Football,0,0,1,0,0
Giuliano Simeone,ARG,Football,0,0,1,0,0
Gonzalo Lujan,ARG,Football,0,0,1,0,0
Hernan De,ARG,Football,0,0,1,0,0
Hernan De,ARG,Football,0,0,1,0,0
Jeremias Ledesma,ARG,Football,0,0,1,0,0
Jeremias Ledesma,ARG,Football,0,0,1,0,0
Joaquin Blazquez,ARG,Football,0,0,1,0,0
Joaquin Blazquez,ARG,Football,0,0,1,0,0
Julio Soler,ARG,Football,0,0,1,0,0
Kevin Zenon,ARG,Football,0,0,1,0,0
Lautaro Morales,ARG,Football,0,0,1,0,0
Lautaro Morales,ARG,Football,0,0,1,0,0
Leandro Brey,ARG,Football,0,0,1,0,0
Leonel Mosevich,ARG,Football,0,0,1,0,0
Leonel Mosevich,ARG,Football,0,0,1,0,0
Lucas Beltran,ARG,Football,0,0,1,0,0
Luciano Gondou,ARG,Football,0,0,1,0,0
Mac Alexis,ARG,Football,0,0,1,0,0
Mac Alexis,ARG,Football,0,0,1,0,0
Marcelo Herrera,ARG,Football,0,0,1,0,0
Marcelo Herrera,ARG,Football,0,0,1,0,0
Martin Payero,ARG,Football,0,0,1,0,0
Martin Payero,ARG,Football,0,0,1,0,0
Nehuen Perez,ARG,Football,0,0,1,0,0
Nehuen Perez,ARG,Football,0,0,1,0,0
Nicolas Otamendi,ARG,Football,0,0,1,0,0
Santiago Colombatto,ARG,Football,0,0,1,0,0
Santiago Colombatto,ARG,Football,0,0,1,0,0
Santiago Hezze,ARG,Football,0,0,1,0,0
Thiago Almada,ARG,Football,0,0,1,0,0
Thiago Almada,ARG,Football,0,0,2,0,0
Tomas Belmonte,ARG,Football,0,0,1,0,0
Tomas Belmonte,ARG,Football,0,0,1,0,0
di Marco,ARG,Football,0,0,1,0,0
Alejandro Tosti,ARG,Golf,0,0,1,0,0
Emiliano Grillo,ARG,Golf,0,0,1,0,0
Emiliano Grillo,ARG,Golf,0,0,2,0,0
Magdalena Simmermacher,ARG,Golf,0,0,1,0,0
Magdalena Simmermacher,ARG,Golf,0,0,1,0,0
Alberto Mourino,ARG,Handball,0,0,1,0,0
Alberto Mourino,ARG,Handball,0,0,1,0,0
Andres Moyano,ARG,Handball,0,0,1,0,0
Ariel Simonet,ARG,Handball,0,0,1,0,0
Ariel Simonet,ARG,Handball,0,0,1,0,0
Dario Moscariello,ARG,Handball,0,0,1,0,0
Dario Moscariello,ARG,Handball,0,0,1,0,0
Diego Simonet,ARG,Handball,0,0,1,0,0
Esteban Simonet,ARG,Handball,0,0,1,0,0
Esteban Simonet,ARG,Handball,0,0,1,0,0
Federico Fernandez,ARG,Handball,0,0,1,0,0
Federico Pizarro,ARG,Handball,0,0,3,0,0
Federico Pizarro,ARG,Handball,0,0,4,0,0
Gaston Fernandez,ARG,Handball,0,0,1,0,0
Gaston Fernandez,ARG,Handball,0,0,1,0,0
Gaston Mourino,ARG,Handball,0,0,1,0,0
Guillermo Fischer,ARG,Handball,0,0,1,0,0
Ignacio Pizarro,ARG,Handball,0,0,1,0,0
Ignacio Pizarro,ARG,Handball,0,0,2,0,0
James Parker,ARG,Handball,0,0,1,0,0
Juan Bar,ARG,Handball,0,0,1,0,0
Leonel Maciel,ARG,Handball,0,0,1,0,0
Lucas Moscariello,ARG,Handball,0,0,1,0,0
Manuel Bar,ARG,Handball,0,0,1,0,0
Manuel Bar,ARG,Handball,0,0,1,0,0
Matias Carou,ARG,Handball,0,0,1,0,0
Matias Carou,ARG,Handball,0,0,1,0,0
Nicolas Bonanno,ARG,Handball,0,0,1,0,0
Nicolas Bonanno,ARG,Handball,0,0,2,0,0
Nicolas Bono,ARG,Handball,0,0,1,0,0
Pablo Simonet,ARG,Handball,0,0,1,0,0
Pablo Vainstein,ARG,Handball,0,0,2,0,0
Pablo Vainstein,ARG,Handball,0,0,2,0,0
Pedro Martinez,ARG,Handball,0,0,1,0,0
Pedro Martinez,ARG,Handball,0,0,2,0,0
Ramiro Martinez,ARG,Handball,0,0,1,0,0
Ramiro Martinez,ARG,Handball,0,0,1,0,0
Santiago Baronetto,ARG,Handball,0,0,1,0,0
Santiago Baronetto,ARG,Handball,0,0,1,0,0
Sergio Maciel,ARG,Handball,0,0,1,0,0
Sergio Maciel,ARG,Handball,0,0,1,0,0
Agostina Alonso,ARG,Hockey,0,0,0,1,1
Agostina Alonso,ARG,Hockey,1,0,0,1,2
Agustin Bugallo,ARG,Hockey,0,0,1,0,0
Agustin Mazzilli,ARG,Hockey,0,0,1,0,0
Agustina Albertarrio,ARG,Hockey,0,0,0,1,1
Agustina Albertarrio,ARG,Hockey,1,0,0,1,2
Agustina Gorzelany,ARG,Hockey,0,0,0,1,1
Agustina Gorzelany,ARG,Hockey,1,0,0,1,2
Alejandro Mazzilli,ARG,Hockey,0,0,1,0,0
Alejandro Mazzilli,ARG,Hockey,0,0,1,0,0
Alejandro Rey,ARG,Hockey,0,0,1,0,0
Alejandro Rey,ARG,Hockey,0,0,1,0,0
Bautista Capurro,ARG,Hockey,0,0,1,0,0
Belen Succi,ARG,Hockey,0,0,0,1,1
Belen Succi,ARG,Hockey,0,0,0,1,1
Cristina Cosentino,ARG,Hockey,1,0,0,0,1
Delfina Merino,ARG,Hockey,0,0,1,2,2
Delfina Merino,ARG,Hockey,0,0,1,2,2
Emilia Forcherio,ARG,Hockey,0,0,0,1,1
Emilia Forcherio,ARG,Hockey,0,0,0,1,1
Eugenia Trinchinetti,ARG,Hockey,1,0,0,0,1
Ezequiel Habif,ARG,Hockey,0,0,1,0,0
Ezequiel Habif,ARG,Hockey,0,0,1,0,0
Federico Monja,ARG,Hockey,0,0,1,0,0
Fernando Bugallo,ARG,Hockey,0,0,1,0,0
Fernando Bugallo,ARG,Hockey,0,0,1,0,0
