Name,NOC,Sport,Bronze_Medals,Gold_Medals,No Medals,Silve_Medals,Tota_Medals,Participation Count,Cutoff Year,TOPSIS Score,TOPSIS Rank,Birth_Year,Age_in_2028
Magda Cazanga,ANG,Handball,0,0,3,0,0,3,2020,0.002327667,8721,1991,37
Isabel Guialo,ANG,Handball,0,0,3,0,0,3,2020,0.002327667,8721,1990,38
Albertina Kassoma,ANG,Handball,0,0,2,0,0,2,2020,0.001165157,11953,1996,32
Juliana Machado,ANG,Handball,0,0,2,0,0,2,2020,0.001165157,11953,1994,34
Teresa Almeida,ANG,Handball,0,0,2,0,0,2,2020,0.001165157,11953,1988,40
Dolores Rosario,ANG,Handball,0,0,1,0,0,1,2024,0,22629,2003,25
Eliane Paulo,ANG,Handball,0,0,1,0,0,1,2024,0,22629,1999,29
Chelcia Gabriel,ANG,Handball,0,0,1,0,0,1,2024,0,22629,2000,28
Liliana Venancio,ANG,Handball,0,0,1,0,0,1,2020,0,22629,1995,33
Helena Paulo,ANG,Handball,0,0,1,0,0,1,2020,0,22629,1998,30
Marilia Quizelete,ANG,Handball,0,0,1,0,0,1,2020,0,22629,1997,31
Liliane Mario,ANG,Handball,0,0,1,0,0,1,2024,0,22629,2004,24
Marta Alberto,ANG,Handball,0,0,1,0,0,1,2024,0,22629,1995,33
Natalia Fonseca,ANG,Handball,0,0,1,0,0,1,2020,0,22629,1998,30
Diassonema Mucungui,ANG,Judo,0,0,1,0,0,1,2020,0,22629,1996,32
Andre Matias,ANG,Rowing,0,0,1,0,0,1,2024,0,22629,1989,39
Matias Montinho,ANG,Sailing,0,0,2,0,0,2,2020,0.001165157,11953,1990,38
Manuela Paulo,ANG,Sailing,0,0,1,0,0,1,2024,0,22629,2001,27
Paixao Afonso,ANG,Sailing,0,0,1,0,0,1,2020,0,22629,1991,37
Catarina Sousa,ANG,Swimming,0,0,1,0,0,1,2020,0,22629,2000,28
Henrique Mascarenhas,ANG,Swimming,0,0,1,0,0,1,2024,0,22629,2001,27
Cejhae Greene,ANT,Athletics,0,0,3,0,0,3,2020,0.002327667,8721,1995,33
Joella Lloyd,ANT,Athletics,0,0,1,0,0,1,2020,0,22629,2002,26
Jalese Gordon,ANT,Sailing,0,0,1,0,0,1,2020,0,22629,2001,27
Samantha Roberts,ANT,Swimming,0,0,2,0,0,2,2020,0.001165157,11953,2000,28
Ellie Shaw,ANT,Swimming,0,0,1,0,0,1,2024,0,22629,2008,20
Damian Jajarabilla,ARG,Archery,0,0,1,0,0,1,2024,0,22629,1999,29
Belen Casetta,ARG,Athletics,0,0,1,0,0,1,2020,0,22629,1994,34
Cristina Gomez,ARG,Athletics,0,0,1,0,0,1,2020,0,22629,1998,30
Daiana Ocampo,ARG,Athletics,0,0,1,0,0,1,2024,0,22629,1991,37
Elian Larregina,ARG,Athletics,0,0,1,0,0,1,2024,0,22629,2000,28
Eulalio Munoz,ARG,Athletics,0,0,1,0,0,1,2020,0,22629,1995,33
Florencia Borelli,ARG,Athletics,0,0,1,0,0,1,2024,0,22629,1992,36
Brenda Rojas,ARG,Canoe Sprint,0,0,2,0,0,2,2020,0.001165157,11953,1995,33
Agustin Vernice,ARG,Canoe Sprint,0,0,1,0,0,1,2020,0,22629,1995,33
Nahuel Molina,ARG,Cycling BMX Racing,0,0,1,0,0,1,2024,0,22629,1998,30
Eduardo Sepulveda,ARG,Cycling Road,0,0,1,0,0,1,2020,0,22629,1991,37
Adolfo Gaich,ARG,Football,0,0,1,0,0,1,2020,0,22629,1999,29
Agustin Urzi,ARG,Football,0,0,1,0,0,1,2020,0,22629,2000,28
Bruno Amione,ARG,Football,0,0,1,0,0,1,2024,0,22629,2002,26
Claudio Echeverri,ARG,Football,0,0,1,0,0,1,2024,0,22629,2006,22
Cristian Medina,ARG,Football,0,0,1,0,0,1,2024,0,22629,2002,26
Esequiel Barco,ARG,Football,0,0,1,0,0,1,2020,0,22629,1999,29
Ezequiel Ponce,ARG,Football,0,0,1,0,0,1,2020,0,22629,1997,31
Facundo Medina,ARG,Football,0,0,1,0,0,1,2020,0,22629,1999,29
Fausto Vera,ARG,Football,0,0,1,0,0,1,2020,0,22629,2000,28
Geronimo Rulli,ARG,Football,0,0,1,0,0,1,2024,0,22629,1992,36
Giuliano Simeone,ARG,Football,0,0,1,0,0,1,2024,0,22629,2002,26
Gonzalo Lujan,ARG,Football,0,0,1,0,0,1,2024,0,22629,2001,27
Hernan De,ARG,Football,0,0,1,0,0,1,2020,0,22629,1997,31
Jeremias Ledesma,ARG,Football,0,0,1,0,0,1,2020,0,22629,1993,35
Julio Soler,ARG,Football,0,0,1,0,0,1,2024,0,22629,2005,23
Kevin Zenon,ARG,Football,0,0,1,0,0,1,2024,0,22629,2001,27
Lautaro Morales,ARG,Football,0,0,1,0,0,1,2020,0,22629,1999,29
Leandro Brey,ARG,Football,0,0,1,0,0,1,2024,0,22629,2002,26
Alejandro Tosti,ARG,Golf,0,0,1,0,0,1,2024,0,22629,1996,32
Emiliano Grillo,ARG,Golf,0,0,1,0,0,1,2020,0,22629,1992,36
Pablo Vainstein,ARG,Handball,0,0,2,0,0,2,2020,0.001165157,11953,1989,39
Andres Moyano,ARG,Handball,0,0,1,0,0,1,2024,0,22629,1996,32
Dario Moscariello,ARG,Handball,0,0,1,0,0,1,2020,0,22629,1992,36
Ariel Simonet,ARG,Handball,0,0,1,0,0,1,2020,0,22629,1992,36
Esteban Simonet,ARG,Handball,0,0,1,0,0,1,2020,0,22629,1989,39
Federico Fernandez,ARG,Handball,0,0,1,0,0,1,2024,0,22629,1989,39
Gaston Mourino,ARG,Handball,0,0,1,0,0,1,2024,0,22629,1994,34
Diego Simonet,ARG,Handball,0,0,1,0,0,1,2024,0,22629,1989,39
Guillermo Fischer,ARG,Handball,0,0,1,0,0,1,2024,0,22629,1996,32
Ignacio Pizarro,ARG,Handball,0,0,1,0,0,1,2020,0,22629,1990,38
Lucas Moscariello,ARG,Handball,0,0,1,0,0,1,2024,0,22629,1992,36
Leonel Maciel,ARG,Handball,0,0,1,0,0,1,2024,0,22629,1989,39
Nicolas Bonanno,ARG,Handball,0,0,1,0,0,1,2020,0,22629,1991,37
Nicolas Bono,ARG,Handball,0,0,1,0,0,1,2024,0,22629,1997,31
Pablo Simonet,ARG,Handball,0,0,1,0,0,1,2024,0,22629,1992,36
Delfina Merino,ARG,Hockey,0,0,1,2,2,3,2020,0.164773181,372,1989,39
Agostina Alonso,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712,1995,33
Agustina Gorzelany,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712,1996,32
Agustina Albertarrio,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712,1993,35
Emilia Forcherio,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712,1995,33
Valentina Raposo,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712,2003,25
Rocio Sanchez,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712,1988,40
Sofia Toccalino,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712,1997,31
Victoria Sauze,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712,1991,37
Victoria Granatto,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712,1991,37
Micaela Retegui,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712,1996,32
Julieta Jankunas,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712,1999,29
Jose Granatto,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712,1995,33
Isabel Costa,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712,1995,33
Gonzalo Peillat,ARG,Hockey,0,1,1,0,1,2,2020,0.08062117,3590,1992,36
Cristina Cosentino,ARG,Hockey,1,0,0,0,1,1,2024,0.079861291,6185,1997,31
Zoe Diaz,ARG,Hockey,1,0,0,0,1,1,2024,0.079861291,6185,2006,22
Sofia Cairo,ARG,Hockey,1,0,0,0,1,1,2024,0.079861291,6185,2002,26
Lara Casas,ARG,Hockey,1,0,0,0,1,1,2024,0.079861291,6185,2004,24
Juana Castellaro,ARG,Hockey,1,0,0,0,1,1,2024,0.079861291,6185,2005,23
Maria Granatto,ARG,Hockey,1,0,0,0,1,1,2024,0.079861291,6185,1995,33
Eugenia Trinchinetti,ARG,Hockey,1,0,0,0,1,1,2024,0.079861291,6185,1997,31
Fernando Bugallo,ARG,Hockey,0,0,1,0,0,1,2020,0,22629,1995,33
Federico Monja,ARG,Hockey,0,0,1,0,0,1,2024,0,22629,1993,35
Ezequiel Habif,ARG,Hockey,0,0,1,0,0,1,2020,0,22629,1996,32
Bautista Capurro,ARG,Hockey,0,0,1,0,0,1,2024,0,22629,2003,25
Agustin Mazzilli,ARG,Hockey,0,0,1,0,0,1,2024,0,22629,1989,39
Agustin Bugallo,ARG,Hockey,0,0,1,0,0,1,2024,0,22629,1995,33
Alejandro Mazzilli,ARG,Hockey,0,0,1,0,0,1,2020,0,22629,1989,39
Juan Catan,ARG,Hockey,0,0,1,0,0,1,2024,0,22629,1995,33
Nahuel Salis,ARG,Hockey,0,0,1,0,0,1,2020,0,22629,1989,39
Maico Casella,ARG,Hockey,0,0,1,0,0,1,2020,0,22629,1997,31
Lucas Martinez,ARG,Hockey,0,0,1,0,0,1,2020,0,22629,1996,32
Lucas Toscani,ARG,Hockey,0,0,1,0,0,1,2024,0,22629,1999,29
Sofia Fiora,ARG,Judo,0,0,1,0,0,1,2024,0,22629,1996,32
Franco Serrano,ARG,Modern Pentathlon,0,0,1,0,0,1,2024,0,22629,2000,28
Evelyn Silvestro,ARG,Rowing,0,0,1,0,0,1,2024,0,22629,1999,29
Maricel Silvestro,ARG,Rowing,0,0,1,0,0,1,2020,0,22629,1999,29
Rodrigo Etchart,ARG,Rugby Sevens,1,0,1,0,1,2,2020,0.079870749,5334,1994,34
Ignacio Mendy,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185,2000,28
German Schulz,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185,1994,34
Lucio Cinti,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185,2000,28
Luciano Gonzalez,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185,1997,31
Marcos Moneta,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185,2000,28
Lautaro Bazan,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185,1996,32
Santiago Mare,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185,1996,32
Rodrigo Isgro,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185,1999,29
Matias Osadczuk,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185,1997,31
Agustin Fraga,ARG,Rugby Sevens,0,0,1,0,0,1,2024,0,22629,2002,26
Joaquin Pellandini,ARG,Rugby Sevens,0,0,1,0,0,1,2024,0,22629,1999,29
Santiago Vera,ARG,Rugby Sevens,0,0,1,0,0,1,2024,0,22629,1998,30
Tobias Wade,ARG,Rugby Sevens,0,0,1,0,0,1,2024,0,22629,1999,29
Mateo Majdalani,ARG,Sailing,0,0,0,1,1,1,2024,0.086108042,2712,1994,34
Eugenia Bosco,ARG,Sailing,0,0,0,1,1,1,2024,0.086108042,2712,1997,31
Lucia Falasca,ARG,Sailing,0,0,2,0,0,2,2020,0.001165157,11953,1993,35
Victoria Travascio,ARG,Sailing,0,0,2,0,0,2,2020,0.001165157,11953,1988,40
Cruz Saubidet,ARG,Sailing,0,0,1,0,0,1,2020,0,22629,1998,30
Celia Tejerina,ARG,Sailing,0,0,1,0,0,1,2020,0,22629,1994,34
Catalina Turienzo,ARG,Sailing,0,0,1,0,0,1,2024,0,22629,2006,22
Exequiel Eberhardt,ARG,Shooting,0,0,3,0,0,3,2020,0.002327667,8721,1999,29
Fernanda Russo,ARG,Shooting,0,0,3,0,0,3,2020,0.002327667,8721,1999,29
Matias Dell,ARG,Skateboarding,0,0,1,0,0,1,2024,0,22629,1996,32
Mauro Iglesias,ARG,Skateboarding,0,0,1,0,0,1,2024,0,22629,2000,28
Santiago Grassi,ARG,Swimming,0,0,3,0,0,3,2020,0.002327667,8721,1996,32
Delfina Pignatiello,ARG,Swimming,0,0,2,0,0,2,2020,0.001165157,11953,2000,28
Agostina Hein,ARG,Swimming,0,0,2,0,0,2,2024,0.001165157,11953,2008,20
Horacio Cifuentes,ARG,Table Tennis,0,0,1,0,0,1,2020,0,22629,1998,30
Lautaro Guzman,ARG,Taekwondo,0,0,1,0,0,1,2020,0,22629,2000,28
Diego Schwartzman,ARG,Tennis,0,0,2,0,0,2,2020,0.001165157,11953,1992,36
Facundo Bagnis,ARG,Tennis,0,0,2,0,0,2,2020,0.001165157,11953,1990,38
Nadia Podoroska,ARG,Tennis,0,0,2,0,0,2,2020,0.001165157,11953,1997,31
Lourdes Carle,ARG,Tennis,0,0,2,0,0,2,2024,0.001165157,11953,2000,28
Martin Etcheverry,ARG,Tennis,0,0,2,0,0,2,2024,0.001165157,11953,1999,29
Mariano Navone,ARG,Tennis,0,0,2,0,0,2,2024,0.001165157,11953,2001,27
Andres Molteni,ARG,Tennis,0,0,1,0,0,1,2020,0,22629,1988,40
Federico Coria,ARG,Tennis,0,0,1,0,0,1,2020,0,22629,1992,36
Romina Biagioli,ARG,Triathlon,0,0,1,0,0,1,2020,0,22629,1989,39
Cristian Poglajen,ARG,Volleyball,1,0,2,0,1,3,2020,0.079894383,4975,1989,39
Facundo Conte,ARG,Volleyball,1,0,2,0,1,3,2020,0.079894383,4975,1989,39
Ezequiel Palacios,ARG,Volleyball,1,0,1,0,1,2,2020,0.079870749,5334,1992,36
Federico Pereyra,ARG,Volleyball,1,0,1,0,1,2,2020,0.079870749,5334,1988,40
Agustin Loser,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185,1997,31
Martin Ramos,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185,1991,37
Bruno Lima,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185,1996,32
Sebastian Sole,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185,1991,37
Santiago Danani,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185,1995,33
Nicolas Mendez,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185,1992,36
Erika Mercado,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629,1992,36
Eugenia Nosach,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629,1993,35
Constanza Lazcano,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629,1989,39
Artur Davtyan,ARM,Artistic Gymnastics,1,0,1,0,1,2,2020,0.079870749,5334,1992,36
Vahagn Davtyan,ARM,Artistic Gymnastics,0,0,2,0,0,2,2024,0.001165157,11953,1988,40
Levon Aghasyan,ARM,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1995,33
Hovhannes Bachkov,ARM,Boxing,1,0,1,0,1,2,2020,0.079870749,5334,1992,36
Elmira Karapetyan,ARM,Shooting,0,0,1,0,0,1,2020,0,22629,1994,34
Artur Barseghyan,ARM,Swimming,0,0,2,0,0,2,2020,0.001165157,11953,2002,26
Varsenik Manucharyan,ARM,Swimming,0,0,1,0,0,1,2020,0,22629,2003,25
Simon Martirosyan,ARM,Weightlifting,0,0,0,2,2,2,2020,0.164759793,397,1997,31
Gor Minasyan,ARM,Weightlifting,0,0,0,1,1,1,2020,0.086108042,2712,1994,34
Varazdat Lalayan,ARM,Weightlifting,0,0,0,1,1,1,2024,0.086108042,2712,1999,29
Artur Aleksanyan,ARM,Wrestling,1,1,0,1,3,3,2020,0.159277166,442,1991,37
Malkhas Amoyan,ARM,Wrestling,1,0,0,0,1,1,2024,0.079861291,6185,1999,29
Armen Melikyan,ARM,Wrestling,0,0,1,0,0,1,2020,0,22629,1996,32
Karapet Chalyan,ARM,Wrestling,0,0,1,0,0,1,2020,0,22629,1993,35
Karen Aslanyan,ARM,Wrestling,0,0,1,0,0,1,2020,0,22629,1995,33
Shanayah Howell,ARU,Cycling BMX Racing,0,0,1,0,0,1,2024,0,22629,1999,29
Mikel Schreuders,ARU,Swimming,0,0,3,0,0,3,2020,0.002327667,8721,1998,30
Allyson Ponson,ARU,Swimming,0,0,2,0,0,2,2020,0.001165157,11953,1995,33
Filomenaleonisa Iakopo,ASA,Athletics,0,0,1,0,0,1,2024,0,22629,2006,22
Micah Masei,ASA,Swimming,0,0,1,0,0,1,2020,0,22629,1999,29
Anneli Maley,AUS,3x3 Basketball,0,0,1,0,0,1,2024,0,22629,1998,30
Lauren Mansfield,AUS,3x3 Basketball,0,0,1,0,0,1,2024,0,22629,1989,39
Marena Whittle,AUS,3x3 Basketball,0,0,1,0,0,1,2024,0,22629,1994,34
Amy Atwell,AUS,"3x3 Basketball, Basketball",0,0,1,0,0,1,2024,0,22629,1998,30
Taylor Worth,AUS,Archery,1,0,5,0,1,6,2020,0.080050158,4757,1991,37
Ryan Tyack,AUS,Archery,1,0,3,0,1,4,2020,0.07993218,4857,1991,37
Jesse Moore,AUS,Artistic Gymnastics,0,0,8,0,0,8,2024,0.008100656,6917,2003,25
Ruby Pass,AUS,Artistic Gymnastics,0,0,7,0,0,7,2024,0.006951319,7022,2007,21
Emma Nedov,AUS,Artistic Gymnastics,0,0,7,0,0,7,2024,0.006951319,7022,1996,32
Breanna Scott,AUS,Artistic Gymnastics,0,0,6,0,0,6,2024,0.005799355,7170,2001,27
Emily Whitehead,AUS,Artistic Gymnastics,0,0,5,0,0,5,2020,0.004644761,7393,2000,28
Georgia Godwin,AUS,Artistic Gymnastics,0,0,5,0,0,5,2020,0.004644761,7393,1997,31
Amie Thompson,AUS,Artistic Swimming,0,0,2,0,0,2,2020,0.001165157,11953,1996,32
Emily Rogers,AUS,Artistic Swimming,0,0,2,0,0,2,2020,0.001165157,11953,1998,30
Rayna Buckle,AUS,Artistic Swimming,0,0,2,0,0,2,2024,0.001165157,11953,2000,28
Anastasia Kusmawan,AUS,Artistic Swimming,0,0,1,0,0,1,2024,0,22629,2005,23
Carolyn Buckle,AUS,Artistic Swimming,0,0,1,0,0,1,2020,0,22629,2000,28
Georgia Courage-gardiner,AUS,Artistic Swimming,0,0,1,0,0,1,2024,0,22629,2003,25
Hannah Burkhill,AUS,Artistic Swimming,0,0,1,0,0,1,2020,0,22629,2000,28
Alessandra Ho,AUS,Artistic Swimming,0,0,1,0,0,1,2020,0,22629,2000,28
Kiera Gazzard,AUS,Artistic Swimming,0,0,1,0,0,1,2020,0,22629,2001,27
McDERMOTT Nicola,AUS,Athletics,0,0,0,1,1,1,2020,0.086108042,2712,1996,32
Nicola Olyslagers,AUS,Athletics,0,0,0,1,1,1,2024,0.086108042,2712,1996,32
Ashley Moloney,AUS,Athletics,1,0,0,0,1,1,2020,0.079861291,6185,2000,28
Kelsey-lee Barber,AUS,Athletics,1,0,0,0,1,1,2020,0.079861291,6185,1991,37
Henry Frayne,AUS,Athletics,0,0,4,0,0,4,2020,0.003487533,7794,1990,38
Steven Solomon,AUS,Athletics,0,0,3,0,0,3,2020,0.002327667,8721,1993,35
Morgan Mitchell,AUS,Athletics,0,0,3,0,0,3,2020,0.002327667,8721,1994,34
Patrick Tiernan,AUS,Athletics,0,0,3,0,0,3,2020,0.002327667,8721,1994,34
Peter Bol,AUS,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1994,34
Joshua Azzopardi,AUS,Athletics,0,0,2,0,0,2,2024,0.001165157,11953,1999,29
Kurtis Marschall,AUS,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1997,31
Lauren Ryan,AUS,Athletics,0,0,2,0,0,2,2024,0.001165157,11953,1992,36
Ella Connolly,AUS,Athletics,0,0,2,0,0,2,2024,0.001165157,11953,2000,28
Rhydian Cowley,AUS,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1991,37
Matthew Denny,AUS,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1996,32
Linden Hall,AUS,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1991,37
Eleanor Patterson,AUS,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1996,32
