NOC,Name,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals,Birth_Year,Total_Competitions
ARG,Celia Tejerina,0,0,0,0,1994,1
ARG,Claudio Bravo,0,0,0,0,1983,1
ARG,Claudio Echeverri,0,0,0,0,2006,1
ARG,Constanza Lazcano,0,0,0,0,1989,1
ARG,Cristian Medina,0,0,0,0,2002,1
ARG,Cristian Poglajen,1,0,0,1,1989,1
ARG,Cristina Cosentino,1,0,0,1,1997,1
ARG,Cristina Gomez,0,0,0,0,1998,1
ARG,Cruz Saubidet,0,0,0,0,1998,1
ARG,Daiana Ocampo,0,0,0,0,1991,1
ARG,Damian Jajarabilla,0,0,0,0,1999,1
ARG,Daniela Bulaich,0,0,0,0,1997,1
ARG,Dario Moscariello,0,0,0,0,1992,1
ARG,Delfina Merino,1,0,1,0,1989,1
ARG,Delfina Pignatiello,0,0,0,0,2000,2
ARG,Diego Schwartzman,0,0,0,0,1992,2
ARG,Diego Simonet,0,0,0,0,1989,1
ARG,Eduardo Sepulveda,0,0,0,0,1991,2
ARG,Elian Larregina,0,0,0,0,2000,1
ARG,Emilia Forcherio,1,0,1,0,1995,1
ARG,Emiliano Grillo,0,0,0,0,1992,1
ARG,Emiliano Villegas,0,0,0,0,1967,1
ARG,Emmanuel Lucenti,0,0,0,0,1984,1
ARG,Erika Mercado,0,0,0,0,1992,1
ARG,Esequiel Barco,0,0,0,0,1999,1
ARG,Esteban Simonet,0,0,0,0,1989,1
ARG,Eugenia Bosco,1,0,1,0,1997,1
ARG,Eugenia Nosach,0,0,0,0,1993,1
ARG,Eugenia Trinchinetti,1,0,0,1,1997,1
ARG,Eulalio Munoz,0,0,0,0,1995,1
ARG,Evelyn Silvestro,0,0,0,0,1999,1
ARG,Exequiel Eberhardt,0,0,0,0,1999,3
ARG,Ezequiel Fernandez,0,0,0,0,1886,1
ARG,Ezequiel Habif,0,0,0,0,1996,1
ARG,Ezequiel Palacios,1,0,0,1,1992,2
ARG,Ezequiel Ponce,0,0,0,0,1997,1
ARG,Fabian Sejanes,0,0,0,0,1969,2
ARG,Facundo Bagnis,0,0,0,0,1990,2
ARG,Facundo Campazzo,0,0,0,0,1991,1
ARG,Facundo Conte,1,0,0,1,1989,2
ARG,Facundo Medina,0,0,0,0,1999,1
ARG,Fausto Vera,0,0,0,0,2000,1
ARG,Federico Coria,0,0,0,0,1992,1
ARG,Federico Fernandez,0,0,0,0,1989,1
ARG,Federico Gil,0,0,0,0,1915,2
ARG,Federico Monja,0,0,0,0,1993,1
ARG,Federico Pereyra,1,0,0,1,1988,1
ARG,Federico Pizarro,0,0,0,0,1927,2
ARG,Fernanda Pereyra,0,0,0,0,1991,1
ARG,Fernanda Russo,0,0,0,0,1999,4
ARG,Fernando Bugallo,0,0,0,0,1995,1
ARG,Fernando Valenzuela,0,0,0,0,1960,1
ARG,Florencia Borelli,0,0,0,0,1992,1
ARG,Francisco Caffaro,0,0,0,0,2000,1
ARG,Francisco Cerundolo,0,0,0,0,1998,3
ARG,Francisco Cruz,0,0,0,0,1989,1
ARG,Francisco Guaragna,0,0,0,0,1997,2
ARG,Francisco Ortega,0,0,0,0,1901,1
ARG,Franco Serrano,0,0,0,0,2000,1
ARG,Gabriel Deck,0,0,0,0,1995,1
ARG,Gaston Alto,0,0,0,0,1985,1
ARG,Gaston Fernandez,0,0,0,0,1983,1
ARG,Gaston Mourino,0,0,0,0,1994,1
ARG,Gaston Revol,1,0,0,1,1986,2
ARG,German Chiaraviglio,0,0,0,0,1987,1
ARG,German Schulz,1,0,0,1,1994,2
ARG,Geronimo Rulli,0,0,0,0,1992,1
ARG,Giuliano Simeone,0,0,0,0,2002,1
ARG,Gonzalo Lujan,0,0,0,0,2001,1
ARG,Guillermo Fischer,0,0,0,0,1996,1
ARG,Hernan De,0,0,0,0,1997,1
ARG,Horacio Cifuentes,0,0,0,0,1998,1
ARG,Horacio Ortiz,0,0,0,0,1900,1
ARG,Horacio Zeballos,0,0,0,0,1985,2
ARG,Ignacio Mendy,1,0,0,1,2000,1
ARG,Ignacio Paz,0,0,0,0,1992,1
ARG,Ignacio Pizarro,0,0,0,0,1990,2
ARG,Inaki Minadeo,0,0,0,0,2003,1
ARG,Isabel Costa,1,0,1,0,1995,1
ARG,James Parker,0,0,0,0,1842,1
ARG,Jan Martinez,0,0,0,0,1998,1
ARG,Jehiel Cuello,0,0,0,0,2000,1
ARG,Jeremias Ledesma,0,0,0,0,1993,1
ARG,Joaquin Arbe,0,0,0,0,1990,1
ARG,Joaquin Blazquez,0,0,0,0,1946,1
ARG,Joaquin Gomez,0,0,0,0,1996,1
ARG,Joaquin Pellandini,0,0,0,0,1999,1
ARG,Jose Granatto,1,0,1,0,1995,1
ARG,Jose Torres,1,1,0,0,1936,1
ARG,Juan Bar,0,0,0,0,1987,1
ARG,Juan Catan,0,0,0,0,1995,1
ARG,Juana Castellaro,1,0,0,1,2005,1
ARG,Julia Sebastian,0,0,0,0,1993,2
ARG,Julieta Jankunas,2,0,1,1,1999,2
ARG,Julio Soler,0,0,0,0,2005,1
ARG,Kevin Zenon,0,0,0,0,2001,1
ARG,Lara Casas,1,0,0,1,2004,1
ARG,Lautaro Bazan,1,0,0,1,1996,1
ARG,Lautaro Guzman,0,0,0,0,2000,1
ARG,Lautaro Morales,0,0,0,0,1999,1
ARG,Leandro Bolmaro,0,0,0,0,2000,1
ARG,Leandro Brey,0,0,0,0,2002,1
ARG,Leandro Tolini,0,0,0,0,1990,1
ARG,Leandro Usuna,0,0,0,0,1987,1
ARG,Leonel Maciel,0,0,0,0,1989,1
ARG,Leonel Mosevich,0,0,0,0,1997,1
ARG,Lourdes Carle,0,0,0,0,2000,2
ARG,Lourdes Hartkopf,0,0,0,0,1996,1
ARG,Luca Vildoza,0,0,0,0,1995,1
ARG,Lucas Beltran,0,0,0,0,2001,1
ARG,Lucas Guzman,0,0,0,0,1994,1
ARG,Lucas Martinez,0,0,0,0,1996,2
ARG,Lucas Moscariello,0,0,0,0,1992,1
ARG,Lucas Rossi,0,0,0,0,1985,1
ARG,Lucas Toscani,0,0,0,0,1999,1
ARG,Lucia Falasca,0,0,0,0,1993,2
ARG,Lucia Herrera,0,0,0,0,1999,1
ARG,Luciano Gondou,0,0,0,0,2001,1
ARG,Luciano Gonzalez,1,0,0,1,1997,2
ARG,Luciano Palonsky,0,0,0,0,1999,1
ARG,Luciano Vicentin,0,0,0,0,2000,1
ARG,Lucio Cinti,1,0,0,1,2000,1
ARG,Luis Scola,0,0,0,0,1980,1
ARG,Mac Alexis,0,0,0,0,1998,1
ARG,Macarena Ceballos,0,0,0,0,1995,2
ARG,Magdalena Simmermacher,0,0,0,0,1996,1
ARG,Maico Casella,0,0,0,0,1997,2
ARG,Manuel Bar,0,0,0,0,1955,1
ARG,Manuel Vivaldi,0,0,0,0,1979,1
ARG,Marcelo Herrera,0,0,0,0,1992,1
ARG,Marcos Delia,0,0,0,0,1992,1
ARG,Marcos Moneta,1,0,0,1,2000,2
ARG,Maria Campoy,1,0,0,1,1925,1
ARG,Maria Granatto,1,0,0,1,1995,1
ARG,Maria Trinchinetti,1,0,1,0,,1
ARG,Mariano Navone,0,0,0,0,2001,2
ARG,Maricel Silvestro,0,0,0,0,1999,1
ARG,Mario Olezza,0,0,0,0,1994,1
ARG,Martin Dopazo,0,0,0,0,1969,2
ARG,Martin Etcheverry,0,0,0,0,1999,2
ARG,Martin Lopez,0,0,0,0,1978,1
ARG,Martin Payero,0,0,0,0,1998,1
ARG,Martin Ramos,1,0,0,1,1991,2
ARG,Martin Vila,0,0,0,0,1986,1
ARG,Mateo Majdalani,1,0,1,0,1994,1
ARG,Matias Albarracin,0,0,0,0,1979,2
ARG,Matias Carou,0,0,0,0,1979,1
ARG,Matias Dell,0,0,0,0,1996,1
ARG,Matias Osadczuk,1,0,0,1,1997,2
ARG,Matias Rey,0,0,0,0,1984,1
ARG,Matias Sanchez,1,0,0,1,1987,2
ARG,Matteo Graziano,0,0,0,0,1941,1
ARG,Mauro Iglesias,0,0,0,0,2000,1
ARG,Maximo Gonzalez,0,0,0,0,1983,2
ARG,Melisa Gil,0,0,0,0,1984,1
ARG,Micaela Retegui,1,0,1,0,1996,1
ARG,Milka Kraljev,0,0,0,0,1982,1
ARG,Nadia Podoroska,0,0,0,0,1997,5
ARG,Nahuel Molina,0,0,0,0,1998,1
ARG,Nahuel Salis,0,0,0,0,1989,1
ARG,Nazareno Sasia,0,0,0,0,2001,1
ARG,Nehuen Perez,0,0,0,0,2000,1
ARG,Nicanor Quiroga,0,0,0,0,1997,1
ARG,Nicolas Bonanno,0,0,0,0,1991,2
ARG,Nicolas Bono,0,0,0,0,1997,1
ARG,Nicolas Brussino,0,0,0,0,1993,1
ARG,Nicolas Capogrosso,0,0,0,0,1995,1
ARG,Nicolas Cicileo,0,0,0,0,1993,1
ARG,Nicolas Della,0,0,0,0,1990,1
ARG,Nicolas Keenan,0,0,0,0,1997,1
ARG,Nicolas Laprovittola,0,0,0,0,1990,1
ARG,Nicolas Mendez,1,0,0,1,1992,1
ARG,Nicolas Otamendi,0,0,0,0,1988,1
ARG,Nicolas Torres,0,0,0,0,1983,1
ARG,Nicolas Zerba,0,0,0,0,1999,1
ARG,Noel Barrionuevo,1,0,1,0,1984,1
ARG,Pablo Simonet,0,0,0,0,1992,1
ARG,Pablo Vainstein,0,0,0,0,1989,1
ARG,Pablo Vaulet,0,0,0,0,1996,1
ARG,Patricio Garino,0,0,0,0,1993,1
ARG,Paula Pareto,0,0,0,0,1986,1
ARG,Pedro Ibarra,0,0,0,0,1985,1
ARG,Pedro Martinez,0,0,0,0,1971,2
ARG,Rafael Rossi,0,0,0,0,1896,1
ARG,Ramiro Martinez,0,0,0,0,1970,1
ARG,Raul Lange,0,0,0,0,1900,1
ARG,Rocio Sanchez,2,0,1,1,1988,2
ARG,Rodrigo Etchart,1,0,0,1,1994,1
ARG,Rodrigo Isgro,1,0,0,1,1999,2
ARG,Romina Biagioli,0,0,0,0,1989,2
ARG,Ruben Rezola,0,0,0,0,1991,1
ARG,Santiago Alvarez,1,0,0,1,1950,2
ARG,Santiago Baronetto,0,0,0,0,1992,1
ARG,Santiago Colombatto,0,0,0,0,1997,1
ARG,Santiago Danani,1,0,0,1,1995,2
ARG,Santiago Grassi,0,0,0,0,1996,2
ARG,Santiago Hezze,0,0,0,0,2001,1
ARG,Santiago Lorenzo,0,0,0,0,1964,1
ARG,Santiago Mare,1,0,0,1,1996,2
ARG,Santiago Tarazona,0,0,0,0,1996,1
ARG,Santiago Vera,0,0,0,0,1998,1
ARG,Sebastian Baez,0,0,0,0,2000,1
ARG,Sebastian Sole,1,0,0,1,1991,1
ARG,Sergio Koukartsev,0,0,0,0,1993,1
ARG,Sergio Maciel,0,0,0,0,1965,1
ARG,Sergio Villamayor,0,0,0,0,1989,1
ARG,Sofia Cairo,1,0,0,1,2002,1
ARG,Sofia Fiora,0,0,0,0,1996,1
ARG,Sofia Gomez,0,0,0,0,1983,1
ARG,Sofia Maccari,1,0,1,0,1984,1
ARG,Sofia Toccalino,2,0,1,1,1997,2
ARG,Sol Branz,0,0,0,0,1990,1
ARG,Soledad Germanier,0,0,0,0,1999,1
ARG,Soledad Rizzo,0,0,0,0,1986,1
ARG,Tadeo Marcucci,0,0,0,0,2001,1
ARG,Tayavek Gallizzi,0,0,0,0,1993,1
ARG,Thiago Almada,0,0,0,0,2001,2
ARG,Thomas Habif,0,0,0,0,1996,1
ARG,Tobias Martins,0,0,0,0,1998,1
ARG,Tobias Wade,0,0,0,0,1999,1
ARG,Tomas Belmonte,0,0,0,0,1998,1
ARG,Tomas Domene,0,0,0,0,1997,1
ARG,Tomas Elizalde,0,0,0,0,2002,1
ARG,Tomas Santiago,0,0,0,0,1992,1
ARG,Ulises Saravia,0,0,0,0,2005,1
ARG,Valentina Raposo,2,0,1,1,2003,2
ARG,Victoria Granatto,1,0,1,0,1991,1
ARG,Victoria Mayer,0,0,0,0,2001,1
ARG,Victoria Sauze,2,0,1,1,1991,2
ARG,Victoria Travascio,0,0,0,0,1988,1
ARG,Virginia Bardach,0,0,0,0,1992,1
ARG,Yamila Nizetich,0,0,0,0,1989,1
ARG,Zoe Diaz,1,0,0,1,2006,1
ARG,de Luciano,1,0,0,1,,2
ARG,del Felipe,1,0,0,1,1821,1
ARG,di Marco,0,0,0,0,1970,1
ARG,di Maria,0,0,0,0,1988,1
ARM,Andranik Karapetyan,0,0,0,0,1995,1
ARM,Arman Darchinyan,0,0,0,0,1994,1
ARM,Armen Melikyan,0,0,0,0,1996,1
ARM,Arsen Harutyunyan,0,0,0,0,1968,2
ARM,Artur Aleksanyan,2,0,2,0,1991,2
ARM,Artur Barseghyan,0,0,0,0,2002,3
ARM,Artur Davtyan,2,0,1,1,1992,4
ARM,Davit Chaloyan,0,0,0,0,1997,1
ARM,Elmira Karapetyan,0,0,0,0,1994,2
ARM,Ferdinand Karapetian,0,0,0,0,1992,1
ARM,Garik Karapetyan,0,0,0,0,2003,1
ARM,Hovhannes Bachkov,1,0,0,1,1992,1
ARM,Izabella Yaylyan,0,0,0,0,1995,1
ARM,Karapet Chalyan,0,0,0,0,1993,1
ARM,Karen Aslanyan,0,0,0,0,1995,1
ARM,Koryun Soghomonyan,0,0,0,0,1993,1
ARM,Levon Aghasyan,0,0,0,0,1995,1
ARM,Malkhas Amoyan,1,0,0,1,1999,1
ARM,Simon Martirosyan,1,0,1,0,1997,1
ARM,Slavik Galstyan,0,0,0,0,1996,1
ARM,Vahagn Davtyan,0,0,0,0,1988,2
ARM,Varazdat Lalayan,1,0,1,0,1999,1
ARM,Varsenik Manucharyan,0,0,0,0,2003,2
ARM,Vazgen Tevanyan,0,0,0,0,1999,2
ARM,Yervand Mkrtchyan,0,0,0,0,1996,1
ARU,Allyson Ponson,0,0,0,0,1995,1
ARU,Chloe Farro,0,0,0,0,2003,1
ARU,Mikel Schreuders,0,0,0,0,1998,4
ARU,Philip Elhage,0,0,0,0,1982,1
ARU,Shanayah Howell,0,0,0,0,1999,1
ASA,Adrian Hoesch,0,0,0,0,1993,1
ASA,Filomenaleonisa Iakopo,0,0,0,0,2006,1
ASA,Justus Paige,0,0,0,0,1995,1
ASA,Malietoa Jungblut,0,0,0,0,1990,1
ASA,Micah Masei,0,0,0,0,1999,2
ASA,Nathan Crumpton,0,0,0,0,1985,1
ASA,Tilali Scanlan,0,0,0,0,1999,1
AUS,Aaron Royle,0,0,0,0,1990,2
AUS,Aaron Younger,0,0,0,0,1991,1
AUS,Abbey Caldwell,0,0,0,0,2001,1
AUS,Abbey Harkin,0,0,0,0,1998,1
AUS,Abby Andrews,1,0,1,0,2000,2
AUS,Adam Spencer,0,0,0,0,1969,1
AUS,Aidan Roach,0,0,0,0,1990,1
AUS,Aislin Jones,0,0,0,0,2000,2
AUS,Aivi Luik,0,0,0,0,1985,1
AUS,Ajla Tomljanovic,0,0,0,0,1993,3
AUS,Alanah Yukich,0,0,0,0,1998,1
AUS,Alanna Kennedy,0,0,0,0,1995,2
AUS,Alanna Smith,1,0,0,1,1996,2
AUS,Alannah Mathews,0,0,0,0,1999,1
AUS,Alessandra Ho,0,0,0,0,2000,1
AUS,Alex Beck,0,0,0,0,1992,1
AUS,Alex Hill,0,0,0,0,1906,1
AUS,Alex Wilson,0,0,0,0,1990,1
AUS,Alex Winwood,0,0,0,0,1997,1
AUS,Alexander Graham,2,0,0,2,1847,2
AUS,Alexander Hill,1,1,0,0,1993,1
AUS,Alexander Porter,1,0,0,1,1996,1
AUS,Alexander Purnell,1,1,0,0,1995,1
AUS,Alexandra Aristoteli,0,0,0,0,1997,1
AUS,Alexandra Clarke,0,0,0,0,1999,1
AUS,Alexandra Kiroi-bogatyreva,0,0,0,0,2002,1
AUS,Alexandra Manly,0,0,0,0,1996,5
AUS,Alexandria Perkins,1,0,1,0,2000,2
AUS,Alexei Popyrin,0,0,0,0,1999,2
AUS,Alice Arnott,0,0,0,0,1998,1
AUS,Alice Ingley,0,0,0,0,1993,2
AUS,Alice Williams,1,0,1,0,1998,1
AUS,Aly Bull,0,0,0,0,1995,2
AUS,Alyce Wood,0,0,0,0,1992,3
AUS,Alysha Koloi,0,0,0,0,2001,1
AUS,Alysia Lefau-fakaosilea,0,0,0,0,2000,1
AUS,Alyssa Bull,0,0,0,0,1995,2
AUS,Amanda Bateman,0,0,0,0,1996,2
AUS,Amanda Spratt,0,0,0,0,1987,1
AUS,Amber Fuller,0,0,0,0,1976,1
AUS,Ambrosia Malone,0,0,0,0,1998,1
AUS,Amie Thompson,0,0,0,0,1996,2
AUS,Amy Atwell,0,0,0,0,1998,1
AUS,Amy Cashin,0,0,0,0,1994,2
