NOC,Name,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals
ALG,Chaima Benadouda,0,0,0,0
ALG,Chouaib Bouloudinats,0,0,0,0
ALG,Diana Bouzidi,0,0,0,0
ALG,Djahid Berrahal,0,0,0,0
ALG,Djamel Sedjati,1,0,0,1
ALG,Dounia Khelif,0,0,0,0
ALG,Elkrim Ouakali,0,0,0,0
ALG,Fadi Rouabah,0,0,0,0
ALG,Fateh Benferdjallah,0,0,0,0
ALG,Fethi Nourine,0,0,0,0
ALG,Fouzia Aouissi,0,0,0,0
ALG,Hamza Bouras,0,0,0,0
ALG,Hamza Mansouri,0,0,0,0
ALG,Hichem Bouchicha,0,0,0,0
ALG,Houda Chaabi,0,0,0,0
ALG,Ibtissem Doudou,0,0,0,0
ALG,Ichrak Chaib,0,0,0,0
ALG,Imane Khelif,1,1,0,0
ALG,Ishak Ghaiou,0,0,0,0
ALG,Jaouad Syoud,0,0,0,0
ALG,Jugurtha Ait,0,0,0,0
ALG,Kamel Ait,0,0,0,0
ALG,Kaouther Mohamed,0,0,0,0
ALG,Kaylia Nemour,1,1,0,0
ALG,Koceila Adoul,0,0,0,0
ALG,Koceila Mammeri,0,0,0,0
ALG,Lamya Matoub,0,0,0,0
ALG,Larbi Bouriah,0,0,0,0
ALG,Loubna Benhadja,0,0,0,0
ALG,Lynda Loghraibi,0,0,0,0
ALG,Mehdi Bouloussa,0,0,0,0
ALG,Mehdi Lili,0,0,0,0
ALG,Meriem Mebarki,0,0,0,0
ALG,Mohamed Flissi,0,0,0,0
ALG,Mohamed Triki,0,0,0,0
ALG,Mohammed Fardj,0,0,0,0
ALG,Mohammed Houmri,0,0,0,0
ALG,Mohammed Triki,0,0,0,0
ALG,Mourad Kadi,0,0,0,0
ALG,Nadjet Berrichi,0,0,0,0
ALG,Nefissa Cherouati,0,0,0,0
ALG,Nesrine Houili,0,0,0,0
ALG,Nesrine Medjahed,0,0,0,0
ALG,Nihed Benchadli,0,0,0,0
ALG,Nora Kehli,0,0,0,0
ALG,Oussama Khennoussi,0,0,0,0
ALG,Oussama Sahnoune,0,0,0,0
ALG,Rami Boudrouma,0,0,0,0
ALG,Redouane Dris,0,0,0,0
ALG,Roumaysa Boualam,0,0,0,0
ALG,Salim Heroui,0,0,0,0
ALG,Samir Bouchireb,0,0,0,0
ALG,Saoussen Boudiaf,0,0,0,0
ALG,Slimane Moula,0,0,0,0
ALG,Sonia Asselah,0,0,0,0
ALG,Violette Mammeri,0,0,0,0
ALG,Walid Bidani,0,0,0,0
ALG,Yacine Hamza,0,0,0,0
ALG,Yassine Hethat,0,0,0,0
ALG,Younes Nemouchi,0,0,0,0
ALG,Zahra Tatar,0,0,0,0
AND,Monica Doria,0,0,0,0
AND,Nahuel Carabana,0,0,0,0
AND,Pol Moya,0,0,0,0
ANG,Albertina Kassoma,0,0,0,0
ANG,Andre Matias,0,0,0,0
ANG,Aveni Miguel,0,0,0,0
ANG,Azenaide Carlos,0,0,0,0
ANG,Benilson Sanda,0,0,0,0
ANG,Catarina Sousa,0,0,0,0
ANG,Chelcia Gabriel,0,0,0,0
ANG,Diassonema Mucungui,0,0,0,0
ANG,Dolores Rosario,0,0,0,0
ANG,Edmilson Pedro,0,0,0,0
ANG,Eliane Paulo,0,0,0,0
ANG,Filipe Andre,0,0,0,0
ANG,Helena Paulo,0,0,0,0
ANG,Helena Sousa,0,0,0,0
ANG,Henrique Mascarenhas,0,0,0,0
ANG,Isabel Guialo,0,0,0,0
ANG,Juliana Machado,0,0,0,0
ANG,Lia Lima,0,0,0,0
ANG,Liliana Venancio,0,0,0,0
ANG,Liliane Mario,0,0,0,0
ANG,Magda Cazanga,0,0,0,0
ANG,Manuel Antonio,0,0,0,0
ANG,Manuela Paulo,0,0,0,0
ANG,Marcos Santos,0,0,0,0
ANG,Marilia Quizelete,0,0,0,0
ANG,Marta Alberto,0,0,0,0
ANG,Matias Montinho,0,0,0,0
ANG,Natalia Fonseca,0,0,0,0
ANG,Natalia Santos,0,0,0,0
ANG,Paixao Afonso,0,0,0,0
ANG,Salvador Gordo,0,0,0,0
ANG,Stelvia Pascoal,0,0,0,0
ANG,Teresa Almeida,0,0,0,0
ANG,Vilma Nenganga,0,0,0,0
ANG,Wuta Dombaxi,0,0,0,0
ANT,Alston Ryan,0,0,0,0
ANT,Cejhae Greene,0,0,0,0
ANT,Ellie Shaw,0,0,0,0
ANT,Jadon Wuilliez,0,0,0,0
ANT,Jalese Gordon,0,0,0,0
ANT,Joella Lloyd,0,0,0,0
ANT,Samantha Roberts,0,0,0,0
ANT,Stefano Mitchell,0,0,0,0
ANT,Tiger Tyson,0,0,0,0
ARG,(jr) Larocca,0,0,0,0
ARG,Abigail Magistrati,0,0,0,0
ARG,Adolfo Gaich,0,0,0,0
ARG,Agostina Alonso,2,0,1,1
ARG,Agostina Hein,0,0,0,0
ARG,Agustin Arregui,0,0,0,0
ARG,Agustin Bugallo,0,0,0,0
ARG,Agustin Fraga,0,0,0,0
ARG,Agustin Loser,1,0,0,1
ARG,Agustin Mazzilli,0,0,0,0
ARG,Agustin Urzi,0,0,0,0
ARG,Agustin Vernice,0,0,0,0
ARG,Agustina Albertarrio,2,0,1,1
ARG,Agustina Gorzelany,2,0,1,1
ARG,Alberto Mourino,0,0,0,0
ARG,Alejandro Colomino,0,0,0,0
ARG,Alejandro Destribats,0,0,0,0
ARG,Alejandro Mazzilli,0,0,0,0
ARG,Alejandro Rey,0,0,0,0
ARG,Alejandro Simonet,0,0,0,0
ARG,Alejandro Tosti,0,0,0,0
ARG,Amado Azaad,0,0,0,0
ARG,Ana Gallay,0,0,0,0
ARG,Andres Molteni,0,0,0,0
ARG,Andres Moyano,0,0,0,0
ARG,Antonela Fortuna,0,0,0,0
ARG,Ariel Simonet,0,0,0,0
ARG,Bautista Capurro,0,0,0,0
ARG,Belen Casetta,0,0,0,0
ARG,Belen Perez,0,0,0,0
ARG,Belen Succi,1,0,1,0
ARG,Belen Tavella,0,0,0,0
ARG,Bianca Farriol,0,0,0,0
ARG,Brenda Rojas,0,0,0,0
ARG,Bruno Amione,0,0,0,0
ARG,Bruno Lima,1,0,0,1
ARG,Catalina Turienzo,0,0,0,0
ARG,Cecilia Biagioli,0,0,0,0
ARG,Cecilia Carranza,0,0,0,0
ARG,Celia Tejerina,0,0,0,0
ARG,Chiara Ferretti,0,0,0,0
ARG,Claudio Bravo,0,0,0,0
ARG,Claudio Echeverri,0,0,0,0
ARG,Constanza Lazcano,0,0,0,0
ARG,Cristian Medina,0,0,0,0
ARG,Cristian Poglajen,1,0,0,1
ARG,Cristina Cosentino,1,0,0,1
ARG,Cristina Gomez,0,0,0,0
ARG,Cruz Saubidet,0,0,0,0
ARG,Daiana Ocampo,0,0,0,0
ARG,Damian Jajarabilla,0,0,0,0
ARG,Daniel Veron,0,0,0,0
ARG,Daniela Bulaich,0,0,0,0
ARG,Dario Moscariello,0,0,0,0
ARG,Delfina Merino,1,0,1,0
ARG,Delfina Pignatiello,0,0,0,0
ARG,Diego Schwartzman,0,0,0,0
ARG,Diego Simonet,0,0,0,0
ARG,Eduardo Sepulveda,0,0,0,0
ARG,Elian Larregina,0,0,0,0
ARG,Emilia Forcherio,1,0,1,0
ARG,Emiliano Grillo,0,0,0,0
ARG,Emiliano Villegas,0,0,0,0
ARG,Emmanuel Lucenti,0,0,0,0
ARG,Erika Mercado,0,0,0,0
ARG,Esequiel Barco,0,0,0,0
ARG,Esteban Simonet,0,0,0,0
ARG,Eugenia Bosco,1,0,1,0
ARG,Eugenia Nosach,0,0,0,0
ARG,Eugenia Trinchinetti,1,0,0,1
ARG,Eulalio Munoz,0,0,0,0
ARG,Evelyn Silvestro,0,0,0,0
ARG,Exequiel Eberhardt,0,0,0,0
ARG,Ezequiel Fernandez,0,0,0,0
ARG,Ezequiel Habif,0,0,0,0
ARG,Ezequiel Palacios,1,0,0,1
ARG,Ezequiel Ponce,0,0,0,0
ARG,Fabian Sejanes,0,0,0,0
ARG,Facundo Bagnis,0,0,0,0
ARG,Facundo Campazzo,0,0,0,0
ARG,Facundo Conte,1,0,0,1
ARG,Facundo Medina,0,0,0,0
ARG,Fausto Vera,0,0,0,0
ARG,Federico Coria,0,0,0,0
ARG,Federico Fernandez,0,0,0,0
ARG,Federico Gil,0,0,0,0
ARG,Federico Monja,0,0,0,0
ARG,Federico Pereyra,1,0,0,1
ARG,Federico Pizarro,0,0,0,0
ARG,Fernanda Pereyra,0,0,0,0
ARG,Fernanda Russo,0,0,0,0
ARG,Fernando Bugallo,0,0,0,0
ARG,Fernando Valenzuela,0,0,0,0
ARG,Florencia Borelli,0,0,0,0
ARG,Francisco Caffaro,0,0,0,0
ARG,Francisco Cerundolo,0,0,0,0
ARG,Francisco Cruz,0,0,0,0
ARG,Francisco Guaragna,0,0,0,0
ARG,Francisco Ortega,0,0,0,0
ARG,Franco Serrano,0,0,0,0
ARG,Gabriel Deck,0,0,0,0
ARG,Gaston Alto,0,0,0,0
ARG,Gaston Fernandez,0,0,0,0
ARG,Gaston Mourino,0,0,0,0
ARG,Gaston Revol,1,0,0,1
ARG,German Chiaraviglio,0,0,0,0
ARG,German Schulz,1,0,0,1
ARG,Geronimo Rulli,0,0,0,0
ARG,Giuliano Simeone,0,0,0,0
ARG,Gonzalo Lujan,0,0,0,0
ARG,Guillermo Fischer,0,0,0,0
ARG,Hernan De,0,0,0,0
ARG,Horacio Cifuentes,0,0,0,0
ARG,Horacio Ortiz,0,0,0,0
ARG,Horacio Zeballos,0,0,0,0
ARG,Ignacio Mendy,1,0,0,1
ARG,Ignacio Paz,0,0,0,0
ARG,Ignacio Pizarro,0,0,0,0
ARG,Inaki Minadeo,0,0,0,0
ARG,Iohanna Sanchez,0,0,0,0
ARG,Isabel Costa,1,0,1,0
ARG,James Parker,0,0,0,0
ARG,Jan Martinez,0,0,0,0
ARG,Jehiel Cuello,0,0,0,0
ARG,Jeremias Ledesma,0,0,0,0
ARG,Joaquin Arbe,0,0,0,0
ARG,Joaquin Blazquez,0,0,0,0
ARG,Joaquin Garcia,0,0,0,0
ARG,Joaquin Gomez,0,0,0,0
ARG,Joaquin Pellandini,0,0,0,0
ARG,Jose Granatto,1,0,1,0
ARG,Jose Torres,1,1,0,0
ARG,Jr Larocca,0,0,0,0
ARG,Juan Bar,0,0,0,0
ARG,Juan Catan,0,0,0,0
ARG,Juana Castellaro,1,0,0,1
ARG,Julia Sebastian,0,0,0,0
ARG,Julian Alvarez,0,0,0,0
ARG,Julian Gutierrez,0,0,0,0
ARG,Julieta Jankunas,2,0,1,1
ARG,Julio Soler,0,0,0,0
ARG,Kevin Zenon,0,0,0,0
ARG,Lara Casas,1,0,0,1
ARG,Lautaro Bazan,1,0,0,1
ARG,Lautaro Guzman,0,0,0,0
ARG,Lautaro Morales,0,0,0,0
ARG,Leandro Bolmaro,0,0,0,0
ARG,Leandro Brey,0,0,0,0
ARG,Leandro Tolini,0,0,0,0
ARG,Leandro Usuna,0,0,0,0
ARG,Leonel Maciel,0,0,0,0
ARG,Leonel Mosevich,0,0,0,0
ARG,Lourdes Carle,0,0,0,0
ARG,Lourdes Hartkopf,0,0,0,0
ARG,Luca Vildoza,0,0,0,0
ARG,Lucas Beltran,0,0,0,0
ARG,Lucas Guzman,0,0,0,0
ARG,Lucas Martinez,0,0,0,0
ARG,Lucas Moscariello,0,0,0,0
ARG,Lucas Rossi,0,0,0,0
ARG,Lucas Toscani,0,0,0,0
ARG,Lucia Falasca,0,0,0,0
ARG,Lucia Herrera,0,0,0,0
ARG,Luciano Gondou,0,0,0,0
ARG,Luciano Gonzalez,1,0,0,1
ARG,Luciano Palonsky,0,0,0,0
ARG,Luciano Vicentin,0,0,0,0
ARG,Lucio Cinti,1,0,0,1
ARG,Luis Scola,0,0,0,0
ARG,Mac Alexis,0,0,0,0
ARG,Macarena Ceballos,0,0,0,0
ARG,Magdalena Simmermacher,0,0,0,0
ARG,Maico Casella,0,0,0,0
ARG,Manuel Bar,0,0,0,0
ARG,Manuel Vivaldi,0,0,0,0
ARG,Marcelo Herrera,0,0,0,0
ARG,Marcos Delia,0,0,0,0
ARG,Marcos Moneta,1,0,0,1
ARG,Maria Campoy,1,0,0,1
ARG,Maria Granatto,1,0,0,1
ARG,Maria Rodriguez,0,0,0,0
ARG,Maria Trinchinetti,1,0,1,0
ARG,Mariano Navone,0,0,0,0
ARG,Maricel Silvestro,0,0,0,0
ARG,Mario Olezza,0,0,0,0
ARG,Martin Dopazo,0,0,0,0
ARG,Martin Etcheverry,0,0,0,0
ARG,Martin Lopez,0,0,0,0
ARG,Martin Payero,0,0,0,0
ARG,Martin Ramos,1,0,0,1
ARG,Martin Vila,0,0,0,0
ARG,Mateo Majdalani,1,0,1,0
ARG,Matias Albarracin,0,0,0,0
ARG,Matias Carou,0,0,0,0
ARG,Matias Dell,0,0,0,0
ARG,Matias Osadczuk,1,0,0,1
ARG,Matias Rey,0,0,0,0
ARG,Matias Sanchez,1,0,0,1
ARG,Matteo Graziano,0,0,0,0
ARG,Mauro Iglesias,0,0,0,0
ARG,Maximo Gonzalez,0,0,0,0
ARG,Melisa Gil,0,0,0,0
ARG,Micaela Retegui,1,0,1,0
ARG,Milka Kraljev,0,0,0,0
ARG,Nadia Podoroska,0,0,0,0
ARG,Nahuel Molina,0,0,0,0
ARG,Nahuel Salis,0,0,0,0
ARG,Nazareno Sasia,0,0,0,0
ARG,Nehuen Perez,0,0,0,0
ARG,Nicanor Quiroga,0,0,0,0
ARG,Nicolas Bonanno,0,0,0,0
ARG,Nicolas Bono,0,0,0,0
ARG,Nicolas Brussino,0,0,0,0
ARG,Nicolas Capogrosso,0,0,0,0
ARG,Nicolas Cicileo,0,0,0,0
ARG,Nicolas Della,0,0,0,0
ARG,Nicolas Keenan,0,0,0,0
ARG,Nicolas Laprovittola,0,0,0,0
ARG,Nicolas Mendez,1,0,0,1
ARG,Nicolas Otamendi,0,0,0,0
ARG,Nicolas Torres,0,0,0,0
ARG,Nicolas Zerba,0,0,0,0
ARG,Noel Barrionuevo,1,0,1,0
ARG,Pablo Simonet,0,0,0,0
ARG,Pablo Vainstein,0,0,0,0
ARG,Pablo Vaulet,0,0,0,0
ARG,Patricio Garino,0,0,0,0
ARG,Paula Pareto,0,0,0,0
ARG,Pedro De,0,0,0,0
ARG,Pedro Dickson,0,0,0,0
ARG,Pedro Ibarra,0,0,0,0
ARG,Pedro Martinez,0,0,0,0
ARG,Rafael Rossi,0,0,0,0
ARG,Ramiro Martinez,0,0,0,0
ARG,Raul Lange,0,0,0,0
ARG,Rocio Sanchez,2,0,1,1
ARG,Rodrigo Etchart,1,0,0,1
ARG,Rodrigo Isgro,1,0,0,1
ARG,Romina Biagioli,0,0,0,0
ARG,Ruben Rezola,0,0,0,0
ARG,Santiago Alvarez,1,0,0,1
ARG,Santiago Baronetto,0,0,0,0
ARG,Santiago Colombatto,0,0,0,0
ARG,Santiago Danani,1,0,0,1
ARG,Santiago Grassi,0,0,0,0
ARG,Santiago Hezze,0,0,0,0
ARG,Santiago Keenan,0,0,0,0
ARG,Santiago Lorenzo,0,0,0,0
ARG,Santiago Mare,1,0,0,1
ARG,Santiago Tarazona,0,0,0,0
ARG,Santiago Vera,0,0,0,0
ARG,Sebastian Baez,0,0,0,0
ARG,Sebastian Sole,1,0,0,1
ARG,Sergio Koukartsev,0,0,0,0
ARG,Sergio Maciel,0,0,0,0
ARG,Sergio Villamayor,0,0,0,0
ARG,Sofia Cairo,1,0,0,1
ARG,Sofia Fiora,0,0,0,0
ARG,Sofia Gomez,0,0,0,0
ARG,Sofia Maccari,1,0,1,0
ARG,Sofia Toccalino,2,0,1,1
ARG,Sol Branz,0,0,0,0
ARG,Soledad Germanier,0,0,0,0
ARG,Soledad Rizzo,0,0,0,0
ARG,Sonia Baluzzo,0,0,0,0
ARG,Tadeo Marcucci,0,0,0,0
ARG,Tayavek Gallizzi,0,0,0,0
ARG,Thiago Almada,0,0,0,0
ARG,Thomas Habif,0,0,0,0
ARG,Tobias Martins,0,0,0,0
ARG,Tobias Wade,0,0,0,0
ARG,Tomas Belmonte,0,0,0,0
ARG,Tomas Domene,0,0,0,0
ARG,Tomas Elizalde,0,0,0,0
ARG,Tomas Santiago,0,0,0,0
ARG,Tomas Tarazona,0,0,0,0
ARG,Ulises Saravia,0,0,0,0
ARG,Valentina Raposo,2,0,1,1
ARG,Victoria Granatto,1,0,1,0
ARG,Victoria Mayer,0,0,0,0
ARG,Victoria Sauze,2,0,1,1
ARG,Victoria Travascio,0,0,0,0
ARG,Virginia Bardach,0,0,0,0
ARG,Yamila Nizetich,0,0,0,0
ARG,Zoe Diaz,1,0,0,1
ARG,de Luciano,1,0,0,1
ARG,del Felipe,1,0,0,1
ARG,di Marco,0,0,0,0
ARG,di Maria,0,0,0,0
ARM,Andranik Karapetyan,0,0,0,0
ARM,Arman Darchinyan,0,0,0,0
ARM,Armen Melikyan,0,0,0,0
ARM,Arsen Harutyunyan,0,0,0,0
ARM,Artur Aleksanyan,2,0,2,0
ARM,Artur Barseghyan,0,0,0,0
ARM,Artur Davtyan,2,0,1,1
ARM,Davit Chaloyan,0,0,0,0
ARM,Elmira Karapetyan,0,0,0,0
ARM,Ferdinand Karapetian,0,0,0,0
ARM,Garik Karapetyan,0,0,0,0
ARM,Hovhannes Bachkov,1,0,0,1
ARM,Izabella Yaylyan,0,0,0,0
ARM,Karapet Chalyan,0,0,0,0
ARM,Karen Aslanyan,0,0,0,0
ARM,Koryun Soghomonyan,0,0,0,0
ARM,Levon Aghasyan,0,0,0,0
ARM,Malkhas Amoyan,1,0,0,1
ARM,Simon Martirosyan,1,0,1,0
ARM,Slavik Galstyan,0,0,0,0
ARM,Vahagn Davtyan,0,0,0,0
ARM,Varazdat Lalayan,1,0,1,0
ARM,Varsenik Manucharyan,0,0,0,0
ARM,Vazgen Tevanyan,0,0,0,0
ARM,Yervand Mkrtchyan,0,0,0,0
ARU,Allyson Ponson,0,0,0,0
ARU,Chloe Farro,0,0,0,0
ARU,Ethan Westera,0,0,0,0
ARU,Mikel Schreuders,0,0,0,0
ARU,Phili Elhage,0,0,0,0
ARU,Philip Elhage,0,0,0,0
ARU,Shanayah Howell,0,0,0,0
ARU,van Just,0,0,0,0
ASA,Adrian Hoesch,0,0,0,0
ASA,Filomenaleonisa Iakopo,0,0,0,0
ASA,Justus Paige,0,0,0,0
ASA,Malietoa Jungblut,0,0,0,0
ASA,Micah Masei,0,0,0,0
ASA,Nathan Crumpton,0,0,0,0
ASA,Tilali Scanlan,0,0,0,0
AUS,Aaron Royle,0,0,0,0
AUS,Aaron Younger,0,0,0,0
AUS,Abbey Caldwell,0,0,0,0
AUS,Abbey Harkin,0,0,0,0
AUS,Abby Andrews,1,0,1,0
AUS,Adam Spencer,0,0,0,0
AUS,Aidan Roach,0,0,0,0
AUS,Aislin Jones,0,0,0,0
AUS,Aivi Luik,0,0,0,0
AUS,Ajla Tomljanovic,0,0,0,0
AUS,Alanah Yukich,0,0,0,0
AUS,Alanna Kennedy,0,0,0,0
AUS,Alanna Smith,1,0,0,1
AUS,Alannah Mathews,0,0,0,0
AUS,Aleksandra Stoilova,0,0,0,0
AUS,Alessandra Ho,0,0,0,0
AUS,Alex Beck,0,0,0,0
AUS,Alex Hill,0,0,0,0
AUS,Alex Purnell,0,0,0,0
AUS,Alex Wilson,0,0,0,0
AUS,Alex Winwood,0,0,0,0
AUS,Alexander Graham,2,0,0,2
AUS,Alexander Hill,1,1,0,0
AUS,Alexander Lawrence,0,0,0,0
AUS,Alexander Porter,1,0,0,1
AUS,Alexander Purnell,1,1,0,0
AUS,Alexandra Aristoteli,0,0,0,0
AUS,Alexandra Clarke,0,0,0,0
AUS,Alexandra Kiroi-bogatyreva,0,0,0,0
AUS,Alexandra Manly,0,0,0,0
AUS,Alexandria Perkins,1,0,1,0
AUS,Alexei Popyrin,0,0,0,0
AUS,Alice Arnott,0,0,0,0
AUS,Alice Ingley,0,0,0,0
AUS,Alice Williams,1,0,1,0
AUS,Allanah Pitcher,0,0,0,0
AUS,Aly Bull,0,0,0,0
AUS,Alyce Wood,0,0,0,0
AUS,Alysha Koloi,0,0,0,0
AUS,Alysia Lefau-fakaosilea,0,0,0,0
AUS,Alyssa Bull,0,0,0,0
AUS,Amanda Bateman,0,0,0,0
AUS,Amanda Spratt,0,0,0,0
AUS,Amber Fuller,0,0,0,0
AUS,Ambrosia Malone,0,0,0,0
AUS,Amie Thompson,0,0,0,0
AUS,Amy Atwell,0,0,0,0
AUS,Amy Cashin,0,0,0,0
AUS,Amy Lawton,0,0,0,0
AUS,Amy Ridge,0,0,0,0
AUS,Anabelle Smith,0,0,0,0
AUS,Anastasia Kusmawan,0,0,0,0
AUS,Andrew Buchanan,0,0,0,0
AUS,Andrew Charter,0,0,0,0
AUS,Andrew Ford,0,0,0,0
AUS,Andrew Hoy,2,0,1,1
AUS,Andrew Ogilvie,1,0,1,0
AUS,Angela Yu,0,0,0,0
AUS,Angeline Blackburn,0,0,0,0
AUS,Angus Dawson,0,0,0,0
AUS,Angus Lambie,0,0,0,0
AUS,Angus Widdicombe,0,0,0,0
AUS,Anna Kershaw,0,0,0,0
AUS,Anne Lynch,0,0,0,0
AUS,Anneli Maley,0,0,0,0
AUS,Anneliese Rubie-renshaw,0,0,0,0
AUS,Annette Edmondson,0,0,0,0
AUS,Anthony Dean,0,0,0,0
AUS,Anthony Hrysanthos,0,0,0,0
AUS,Aoife Coughlan,0,0,0,0
AUS,Aran Zalewski,1,0,1,0
AUS,Ariarne Titmus,8,4,3,1
AUS,Arisa Trew,1,1,0,0
AUS,Aron Baynes,1,0,0,1
AUS,Ashlee Ankudinoff,0,0,0,0
AUS,Ashleigh Barty,1,0,0,1
AUS,Ashleigh Gentle,0,0,0,0
AUS,Ashley Maynard-brewer,0,0,0,0
AUS,Ashley Moloney,1,0,0,1
AUS,Attack J,0,0,0,0
AUS,Bailey Lewis,0,0,0,0
AUS,Bec Allen,0,0,0,0
AUS,Belinda White,0,0,0,0
AUS,Ben Armbruster,0,0,0,0
AUS,Ben Buckingham,0,0,0,0
AUS,Ben Canham,0,0,0,0
AUS,Ben Dowling,0,0,0,0
AUS,Ben O'connor,0,0,0,0
AUS,Bendere Oboya,0,0,0,0
AUS,Bernadette Wallace,0,0,0,0
AUS,Bienne Terita,0,0,0,0
AUS,Blake Edwards,0,0,0,0
AUS,Blake Govers,1,0,1,0
AUS,Bradley Woodward,0,0,0,0
AUS,Brandon Starc,0,0,0,0
AUS,Breanna Scott,0,0,0,0
AUS,Bree Masters,0,0,0,0
AUS,Breiana Whitehead,0,0,0,0
AUS,Brendon Smith,1,0,0,1
AUS,Brett Robinson,0,0,0,0
AUS,Brianna Throssell,4,2,0,2
AUS,Bridget Clark,0,0,0,0
AUS,Brin Liddell,0,0,0,0
AUS,Brock Batty,0,0,0,0
AUS,Bronte Campbell,3,2,0,1
AUS,Bronte Halligan,1,0,1,0
AUS,Bronwen Knox,0,0,0,0
AUS,Bronwyn Cox,0,0,0,0
AUS,Brooke Buschkuehl,0,0,0,0
AUS,Brooke Peris,0,0,0,0
AUS,Brooke Stratton,0,0,0,0
AUS,Caitlin Cronin,1,0,0,1
AUS,Caitlin Foord,0,0,0,0
AUS,Caitlin Parker,1,0,0,1
AUS,Calab Law,0,0,0,0
AUS,Caleb Antill,1,0,0,1
AUS,Caleb Watts,0,0,0,0
AUS,Callum Peters,0,0,0,0
AUS,Cameron Devlin,0,0,0,0
AUS,Cameron Girdlestone,1,0,0,1
AUS,Cameron Smith,0,0,0,0
AUS,Campbell Harrison,0,0,0,0
AUS,Campbell Petric,0,0,0,0
AUS,Camryn Newton-smith,0,0,0,0
AUS,Cara Feain-ryan,0,0,0,0
AUS,Carolyn Buckle,0,0,0,0
AUS,Cassiel Rousseau,0,0,0,0
AUS,Cate Campbell,3,2,0,1
AUS,Catherine Skinner,0,0,0,0
AUS,Catriona Bisset,0,0,0,0
AUS,Cayla George,1,0,0,1
AUS,Cedric Dubler,0,0,0,0
AUS,Celeste Mucci,0,0,0,0
AUS,Charisma Amoe-tarrant,0,0,0,0
AUS,Charlie Hunter,0,0,0,0
AUS,Charlie Negus,0,0,0,0
AUS,Charlie Senior,1,0,0,1
AUS,Charlize Andrews,1,0,1,0
AUS,Charlotte Caslick,0,0,0,0
AUS,Charlotte Grant,0,0,0,0
AUS,Chaz Poot,0,0,0,0
