NOC,Sport,Participant Count
ECU,Modern Pentathlon,2
ECU,Shooting,2
ECU,Swimming,2
ECU,Table Tennis,1
ECU,Triathlon,1
ECU,Weightlifting,3
ECU,Wrestling,4
EGY,Archery,2
EGY,Artistic Gymnastics,2
EGY,Artistic Swimming,9
EGY,Athletics,6
EGY,Beach Volleyball,2
EGY,Boxing,3
EGY,Canoe Sprint,1
EGY,Cycling Track,2
EGY,Diving,4
EGY,Fencing,21
EGY,Football,19
EGY,Handball,15
EGY,Judo,2
EGY,Modern Pentathlon,4
EGY,Rhythmic Gymnastics,6
EGY,Rowing,3
EGY,Sailing,2
EGY,Shooting,11
EGY,Swimming,2
EGY,Table Tennis,7
EGY,Taekwondo,3
EGY,Tennis,1
EGY,Trampoline Gymnastics,1
EGY,Volleyball,13
EGY,Weightlifting,5
EGY,Wrestling,11
EOR,Athletics,8
EOR,Badminton,1
EOR,Boxing,2
EOR,Breaking,1
EOR,Canoe Slalom,1
EOR,Canoe Sprint,3
EOR,Cycling Road,2
EOR,Judo,6
EOR,Shooting,2
EOR,Swimming,2
EOR,Taekwondo,5
EOR,Weightlifting,2
EOR,Wrestling,2
ERI,Athletics,8
ERI,Cycling Road,1
ERI,Swimming,2
ESA,Archery,1
ESA,Badminton,1
ESA,Judo,1
ESA,Sailing,1
ESA,Shooting,1
ESA,Surfing,1
ESA,Swimming,2
ESP,3x3 Basketball,4
ESP,Archery,2
ESP,Artistic Gymnastics,8
ESP,Artistic Swimming,9
ESP,Athletics,60
ESP,Badminton,2
ESP,Basketball,24
ESP,Beach Volleyball,6
ESP,Boxing,6
ESP,Canoe Slalom,5
ESP,Canoe Sprint,16
ESP,Cycling Mountain Bike,2
ESP,Cycling Road,5
ESP,Cycling Track,2
ESP,Diving,4
ESP,Equestrian,8
ESP,Fencing,2
ESP,Football,44
ESP,Golf,4
ESP,Handball,33
ESP,Hockey,34
ESP,Judo,9
ESP,Marathon Swimming,2
ESP,"Marathon Swimming, Swimming",1
ESP,Modern Pentathlon,1
ESP,Rhythmic Gymnastics,7
ESP,Rowing,9
ESP,Sailing,13
ESP,Shooting,4
ESP,Skateboarding,6
ESP,Sport Climbing,2
ESP,Surfing,3
ESP,Swimming,17
ESP,Table Tennis,2
ESP,Taekwondo,4
ESP,Tennis,8
ESP,Trampoline Gymnastics,2
ESP,Triathlon,5
ESP,Water Polo,26
EST,Archery,1
EST,Athletics,5
EST,Badminton,1
EST,Cycling Mountain Bike,1
EST,Cycling Road,1
EST,Equestrian,1
EST,Fencing,1
EST,Judo,1
EST,Rowing,4
EST,Sailing,2
EST,Shooting,2
EST,Swimming,2
EST,Weightlifting,1
EST,Wrestling,1
ETH,Athletics,32
ETH,Swimming,1
FIJ,Athletics,1
FIJ,Judo,1
FIJ,Rugby Sevens,27
FIJ,Sailing,2
FIJ,Swimming,2
FIJ,Table Tennis,1
FIJ,Taekwondo,2
FIN,Archery,1
FIN,Athletics,25
FIN,Badminton,1
FIN,Boxing,1
FIN,Cycling Mountain Bike,1
FIN,Cycling Road,1
FIN,Equestrian,6
FIN,Golf,4
FIN,Judo,2
FIN,Sailing,7
FIN,Shooting,3
FIN,Skateboarding,1
FIN,Swimming,2
FIN,Wrestling,2
FRA,3x3 Basketball,8
FRA,Archery,6
FRA,Artistic Gymnastics,6
FRA,Artistic Swimming,9
FRA,Athletics,87
FRA,Badminton,9
FRA,Basketball,24
FRA,Beach Volleyball,8
FRA,Boxing,8
FRA,Breaking,4
FRA,Canoe Slalom,6
FRA,Canoe Sprint,7
FRA,Cycling BMX Freestyle,2
FRA,Cycling BMX Racing,6
FRA,Cycling Mountain Bike,4
FRA,Cycling Road,6
FRA,"Cycling Road, Cycling Track",1
FRA,Cycling Track,15
FRA,Diving,9
FRA,Equestrian,12
FRA,Fencing,24
FRA,Football,41
FRA,Golf,4
FRA,Handball,33
FRA,Hockey,35
FRA,Judo,14
FRA,Marathon Swimming,4
FRA,Modern Pentathlon,4
FRA,Rhythmic Gymnastics,6
FRA,Rowing,12
FRA,Rugby Sevens,25
FRA,Sailing,14
FRA,Shooting,15
FRA,Skateboarding,7
FRA,Sport Climbing,7
FRA,Surfing,4
FRA,Swimming,29
FRA,Table Tennis,6
FRA,Taekwondo,4
FRA,Tennis,9
FRA,Trampoline Gymnastics,2
FRA,Triathlon,6
FRA,Volleyball,26
FRA,Water Polo,26
FRA,Weightlifting,4
FRA,Wrestling,3
FSM,Athletics,1
FSM,Swimming,2
GAB,Athletics,1
GAB,Judo,1
GAB,Swimming,2
GAB,Taekwondo,1
GAM,Athletics,3
GAM,Judo,1
GAM,Swimming,2
GAM,Taekwondo,1
GBR,Archery,6
GBR,Artistic Gymnastics,10
GBR,Artistic Swimming,2
GBR,Athletics,68
GBR,Badminton,3
GBR,Boxing,6
GBR,Canoe Slalom,4
GBR,Cycling BMX Freestyle,2
GBR,Cycling BMX Racing,4
GBR,Cycling Mountain Bike,3
GBR,Cycling Road,6
GBR,"Cycling Road, Cycling Mountain Bike",1
GBR,Cycling Track,20
GBR,Diving,11
GBR,Equestrian,12
GBR,Golf,4
GBR,Hockey,34
GBR,Judo,5
GBR,Marathon Swimming,3
GBR,Modern Pentathlon,4
GBR,Rowing,42
GBR,Rugby Sevens,14
GBR,Sailing,14
GBR,Shooting,6
GBR,Skateboarding,3
GBR,Sport Climbing,4
GBR,Swimming,30
GBR,Table Tennis,2
GBR,Taekwondo,4
GBR,Tennis,7
GBR,Trampoline Gymnastics,3
GBR,Triathlon,5
GBR,Weightlifting,1
GBS,Athletics,1
GBS,Judo,1
GBS,Swimming,1
GBS,Taekwondo,1
GBS,Wrestling,2
GEO,Athletics,1
GEO,Boxing,2
GEO,Fencing,1
GEO,Judo,10
GEO,Shooting,1
GEO,Swimming,2
GEO,Trampoline Gymnastics,1
GEO,Weightlifting,3
GEO,Wrestling,7
GEQ,Athletics,2
GEQ,Swimming,1
GER,3x3 Basketball,4
GER,Archery,4
GER,Artistic Gymnastics,8
GER,Athletics,85
GER,Badminton,4
GER,Basketball,24
GER,Beach Volleyball,6
GER,Boxing,3
GER,Canoe Slalom,5
GER,Canoe Sprint,18
GER,Cycling BMX Freestyle,1
GER,Cycling BMX Racing,4
GER,Cycling Mountain Bike,3
GER,Cycling Road,5
GER,"Cycling Road, Cycling Track",1
GER,Cycling Track,17
GER,Diving,9
GER,Equestrian,12
GER,Fencing,2
GER,Football,20
GER,Golf,4
GER,Handball,33
GER,Hockey,36
GER,Judo,10
GER,Marathon Swimming,1
GER,"Marathon Swimming, Swimming",3
GER,Modern Pentathlon,4
GER,Rhythmic Gymnastics,7
GER,Rowing,23
GER,Sailing,14
GER,Shooting,13
GER,Skateboarding,2
GER,Sport Climbing,3
GER,Surfing,2
GER,Swimming,22
GER,Table Tennis,7
GER,Taekwondo,1
GER,Tennis,10
GER,Trampoline Gymnastics,1
GER,Triathlon,6
GER,Volleyball,13
GER,Wrestling,7
GHA,Athletics,7
GHA,Swimming,2
GRE,Artistic Gymnastics,1
GRE,Artistic Swimming,2
GRE,Athletics,13
GRE,Basketball,12
GRE,Cycling Road,1
GRE,Equestrian,1
GRE,Fencing,1
GRE,Judo,2
GRE,Marathon Swimming,1
GRE,Rowing,7
GRE,Sailing,4
GRE,Shooting,5
GRE,Swimming,16
GRE,Table Tennis,1
GRE,Tennis,4
GRE,Water Polo,26
GRE,Wrestling,3
GRN,Athletics,4
GRN,Swimming,2
GUA,Athletics,5
GUA,Badminton,1
GUA,Judo,1
GUA,Modern Pentathlon,2
GUA,Sailing,1
GUA,Shooting,4
GUA,Swimming,2
GUI,Archery,1
GUI,Athletics,1
GUI,Football,19
GUI,Judo,2
GUI,Swimming,2
GUM,Athletics,2
GUM,Canoe Sprint,1
GUM,Judo,1
GUM,Triathlon,1
GUM,Weightlifting,1
GUM,Wrestling,1
GUY,Athletics,2
GUY,Swimming,2
GUY,Table Tennis,1
HAI,Artistic Gymnastics,1
HAI,Athletics,2
HAI,Boxing,1
HAI,Judo,1
HAI,Swimming,2
HKG,Artistic Gymnastics,1
HKG,Athletics,1
HKG,Badminton,6
HKG,Cycling Road,1
HKG,"Cycling Road, Cycling Track",1
HKG,Fencing,4
HKG,Judo,1
HKG,Rowing,1
HKG,Sailing,5
HKG,Swimming,7
HKG,Table Tennis,4
HKG,Taekwondo,1
HKG,Triathlon,1
HON,Athletics,1
HON,Swimming,2
HON,Wrestling,1
HUN,Artistic Gymnastics,4
HUN,Athletics,17
HUN,Boxing,3
HUN,Canoe Sprint,16
HUN,Cycling Road,1
HUN,"Cycling Road, Cycling Mountain Bike",1
HUN,Equestrian,1
HUN,Fencing,15
HUN,Handball,34
HUN,Judo,7
HUN,Marathon Swimming,2
HUN,"Marathon Swimming, Swimming",1
HUN,Modern Pentathlon,4
HUN,Rhythmic Gymnastics,1
HUN,Rowing,1
HUN,Sailing,2
HUN,Shooting,5
HUN,Swimming,20
HUN,Table Tennis,3
HUN,Taekwondo,3
HUN,Tennis,2
HUN,Triathlon,3
HUN,Water Polo,26
HUN,Wrestling,5
INA,Archery,4
INA,Artistic Gymnastics,1
INA,Athletics,1
INA,Badminton,9
INA,Cycling Track,1
INA,Judo,1
INA,Rowing,1
INA,Shooting,1
INA,Sport Climbing,4
INA,Surfing,1
INA,Swimming,2
INA,Weightlifting,3
IND,Archery,6
IND,Athletics,29
IND,Badminton,7
IND,Boxing,6
IND,Equestrian,1
IND,Golf,4
IND,Hockey,16
IND,Judo,1
IND,Rowing,1
IND,Sailing,2
IND,Shooting,21
IND,Swimming,2
IND,Table Tennis,6
IND,Tennis,3
IND,Weightlifting,1
IND,Wrestling,6
IRI,Archery,1
IRI,Artistic Gymnastics,1
IRI,Athletics,2
IRI,Canoe Sprint,2
IRI,Cycling Road,1
IRI,Fencing,4
IRI,Rowing,3
IRI,Shooting,4
IRI,Sport Climbing,1
IRI,Swimming,1
IRI,Table Tennis,3
IRI,Taekwondo,4
IRI,Weightlifting,2
IRI,Wrestling,12
IRL,Artistic Gymnastics,1
IRL,Athletics,25
IRL,Badminton,2
IRL,Boxing,10
IRL,Canoe Slalom,4
IRL,Cycling Road,3
IRL,Cycling Track,5
IRL,Diving,2
IRL,Equestrian,9
IRL,Golf,4
IRL,Hockey,17
IRL,"Marathon Swimming, Swimming",1
IRL,Rowing,16
IRL,Rugby Sevens,28
IRL,Sailing,4
IRL,Swimming,11
IRL,Taekwondo,1
IRQ,Athletics,1
IRQ,Football,19
IRQ,Judo,1
IRQ,Swimming,1
IRQ,Weightlifting,1
ISL,Athletics,1
ISL,Shooting,1
ISL,Swimming,2
ISL,Triathlon,1
ISR,Archery,2
ISR,Artistic Gymnastics,2
ISR,Artistic Swimming,2
ISR,Athletics,7
ISR,Badminton,1
ISR,Cycling Mountain Bike,1
ISR,Cycling Road,2
ISR,Cycling Track,1
ISR,Equestrian,3
ISR,Fencing,1
ISR,Football,19
ISR,Judo,12
ISR,Marathon Swimming,1
ISR,Rhythmic Gymnastics,6
ISR,Sailing,8
ISR,Shooting,1
ISR,Surfing,1
ISR,Swimming,17
ISR,Taekwondo,1
ISR,Triathlon,1
ISV,Archery,1
ISV,Athletics,1
ISV,Fencing,1
ISV,Swimming,2
ITA,Archery,4
ITA,Artistic Gymnastics,10
ITA,Artistic Swimming,9
ITA,Athletics,79
ITA,Badminton,1
ITA,Beach Volleyball,6
ITA,Boxing,8
ITA,Breaking,1
ITA,Canoe Slalom,4
ITA,Canoe Sprint,3
ITA,Cycling BMX Racing,2
ITA,Cycling Mountain Bike,4
ITA,Cycling Road,5
ITA,"Cycling Road, Cycling Track",3
ITA,Cycling Track,11
ITA,Diving,8
ITA,Equestrian,5
ITA,Fencing,24
ITA,Golf,3
ITA,Judo,13
ITA,Marathon Swimming,2
ITA,"Marathon Swimming, Swimming",2
ITA,Modern Pentathlon,4
ITA,Rhythmic Gymnastics,7
ITA,Rowing,34
ITA,Sailing,12
ITA,Shooting,15
ITA,Skateboarding,2
ITA,Sport Climbing,4
ITA,Surfing,1
ITA,Swimming,34
ITA,Table Tennis,2
ITA,Taekwondo,3
ITA,Tennis,9
ITA,Triathlon,5
ITA,Volleyball,26
ITA,Water Polo,26
ITA,Weightlifting,3
ITA,Wrestling,3
IVB,Athletics,3
IVB,Sailing,1
JAM,Athletics,61
JAM,Diving,1
JAM,Judo,1
JAM,Swimming,2
JOR,Artistic Gymnastics,1
JOR,Athletics,1
JOR,Boxing,3
JOR,Swimming,2
JOR,Table Tennis,1
JOR,Taekwondo,4
JPN,Archery,4
JPN,Artistic Gymnastics,9
JPN,Artistic Swimming,9
JPN,Athletics,56
JPN,Badminton,12
JPN,Basketball,24
JPN,Beach Volleyball,2
JPN,Boxing,2
JPN,Breaking,4
JPN,Canoe Slalom,4
JPN,Cycling BMX Freestyle,1
JPN,Cycling BMX Racing,2
JPN,Cycling Mountain Bike,1
JPN,Cycling Road,2
JPN,Cycling Track,15
JPN,Diving,5
JPN,Equestrian,8
JPN,Fencing,18
JPN,Football,43
JPN,Golf,4
JPN,Handball,14
JPN,Hockey,16
JPN,Judo,14
JPN,Marathon Swimming,2
JPN,Modern Pentathlon,2
JPN,Rowing,5
JPN,Rugby Sevens,26
JPN,Sailing,7
JPN,Shooting,3
JPN,Skateboarding,10
JPN,Sport Climbing,4
JPN,Surfing,4
JPN,Swimming,27
JPN,Table Tennis,6
JPN,Tennis,6
JPN,Trampoline Gymnastics,2
JPN,Triathlon,3
JPN,Volleyball,26
JPN,Water Polo,13
JPN,Weightlifting,3
JPN,Wrestling,13
