NOC,Year,Bronze,Gold,No medal,Silver,Total_Medals,More_Than_3_Medals,check1,check2
ANG,1964,0,0,0,0,0,0,0,1
ANG,1968,0,0,0,0,0,0,0,1
ANG,1972,0,0,0,0,0,0,0,1
ANG,1976,0,0,0,0,0,0,0,1
ANG,1980,0,0,17,0,0,0,0,1
ANG,1984,0,0,0,0,0,0,0,1
ANG,1988,0,0,33,0,0,0,0,1
ANG,1992,0,0,33,0,0,0,0,1
ANG,1996,0,0,30,0,0,0,0,1
ANG,2000,0,0,30,0,0,0,0,1
ANG,2004,0,0,30,0,0,0,0,1
ANG,2008,0,0,33,0,0,0,0,1
ANG,2012,0,0,35,0,0,0,0,1
ANG,2016,0,0,26,0,0,0,0,1
ANG,2020,0,0,20,0,0,0,0,1
ANG,2024,0,0,26,0,0,0,0,1
ANT,1896,0,0,0,0,0,0,0,1
ANT,1900,0,0,0,0,0,0,0,1
ANT,1904,0,0,0,0,0,0,0,1
ANT,1906,0,0,0,0,0,0,0,1
ANT,1908,0,0,0,0,0,0,0,1
ANT,1912,0,0,0,0,0,0,0,1
ANT,1920,0,0,0,0,0,0,0,1
ANT,1924,0,0,0,0,0,0,0,1
ANT,1928,0,0,0,0,0,0,0,1
ANT,1932,0,0,0,0,0,0,0,1
ANT,1936,0,0,0,0,0,0,0,1
ANT,1948,0,0,0,0,0,0,0,1
ANT,1952,0,0,0,0,0,0,0,1
ANT,1956,0,0,0,0,0,0,0,1
ANT,1960,0,0,0,0,0,0,0,1
ANT,1964,0,0,0,0,0,0,0,1
ANT,1968,0,0,0,0,0,0,0,1
ANT,1972,0,0,0,0,0,0,0,1
ANT,1976,0,0,17,0,0,0,0,1
ANT,1980,0,0,0,0,0,0,0,1
ANT,1984,0,0,27,0,0,0,0,1
ANT,1988,0,0,25,0,0,0,0,1
ANT,1992,0,0,18,0,0,0,0,1
ANT,1996,0,0,19,0,0,0,0,1
ANT,2000,0,0,4,0,0,0,0,1
ANT,2004,0,0,5,0,0,0,0,1
ANT,2008,0,0,5,0,0,0,0,1
ANT,2012,0,0,4,0,0,0,0,1
ANT,2016,0,0,9,0,0,0,0,1
ANT,2020,0,0,6,0,0,0,0,1
ANT,2024,0,0,5,0,0,0,0,1
ANZ,1896,0,0,0,0,0,1,0,0
ANZ,1900,0,0,0,0,0,1,0,0
ANZ,1904,0,0,0,0,0,1,0,0
ANZ,1906,0,0,0,0,0,1,0,0
ANZ,1908,2,15,29,2,19,1,0,0
ANZ,1912,3,5,28,2,10,1,0,0
ANZ,1920,0,0,0,0,0,1,0,0
ANZ,1924,0,0,0,0,0,1,0,0
ANZ,1928,0,0,0,0,0,1,0,0
ANZ,1932,0,0,0,0,0,1,0,0
ANZ,1936,0,0,0,0,0,1,0,0
ANZ,1948,0,0,0,0,0,1,0,0
ANZ,1952,0,0,0,0,0,1,0,0
ANZ,1956,0,0,0,0,0,1,0,0
ANZ,1960,0,0,0,0,0,1,0,0
ANZ,1964,0,0,0,0,0,1,0,0
ANZ,1968,0,0,0,0,0,1,0,0
ANZ,1972,0,0,0,0,0,1,0,0
ANZ,1976,0,0,0,0,0,1,0,0
ANZ,1980,0,0,0,0,0,1,0,0
ANZ,1984,0,0,0,0,0,1,0,0
ANZ,1988,0,0,0,0,0,1,0,0
ANZ,1992,0,0,0,0,0,1,0,0
ANZ,1996,0,0,0,0,0,1,0,0
ANZ,2000,0,0,0,0,0,1,0,0
ANZ,2004,0,0,0,0,0,1,0,0
ANZ,2008,0,0,0,0,0,1,0,0
ANZ,2012,0,0,0,0,0,1,0,0
ANZ,2016,0,0,0,0,0,1,0,0
ANZ,2020,0,0,0,0,0,1,0,0
ANZ,2024,0,0,0,0,0,1,0,0
ARG,1896,0,0,0,0,0,1,0,0
ARG,1900,0,0,1,0,0,1,0,0
ARG,1904,0,0,0,0,0,1,0,0
ARG,1906,0,0,0,0,0,1,0,0
ARG,1908,0,0,1,0,0,1,0,0
ARG,1912,0,0,0,0,0,1,0,0
ARG,1920,0,0,1,0,0,1,0,0
ARG,1924,2,5,99,3,10,1,0,0
ARG,1928,5,3,72,18,26,1,0,0
ARG,1932,0,3,43,1,4,1,0,0
ARG,1936,4,5,57,2,11,1,0,0
ARG,1948,1,3,284,7,11,1,0,0
ARG,1952,2,2,168,2,6,1,0,0
ARG,1956,1,0,42,1,2,1,0,0
ARG,1960,1,0,112,3,4,1,0,0
ARG,1964,0,0,147,1,1,1,0,0
ARG,1968,2,0,130,0,2,1,0,0
ARG,1972,0,0,122,1,1,1,0,0
ARG,1976,0,0,106,0,0,1,0,0
ARG,1980,0,0,0,0,0,1,0,0
ARG,1984,0,0,115,0,0,1,0,0
ARG,1988,12,0,121,1,13,1,0,0
ARG,1992,2,0,109,0,2,1,0,0
ARG,1996,1,0,201,19,20,1,0,0
ARG,2000,3,0,145,17,20,1,0,0
ARG,2004,21,28,130,0,49,1,0,0
ARG,2008,31,20,94,0,51,1,0,0
ARG,2012,3,1,129,15,19,1,0,0
ARG,2016,0,21,210,1,22,1,0,0
ARG,2020,25,0,165,18,43,1,0,0
ARG,2024,16,1,135,2,19,1,0,0
ARM,1896,0,0,0,0,0,1,0,0
ARM,1900,0,0,0,0,0,1,0,0
ARM,1904,0,0,0,0,0,1,0,0
ARM,1906,0,0,0,0,0,1,0,0
ARM,1908,0,0,0,0,0,1,0,0
ARM,1912,0,0,0,0,0,1,0,0
ARM,1920,0,0,0,0,0,1,0,0
ARM,1924,0,0,0,0,0,1,0,0
ARM,1928,0,0,0,0,0,1,0,0
ARM,1932,0,0,0,0,0,1,0,0
ARM,1936,0,0,0,0,0,1,0,0
ARM,1948,0,0,0,0,0,1,0,0
ARM,1952,0,0,0,0,0,1,0,0
ARM,1956,0,0,0,0,0,1,0,0
ARM,1960,0,0,0,0,0,1,0,0
ARM,1964,0,0,0,0,0,1,0,0
ARM,1968,0,0,0,0,0,1,0,0
ARM,1972,0,0,0,0,0,1,0,0
ARM,1976,0,0,0,0,0,1,0,0
ARM,1980,0,0,0,0,0,1,0,0
ARM,1984,0,0,0,0,0,1,0,0
ARM,1988,0,0,0,0,0,1,0,0
ARM,1992,0,0,0,0,0,1,0,0
ARM,1996,0,1,36,1,2,1,0,0
ARM,2000,1,0,25,0,1,1,0,0
ARM,2004,0,0,19,0,0,1,0,0
ARM,2008,6,0,20,0,6,1,0,0
ARM,2012,2,0,28,1,3,1,0,0
ARM,2016,0,1,30,3,4,1,0,0
ARM,2020,2,0,15,2,4,1,0,0
ARM,2024,1,0,13,3,4,1,0,0
ARU,1896,0,0,0,0,0,0,0,1
ARU,1900,0,0,0,0,0,0,0,1
ARU,1904,0,0,0,0,0,0,0,1
ARU,1906,0,0,0,0,0,0,0,1
ARU,1908,0,0,0,0,0,0,0,1
ARU,1912,0,0,0,0,0,0,0,1
ARU,1920,0,0,0,0,0,0,0,1
ARU,1924,0,0,0,0,0,0,0,1
ARU,1928,0,0,0,0,0,0,0,1
ARU,1932,0,0,0,0,0,0,0,1
ARU,1936,0,0,0,0,0,0,0,1
ARU,1948,0,0,0,0,0,0,0,1
ARU,1952,0,0,0,0,0,0,0,1
ARU,1956,0,0,0,0,0,0,0,1
ARU,1960,0,0,0,0,0,0,0,1
ARU,1964,0,0,0,0,0,0,0,1
ARU,1968,0,0,0,0,0,0,0,1
ARU,1972,0,0,0,0,0,0,0,1
ARU,1976,0,0,0,0,0,0,0,1
ARU,1980,0,0,0,0,0,0,0,1
ARU,1984,0,0,0,0,0,0,0,1
ARU,1988,0,0,12,0,0,0,0,1
ARU,1992,0,0,5,0,0,0,0,1
ARU,1996,0,0,3,0,0,0,0,1
ARU,2000,0,0,5,0,0,0,0,1
ARU,2004,0,0,4,0,0,0,0,1
ARU,2008,0,0,2,0,0,0,0,1
ARU,2012,0,0,4,0,0,0,0,1
ARU,2016,0,0,7,0,0,0,0,1
ARU,2020,0,0,4,0,0,0,0,1
ARU,2024,0,0,7,0,0,0,0,1
ASA,1896,0,0,0,0,0,0,0,1
ASA,1900,0,0,0,0,0,0,0,1
ASA,1904,0,0,0,0,0,0,0,1
ASA,1906,0,0,0,0,0,0,0,1
ASA,1908,0,0,0,0,0,0,0,1
ASA,1912,0,0,0,0,0,0,0,1
ASA,1920,0,0,0,0,0,0,0,1
ASA,1924,0,0,0,0,0,0,0,1
ASA,1928,0,0,0,0,0,0,0,1
ASA,1932,0,0,0,0,0,0,0,1
ASA,1936,0,0,0,0,0,0,0,1
ASA,1948,0,0,0,0,0,0,0,1
ASA,1952,0,0,0,0,0,0,0,1
ASA,1956,0,0,0,0,0,0,0,1
ASA,1960,0,0,0,0,0,0,0,1
ASA,1964,0,0,0,0,0,0,0,1
ASA,1968,0,0,0,0,0,0,0,1
ASA,1972,0,0,0,0,0,0,0,1
ASA,1976,0,0,0,0,0,0,0,1
ASA,1980,0,0,0,0,0,0,0,1
ASA,1984,0,0,0,0,0,0,0,1
ASA,1988,0,0,6,0,0,0,0,1
ASA,1992,0,0,3,0,0,0,0,1
ASA,1996,0,0,7,0,0,0,0,1
ASA,2000,0,0,4,0,0,0,0,1
ASA,2004,0,0,3,0,0,0,0,1
ASA,2008,0,0,4,0,0,0,0,1
ASA,2012,0,0,4,0,0,0,0,1
ASA,2016,0,0,4,0,0,0,0,1
ASA,2020,0,0,6,0,0,0,0,1
ASA,2024,0,0,2,0,0,0,0,1
AUS,1896,1,2,2,0,3,1,0,0
AUS,1900,3,3,0,0,6,1,0,0
AUS,1904,1,0,2,3,4,1,0,0
AUS,1906,3,0,7,0,3,1,0,0
AUS,1908,0,0,0,0,0,1,0,0
AUS,1912,0,0,0,0,0,1,0,0
AUS,1920,1,0,22,6,7,1,0,0
AUS,1924,2,3,50,5,10,1,0,0
AUS,1928,1,1,25,2,4,1,0,0
AUS,1932,1,3,15,1,5,1,0,0
AUS,1936,1,0,38,0,1,1,0,0
AUS,1948,5,2,87,9,16,1,0,0
AUS,1952,11,7,120,2,20,1,0,0
AUS,1956,26,28,345,13,67,1,0,0
AUS,1960,11,11,234,24,46,1,0,0
AUS,1964,30,8,348,6,44,1,0,0
AUS,1968,11,5,173,35,51,1,0,0
AUS,1972,2,11,246,7,20,1,0,0
AUS,1976,8,0,251,15,23,1,0,0
AUS,1980,5,6,177,2,13,1,0,0
AUS,1984,31,7,285,14,52,1,0,0
AUS,1988,11,18,304,6,35,1,0,0
AUS,1992,16,14,333,27,57,1,0,0
AUS,1996,84,32,418,16,132,1,0,0
AUS,2000,54,60,605,69,183,1,0,0
AUS,2004,31,49,444,77,157,1,0,0
AUS,2008,76,31,421,42,149,1,0,0
AUS,2012,59,18,400,37,114,1,0,0
AUS,2016,25,23,436,34,82,1,0,0
AUS,2020,67,36,507,28,131,1,0,0
AUS,2024,44,33,528,44,121,1,0,0
AUT,1896,2,2,3,1,5,1,0,0
AUT,1900,3,0,20,3,6,1,0,0
AUT,1904,1,2,3,1,4,1,0,0
AUT,1906,3,3,91,3,9,1,0,0
AUT,1908,1,0,12,0,1,1,0,0
AUT,1912,5,0,118,9,14,1,0,0
AUT,1920,0,0,0,0,0,1,0,0
AUT,1924,1,0,52,3,4,1,0,0
AUT,1928,2,3,108,0,5,1,0,0
AUT,1932,3,1,28,1,5,1,0,0
AUT,1936,7,6,308,42,55,1,0,0
AUT,1948,4,2,231,2,8,1,0,0
AUT,1952,2,0,235,1,3,1,0,0
AUT,1956,4,0,53,0,4,1,0,0
AUT,1960,0,1,195,2,3,1,0,0
AUT,1964,0,0,82,0,0,1,0,0
AUT,1968,3,0,54,2,5,1,0,0
AUT,1972,2,0,140,1,3,1,0,0
AUT,1976,1,0,72,0,1,1,0,0
AUT,1980,1,1,87,3,5,1,0,0
AUT,1984,1,1,127,1,3,1,0,0
AUT,1988,0,1,95,0,1,1,0,0
AUT,1992,0,0,121,6,6,1,0,0
AUT,1996,2,0,89,1,3,1,0,0
AUT,2000,0,3,110,1,4,1,0,0
AUT,2004,1,3,84,4,8,1,0,0
AUT,2008,2,0,90,1,3,1,0,0
AUT,2012,0,0,90,0,0,1,0,0
AUT,2016,2,0,83,0,2,1,0,0
AUT,2020,5,1,96,1,7,1,0,0
AUT,2024,3,3,115,0,6,1,0,0
AZE,1896,0,0,0,0,0,1,0,0
AZE,1900,0,0,0,0,0,1,0,0
AZE,1904,0,0,0,0,0,1,0,0
AZE,1906,0,0,0,0,0,1,0,0
AZE,1908,0,0,0,0,0,1,0,0
AZE,1912,0,0,0,0,0,1,0,0
AZE,1920,0,0,0,0,0,1,0,0
AZE,1924,0,0,0,0,0,1,0,0
AZE,1928,0,0,0,0,0,1,0,0
AZE,1932,0,0,0,0,0,1,0,0
AZE,1936,0,0,0,0,0,1,0,0
AZE,1948,0,0,0,0,0,1,0,0
AZE,1952,0,0,0,0,0,1,0,0
AZE,1956,0,0,0,0,0,1,0,0
AZE,1960,0,0,0,0,0,1,0,0
AZE,1964,0,0,0,0,0,1,0,0
AZE,1968,0,0,0,0,0,1,0,0
AZE,1972,0,0,0,0,0,1,0,0
AZE,1976,0,0,0,0,0,1,0,0
AZE,1980,0,0,0,0,0,1,0,0
AZE,1984,0,0,0,0,0,1,0,0
AZE,1988,0,0,0,0,0,1,0,0
AZE,1992,0,0,0,0,0,1,0,0
AZE,1996,0,0,23,1,1,1,0,0
AZE,2000,1,2,29,0,3,1,0,0
AZE,2004,4,1,32,0,5,1,0,0
AZE,2008,4,1,37,2,7,1,0,0
AZE,2012,6,2,49,2,10,1,0,0
AZE,2016,10,1,51,7,18,1,0,0
AZE,2020,4,0,48,3,7,1,0,0
AZE,2024,3,2,42,2,7,1,0,0
BAH,1896,0,0,0,0,0,1,0,0
BAH,1900,0,0,0,0,0,1,0,0
BAH,1904,0,0,0,0,0,1,0,0
BAH,1906,0,0,0,0,0,1,0,0
BAH,1908,0,0,0,0,0,1,0,0
BAH,1912,0,0,0,0,0,1,0,0
BAH,1920,0,0,0,0,0,1,0,0
BAH,1924,0,0,0,0,0,1,0,0
BAH,1928,0,0,0,0,0,1,0,0
BAH,1932,0,0,0,0,0,1,0,0
BAH,1936,0,0,0,0,0,1,0,0
BAH,1948,0,0,0,0,0,1,0,0
BAH,1952,0,0,7,0,0,1,0,0
BAH,1956,2,0,3,0,2,1,0,0
BAH,1960,0,0,14,0,0,1,0,0
BAH,1964,0,2,10,0,2,1,0,0
BAH,1968,0,0,22,0,0,1,0,0
BAH,1972,0,0,25,0,0,1,0,0
BAH,1976,0,0,19,0,0,1,0,0
BAH,1980,0,0,0,0,0,1,0,0
BAH,1984,0,0,31,0,0,1,0,0
BAH,1988,0,0,18,0,0,1,0,0
BAH,1992,1,0,17,0,1,1,0,0
BAH,1996,0,0,31,5,5,1,0,0
BAH,2000,5,6,28,0,11,1,0,0
BAH,2004,1,1,26,0,2,1,0,0
BAH,2008,1,0,26,6,7,1,0,0
BAH,2012,0,4,25,0,4,1,0,0
BAH,2016,5,1,32,0,6,1,0,0
BAH,2020,0,2,20,0,2,1,0,0
BAH,2024,0,0,21,0,0,1,0,0
BAN,1896,0,0,0,0,0,0,0,1
BAN,1900,0,0,0,0,0,0,0,1
BAN,1904,0,0,0,0,0,0,0,1
BAN,1906,0,0,0,0,0,0,0,1
BAN,1908,0,0,0,0,0,0,0,1
BAN,1912,0,0,0,0,0,0,0,1
BAN,1920,0,0,0,0,0,0,0,1
BAN,1924,0,0,0,0,0,0,0,1
BAN,1928,0,0,0,0,0,0,0,1
BAN,1932,0,0,0,0,0,0,0,1
BAN,1936,0,0,0,0,0,0,0,1
BAN,1948,0,0,0,0,0,0,0,1
BAN,1952,0,0,0,0,0,0,0,1
BAN,1956,0,0,0,0,0,0,0,1
BAN,1960,0,0,0,0,0,0,0,1
BAN,1964,0,0,0,0,0,0,0,1
BAN,1968,0,0,0,0,0,0,0,1
BAN,1972,0,0,0,0,0,0,0,1
BAN,1976,0,0,0,0,0,0,0,1
BAN,1980,0,0,0,0,0,0,0,1
BAN,1984,0,0,2,0,0,0,0,1
BAN,1988,0,0,11,0,0,0,0,1
BAN,1992,0,0,9,0,0,0,0,1
BAN,1996,0,0,4,0,0,0,0,1
BAN,2000,0,0,6,0,0,0,0,1
BAN,2004,0,0,4,0,0,0,0,1
BAN,2008,0,0,5,0,0,0,0,1
BAN,2012,0,0,7,0,0,0,0,1
BAN,2016,0,0,7,0,0,0,0,1
BAN,2020,0,0,8,0,0,0,0,1
BAN,2024,0,0,5,0,0,0,0,1
BAR,1896,0,0,0,0,0,0,1,0
BAR,1900,0,0,0,0,0,0,1,0
BAR,1904,0,0,0,0,0,0,1,0
BAR,1906,0,0,0,0,0,0,1,0
BAR,1908,0,0,0,0,0,0,1,0
BAR,1912,0,0,0,0,0,0,1,0
BAR,1920,0,0,0,0,0,0,1,0
BAR,1924,0,0,0,0,0,0,1,0
BAR,1928,0,0,0,0,0,0,1,0
BAR,1932,0,0,0,0,0,0,1,0
BAR,1936,0,0,0,0,0,0,1,0
BAR,1948,0,0,0,0,0,0,1,0
BAR,1952,0,0,0,0,0,0,1,0
BAR,1956,0,0,0,0,0,0,1,0
BAR,1960,0,0,0,0,0,0,1,0
BAR,1964,0,0,0,0,0,0,1,0
BAR,1968,0,0,13,0,0,0,1,0
BAR,1972,0,0,20,0,0,0,1,0
BAR,1976,0,0,17,0,0,0,1,0
BAR,1980,0,0,0,0,0,0,1,0
BAR,1984,0,0,25,0,0,0,1,0
BAR,1988,0,0,26,0,0,0,1,0
BAR,1992,0,0,22,0,0,0,1,0
BAR,1996,0,0,22,0,0,0,1,0
BAR,2000,1,0,27,0,1,0,1,0
BAR,2004,0,0,15,0,0,0,1,0
BAR,2008,0,0,10,0,0,0,1,0
BAR,2012,0,0,8,0,0,0,1,0
BAR,2016,0,0,13,0,0,0,1,0
BAR,2020,0,0,9,0,0,0,1,0
BAR,2024,0,0,4,0,0,0,1,0
BDI,1896,0,0,0,0,0,0,1,0
BDI,1900,0,0,0,0,0,0,1,0
BDI,1904,0,0,0,0,0,0,1,0
BDI,1906,0,0,0,0,0,0,1,0
BDI,1908,0,0,0,0,0,0,1,0
BDI,1912,0,0,0,0,0,0,1,0
BDI,1920,0,0,0,0,0,0,1,0
BDI,1924,0,0,0,0,0,0,1,0
BDI,1928,0,0,0,0,0,0,1,0
BDI,1932,0,0,0,0,0,0,1,0
BDI,1936,0,0,0,0,0,0,1,0
BDI,1948,0,0,0,0,0,0,1,0
BDI,1952,0,0,0,0,0,0,1,0
BDI,1956,0,0,0,0,0,0,1,0
BDI,1960,0,0,0,0,0,0,1,0
