NOC,Sport,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Medals,Participation_Count,TOPSIS_Score_Sum,Host,Sport_topsis_score,,
AUS,Basketball,0,0,13,13,33,1.04432589,0,0.178641438,,
AUS,Beach Volleyball,0,2,0,2,5,0.172290252,0,0.047628516,,
AUS,Boxing,0,0,1,1,5,0.079981078,0,0.029020959,,
AUS,Canoe Slalom,1,0,1,2,4,0.12020334,0,0.185562955,,
AUS,Canoe Sprint,2,0,0,2,24,0.170185158,0,0.080426419,,
AUS,Canoeing,0,0,0,0,4,0.002250696,0,0.093560032,,
AUS,Cycling,0,2,1,3,20,0.257977606,0,0.166000975,,
AUS,Cycling BMX Freestyle,1,0,0,1,2,0.080581957,0,0.171932279,,
AUS,Cycling BMX Racing,0,0,0,0,1,0,0,0.097876826,,
AUS,Cycling Mountain Bike,0,0,0,0,2,0,0,0.003845398,,
AUS,Cycling Road,0,0,0,0,9,0.003376044,0,0.040935322,,
AUS,Cycling Track,0,0,5,5,17,0.40444396,0,0.090543303,,
AUS,Diving,0,1,2,3,13,0.20309091,0,0.060996981,,
AUS,Equestrian,0,4,1,5,18,0.387081887,0,0.079175946,,
AUS,Equestrianism,2,1,0,3,6,0.243503477,0,0.096174546,,
AUS,Football,0,0,0,0,53,0.010128132,0,0.027876803,,
AUS,Golf,0,0,0,0,5,0.001125348,0,0.004768376,,
AUS,Hockey,0,18,0,18,45,1.55507072,0,0.379333603,,
AUS,Judo,0,0,0,0,5,0.002250696,0,0.015466141,,
AUS,Karate,0,0,0,0,1,0,0,0.002211196,,
AUS,Marathon Swimming,0,0,1,1,2,0.079981078,0,0.077438856,,
AUS,Modern Pentathlon,0,0,0,0,3,0.001125348,0,0.014680378,,
AUS,Rhythmic Gymnastics,0,0,0,0,6,0,0,0.004711091,,
AUS,Rowing,8,3,8,19,52,1.462998949,0,0.28647175,,
AUS,Rugby Sevens,5,0,0,5,34,0.406331979,0,0.102183618,,
AUS,Sailing,4,3,0,7,19,0.526074648,0,0.143677054,,
AUS,Shooting,0,0,0,0,51,0.040325247,0,0.044462843,,
AUS,Skateboarding,1,0,0,1,5,0.080581957,0,0.123851317,,
AUS,Sport Climbing,0,0,0,0,2,0,0,0.006939648,,
AUS,Surfing,0,0,1,1,4,0.079981078,0,0.093917649,,
AUS,Swimming,27,10,35,72,127,4.455950193,0,0.704548672,,
AUS,Table Tennis,0,0,0,0,19,0.014604819,0,0.013840588,,
AUS,Taekwondo,0,0,0,0,6,0.002248224,0,0.032358126,,
AUS,Tennis,0,0,2,2,31,0.176801482,0,0.046824004,,
AUS,Trampoline Gymnastics,0,0,0,0,2,0,0,0.008802693,,
AUS,Triathlon,0,0,0,0,14,0.00899784,0,0.040662338,,
AUS,Volleyball,0,0,0,0,1,0,0,0.006253183,,
AUS,Water Polo,0,0,2,2,49,0.172451144,0,0.110243732,,
AUS,Weightlifting,0,0,0,0,5,0,0,0.019883449,,
AUS,Wrestling,0,0,0,0,1,0,0,0.017457053,,
AUT,Artistic Gymnastics,0,0,0,0,5,0.004486578,0,0.003219516,,
AUT,Artistic Swimming,0,0,0,0,2,0,0,0.006689693,,
AUT,Athletics,0,0,1,1,9,0.082229302,0,0.148747408,,
AUT,Badminton,0,0,0,0,1,0,0,0.003538412,,
AUT,Canoe Slalom,0,0,0,0,3,0,0,0.016063879,,
AUT,Canoe Sprint,0,0,0,0,4,0.002250696,0,0.001911241,,
AUT,Cycling Mountain Bike,0,0,0,0,2,0,0,0.015740668,,
AUT,Cycling Road,1,0,0,1,5,0.081707305,0,0.257024335,,
AUT,Cycling Track,0,0,0,0,5,0.002250696,0,0.004071879,,
AUT,Equestrian,0,0,0,0,8,0.003376044,0,0.015064528,,
AUT,Golf,0,0,0,0,4,0.001125348,0,0.007323874,,
AUT,Judo,0,1,1,2,10,0.170615891,0,0.170766431,,
AUT,Karate,0,0,1,1,1,0.079981078,0,0.482101512,,
AUT,Modern Pentathlon,0,0,0,0,1,0,0,0.013918659,,
AUT,Rowing,0,0,1,1,4,0.079989894,0,0.149627493,,
AUT,Sailing,0,0,2,2,9,0.159979788,0,0.332936348,,
AUT,Shooting,0,0,0,0,3,0.001125348,0,0.135191235,,
AUT,Skateboarding,0,0,0,0,1,0,0,0.002024959,,
AUT,Sport Climbing,0,0,1,1,2,0.079981078,0,0.411099434,,
AUT,Swimming,0,0,0,0,14,0.00787002,0,0.235965729,,
AUT,Table Tennis,0,0,0,0,28,0.024604936,0,0.021791064,,
AUT,Tennis,0,0,0,0,3,0.001125348,0,0.066055659,,
AUT,Triathlon,0,0,0,0,10,0.006747144,0,0.143506978,,
AUT,Weightlifting,0,0,0,0,3,0.001125348,0,0.253755765,,
AZE,Artistic Gymnastics,0,0,0,0,12,0.011201669,0,0.02003394,,
AZE,Athletics,0,0,0,0,4,0.001125348,0,0.027469361,,
AZE,Badminton,0,0,0,0,1,0,0,0.004812725,,
AZE,Boxing,0,0,1,1,5,0.079981078,0,0.278393995,,
AZE,Cycling Road,0,0,0,0,1,0,0,0.005314081,,
AZE,Fencing,0,0,0,0,1,0,0,0.006121458,,
AZE,Judo,0,0,1,1,9,0.079981078,0,0.350340596,,
AZE,Karate,0,2,0,2,3,0.172281664,0,0.402960471,,
AZE,Rhythmic Gymnastics,0,0,0,0,6,0,0,0.081339649,,
AZE,Shooting,0,0,0,0,5,0.003368633,0,0.223370257,,
AZE,Swimming,0,0,0,0,2,0,0,0.016898954,,
AZE,Taekwondo,0,0,0,0,2,0,0,0.330224048,,
AZE,Triathlon,0,0,0,0,2,0.001125348,0,0.010578499,,
AZE,Wrestling,0,3,3,6,10,0.400338836,0,0.654541888,,
BAH,Athletics,2,0,2,4,37,0.298804765,0,0.991205687,,
BAH,Swimming,0,0,0,0,7,0.005611926,0,0.040945649,,
BAN,Archery,0,0,0,0,4,0.002250696,0,0.468545612,,
BAN,Athletics,0,0,0,0,1,0,0,0.66845925,,
BAN,Shooting,0,0,0,0,1,0,0,0.304390668,,
BAN,Swimming,0,0,0,0,2,0,0,0.455403921,,
BAR,Athletics,0,0,0,0,8,0.001125348,0,1,,
BAR,Swimming,0,0,0,0,4,0.002248224,0,0.052583909,,
BDI,Athletics,0,1,0,1,9,0.089572166,0,1,,
BDI,Boxing,0,0,0,0,1,0,0,0,,
BDI,Swimming,0,0,0,0,2,0,0,0.041932617,,
BEL,3x3 Basketball,0,0,0,0,4,0,0,0.013958047,,
BEL,Archery,0,0,0,0,1,0,0,0.560763397,,
BEL,Artistic Gymnastics,1,0,0,1,24,0.097571798,0,0.032312113,,
BEL,Athletics,2,0,1,3,48,0.25307994,0,0.181229113,,
BEL,Badminton,0,0,0,0,3,0.002248224,0,0.002326439,,
BEL,Basketball,0,0,0,0,12,0,0,0.014917926,,
BEL,Canoe Slalom,0,0,0,0,1,0,0,0.000622131,,
BEL,Canoe Sprint,0,0,0,0,5,0.002250696,0,0.005674688,,
BEL,Cycling,0,0,1,1,7,0.081115242,0,0.261609474,,
BEL,Cycling Road,0,1,0,1,10,0.088400116,0,0.142568639,,
BEL,Cycling Track,0,0,0,0,5,0.001125348,0,0.026305573,,
BEL,Equestrian,0,0,4,4,18,0.324460968,0,0.063362869,,
BEL,Golf,0,0,0,0,4,0.001125348,0,0.008019541,,
BEL,Hockey,18,3,0,21,25,1.58476139,0,0.28988315,,
BEL,Judo,0,0,1,1,5,0.081106426,0,0.137108071,,
BEL,Rowing,0,0,0,0,2,0,0,0.228867455,,
BEL,Sailing,0,0,0,0,4,0,0,0.148315609,,
BEL,Shooting,0,0,0,0,1,0,0,0.130185028,,
BEL,Skateboarding,0,0,0,0,2,0,0,0.004559266,,
BEL,Swimming,0,0,0,0,10,0.008973156,0,0.075495643,,
BEL,Taekwondo,0,0,0,0,2,0.001125348,0,0.085088277,,
BEL,Tennis,0,0,0,0,6,0.002250696,0,0.037078886,,
BEL,Triathlon,0,0,0,0,9,0.005624268,0,0.013536184,,
BEL,Weightlifting,0,0,0,0,2,0,0,0.059502951,,
BEN,Athletics,0,0,0,0,5,0.002250696,0,0.825859805,,
BEN,Judo,0,0,0,0,1,0,0,0.166040516,,
BEN,Rowing,0,0,0,0,1,0,0,0,,
BEN,Swimming,0,0,0,0,2,0,0,0.209319061,,
BER,Rowing,0,0,0,0,1,0,0,0.003641124,,
BER,Triathlon,1,0,0,1,4,0.080650937,0,0.51221261,,
BHU,Archery,0,0,0,0,1,0,0,1,,
BHU,Judo,0,0,0,0,1,0,0,0.01196864,,
BHU,Shooting,0,0,0,0,2,0.001125348,0,0.034537195,,
BHU,Swimming,0,0,0,0,1,0,0,0.016147596,,
BIH,Athletics,0,0,0,0,4,0.002250696,0,0.717020423,,
BIH,Judo,0,0,0,0,1,0,0,0.489603972,,
BIH,Shooting,0,0,0,0,1,0,0,0.789692713,,
BIH,Swimming,0,0,0,0,3,0.001125348,0,0.706963849,,
BIH,Taekwondo,0,0,0,0,1,0,0,0.341029614,,
BIZ,Athletics,0,0,0,0,2,0,0,0.813362721,,
BIZ,Canoe Sprint,0,0,0,0,2,0.001125348,0,0.258423442,,
BLR,Archery,0,0,0,0,6,0.003376044,0,0.011554174,,
BLR,Artistic Gymnastics,0,0,0,0,5,0.004486578,0,0.003080723,,
BLR,Artistic Swimming,0,0,0,0,2,0,0,0.012444856,,
BLR,Athletics,0,1,2,3,35,0.204185424,0,0.324770964,,
BLR,Boxing,0,0,0,0,4,0,0,0.113411679,,
BLR,Canoe Sprint,0,4,0,4,18,0.346873008,0,0.272813608,,
BLR,Cycling Road,0,0,0,0,3,0.001125348,0,0.009430778,,
BLR,Cycling Track,0,0,0,0,2,0,0,0.002499525,,
BLR,Equestrian,0,0,0,0,1,0,0,0.000462783,,
BLR,Judo,0,0,0,0,3,0,0,0.094320102,,
BLR,Modern Pentathlon,0,0,0,0,3,0,0,0.069547266,,
BLR,Rhythmic Gymnastics,0,0,1,1,8,0.081106426,0,0.440781856,,
BLR,Rowing,0,0,0,0,5,0,0,0.316264439,,
BLR,Sailing,0,0,0,0,2,0,0,0.010998554,,
BLR,Shooting,0,0,0,0,13,0.01119924,0,0.137102401,,
BLR,Swimming,0,0,0,0,20,0.013481946,0,0.083338531,,
BLR,Tennis,0,0,0,0,5,0.002250696,0,0.149069571,,
BLR,Trampoline Gymnastics,1,0,0,1,2,0.080581957,0,0.485974882,,
BLR,Weightlifting,0,0,0,0,2,0,0,0.265620468,,
BLR,Wrestling,0,2,1,3,8,0.252262742,0,0.256502505,,
BOL,Athletics,0,0,0,0,2,0,0,0.920546126,,
BOL,Swimming,0,0,0,0,2,0,0,0.618709917,,
BOL,Tennis,0,0,0,0,1,0,0,0.066167181,,
BOT,Athletics,0,1,6,7,21,0.570674011,0,1,,
BOT,Boxing,0,0,0,0,2,0,0,0.058147153,,
BOT,Swimming,0,0,0,0,2,0.001125348,0,0.015346392,,
BOT,Weightlifting,0,0,0,0,1,0,0,0.003277123,,
BRA,Archery,0,0,0,0,6,0.004493981,0,0.006231082,,
BRA,Artistic Gymnastics,1,1,0,2,43,0.161183234,0,0.085214874,,
BRA,Athletics,0,0,2,2,85,0.191415137,0,0.159619288,,
BRA,Badminton,0,0,0,0,2,0,0,0.001429719,,
BRA,Basketball,0,0,0,0,1,0,0,0.271997023,,
BRA,Beach Volleyball,1,1,0,2,10,0.1253357,0,0.29556762,,
BRA,Boxing,1,1,1,3,7,0.246703867,0,0.071952902,,
BRA,Canoe Slalom,0,0,0,0,3,0.001125348,0,0.01263114,,
BRA,Canoe Sprint,1,0,0,1,5,0.081716535,0,0.128140739,,
BRA,Canoeing,0,0,0,0,2,0,0,0.069086557,,
BRA,Cycling,0,0,0,0,3,0.001125348,0,0.017203453,,
BRA,Cycling BMX Racing,0,0,0,0,1,0,0,0.00932085,,
BRA,Cycling Mountain Bike,0,0,0,0,2,0,0,0.012414606,,
BRA,Diving,0,0,0,0,6,0.002248224,0,0.010683167,,
BRA,Equestrian,0,0,0,0,17,0.009002784,0,0.015685258,,
BRA,Fencing,0,0,0,0,7,0.005616857,0,0.017890878,,
BRA,Football,22,2,0,24,46,1.945084718,0,0.713704545,,
BRA,Handball,0,0,0,0,36,0.004501392,0,0.0370472,,
BRA,Judo,0,0,3,3,26,0.251235297,0,0.213144133,,
BRA,Marathon Swimming,1,0,0,1,1,0.080581957,0,0.300830189,,
BRA,Modern Pentathlon,0,0,0,0,1,0,0,0.028629052,,
BRA,Rhythmic Gymnastics,0,0,0,0,5,0,0,0.016840128,,
BRA,Rowing,0,0,0,0,1,0,0,0.025207143,,
BRA,Rugby Sevens,0,0,0,0,16,0.003376044,0,0.021894514,,
BRA,Sailing,6,2,2,10,35,0.678841921,0,0.197488794,,
BRA,Shooting,0,0,0,0,1,0,0,0.057603728,,
BRA,Skateboarding,0,3,0,3,12,0.258422496,0,0.151486506,,
BRA,Surfing,1,0,0,1,4,0.080581957,0,0.182052623,,
BRA,Swimming,0,0,2,2,70,0.204897989,0,0.138196475,,
BRA,Table Tennis,0,0,0,0,27,0.022423084,0,0.017804106,,
BRA,Taekwondo,0,0,0,0,3,0,0,0.122755328,,
BRA,Tennis,0,0,2,2,11,0.165573035,0,0.033264897,,
BRA,Triathlon,0,0,0,0,3,0,0,0.012628819,,
BRA,Volleyball,3,12,0,15,28,1.151258071,0,0.646451105,,
BRA,Weightlifting,0,0,0,0,2,0,0,0.005619753,,
BRA,Wrestling,0,0,0,0,3,0.001125348,0,0.003001089,,
BRN,Athletics,0,1,0,1,17,0.089516876,0,0.570937427,,
BRN,Boxing,0,0,0,0,1,0,0,0,,
BRN,Handball,0,0,0,0,15,0.001125348,0,0.049798567,,
BRN,Shooting,0,0,0,0,1,0,0,0.015726564,,
BRN,Swimming,0,0,0,0,2,0,0,0.022612003,,
BRU,Athletics,0,0,0,0,1,0,0,0.646233634,,
BRU,Swimming,0,0,0,0,1,0,0,0.341284914,,
BUL,Artistic Gymnastics,0,0,0,0,7,0.006715091,0,0.010386017,,
BUL,Athletics,0,1,0,1,21,0.101827893,0,0.139240207,,
BUL,Badminton,0,0,0,0,6,0.003376044,0,0.027228389,,
BUL,Boxing,1,0,0,1,3,0.080581957,0,0.144499135,,
BUL,Canoe Sprint,0,0,0,0,1,0,0,0.002002945,,
BUL,Judo,0,0,0,0,5,0.002250696,0,0.043853242,,
BUL,Karate,1,0,0,1,1,0.080581957,0,0.512165537,,
BUL,Rhythmic Gymnastics,5,0,0,5,7,0.402909785,0,0.218754946,,
BUL,Shooting,0,1,0,1,5,0.087274768,0,0.118293788,,
BUL,Swimming,0,0,0,0,10,0.00562674,0,0.041230243,,
BUL,Table Tennis,0,0,0,0,1,0,0,0.000964929,,
BUL,Weightlifting,0,0,0,0,2,0,0,0.301073826,,
BUL,Wrestling,0,0,2,2,7,0.159962156,0,0.384458483,,
BUR,Athletics,0,0,1,1,5,0.083349711,0,0.939294826,,
BUR,Cycling Road,0,0,0,0,1,0,0,0.071443849,,
BUR,Judo,0,0,0,0,1,0,0,0.038739671,,
BUR,Swimming,0,0,0,0,2,0,0,0.037321822,,
BUR,Taekwondo,0,0,0,0,1,0,0,0.061506791,,
CAF,Athletics,0,0,0,0,1,0,0,0.519854924,,
CAF,Swimming,0,0,0,0,1,0,0,0.111541999,,
CAM,Athletics,0,0,0,0,1,0,0,0.547888536,,
CAM,Swimming,0,0,0,0,2,0,0,0.754753263,,
CAN,Archery,0,0,0,0,8,0.006727411,0,0.007796127,,
CAN,Artistic Gymnastics,0,0,0,0,31,0.029123343,0,0.0169896,,
CAN,Artistic Swimming,0,0,0,0,10,0.002250696,0,0.017053083,,
CAN,Athletics,2,2,12,16,114,1.216488403,0,0.362166367,,
CAN,Badminton,0,0,0,0,8,0,0,0.01242049,,
CAN,Baseball/Softball,0,0,15,15,15,1.19971617,0,0.313439244,,
CAN,Basketball,0,0,0,0,18,0.006747144,0,0.065436684,,
CAN,Beach Volleyball,0,0,0,0,6,0.002250696,0,0.058915606,,
CAN,Boxing,0,0,0,0,6,0.001125348,0,0.078059596,,
CAN,Canoe Slalom,0,0,0,0,4,0,0,0.007472345,,
CAN,Canoe Sprint,0,1,2,3,26,0.214247789,0,0.049858603,,
CAN,Cycling,0,0,3,3,11,0.241108232,0,0.087429331,,
CAN,Cycling BMX Racing,0,0,0,0,2,0,0,0.004467364,,
CAN,Cycling Mountain Bike,0,0,0,0,2,0,0,0.006421213,,
CAN,Cycling Road,0,0,0,0,4,0.001125348,0,0.005762932,,
CAN,Cycling Track,1,0,1,2,17,0.163957125,0,0.021119158,,
CAN,Diving,0,2,4,6,26,0.4303142,0,0.087583163,,
CAN,Equestrian,0,0,0,0,11,0.004501392,0,0.008957146,,
CAN,Fencing,0,0,0,0,17,0.006749616,0,0.040064351,,
CAN,Football,22,0,14,36,38,2.394973262,0,0.302299617,,
CAN,Golf,0,0,0,0,6,0.002250696,0,0.029599169,,
CAN,Hockey,0,0,0,0,18,0,0,0.023720321,,
CAN,Judo,0,0,3,3,10,0.241108232,0,0.040130921,,
CAN,Karate,0,0,0,0,1,0,0,0.001360295,,
CAN,Marathon Swimming,0,0,0,0,2,0,0,0.006176277,,
CAN,Rowing,9,0,2,11,37,0.890863015,0,0.588943237,,
CAN,Rugby Sevens,0,0,5,5,31,0.39994947,0,0.249929452,,
CAN,Sailing,0,0,0,0,14,0.006737274,0,0.09771468,,
CAN,Shooting,0,0,0,0,2,0.001125348,0,0.101575982,,
CAN,Skateboarding,0,0,0,0,4,0,0,0.009330598,,
CAN,Sport Climbing,0,0,0,0,2,0,0,0.002757732,,
CAN,Swimming,1,7,12,20,112,1.310121477,0,0.344767315,,
CAN,Table Tennis,0,0,0,0,9,0.005611926,0,0.008208186,,
CAN,Taekwondo,0,0,0,0,2,0,0,0.087572295,,
CAN,Tennis,0,0,0,0,7,0.003373572,0,0.025871701,,
CAN,Trampoline Gymnastics,0,0,0,0,2,0,0,0.123939508,,
CAN,Triathlon,0,0,0,0,10,0.005624268,0,0.031187668,,
CAN,Volleyball,0,0,0,0,17,0.00562674,0,0.015424307,,
CAN,Water Polo,0,0,0,0,13,0,0,0.01397435,,
CAN,Weightlifting,1,0,0,1,6,0.081707305,0,0.048034227,,
CAN,Wrestling,0,0,0,0,4,0,0,0.070957159,,
CAY,Artistic Gymnastics,0,0,0,0,5,0.004486578,0,0.482890879,,
CAY,Athletics,0,0,0,0,4,0.002248224,0,0.282597568,,
CAY,Swimming,0,0,0,0,6,0.004486578,0,0.337580896,,
CGO,Athletics,0,0,0,0,2,0,0,0.785595579,,
CGO,Swimming,0,0,0,0,2,0.001125348,0,0.219571765,,
CGO,Table Tennis,0,0,0,0,1,0,0,0.347258716,,
CHA,Archery,0,0,0,0,1,0,0,0.071241146,,
CHA,Athletics,0,0,0,0,2,0.001125348,0,0.984487635,,
CHA,Judo,0,0,0,0,1,0,0,0.145982066,,
CHI,Archery,0,0,0,0,1,0,0,0.002137903,,
CHI,Artistic Gymnastics,0,0,0,0,6,0.004486578,0,0.003009028,,
CHI,Athletics,0,0,0,0,3,0,0,0.128546853,,
CHI,Beach Volleyball,0,0,0,0,2,0,0,0.00765231,,
CHI,Canoe Sprint,0,0,0,0,3,0.001125348,0,0.008984644,,
CHI,Cycling BMX Freestyle,0,0,0,0,1,0,0,0.04420945,,
CHI,Cycling Mountain Bike,0,0,0,0,1,0,0,0.013091157,,
CHI,Cycling Road,0,0,0,0,1,0,0,0.003656174,,
CHI,Equestrian,0,0,0,0,2,0,0,0.003284335,,
CHI,Fencing,0,0,0,0,1,0,0,0.01867348,,
CHI,Football,0,0,0,0,22,0,0,0.475917064,,
CHI,Golf,0,0,0,0,2,0,0,0.009756436,,
CHI,Judo,0,0,0,0,1,0,0,0.003556013,,
CHI,Modern Pentathlon,0,0,0,0,1,0,0,0.016070483,,
CHI,Rowing,0,0,0,0,2,0,0,0.014657138,,
CHI,Sailing,0,0,0,0,1,0,0,0.01219135,,
CHI,Shooting,0,0,0,0,1,0,0,0.166223438,,
CHI,Skateboarding,0,0,0,0,1,0,0,0.00546943,,
CHI,Surfing,0,0,0,0,1,0,0,0.010673965,,
CHI,Swimming,0,0,0,0,3,0.001125348,0,0.0132458,,
CHI,Table Tennis,0,0,0,0,1,0,0,0.018934772,,
CHI,Tennis,0,0,0,0,1,0,0,0.496399218,,
CHI,Triathlon,0,0,0,0,2,0,0,0.010764134,,
CHI,Weightlifting,0,0,0,0,2,0,0,0.003209613,,
CHI,Wrestling,0,0,0,0,1,0,0,0.286903421,,
CHN,3x3 Basketball,0,0,4,4,8,0.319924312,0,0.176430505,,
CHN,Archery,0,0,0,0,14,0.00899784,0,0.147909531,,
CHN,Artistic Gymnastics,3,3,5,11,61,0.814194463,0,0.145038326,,
CHN,Artistic Swimming,0,10,0,10,10,0.846507688,0,0.369813048,,
CHN,Athletics,2,2,1,5,58,0.42130162,0,0.265475433,,
CHN,Badminton,3,7,0,10,14,0.844740283,0,0.436174582,,
CHN,Basketball,0,0,0,0,12,0,0,0.163504675,,
CHN,Beach Volleyball,0,0,0,0,4,0,0,0.076795687,,
CHN,Boxing,0,2,0,2,6,0.172281664,0,0.147606493,,
CHN,Canoe Slalom,0,0,0,0,3,0,0,0.016991094,,
CHN,Canoe Sprint,2,3,0,5,25,0.421147466,0,0.109938456,,
CHN,Cycling Mountain Bike,0,0,0,0,1,0,0,0.014886772,,
CHN,Cycling Road,0,0,0,0,2,0,0,0.005214147,,
