Year,NOC,Sport,Name,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals
1948,GBR,Athletics,James Peters,0,0,1,0,0
1948,GBR,Boxing,Donald Scott,0,0,0,1,1
1948,GBR,Boxing,Donald Scott,0,0,0,1,1
1948,IRL,Athletics,Daniel Coyle,0,0,1,0,0
1948,IRL,Athletics,Daniel Coyle,0,0,1,0,0
1948,ITA,Fencing,Aldo Montano,0,0,0,1,1
1948,ITA,Fencing,Aldo Montano,0,0,0,1,1
1948,MEX,Shooting,Francisco Cruz,0,0,1,0,0
1948,MEX,Shooting,Francisco Cruz,0,0,1,0,0
1948,SWE,Wrestling,Erik Persson,0,0,1,0,0
1948,SWE,Wrestling,Erik Persson,0,0,1,0,0
1952,CAN,Cycling,John Millman,0,0,1,0,0
1952,CAN,Cycling,John Millman,0,0,1,0,0
1952,EGY,Shooting,Mohamed Aly,0,0,1,0,0
1952,EGY,Shooting,Mohamed Aly,0,0,1,0,0
1952,EGY,Water Polo,Mohamed Khalifa,0,0,1,0,0
1952,EGY,Water Polo,Mohamed Khalifa,0,0,1,0,0
1952,EGY,Water Polo,Omar Abbas,0,0,1,0,0
1952,EGY,Water Polo,Omar Abbas,0,0,1,0,0
1952,GBR,Athletics,James Peters,0,0,1,0,0
1952,GBR,Athletics,James Peters,0,0,1,0,0
1952,GBR,Athletics,Timothy Anderson,0,0,1,0,0
1952,GBR,Athletics,Timothy Anderson,0,0,1,0,0
1952,GBR,Shooting,John Pearson,0,0,1,0,0
1952,GBR,Shooting,John Pearson,0,0,1,0,0
1952,URS,Canoeing,Nina Savina,1,0,0,0,1
1952,URS,Canoeing,Nina Savina,1,0,0,0,1
1956,ARG,Equestrianism,Carlos Bustamante,0,0,2,0,0
1956,ARG,Equestrianism,Carlos Bustamante,0,0,2,0,0
1956,USA,Basketball,James Walsh,0,1,0,0,1
1956,USA,Basketball,James Walsh,0,1,0,0,1
1960,LIB,Wrestling,Nazem Amine,0,0,1,0,0
1960,LIB,Wrestling,Nazem Amine,0,0,1,0,0
1960,MAR,Cycling,Ahmed Omar,0,0,2,0,0
1960,MAR,Cycling,Ahmed Omar,0,0,2,0,0
1960,NZL,Hockey,Ian Kerr,0,0,1,0,0
1960,NZL,Hockey,Ian Kerr,0,0,1,0,0
1960,POL,Athletics,Jerzy Kowalski,0,0,2,0,0
1960,POL,Athletics,Jerzy Kowalski,0,0,2,0,0
1960,POR,Sailing,Gabriel Lopes,0,0,1,0,0
1960,POR,Sailing,Gabriel Lopes,0,0,1,0,0
1960,SGP,Sailing,James Cooke,0,0,1,0,0
1960,SGP,Sailing,James Cooke,0,0,1,0,0
1960,TUN,Cycling,Mohamed Touati,0,0,2,0,0
1960,TUN,Cycling,Mohamed Touati,0,0,2,0,0
1960,UAR,Water Polo,Mohamed Khalifa,0,0,1,0,0
1960,UAR,Water Polo,Mohamed Khalifa,0,0,1,0,0
1960,USA,Sailing,David Smith,0,1,0,0,1
1960,USA,Sailing,David Smith,0,1,0,0,1
1964,ARG,Boxing,Luis Romo,0,0,1,0,0
1964,ARG,Boxing,Luis Romo,0,0,1,0,0
1964,AUS,Rowing,Anthony Walker,0,0,1,0,0
1964,AUS,Rowing,Anthony Walker,0,0,1,0,0
1964,CAN,Athletics,William Crothers,0,0,1,1,1
1964,CAN,Athletics,William Crothers,0,0,1,1,1
1964,EGY,Football,Mohamed Mohamed,0,0,1,0,0
1964,EGY,Football,Mohamed Mohamed,0,0,1,0,0
1964,HKG,Hockey,Daniel Castro,0,0,1,0,0
1964,HKG,Hockey,Daniel Castro,0,0,1,0,0
1964,HKG,Hockey,Rui Silva,0,0,1,0,0
1964,HKG,Hockey,Rui Silva,0,0,1,0,0
1964,JAM,Athletics,Patrick Robinson,0,0,1,0,0
1964,JAM,Athletics,Patrick Robinson,0,0,1,0,0
1964,MAS,Cycling,Michael Andrew,0,0,1,0,0
1964,MAS,Cycling,Michael Andrew,0,0,1,0,0
1964,NZL,Hockey,Ian Kerr,0,0,1,0,0
1964,NZL,Hockey,Ian Kerr,0,0,1,0,0
1964,PER,Swimming,Carlos Bustamante,0,0,3,0,0
1964,PER,Swimming,Carlos Bustamante,0,0,3,0,0
1964,USA,Boxing,Charles Brown,1,0,0,0,1
1964,USA,Boxing,Charles Brown,1,0,0,0,1
1964,USA,Swimming,William Craig,0,1,0,0,1
1964,USA,Swimming,William Craig,0,1,0,0,1
1968,CAN,Athletics,William Crothers,0,0,1,0,0
1968,CAN,Athletics,William Crothers,0,0,1,0,0
1968,DOM,Shooting,Luis Santana,0,0,1,0,0
1968,DOM,Shooting,Luis Santana,0,0,1,0,0
1968,LBA,Athletics,Mohamed Khalifa,0,0,1,0,0
1968,LBA,Athletics,Mohamed Khalifa,0,0,1,0,0
1968,MEX,Basketball,Antonio Arias,0,0,1,0,0
1968,MEX,Basketball,Antonio Arias,0,0,1,0,0
1968,MEX,Volleyball,Carolina Mendoza,0,0,1,0,0
1968,MEX,Volleyball,Carolina Mendoza,0,0,1,0,0
1968,MEX,Weightlifting,Miguel Gutierrez,0,0,1,0,0
1968,MEX,Weightlifting,Miguel Gutierrez,0,0,1,0,0
1968,PUR,Boxing,Andres Torres,0,0,1,0,0
1968,PUR,Boxing,Andres Torres,0,0,1,0,0
1972,BRA,Swimming,Rui Oliveira,0,0,4,0,0
1972,BRA,Swimming,Rui Oliveira,0,0,4,0,0
1972,CAN,Boxing,Christopher Ius,0,0,1,0,0
1972,CAN,Boxing,Christopher Ius,0,0,1,0,0
1972,CUB,Weightlifting,Fernando Salas,0,0,1,0,0
1972,CUB,Weightlifting,Fernando Salas,0,0,1,0,0
1972,EGY,Basketball,Ali Mohamed,0,0,1,0,0
1972,EGY,Basketball,Ali Mohamed,0,0,1,0,0
1972,MEX,Weightlifting,Miguel Gutierrez,0,0,1,0,0
1972,MEX,Weightlifting,Miguel Gutierrez,0,0,1,0,0
1972,USA,Athletics,Charles Brown,0,0,1,0,0
1972,USA,Athletics,Charles Brown,0,0,1,0,0
1972,USA,Athletics,Charles Smith,0,0,1,0,0
1972,USA,Athletics,Charles Smith,0,0,1,0,0
1972,USA,Wrestling,Christopher Taylor,1,0,1,0,1
1972,USA,Wrestling,Christopher Taylor,1,0,1,0,1
1976,ARG,Hockey,Jorge Ruiz,0,0,1,0,0
1976,ARG,Hockey,Jorge Ruiz,0,0,1,0,0
1976,AUS,Water Polo,Paul Williams,0,0,1,0,0
1976,AUS,Water Polo,Paul Williams,0,0,1,0,0
1976,CAN,Boxing,Christopher Ius,0,0,1,0,0
1976,CAN,Boxing,Christopher Ius,0,0,1,0,0
1976,CAN,Weightlifting,Robert Santavy,0,0,1,0,0
1976,CAN,Weightlifting,Robert Santavy,0,0,1,0,0
1976,CUB,Athletics,Richard Campbell,0,0,1,0,0
1976,CUB,Athletics,Richard Campbell,0,0,1,0,0
1976,EGY,Basketball,Ali Mohamed,0,0,1,0,0
1976,EGY,Basketball,Ali Mohamed,0,0,1,0,0
1976,EGY,Basketball,Mohamed Ahmed,0,0,1,0,0
1976,EGY,Basketball,Mohamed Ahmed,0,0,1,0,0
1976,MEX,Basketball,Antonio Arias,0,0,1,0,0
1976,MEX,Basketball,Antonio Arias,0,0,1,0,0
1976,MEX,Boxing,Juan Miranda,1,0,0,0,1
1976,MEX,Boxing,Juan Miranda,1,0,0,0,1
1976,URS,Canoeing,Vladimir Morozov,0,1,0,0,1
1976,URS,Canoeing,Vladimir Morozov,0,1,0,0,1
1976,USA,Athletics,Charles Brown,0,0,1,0,0
1976,USA,Athletics,Charles Brown,0,0,1,0,0
1976,USA,Athletics,Matthew Centrowitz,0,0,1,0,0
1976,USA,Athletics,Matthew Centrowitz,0,0,1,0,0
1980,ANG,Swimming,Jorge Lima,0,0,4,0,0
1980,ANG,Swimming,Jorge Lima,0,0,4,0,0
1980,AUS,Athletics,David Smith,0,0,2,0,0
1980,AUS,Athletics,David Smith,0,0,2,0,0
1980,BRA,Volleyball,Fernanda Silva,0,0,1,0,0
1980,BRA,Volleyball,Fernanda Silva,0,0,1,0,0
1980,BUL,Athletics,Vladimir Ivanov,0,0,2,0,0
1980,BUL,Athletics,Vladimir Ivanov,0,0,2,0,0
1980,COL,Football,Alexis Vega,0,0,1,0,0
1980,COL,Football,Alexis Vega,0,0,1,0,0
1980,ESP,Judo,Ignacio Paz,0,0,1,0,0
1980,ESP,Judo,Ignacio Paz,0,0,1,0,0
1980,GBR,Cycling,Stephen Jones,0,0,1,0,0
1980,GBR,Cycling,Stephen Jones,0,0,1,0,0
1980,KUW,Judo,Ali Mohamed,0,0,1,0,0
1980,KUW,Judo,Ali Mohamed,0,0,1,0,0
1984,AUS,Athletics,David Smith,0,0,1,0,0
1984,AUS,Athletics,David Smith,0,0,1,0,0
1984,AUS,Equestrianism,Andrew Hoy,0,0,2,0,0
1984,AUS,Equestrianism,Andrew Hoy,0,0,2,0,0
1984,AUS,Hockey,Grant Mitton,0,0,1,0,0
1984,AUS,Hockey,Grant Mitton,0,0,1,0,0
1984,BRA,Volleyball,Fernanda Silva,0,0,1,0,0
1984,BRA,Volleyball,Fernanda Silva,0,0,1,0,0
1984,CAN,Athletics,Paul Williams,0,0,2,0,0
1984,CAN,Athletics,Paul Williams,0,0,2,0,0
1984,CAN,Equestrianism,Mario Deslauriers,0,0,2,0,0
1984,CAN,Equestrianism,Mario Deslauriers,0,0,2,0,0
1984,ESP,Judo,Ignacio Paz,0,0,1,0,0
1984,ESP,Judo,Ignacio Paz,0,0,1,0,0
1984,GBR,Athletics,Stephen Jones,0,0,1,0,0
1984,GBR,Athletics,Stephen Jones,0,0,1,0,0
1984,GBR,Weightlifting,David Morgan,0,0,1,0,0
1984,GBR,Weightlifting,David Morgan,0,0,1,0,0
1984,KSA,Fencing,Mohamed Ali,0,0,2,0,0
1984,KSA,Fencing,Mohamed Ali,0,0,2,0,0
1984,NZL,Cycling,Stephen Cox,0,0,1,0,0
1984,NZL,Cycling,Stephen Cox,0,0,1,0,0
1984,UAE,Athletics,Mohamed Ali,0,0,1,0,0
1984,UAE,Athletics,Mohamed Ali,0,0,1,0,0
1984,USA,Athletics,Ronald Brown,0,1,1,0,1
1984,USA,Athletics,Ronald Brown,0,1,1,0,1
1988,AUS,Equestrianism,Andrew Hoy,0,0,2,0,0
1988,AUS,Equestrianism,Andrew Hoy,0,0,2,0,0
1988,BRA,Football,Jorge Campos,0,0,0,1,1
1988,BRA,Football,Jorge Campos,0,0,0,1,1
1988,CAN,Athletics,Paul Williams,0,0,2,0,0
1988,CAN,Athletics,Paul Williams,0,0,2,0,0
1988,CAN,Equestrianism,Mario Deslauriers,0,0,2,0,0
1988,CAN,Equestrianism,Mario Deslauriers,0,0,2,0,0
1988,DEN,Archery,Henrik Toft,0,0,2,0,0
1988,DEN,Archery,Henrik Toft,0,0,2,0,0
1988,EGY,Basketball,Mohamed Ismail,0,0,1,0,0
1988,EGY,Basketball,Mohamed Ismail,0,0,1,0,0
1988,EGY,Fencing,Ahmed Mohamed,0,0,1,0,0
1988,EGY,Fencing,Ahmed Mohamed,0,0,1,0,0
1988,EGY,Swimming,Mohamed Hassan,0,0,2,0,0
1988,EGY,Swimming,Mohamed Hassan,0,0,2,0,0
1988,GBR,Athletics,David Smith,0,0,1,0,0
1988,GBR,Athletics,David Smith,0,0,1,0,0
1988,GBR,Shooting,Margaret Thomas,0,0,2,0,0
1988,GBR,Shooting,Margaret Thomas,0,0,2,0,0
1988,GBR,Weightlifting,David Morgan,0,0,1,0,0
1988,GBR,Weightlifting,David Morgan,0,0,1,0,0
1988,IRL,Equestrianism,James Walsh,0,0,1,0,0
1988,IRL,Equestrianism,James Walsh,0,0,1,0,0
1988,IRQ,Football,Ahmed Mohamed,0,0,1,0,0
1988,IRQ,Football,Ahmed Mohamed,0,0,1,0,0
1988,MLI,Judo,Ousmane Camara,0,0,1,0,0
1988,MLI,Judo,Ousmane Camara,0,0,1,0,0
1988,MTN,Athletics,Mohamed Khalifa,0,0,1,0,0
1988,MTN,Athletics,Mohamed Khalifa,0,0,1,0,0
1988,NED,Rowing,Sven Schwarz,0,0,1,0,0
1988,NED,Rowing,Sven Schwarz,0,0,1,0,0
1988,PUR,Basketball,Francisco Cruz,0,0,1,0,0
1988,PUR,Basketball,Francisco Cruz,0,0,1,0,0
1988,SUI,Equestrianism,Markus Fuchs,0,0,2,0,0
1988,SUI,Equestrianism,Markus Fuchs,0,0,2,0,0
1988,URS,Swimming,Dmitry Volkov,2,0,0,0,2
1988,URS,Swimming,Dmitry Volkov,2,0,0,0,2
1988,USA,Basketball,Charles Smith,1,0,0,0,1
1988,USA,Basketball,Charles Smith,1,0,0,0,1
1992,AUS,Canoeing,Andrew Wilson,0,0,1,0,0
1992,AUS,Canoeing,Andrew Wilson,0,0,1,0,0
1992,AUS,Equestrianism,Andrew Hoy,0,1,1,0,1
1992,AUS,Equestrianism,Andrew Hoy,0,1,1,0,1
1992,AUS,Rowing,Jason Day,0,0,1,0,0
1992,AUS,Rowing,Jason Day,0,0,1,0,0
1992,BEL,Equestrianism,Karin Donckers,0,0,2,0,0
1992,BEL,Equestrianism,Karin Donckers,0,0,2,0,0
1992,BIZ,Athletics,Michael Joseph,0,0,2,0,0
1992,BIZ,Athletics,Michael Joseph,0,0,2,0,0
1992,BRA,Equestrianism,Rodrigo Pessoa,0,0,2,0,0
1992,BRA,Equestrianism,Rodrigo Pessoa,0,0,2,0,0
1992,CAN,Athletics,Paul Williams,0,0,1,0,0
1992,CAN,Athletics,Paul Williams,0,0,1,0,0
1992,CAN,Swimming,Michael Mason,0,0,1,0,0
1992,CAN,Swimming,Michael Mason,0,0,1,0,0
1992,CHN,Fencing,Ye Lin,0,0,1,0,0
1992,CHN,Fencing,Ye Lin,0,0,1,0,0
1992,CUB,Athletics,Jorge Ruiz,1,0,0,0,1
1992,CUB,Athletics,Jorge Ruiz,1,0,0,0,1
1992,DEN,Archery,Henrik Toft,0,0,2,0,0
1992,DEN,Archery,Henrik Toft,0,0,2,0,0
1992,EGY,Handball,Mohamed Mohamed,0,0,1,0,0
1992,EGY,Handball,Mohamed Mohamed,0,0,1,0,0
1992,EGY,Hockey,Gamal Mohamed,0,0,1,0,0
1992,EGY,Hockey,Gamal Mohamed,0,0,1,0,0
1992,EGY,Hockey,Mohamed Mohamed,0,0,1,0,0
1992,EGY,Hockey,Mohamed Mohamed,0,0,1,0,0
1992,ESP,Athletics,David Varela,0,0,1,0,0
1992,ESP,Athletics,David Varela,0,0,1,0,0
1992,ESP,Baseball,Manuel Carrasco,0,0,1,0,0
1992,ESP,Baseball,Manuel Carrasco,0,0,1,0,0
1992,ESP,Rowing,Luis Castillo,0,0,1,0,0
1992,ESP,Rowing,Luis Castillo,0,0,1,0,0
1992,EUN,Gymnastics,Oksana Chusovitina,0,1,5,0,1
1992,EUN,Gymnastics,Oksana Chusovitina,0,1,5,0,1
1992,EUN,Swimming,Dmitry Volkov,0,0,1,1,1
1992,EUN,Swimming,Dmitry Volkov,0,0,1,1,1
1992,GBR,Equestrianism,Carl Hester,0,0,2,0,0
1992,GBR,Equestrianism,Carl Hester,0,0,2,0,0
1992,GBR,Tennis,Samantha Smith,0,0,2,0,0
1992,GBR,Tennis,Samantha Smith,0,0,2,0,0
1992,GBR,Weightlifting,David Morgan,0,0,1,0,0
1992,GBR,Weightlifting,David Morgan,0,0,1,0,0
1992,GUI,Judo,Mamadou Bah,0,0,1,0,0
1992,GUI,Judo,Mamadou Bah,0,0,1,0,0
1992,GUY,Boxing,Andrew Lewis,0,0,1,0,0
1992,GUY,Boxing,Andrew Lewis,0,0,1,0,0
1992,IND,Boxing,Sandeep Kumar,0,0,1,0,0
1992,IND,Boxing,Sandeep Kumar,0,0,1,0,0
1992,ITA,Shooting,Giovanni Pellielo,0,0,1,0,0
1992,ITA,Shooting,Giovanni Pellielo,0,0,1,0,0
1992,KUW,Judo,Ali Mohamed,0,0,1,0,0
1992,KUW,Judo,Ali Mohamed,0,0,1,0,0
1992,MTN,Athletics,Mohamed Khalifa,0,0,1,0,0
1992,MTN,Athletics,Mohamed Khalifa,0,0,1,0,0
1992,NED,Rowing,Sven Schwarz,0,0,1,0,0
1992,NED,Rowing,Sven Schwarz,0,0,1,0,0
1992,NZL,Equestrianism,Bruce Goodin,0,0,2,0,0
1992,NZL,Equestrianism,Bruce Goodin,0,0,2,0,0
1992,PAR,Football,Hugo Franco,0,0,1,0,0
1992,PAR,Football,Hugo Franco,0,0,1,0,0
1992,POR,Sailing,Ricardo Batista,0,0,1,0,0
1992,POR,Sailing,Ricardo Batista,0,0,1,0,0
1992,QAT,Football,Ahmed Saleh,0,0,1,0,0
1992,QAT,Football,Ahmed Saleh,0,0,1,0,0
1992,SUI,Equestrianism,Markus Fuchs,0,0,2,0,0
1992,SUI,Equestrianism,Markus Fuchs,0,0,2,0,0
1992,USA,Athletics,Daniel Lopez,0,0,1,0,0
1992,USA,Athletics,Daniel Lopez,0,0,1,0,0
1996,AUS,Canoeing,Andrew Wilson,0,0,1,0,0
1996,AUS,Canoeing,Andrew Wilson,0,0,1,0,0
1996,AUS,Equestrianism,Andrew Hoy,0,1,1,0,1
1996,AUS,Equestrianism,Andrew Hoy,0,1,1,0,1
1996,AUS,Equestrianism,Mary Hanna,0,0,1,0,0
1996,AUS,Equestrianism,Mary Hanna,0,0,1,0,0
1996,AUS,Equestrianism,Phillip Dutton,0,1,0,0,1
1996,AUS,Equestrianism,Phillip Dutton,0,1,0,0,1
1996,AUS,Rowing,Anthony Edwards,1,0,0,0,1
1996,AUS,Rowing,Anthony Edwards,1,0,0,0,1
1996,AUS,Rowing,Jason Day,0,0,1,0,0
1996,AUS,Rowing,Jason Day,0,0,1,0,0
1996,BRA,Athletics,Messias Baptista,0,0,1,0,0
1996,BRA,Athletics,Messias Baptista,0,0,1,0,0
1996,BRA,Basketball,Carlos Nascimento,0,0,1,0,0
1996,BRA,Basketball,Carlos Nascimento,0,0,1,0,0
1996,BRA,Equestrianism,Rodrigo Pessoa,1,0,1,0,1
1996,BRA,Equestrianism,Rodrigo Pessoa,1,0,1,0,1
1996,BRA,Sailing,Robert Scheidt,0,1,0,0,1
1996,BRA,Sailing,Robert Scheidt,0,1,0,0,1
1996,CAY,Sailing,Michael Joseph,0,0,1,0,0
1996,CAY,Sailing,Michael Joseph,0,0,1,0,0
1996,CUB,Athletics,Jorge Alvarez,0,0,1,0,0
1996,CUB,Athletics,Jorge Alvarez,0,0,1,0,0
1996,CZE,Canoeing,Petr Fuksa,0,0,2,0,0
1996,CZE,Canoeing,Petr Fuksa,0,0,2,0,0
1996,EGY,Boxing,Mohamed Khalifa,0,0,1,0,0
1996,EGY,Boxing,Mohamed Khalifa,0,0,1,0,0
1996,EGY,Handball,Ahmed Ali,0,0,1,0,0
1996,EGY,Handball,Ahmed Ali,0,0,1,0,0
1996,ESP,Athletics,David Varela,0,0,1,0,0
1996,ESP,Athletics,David Varela,0,0,1,0,0
1996,GBR,Athletics,David Smith,0,0,1,0,0
1996,GBR,Athletics,David Smith,0,0,1,0,0
1996,GER,Rowing,Marc Weber,0,0,0,1,1
1996,GER,Rowing,Marc Weber,0,0,0,1,1
1996,GER,Wrestling,Sven Thiele,0,0,1,0,0
1996,GER,Wrestling,Sven Thiele,0,0,1,0,0
1996,GHA,Athletics,Ibrahim Hassan,0,0,1,0,0
1996,GHA,Athletics,Ibrahim Hassan,0,0,1,0,0
1996,HUN,Fencing,Aida Mohamed,0,0,2,0,0
1996,HUN,Fencing,Aida Mohamed,0,0,2,0,0
1996,IND,Weightlifting,Sandeep Kumar,0,0,1,0,0
1996,IND,Weightlifting,Sandeep Kumar,0,0,1,0,0
1996,IRL,Equestrianism,Heike Holstein,0,0,1,0,0
1996,IRL,Equestrianism,Heike Holstein,0,0,1,0,0
1996,ITA,Shooting,Giovanni Pellielo,0,0,1,0,0
1996,ITA,Shooting,Giovanni Pellielo,0,0,1,0,0
1996,JAM,Athletics,Alex Morgan,0,0,1,0,0
1996,JAM,Athletics,Alex Morgan,0,0,1,0,0
1996,JPN,Diving,Ken Terauchi,0,0,1,0,0
1996,JPN,Diving,Ken Terauchi,0,0,1,0,0
1996,JPN,Equestrianism,Taizo Sugitani,0,0,2,0,0
1996,JPN,Equestrianism,Taizo Sugitani,0,0,2,0,0
1996,MLT,Sailing,Andrew Wilson,0,0,1,0,0
1996,MLT,Sailing,Andrew Wilson,0,0,1,0,0
1996,NZL,Equestrianism,Daniel Meech,0,0,1,0,0
1996,NZL,Equestrianism,Daniel Meech,0,0,1,0,0
1996,POR,Football,Rui Oliveira,0,0,1,0,0
1996,POR,Football,Rui Oliveira,0,0,1,0,0
1996,PUR,Basketball,Edgar Rivera,0,0,1,0,0
1996,PUR,Basketball,Edgar Rivera,0,0,1,0,0
1996,PUR,Sailing,Matthew Anderson,0,0,1,0,0
1996,PUR,Sailing,Matthew Anderson,0,0,1,0,0
1996,SUI,Equestrianism,Christoph Meier,0,0,1,0,0
1996,SUI,Equestrianism,Christoph Meier,0,0,1,0,0
1996,SUI,Equestrianism,Markus Fuchs,0,0,2,0,0
1996,SUI,Equestrianism,Markus Fuchs,0,0,2,0,0
1996,SVK,Canoeing,Peter Nagy,0,0,1,0,0
1996,SVK,Canoeing,Peter Nagy,0,0,1,0,0
1996,SWE,Equestrianism,Malin Baryard-johnsson,0,0,2,0,0
1996,SWE,Equestrianism,Malin Baryard-johnsson,0,0,2,0,0
1996,USA,Athletics,Calvin Davis,1,0,0,0,1
1996,USA,Athletics,Calvin Davis,1,0,0,0,1
1996,USA,Equestrianism,Steffen Peters,1,0,1,0,1
1996,USA,Equestrianism,Steffen Peters,1,0,1,0,1
1996,UZB,Gymnastics,Oksana Chusovitina,0,0,5,0,0
1996,UZB,Gymnastics,Oksana Chusovitina,0,0,5,0,0
2000,ARG,Swimming,Cecilia Biagioli,0,0,1,0,0
2000,ARG,Swimming,Cecilia Biagioli,0,0,1,0,0
2000,AUS,Basketball,Lauren Jackson,0,0,0,1,1
2000,AUS,Basketball,Lauren Jackson,0,0,0,1,1
2000,AUS,Equestrianism,Andrew Hoy,0,1,0,1,2
2000,AUS,Equestrianism,Andrew Hoy,0,1,0,1,2
2000,AUS,Equestrianism,Mary Hanna,0,0,2,0,0
2000,AUS,Equestrianism,Mary Hanna,0,0,2,0,0
2000,AUS,Equestrianism,Phillip Dutton,0,1,0,0,1
2000,AUS,Equestrianism,Phillip Dutton,0,1,0,0,1
2000,AUS,Equestrianism,Stuart Tinney,0,1,0,0,1
2000,AUS,Equestrianism,Stuart Tinney,0,1,0,0,1
2000,AUS,Football,Amy Wilson,0,0,1,0,0
2000,AUS,Football,Amy Wilson,0,0,1,0,0
2000,AUS,Rowing,Anthony Edwards,0,0,0,1,1
2000,AUS,Rowing,Anthony Edwards,0,0,0,1,1
2000,AUS,Rowing,Jason Day,0,0,1,0,0
2000,AUS,Rowing,Jason Day,0,0,1,0,0
2000,AUT,Table Tennis,Jia Liu,0,0,2,0,0
2000,AUT,Table Tennis,Jia Liu,0,0,2,0,0
2000,BEL,Equestrianism,Karin Donckers,0,0,1,0,0
2000,BEL,Equestrianism,Karin Donckers,0,0,1,0,0
