NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total_Bronze,Total_Gold,Total_No_Medal,Total_Silver,Gold_Ratio,Silver_Ratio,Bronze_Ratio,No_Medal_Ratio
ALG,Swimming,0,0,42,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0019468780419969406
ALG,Table Tennis,0,0,11,0,70,64,2020,64,0.0,0.0,0.0,0.005445544554455445
ALG,Taekwondo,0,0,1,0,80,48,560,48,0.0,0.0,0.0,0.0017857142857142857
ALG,Tennis,0,0,2,0,136,114,2788,114,0.0,0.0,0.0,0.0007173601147776184
ALG,Trampolining,0,0,1,0,10,10,122,10,0.0,0.0,0.0,0.00819672131147541
ALG,Volleyball,0,0,31,0,349,346,2651,346,0.0,0.0,0.0,0.011693700490380989
ALG,Weightlifting,0,0,20,0,230,231,3446,227,0.0,0.0,0.0,0.005803830528148578
ALG,Wrestling,0,0,27,0,504,431,6075,433,0.0,0.0,0.0,0.0044444444444444444
AND,Athletics,0,0,14,0,1373,1422,36743,1404,0.0,0.0,0.0,0.00038102495713469235
AND,Boxing,0,0,1,0,467,265,5340,264,0.0,0.0,0.0,0.00018726591760299626
AND,Canoe Slalom,0,0,2,0,4,4,79,4,0.0,0.0,0.0,0.02531645569620253
AND,Canoeing,0,0,1,0,389,388,5006,388,0.0,0.0,0.0,0.00019976028765481422
AND,Cycling,0,0,5,0,414,424,9596,425,0.0,0.0,0.0,0.0005210504376823677
AND,Judo,0,0,6,0,325,162,3668,162,0.0,0.0,0.0,0.0016357688113413304
AND,Sailing,0,0,5,0,382,465,5659,430,0.0,0.0,0.0,0.0008835483300936561
AND,Shooting,0,0,12,0,425,428,10743,429,0.0,0.0,0.0,0.001117006422786931
AND,Swimming,0,0,10,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0004635423909516525
ANG,Athletics,0,0,30,0,1373,1422,36743,1404,0.0,0.0,0.0,0.0008164820510029122
ANG,Basketball,0,0,71,0,380,389,3672,383,0.0,0.0,0.0,0.019335511982570806
ANG,Beach Volleyball,0,0,2,0,28,28,576,28,0.0,0.0,0.0,0.003472222222222222
ANG,Boxing,0,0,7,0,467,265,5340,264,0.0,0.0,0.0,0.0013108614232209739
ANG,Canoeing,0,0,6,0,389,388,5006,388,0.0,0.0,0.0,0.0011985617259288853
ANG,Handball,0,0,98,0,384,381,2880,388,0.0,0.0,0.0,0.034027777777777775
ANG,Judo,0,0,15,0,325,162,3668,162,0.0,0.0,0.0,0.004089422028353326
ANG,Rowing,0,0,2,0,1038,1026,8032,1025,0.0,0.0,0.0,0.000249003984063745
ANG,Sailing,0,0,8,0,382,465,5659,430,0.0,0.0,0.0,0.0014136773281498499
ANG,Shooting,0,0,3,0,425,428,10743,429,0.0,0.0,0.0,0.00027925160569673273
ANG,Swimming,0,0,45,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0020859407592824365
ANT,Athletics,0,0,98,0,1373,1422,36743,1404,0.0,0.0,0.0,0.0026671746999428463
ANT,Boxing,0,0,3,0,467,265,5340,264,0.0,0.0,0.0,0.0005617977528089888
ANT,Canoeing,0,0,3,0,389,388,5006,388,0.0,0.0,0.0,0.0005992808629644426
ANT,Cycling,0,0,17,0,414,424,9596,425,0.0,0.0,0.0,0.00177157148812005
ANT,Sailing,0,0,10,0,382,465,5659,430,0.0,0.0,0.0,0.0017670966601873123
ANT,Swimming,0,0,8,0,1027,1169,21573,1060,0.0,0.0,0.0,0.00037083391276132203
ANZ,Athletics,1,0,21,0,1373,1422,36743,1404,0.0,0.0,0.0007283321194464676,0.0005715374357020385
ANZ,Boxing,0,0,0,1,467,265,5340,264,0.0,0.003787878787878788,0.0,0.0
ANZ,Diving,0,0,1,0,155,154,2558,154,0.0,0.0,0.0,0.00039093041438623924
ANZ,Rowing,0,0,10,0,1038,1026,8032,1025,0.0,0.0,0.0,0.001245019920318725
ANZ,Rugby,0,15,0,0,16,67,0,79,0.22388059701492538,0.0,0.0,0.0
ANZ,Shooting,0,0,3,0,425,428,10743,429,0.0,0.0,0.0,0.00027925160569673273
ANZ,Swimming,3,5,22,3,1027,1169,21573,1060,0.00427715996578272,0.002830188679245283,0.0029211295034079843,0.0010197932600936356
ANZ,Tennis,1,0,0,0,136,114,2788,114,0.0,0.0,0.007352941176470588,0.0
ARG,Archery,0,0,2,0,108,145,2209,130,0.0,0.0,0.0,0.0009053870529651426
ARG,Art Competitions,0,0,2,0,51,49,3422,56,0.0,0.0,0.0,0.0005844535359438924
ARG,Artistic Gymnastics,0,0,5,0,21,20,1000,20,0.0,0.0,0.0,0.005
ARG,Athletics,0,2,247,3,1373,1422,36743,1404,0.0014064697609001407,0.002136752136752137,0.0,0.006722368886590643
ARG,Basketball,12,12,76,0,380,389,3672,383,0.030848329048843187,0.0,0.031578947368421054,0.020697167755991286
ARG,Beach Volleyball,0,0,18,0,28,28,576,28,0.0,0.0,0.0,0.03125
ARG,Boxing,10,7,114,7,467,265,5340,264,0.026415094339622643,0.026515151515151516,0.021413276231263382,0.021348314606741574
ARG,Canoe Slalom,0,0,1,0,4,4,79,4,0.0,0.0,0.0,0.012658227848101266
ARG,Canoe Sprint,0,0,4,0,22,22,346,22,0.0,0.0,0.0,0.011560693641618497
ARG,Canoeing,0,0,49,0,389,388,5006,388,0.0,0.0,0.0,0.009788254095085897
ARG,Cycling,0,2,177,0,414,424,9596,425,0.0047169811320754715,0.0,0.0,0.018445185493955817
ARG,Cycling BMX Racing,0,0,1,0,2,2,42,2,0.0,0.0,0.0,0.023809523809523808
ARG,Cycling Mountain Bike,0,0,1,0,2,2,70,2,0.0,0.0,0.0,0.014285714285714285
ARG,Cycling Road,0,0,1,0,4,4,247,4,0.0,0.0,0.0,0.004048582995951417
ARG,Diving,0,0,9,0,155,154,2558,154,0.0,0.0,0.0,0.003518373729476153
ARG,Equestrian,0,0,8,0,14,15,377,14,0.0,0.0,0.0,0.021220159151193633
ARG,Equestrianism,0,0,155,1,319,324,5379,322,0.0,0.003105590062111801,0.0,0.028815765012084032
ARG,Fencing,5,0,235,0,596,624,9321,613,0.0,0.0,0.008389261744966443,0.025211887136573328
ARG,Figure Skating,0,0,1,0,9,9,27,9,0.0,0.0,0.0,0.037037037037037035
ARG,Football,0,34,96,34,587,559,5650,557,0.06082289803220036,0.06104129263913824,0.0,0.016991150442477877
ARG,Golf,0,0,3,0,18,17,315,17,0.0,0.0,0.0,0.009523809523809525
ARG,Gymnastics,0,0,133,0,719,791,24451,746,0.0,0.0,0.0,0.005439450329229888
ARG,Handball,0,0,60,0,384,381,2880,388,0.0,0.0,0.0,0.020833333333333332
ARG,Hockey,32,18,223,49,548,554,4213,534,0.032490974729241874,0.09176029962546817,0.058394160583941604,0.052931402800854496
ARG,Judo,1,1,65,0,325,162,3668,162,0.006172839506172839,0.0,0.003076923076923077,0.01772082878953108
ARG,Marathon Swimming,0,0,1,0,2,2,45,2,0.0,0.0,0.0,0.022222222222222223
ARG,Modern Pentathlon,0,0,19,0,64,64,1557,64,0.0,0.0,0.0,0.012202954399486191
ARG,Polo,0,9,0,0,20,22,28,25,0.4090909090909091,0.0,0.0,0.0
ARG,Rowing,3,2,180,1,1038,1026,8032,1025,0.001949317738791423,0.000975609756097561,0.002890173410404624,0.022410358565737053
ARG,Rugby Sevens,13,0,13,0,51,51,459,50,0.0,0.0,0.2549019607843137,0.02832244008714597
ARG,Sailing,9,2,168,10,382,465,5659,430,0.004301075268817204,0.023255813953488372,0.02356020942408377,0.029687223891146846
ARG,Shooting,0,0,126,1,425,428,10743,429,0.0,0.002331002331002331,0.0,0.011728567439262776
ARG,Surfing,0,0,1,0,2,2,34,2,0.0,0.0,0.0,0.029411764705882353
ARG,Swimming,1,1,258,1,1027,1169,21573,1060,0.000855431993156544,0.0009433962264150943,0.0009737098344693282,0.011959393686552635
ARG,Synchronized Swimming,0,0,4,0,70,74,694,71,0.0,0.0,0.0,0.005763688760806916
ARG,Table Tennis,0,0,16,0,70,64,2020,64,0.0,0.0,0.0,0.007920792079207921
ARG,Taekwondo,0,1,7,0,80,48,560,48,0.020833333333333332,0.0,0.0,0.0125
ARG,Tennis,5,0,93,2,136,114,2788,114,0.0,0.017543859649122806,0.03676470588235294,0.03335724533715925
ARG,Triathlon,0,0,7,0,17,17,660,17,0.0,0.0,0.0,0.010606060606060607
ARG,Volleyball,24,0,94,0,349,346,2651,346,0.0,0.0,0.06876790830945559,0.03545831761599397
ARG,Water Polo,0,0,28,0,386,376,2997,373,0.0,0.0,0.0,0.009342676009342675
ARG,Weightlifting,1,0,34,1,230,231,3446,227,0.0,0.004405286343612335,0.004347826086956522,0.009866511897852582
ARG,Wrestling,0,0,69,0,504,431,6075,433,0.0,0.0,0.0,0.011358024691358024
ARM,Artistic Gymnastics,1,0,1,0,21,20,1000,20,0.0,0.0,0.047619047619047616,0.001
ARM,Athletics,0,0,19,0,1373,1422,36743,1404,0.0,0.0,0.0,0.000517105298968511
ARM,Boxing,2,0,19,0,467,265,5340,264,0.0,0.0,0.004282655246252677,0.0035580524344569287
ARM,Canoeing,0,0,2,0,389,388,5006,388,0.0,0.0,0.0,0.00039952057530962844
ARM,Cycling,0,0,1,0,414,424,9596,425,0.0,0.0,0.0,0.00010421008753647353
ARM,Diving,0,0,3,0,155,154,2558,154,0.0,0.0,0.0,0.0011727912431587178
ARM,Gymnastics,0,0,20,0,719,791,24451,746,0.0,0.0,0.0,0.0008179624555232915
ARM,Judo,0,0,9,0,325,162,3668,162,0.0,0.0,0.0,0.0024536532170119957
ARM,Shooting,0,0,10,0,425,428,10743,429,0.0,0.0,0.0,0.0009308386856557759
ARM,Swimming,0,0,11,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0005098966300468178
ARM,Taekwondo,0,0,1,0,80,48,560,48,0.0,0.0,0.0,0.0017857142857142857
ARM,Tennis,0,0,3,0,136,114,2788,114,0.0,0.0,0.0,0.0010760401721664275
ARM,Weightlifting,5,0,30,3,230,231,3446,227,0.0,0.013215859030837005,0.021739130434782608,0.008705745792222866
ARM,Wrestling,3,2,44,4,504,431,6075,433,0.004640371229698376,0.009237875288683603,0.005952380952380952,0.007242798353909465
ARU,Athletics,0,0,9,0,1373,1422,36743,1404,0.0,0.0,0.0,0.00024494461530087365
ARU,Boxing,0,0,2,0,467,265,5340,264,0.0,0.0,0.0,0.0003745318352059925
ARU,Cycling,0,0,3,0,414,424,9596,425,0.0,0.0,0.0,0.0003126302626094206
ARU,Fencing,0,0,2,0,596,624,9321,613,0.0,0.0,0.0,0.000214569252226156
ARU,Judo,0,0,5,0,325,162,3668,162,0.0,0.0,0.0,0.0013631406761177754
ARU,Sailing,0,0,4,0,382,465,5659,430,0.0,0.0,0.0,0.0007068386640749249
ARU,Shooting,0,0,1,0,425,428,10743,429,0.0,0.0,0.0,9.308386856557759e-05
ARU,Swimming,0,0,12,0,1027,1169,21573,1060,0.0,0.0,0.0,0.000556250869141983
ARU,Synchronized Swimming,0,0,4,0,70,74,694,71,0.0,0.0,0.0,0.005763688760806916
ARU,Taekwondo,0,0,1,0,80,48,560,48,0.0,0.0,0.0,0.0017857142857142857
ARU,Weightlifting,0,0,3,0,230,231,3446,227,0.0,0.0,0.0,0.0008705745792222867
ASA,Archery,0,0,1,0,108,145,2209,130,0.0,0.0,0.0,0.0004526935264825713
ASA,Athletics,0,0,12,0,1373,1422,36743,1404,0.0,0.0,0.0,0.00032659282040116487
ASA,Boxing,0,0,5,0,467,265,5340,264,0.0,0.0,0.0,0.0009363295880149813
ASA,Judo,0,0,3,0,325,162,3668,162,0.0,0.0,0.0,0.0008178844056706652
ASA,Sailing,0,0,4,0,382,465,5659,430,0.0,0.0,0.0,0.0007068386640749249
ASA,Swimming,0,0,6,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0002781254345709915
ASA,Weightlifting,0,0,8,0,230,231,3446,227,0.0,0.0,0.0,0.0023215322112594312
ASA,Wrestling,0,0,2,0,504,431,6075,433,0.0,0.0,0.0,0.0003292181069958848
AUS,Archery,4,1,77,0,108,145,2209,130,0.006896551724137931,0.0,0.037037037037037035,0.03485740153915799
AUS,Art Competitions,0,0,3,0,51,49,3422,56,0.0,0.0,0.0,0.0008766803039158387
AUS,Artistic Gymnastics,0,0,12,0,21,20,1000,20,0.0,0.0,0.0,0.012
AUS,Artistic Swimming,0,0,10,0,10,10,94,10,0.0,0.0,0.0,0.10638297872340426
AUS,Athletics,30,24,967,38,1373,1422,36743,1404,0.016877637130801686,0.027065527065527065,0.021849963583394028,0.026317938110660535
AUS,Badminton,0,0,62,0,68,62,1446,62,0.0,0.0,0.0,0.042876901798063624
AUS,Baseball,0,0,44,24,112,112,558,112,0.0,0.21428571428571427,0.0,0.07885304659498207
AUS,Baseball/Softball,0,0,15,0,39,39,117,39,0.0,0.0,0.0,0.1282051282051282
AUS,Basketball,36,0,214,36,380,389,3672,383,0.0,0.09399477806788512,0.09473684210526316,0.05827886710239651
AUS,Beach Volleyball,2,2,34,2,28,28,576,28,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.059027777777777776
AUS,Boxing,4,0,125,1,467,265,5340,264,0.0,0.003787878787878788,0.008565310492505354,0.023408239700374533
AUS,Canoe Slalom,1,1,2,0,4,4,79,4,0.25,0.0,0.25,0.02531645569620253
AUS,Canoe Sprint,0,2,22,0,22,22,346,22,0.09090909090909091,0.0,0.0,0.06358381502890173
AUS,Canoeing,25,6,201,10,389,388,5006,388,0.015463917525773196,0.02577319587628866,0.06426735218508997,0.04015181781861766
AUS,Cycling,29,26,344,29,414,424,9596,425,0.06132075471698113,0.06823529411764706,0.07004830917874397,0.0358482701125469
AUS,Cycling BMX Freestyle,0,1,1,0,2,2,12,2,0.5,0.0,0.0,0.08333333333333333
AUS,Cycling BMX Racing,0,0,3,0,2,2,42,2,0.0,0.0,0.0,0.07142857142857142
AUS,Cycling Mountain Bike,0,0,2,0,2,2,70,2,0.0,0.0,0.0,0.02857142857142857
AUS,Cycling Road,1,0,10,0,4,4,247,4,0.0,0.0,0.25,0.04048582995951417
AUS,Cycling Track,6,0,26,0,29,29,339,29,0.0,0.0,0.20689655172413793,0.07669616519174041
AUS,Diving,14,3,138,4,155,154,2558,154,0.01948051948051948,0.025974025974025976,0.09032258064516129,0.05394839718530102
AUS,Equestrian,1,0,13,4,14,15,377,14,0.0,0.2857142857142857,0.07142857142857142,0.034482758620689655
AUS,Equestrianism,12,18,194,7,319,324,5379,322,0.05555555555555555,0.021739130434782608,0.03761755485893417,0.03606618330544711
AUS,Fencing,0,0,147,0,596,624,9321,613,0.0,0.0,0.0,0.015770840038622464
AUS,Football,0,0,205,0,587,559,5650,557,0.0,0.0,0.0,0.036283185840707964
AUS,Golf,0,0,8,0,18,17,315,17,0.0,0.0,0.0,0.025396825396825397
AUS,Gymnastics,0,0,513,0,719,791,24451,746,0.0,0.0,0.0,0.020980736984172427
AUS,Handball,0,0,30,0,384,381,2880,388,0.0,0.0,0.0,0.010416666666666666
AUS,Hockey,79,64,211,63,548,554,4213,534,0.11552346570397112,0.11797752808988764,0.14416058394160583,0.05008307619273677
AUS,Judo,2,0,88,0,325,162,3668,162,0.0,0.0,0.006153846153846154,0.023991275899672846
AUS,Karate,0,0,1,0,16,8,49,8,0.0,0.0,0.0,0.02040816326530612
AUS,Marathon Swimming,1,0,1,0,2,2,45,2,0.0,0.0,0.5,0.022222222222222223
AUS,Modern Pentathlon,0,1,54,0,64,64,1557,64,0.015625,0.0,0.0,0.03468208092485549
AUS,Rhythmic Gymnastics,0,0,13,0,50,50,604,50,0.0,0.0,0.0,0.02152317880794702
AUS,Rowing,74,30,389,56,1038,1026,8032,1025,0.029239766081871343,0.054634146341463415,0.07129094412331406,0.048431274900398405
AUS,Rugby Sevens,0,12,39,0,51,51,459,50,0.23529411764705882,0.0,0.0,0.08496732026143791
AUS,Sailing,14,25,167,17,382,465,5659,430,0.053763440860215055,0.03953488372093023,0.03664921465968586,0.029510514225128116
AUS,Shooting,5,5,261,1,425,428,10743,429,0.011682242990654205,0.002331002331002331,0.011764705882352941,0.02429488969561575
AUS,Skateboarding,0,1,4,0,4,4,68,4,0.25,0.0,0.0,0.058823529411764705
AUS,Softball,45,0,0,15,59,60,299,60,0.0,0.25,0.7627118644067796,0.0
AUS,Sport Climbing,0,0,2,0,2,2,34,2,0.0,0.0,0.0,0.058823529411764705
AUS,Surfing,1,0,3,0,2,2,34,2,0.0,0.0,0.5,0.08823529411764706
AUS,Swimming,151,138,873,165,1027,1169,21573,1060,0.11804961505560307,0.15566037735849056,0.14703018500486856,0.040467250730079264
AUS,Synchronized Swimming,0,0,57,0,70,74,694,71,0.0,0.0,0.0,0.08213256484149856
AUS,Table Tennis,0,0,84,0,70,64,2020,64,0.0,0.0,0.0,0.041584158415841586
AUS,Taekwondo,0,1,24,1,80,48,560,48,0.020833333333333332,0.020833333333333332,0.0,0.04285714285714286
AUS,Tennis,8,2,98,2,136,114,2788,114,0.017543859649122806,0.017543859649122806,0.058823529411764705,0.0351506456241033
AUS,Trampoline Gymnastics,0,0,2,0,2,2,26,2,0.0,0.0,0.0,0.07692307692307693
AUS,Trampolining,0,0,5,1,10,10,122,10,0.0,0.1,0.0,0.040983606557377046
AUS,Triathlon,2,1,36,2,17,17,660,17,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.05454545454545454
AUS,Volleyball,0,0,48,0,349,346,2651,346,0.0,0.0,0.0,0.018106374952847983
AUS,Water Polo,26,13,236,0,386,376,2997,373,0.034574468085106384,0.0,0.06735751295336788,0.07874541207874541
AUS,Weightlifting,2,1,79,1,230,231,3446,227,0.004329004329004329,0.004405286343612335,0.008695652173913044,0.022925130586186882
AUS,Wrestling,2,0,98,1,504,431,6075,433,0.0,0.0023094688221709007,0.003968253968253968,0.016131687242798353
AUT,Archery,0,0,4,0,108,145,2209,130,0.0,0.0,0.0,0.0018107741059302852
AUT,Art Competitions,4,3,189,3,51,49,3422,56,0.061224489795918366,0.05357142857142857,0.0784313725490196,0.055230859146697835
AUT,Artistic Gymnastics,0,0,5,0,21,20,1000,20,0.0,0.0,0.0,0.005
AUT,Artistic Swimming,0,0,2,0,10,10,94,10,0.0,0.0,0.0,0.02127659574468085
AUT,Athletics,5,1,326,2,1373,1422,36743,1404,0.0007032348804500703,0.0014245014245014246,0.003641660597232338,0.008872438287564979
AUT,Badminton,0,0,10,0,68,62,1446,62,0.0,0.0,0.0,0.006915629322268326
AUT,Beach Volleyball,0,0,20,0,28,28,576,28,0.0,0.0,0.0,0.034722222222222224
AUT,Boxing,0,0,37,0,467,265,5340,264,0.0,0.0,0.0,0.006928838951310861
AUT,Canoe Slalom,0,0,3,0,4,4,79,4,0.0,0.0,0.0,0.0379746835443038
AUT,Canoe Sprint,0,0,4,0,22,22,346,22,0.0,0.0,0.0,0.011560693641618497
AUT,Canoeing,10,4,99,7,389,388,5006,388,0.010309278350515464,0.01804123711340206,0.02570694087403599,0.019776268477826608
AUT,Cycling,2,1,211,0,414,424,9596,425,0.0023584905660377358,0.0,0.004830917874396135,0.021988328470195915
AUT,Cycling Mountain Bike,0,0,2,0,2,2,70,2,0.0,0.0,0.0,0.02857142857142857
AUT,Cycling Road,0,1,4,0,4,4,247,4,0.25,0.0,0.0,0.016194331983805668
AUT,Cycling Track,0,0,5,0,29,29,339,29,0.0,0.0,0.0,0.014749262536873156
AUT,Diving,1,0,74,0,155,154,2558,154,0.0,0.0,0.0064516129032258064,0.028928850664581705
AUT,Equestrian,0,0,8,0,14,15,377,14,0.0,0.0,0.0,0.021220159151193633
AUT,Equestrianism,1,1,104,4,319,324,5379,322,0.0030864197530864196,0.012422360248447204,0.003134796238244514,0.019334448782301544
AUT,Fencing,5,1,202,7,596,624,9321,613,0.0016025641025641025,0.011419249592169658,0.008389261744966443,0.021671494474841756
AUT,Football,0,0,37,13,587,559,5650,557,0.0,0.02333931777378815,0.0,0.0065486725663716815
AUT,Golf,0,0,5,0,18,17,315,17,0.0,0.0,0.0,0.015873015873015872
AUT,Gymnastics,0,2,362,1,719,791,24451,746,0.0025284450063211127,0.0013404825737265416,0.0,0.014805120444971575
AUT,Handball,0,0,44,22,384,381,2880,388,0.0,0.05670103092783505,0.0,0.015277777777777777
AUT,Hockey,0,0,55,0,548,554,4213,534,0.0,0.0,0.0,0.013054830287206266
AUT,Judo,2,2,52,3,325,162,3668,162,0.012345679012345678,0.018518518518518517,0.006153846153846154,0.014176663031624863
AUT,Karate,1,0,0,0,16,8,49,8,0.0,0.0,0.0625,0.0
AUT,Modern Pentathlon,0,0,38,0,64,64,1557,64,0.0,0.0,0.0,0.024405908798972382
AUT,Rhythmic Gymnastics,0,0,6,0,50,50,604,50,0.0,0.0,0.0,0.009933774834437087
AUT,Rowing,5,0,125,5,1038,1026,8032,1025,0.0,0.004878048780487805,0.004816955684007707,0.015562749003984064
AUT,Sailing,2,5,121,5,382,465,5659,430,0.010752688172043012,0.011627906976744186,0.005235602094240838,0.02138186958826648
AUT,Shooting,5,1,177,2,425,428,10743,429,0.002336448598130841,0.004662004662004662,0.011764705882352941,0.016475844736107234
AUT,Skateboarding,0,0,1,0,4,4,68,4,0.0,0.0,0.0,0.014705882352941176
AUT,Sport Climbing,1,0,1,0,2,2,34,2,0.0,0.0,0.5,0.029411764705882353
AUT,Swimming,9,2,206,6,1027,1169,21573,1060,0.001710863986313088,0.005660377358490566,0.008763388510223954,0.009548973253604043
AUT,Synchronized Swimming,0,0,14,0,70,74,694,71,0.0,0.0,0.0,0.020172910662824207
AUT,Table Tennis,0,0,64,0,70,64,2020,64,0.0,0.0,0.0,0.031683168316831684
AUT,Taekwondo,0,0,3,0,80,48,560,48,0.0,0.0,0.0,0.005357142857142857
AUT,Tennis,0,0,39,2,136,114,2788,114,0.0,0.017543859649122806,0.0,0.013988522238163558
AUT,Triathlon,0,1,20,0,17,17,660,17,0.058823529411764705,0.0,0.0,0.030303030303030304
AUT,Tug-Of-War,0,0,8,0,29,43,55,43,0.0,0.0,0.0,0.14545454545454545
AUT,Water Polo,0,0,28,0,386,376,2997,373,0.0,0.0,0.0,0.009342676009342675
AUT,Weightlifting,2,4,73,5,230,231,3446,227,0.017316017316017316,0.022026431718061675,0.008695652173913044,0.02118398142774231
AUT,Wrestling,3,1,89,2,504,431,6075,433,0.002320185614849188,0.004618937644341801,0.005952380952380952,0.014650205761316872
AZE,Archery,0,0,1,0,108,145,2209,130,0.0,0.0,0.0,0.0004526935264825713
AZE,Artistic Gymnastics,0,0,12,0,21,20,1000,20,0.0,0.0,0.0,0.012
AZE,Athletics,0,0,23,0,1373,1422,36743,1404,0.0,0.0,0.0,0.0006259695724355659
AZE,Badminton,0,0,1,0,68,62,1446,62,0.0,0.0,0.0,0.0006915629322268327
AZE,Boxing,8,0,33,1,467,265,5340,264,0.0,0.003787878787878788,0.017130620985010708,0.006179775280898876
AZE,Canoeing,1,0,5,1,389,388,5006,388,0.0,0.002577319587628866,0.002570694087403599,0.000998801438274071
AZE,Cycling,0,0,6,0,414,424,9596,425,0.0,0.0,0.0,0.0006252605252188412
AZE,Cycling Road,0,0,1,0,4,4,247,4,0.0,0.0,0.0,0.004048582995951417
