NOC,Sport,Gold_Medals,Silver_Medals,Bronze_Medals,No_Medals,Total_Medals,Country_Event_Participation,Event_Total_Participation,Parti_to_Gold,Parti_to_Silver,Parti_to_Bronze,Parti_to_Medal,Participate_Rate,Weight,Score,Rank
ALG,Artistic Gymnastics,1,0,0,5,1,6,2297,0.166666667,0,0,0.166666667,0.002612103,1111100000,0.385504553,3
ALG,Athletics,4,3,3,142,10,152,43294,0.026315789,0.019736842,0.019736842,0.065789474,0.003510879,4444433333,0.610245783,1
ALG,Badminton,0,0,0,3,0,3,1816,0,0,0,0,0.001651982,0,0.002337651,24
ALG,Boxing,2,0,5,75,7,82,6584,0.024390244,0,0.06097561,0.085365854,0.012454435,2222200055,0.457064907,2
ALG,Canoe Slalom,0,0,0,2,0,2,256,0,0,0,0,0.0078125,0,0.012724966,15
ALG,Canoe Sprint,0,0,0,2,0,2,756,0,0,0,0,0.002645503,0,0.003831889,20
ALG,Cycling,0,0,0,6,0,6,10859,0,0,0,0,0.000552537,0,0.002775776,22
ALG,Cycling Road,0,0,0,5,0,5,493,0,0,0,0,0.010141988,0,0.016826317,13
ALG,Fencing,0,0,0,33,0,33,11558,0,0,0,0,0.002855165,0,0.017970243,12
ALG,Football,0,0,0,32,0,32,7906,0,0,0,0,0.004047559,0,0.018032899,11
ALG,Gymnastics,0,0,0,24,0,24,26707,0,0,0,0,0.000898641,0,0.012658617,16
ALG,Handball,0,0,0,59,0,59,4419,0,0,0,0,0.013351437,0,0.037970539,5
ALG,Judo,0,1,1,55,2,57,4876,0,0.01754386,0.01754386,0.035087719,0.01168991,11111,0.31150285,4
ALG,Karate,0,0,0,1,0,1,81,0,0,0,0,0.012345679,0,0.020409372,8
ALG,Marathon Swimming,0,0,0,1,0,1,89,0,0,0,0,0.011235955,0,0.018536375,10
ALG,Rowing,0,0,0,14,0,14,11625,0,0,0,0,0.001204301,0,0.007289997,19
ALG,Sailing,0,0,0,6,0,6,7266,0,0,0,0,0.000825764,0,0.002838911,21
ALG,Shooting,0,0,0,6,0,6,12580,0,0,0,0,0.000476948,0,0.002772621,23
ALG,Swimming,0,0,0,44,0,44,26416,0,0,0,0,0.001665657,0,0.023474399,6
ALG,Table Tennis,0,0,0,13,0,13,2480,0,0,0,0,0.005241935,0,0.010591497,18
ALG,Taekwondo,0,0,0,1,0,1,870,0,0,0,0,0.001149425,0,0.001178819,25
ALG,Tennis,0,0,0,2,0,2,3446,0,0,0,0,0.000580383,0,0.000584512,26
ALG,Trampolining,0,0,0,1,0,1,152,0,0,0,0,0.006578947,0,0.010597317,17
ALG,indoor.1,0,0,0,31,0,31,4003,0,0,0,0,0.007744192,0,0.020593601,7
ALG,Weightlifting,0,0,0,21,0,21,4256,0,0,0,0,0.004934211,0,0.013425876,14
ALG,Wrestling,0,0,0,35,0,35,7734,0,0,0,0,0.004525472,0,0.019823481,9
AND,Athletics,0,0,0,15,0,15,43294,0,0,0,0,0.000346468,0,0.094743629,2
AND,Boxing,0,0,0,1,0,1,6584,0,0,0,0,0.000151883,0,0,9
AND,Canoe Slalom,0,0,0,5,0,5,256,0,0,0,0,0.01953125,0,0.931423193,1
AND,Canoeing,0,0,0,1,0,1,6171,0,0,0,0,0.000162048,0,0.000521759,8
AND,Cycling,0,0,0,5,0,5,10859,0,0,0,0,0.000460448,0,0.032823249,7
AND,Judo,0,0,0,6,0,6,4876,0,0,0,0,0.001230517,0,0.065857534,4
AND,Sailing,0,0,0,5,0,5,7266,0,0,0,0,0.000688137,0,0.039801749,6
AND,Shooting,0,0,0,12,0,12,12580,0,0,0,0,0.000953895,0,0.086660788,3
AND,Swimming,0,0,0,10,0,10,26416,0,0,0,0,0.000378558,0,0.063727784,5
ANG,Athletics,0,0,0,31,0,31,43294,0,0,0,0,0.000716035,0,0.14538821,4
ANG,Basketball,0,0,0,71,0,71,5111,0,0,0,0,0.013891606,0,0.566963127,2
ANG,Beach Volleyball,0,0,0,2,0,2,756,0,0,0,0,0.002645503,0,0.075769442,7
ANG,Boxing,0,0,0,7,0,7,6584,0,0,0,0,0.001063183,0,0.03730705,9
ANG,Canoe Sprint,0,0,0,3,0,3,756,0,0,0,0,0.003968254,0,0.116791349,6
ANG,Canoeing,0,0,0,6,0,6,6171,0,0,0,0,0.00097229,0,0.031571555,10
ANG,Handball,0,0,0,113,0,113,4419,0,0,0,0,0.025571396,0,1,1
ANG,Judo,0,0,0,16,0,16,4876,0,0,0,0,0.003281378,0,0.122212275,5
ANG,Rowing,0,0,0,3,0,3,11625,0,0,0,0,0.000258065,0,0.0053114,11
ANG,Sailing,0,0,0,11,0,11,7266,0,0,0,0,0.0015139,0,0.062527862,8
ANG,Shooting,0,0,0,3,0,3,12580,0,0,0,0,0.000238474,0,0.00527198,12
ANG,Swimming,0,0,0,47,0,47,26416,0,0,0,0,0.001779225,0,0.224899813,3
ANT,Athletics,0,0,0,100,0,100,43294,0,0,0,0,0.002309789,0,1,1
ANT,Boxing,0,0,0,3,0,3,6584,0,0,0,0,0.00045565,0,0.007038059,6
ANT,Canoeing,0,0,0,3,0,3,6171,0,0,0,0,0.000486145,0,0.009799411,5
ANT,Cycling,0,0,0,17,0,17,10859,0,0,0,0,0.001565522,0,0.174860224,2
ANT,Sailing,0,0,0,11,0,11,7266,0,0,0,0,0.0015139,0,0.127282115,3
ANT,Swimming,0,0,0,10,0,10,26416,0,0,0,0,0.000378558,0,0.070935187,4
ANZ,Athletics,0,0,1,21,1,22,43294,0,0,0.045454545,0.045454545,0.000508154,11,0.095460297,5
ANZ,Boxing,0,1,0,0,1,1,6584,0,1,0,1,0.000151883,11100,0.338797633,3
ANZ,Diving,0,0,0,1,0,1,3193,0,0,0,0,0.000313185,0,0.000756361,8
ANZ,Rowing,0,0,0,10,0,10,11625,0,0,0,0,0.000860215,0,0.025481933,6
ANZ,Rugby,15,0,0,0,15,15,162,1,0,0,1,0.092592593,1.52E+14,0.502187966,1
ANZ,Shooting,0,0,0,3,0,3,12580,0,0,0,0,0.000238474,0,0.005728514,7
ANZ,Swimming,5,3,3,22,11,33,26416,0.151515152,0.090909091,0.090909091,0.333333333,0.001249243,5555533333,0.373596162,2
ANZ,Tennis,0,0,1,0,1,1,3446,0,0,1,1,0.000290192,11,0.308369404,4
ARG,Archery,0,0,0,3,0,3,2846,0,0,0,0,0.001054111,0,0.00051617,44
ARG,Art Competitions,0,0,0,2,0,2,3578,0,0,0,0,0.000558971,0,0.000220286,45
ARG,Artistic Gymnastics,0,0,0,5,0,5,2297,0,0,0,0,0.002176752,0,0.001243857,43
ARG,Athletics,2,3,0,253,5,258,43294,0.007751938,0.011627907,0,0.019379845,0.005959255,2222233300,0.069094627,11
ARG,Basketball,12,0,12,76,24,100,5111,0.12,0,0.12,0.24,0.019565643,1.21E+16,0.209267799,7
ARG,Beach Volleyball,0,0,0,18,0,18,756,0,0,0,0,0.023809524,0,0.013026125,25
ARG,Boxing,7,7,10,114,24,138,6584,0.050724638,0.050724638,0.072463768,0.173913043,0.020959903,7.78E+11,0.191192585,9
ARG,Canoe Slalom,0,0,0,1,0,1,256,0,0,0,0,0.00390625,0,0.001817106,42
ARG,Canoe Sprint,0,0,0,6,0,6,756,0,0,0,0,0.007936508,0,0.004144335,37
ARG,Canoeing,0,0,0,49,0,49,6171,0,0,0,0,0.007940366,0,0.011196193,26
ARG,Cycling,2,0,0,177,2,179,10859,0.011173184,0,0,0.011173184,0.016484022,2222200000,0.044680876,17
ARG,Cycling BMX Freestyle,1,0,0,0,1,1,42,1,0,0,1,0.023809524,1111100000,0.335693312,4
ARG,Cycling BMX Racing,0,0,0,3,0,3,115,0,0,0,0,0.026086957,0,0.013707599,24
ARG,Cycling Mountain Bike,0,0,0,1,0,1,144,0,0,0,0,0.006944444,0,0.003460991,38
ARG,Cycling Road,0,0,0,2,0,2,493,0,0,0,0,0.004056795,0,0.001911387,41
ARG,Diving,0,0,0,9,0,9,3193,0,0,0,0,0.002818666,0,0.002144519,40
ARG,Equestrian,0,0,0,9,0,9,835,0,0,0,0,0.010778443,0,0.005798719,32
ARG,Equestrianism,0,1,0,155,1,156,6344,0,0.006410256,0,0.006410256,0.024590164,11100,0.038712996,18
ARG,Fencing,0,0,5,236,5,241,11558,0,0,0.020746888,0.020746888,0.020851358,55,0.067696797,12
ARG,Figure Skating,0,0,0,1,0,1,54,0,0,0,0,0.018518519,0,0.009676262,27
ARG,Football,34,34,0,114,68,182,7906,0.186813187,0.186813187,0,0.373626374,0.023020491,3.43E+17,0.504033218,2
ARG,Golf,0,0,0,5,0,5,487,0,0,0,0,0.01026694,0,0.005325472,34
ARG,Gymnastics,0,0,0,133,0,133,26707,0,0,0,0,0.004979968,0,0.02840984,20
ARG,Handball,0,0,0,75,0,75,4419,0,0,0,0,0.016972166,0,0.018276435,22
ARG,Hockey,18,49,48,241,115,356,6264,0.050561798,0.137640449,0.134831461,0.323033708,0.056832695,1.82E+19,0.607774917,1
ARG,Judo,1,0,1,66,2,68,4876,0.014705882,0,0.014705882,0.029411765,0.013945857,1111100011,0.027483104,21
ARG,Marathon Swimming,0,0,0,1,0,1,89,0,0,0,0,0.011235955,0,0.005774228,33
ARG,Modern Pentathlon,0,0,0,20,0,20,1821,0,0,0,0,0.010982976,0,0.007001626,28
ARG,Polo,9,0,0,0,9,9,95,1,0,0,1,0.094736842,9999900000,0.352524843,3
ARG,Rowing,2,1,3,184,6,190,11625,0.010526316,0.005263158,0.015789474,0.031578947,0.016344086,2222211133,0.058445889,15
ARG,Rugby Sevens,0,0,13,27,13,40,928,0,0,0.325,0.325,0.043103448,1313,0.285475311,5
ARG,Sailing,2,12,9,173,23,196,7266,0.010204082,0.06122449,0.045918367,0.117346939,0.026974952,2.22E+12,0.191926988,8
ARG,Shooting,0,1,0,131,1,132,12580,0,0.007575758,0,0.007575758,0.010492846,11100,0.033491752,19
ARG,Skateboarding,0,0,0,2,0,2,168,0,0,0,0,0.011904762,0,0.006137798,30
ARG,Surfing,0,0,0,1,0,1,88,0,0,0,0,0.011363636,0,0.005842894,31
ARG,Swimming,1,1,1,263,3,266,26416,0.003759398,0.003759398,0.003759398,0.011278195,0.010069655,1111111111,0.059471901,14
ARG,Synchronized Swimming,0,0,0,4,0,4,909,0,0,0,0,0.00440044,0,0.002186618,39
ARG,Table Tennis,0,0,0,17,0,17,2480,0,0,0,0,0.006854839,0,0.0048923,36
ARG,Taekwondo,1,0,0,8,1,9,870,0.111111111,0,0,0.111111111,0.010344828,1111100000,0.050093026,16
ARG,Tennis,0,2,5,108,7,115,3446,0,0.017391304,0.043478261,0.060869565,0.033372026,22255,0.077873083,10
ARG,Triathlon,0,0,0,8,0,8,822,0,0,0,0,0.00973236,0,0.005196214,35
ARG,indoor.1,0,0,24,107,24,131,4003,0,0,0.183206107,0.183206107,0.032725456,2424,0.238162493,6
ARG,Water Polo,0,0,0,28,0,28,4418,0,0,0,0,0.006337709,0,0.006686964,29
ARG,Weightlifting,0,1,1,34,2,36,4256,0,0.027777778,0.027777778,0.055555556,0.008458647,11111,0.062855241,13
ARG,Wrestling,0,0,0,69,0,69,7734,0,0,0,0,0.008921645,0,0.015435566,23
ARM,Artistic Gymnastics,0,1,1,4,2,6,2297,0,0.166666667,0.166666667,0.333333333,0.002612103,11111,0.315433454,3
ARM,Athletics,0,0,0,20,0,20,43294,0,0,0,0,0.000461958,0,0.024520182,6
ARM,Boxing,0,0,2,20,2,22,6584,0,0,0.090909091,0.090909091,0.003341434,22,0.147611313,4
ARM,Canoeing,0,0,0,2,0,2,6171,0,0,0,0,0.000324097,0,0.002600718,13
ARM,Cycling,0,0,0,1,0,1,10859,0,0,0,0,9.21E-05,0,0,14
ARM,Diving,0,0,0,3,0,3,3193,0,0,0,0,0.000939555,0,0.008577272,11
ARM,Gymnastics,0,0,0,20,0,20,26707,0,0,0,0,0.000748867,0,0.025049091,5
ARM,Judo,0,0,0,9,0,9,4876,0,0,0,0,0.001845775,0,0.019648878,7
ARM,Shooting,0,0,0,11,0,11,12580,0,0,0,0,0.000874404,0,0.014918425,9
ARM,Swimming,0,0,0,13,0,13,26416,0,0,0,0,0.000492126,0,0.015922465,8
ARM,Taekwondo,0,0,0,1,0,1,870,0,0,0,0,0.001149425,0,0.010183663,10
ARM,Tennis,0,0,0,3,0,3,3446,0,0,0,0,0.000870575,0,0.007950074,12
ARM,Weightlifting,0,4,5,32,9,41,4256,0,0.097560976,0.12195122,0.219512195,0.009633459,44455,0.362679151,2
ARM,Wrestling,2,5,4,47,11,58,7734,0.034482759,0.086206897,0.068965517,0.189655172,0.007499354,2222255544,0.820992235,1
ARU,Athletics,0,0,0,9,0,9,43294,0,0,0,0,0.000207881,0,0.14986952,4
ARU,Boxing,0,0,0,2,0,2,6584,0,0,0,0,0.000303767,0,0.026475382,10
ARU,Cycling,0,0,0,3,0,3,10859,0,0,0,0,0.000276269,0,0.043343847,9
ARU,Cycling BMX Racing,0,0,0,1,0,1,115,0,0,0,0,0.008695652,0,0.763771603,1
ARU,Fencing,0,0,0,2,0,2,11558,0,0,0,0,0.00017304,0,0.020879974,11
ARU,Judo,0,0,0,5,0,5,4876,0,0,0,0,0.001025431,0,0.126977868,5
ARU,Sailing,0,0,0,6,0,6,7266,0,0,0,0,0.000825764,0,0.12545424,6
ARU,Shooting,0,0,0,2,0,2,12580,0,0,0,0,0.000158983,0,0.020792402,12
ARU,Swimming,0,0,0,15,0,15,26416,0,0,0,0,0.000567838,0,0.247397105,3
ARU,Synchronized Swimming,0,0,0,4,0,4,909,0,0,0,0,0.00440044,0,0.472873342,2
ARU,Taekwondo,0,0,0,1,0,1,870,0,0,0,0,0.001149425,0,0.110229848,7
ARU,Weightlifting,0,0,0,3,0,3,4256,0,0,0,0,0.000704887,0,0.073984548,8
ASA,Archery,0,0,0,1,0,1,2846,0,0,0,0,0.00035137,0,0.044435768,8
ASA,Athletics,0,0,0,13,0,13,43294,0,0,0,0,0.000300273,0,0.448214099,2
ASA,Boxing,0,0,0,5,0,5,6584,0,0,0,0,0.000759417,0,0.318444677,3
ASA,Judo,0,0,0,3,0,3,4876,0,0,0,0,0.000615258,0,0.200739795,6
ASA,Sailing,0,0,0,4,0,4,7266,0,0,0,0,0.000550509,0,0.209028666,5
ASA,Swimming,0,0,0,7,0,7,26416,0,0,0,0,0.000264991,0,0.269569569,4
ASA,Weightlifting,0,0,0,8,0,8,4256,0,0,0,0,0.001879699,0,0.769668158,1
ASA,Wrestling,0,0,0,2,0,2,7734,0,0,0,0,0.000258598,0,0.050661072,7
AUS,3x3 Basketball,0,0,0,4,0,4,128,0,0,0,0,0.03125,0,0.005839009,52
AUS,"3x3 Basketball, Basketball",0,0,0,1,0,1,1,0,0,0,0,1,0,0.163879419,11
AUS,Archery,1,0,4,81,5,86,2846,0.011627907,0,0.046511628,0.058139535,0.03021785,1111100044,0.025802165,35
AUS,Art Competitions,0,0,0,3,0,3,3578,0,0,0,0,0.000838457,0,0.000251235,58
AUS,Artistic Gymnastics,0,0,0,52,0,52,2297,0,0,0,0,0.022638224,0,0.007616028,48
AUS,Artistic Swimming,0,0,0,21,0,21,257,0,0,0,0,0.081712062,0,0.015575974,39
AUS,Athletics,25,40,35,1049,100,1149,43294,0.02175805,0.034812881,0.030461271,0.087032202,0.026539474,2.53E+19,0.212830794,5
AUS,Badminton,0,0,0,65,0,65,1816,0,0,0,0,0.035792952,0,0.010403949,46
AUS,Baseball,0,24,0,44,24,68,894,0,0.352941176,0,0.352941176,0.07606264,24242400,0.202051029,6
AUS,Baseball/Softball,0,0,0,15,0,15,234,0,0,0,0,0.064102564,0,0.012186373,44
AUS,Basketball,0,36,47,226,83,309,5111,0,0.116504854,0.15210356,0.268608414,0.060457836,3636364747,0.178641438,8
AUS,Beach Volleyball,2,2,2,40,6,46,756,0.043478261,0.043478261,0.043478261,0.130434783,0.060846561,2222222222,0.047628516,27
AUS,Boxing,0,1,6,135,7,142,6584,0,0.007042254,0.042253521,0.049295775,0.021567436,11166,0.029020959,33
AUS,Breaking,0,0,0,2,0,2,33,0,0,0,0,0.060606061,0,0.011399631,45
AUS,Canoe Slalom,4,0,1,7,5,12,256,0.333333333,0,0.083333333,0.416666667,0.046875,4444400011,0.185562955,7
AUS,Canoe Sprint,2,4,2,30,8,38,756,0.052631579,0.105263158,0.052631579,0.210526316,0.05026455,2222244422,0.080426419,22
AUS,Canoeing,6,10,25,201,41,242,6171,0.024793388,0.041322314,0.103305785,0.169421488,0.039215686,6.67E+14,0.093560032,20
AUS,Cycling,26,29,29,344,84,428,10859,0.060747664,0.067757009,0.067757009,0.196261682,0.039414311,2.63E+19,0.166000975,10
AUS,Cycling BMX Freestyle,1,0,1,2,2,4,42,0.25,0,0.25,0.5,0.095238095,1111100011,0.171932279,9
AUS,Cycling BMX Racing,1,0,0,5,1,6,115,0.166666667,0,0,0.166666667,0.052173913,1111100000,0.097876826,17
AUS,Cycling Mountain Bike,0,0,0,3,0,3,144,0,0,0,0,0.020833333,0,0.003845398,55
AUS,Cycling Road,1,0,1,17,2,19,493,0.052631579,0,0.052631579,0.105263158,0.038539554,1111100011,0.040935322,30
AUS,Cycling Track,5,2,11,51,18,69,878,0.072463768,0.028985507,0.15942029,0.260869565,0.078587699,5.56E+11,0.090543303,21
AUS,Diving,3,5,14,148,22,170,3193,0.017647059,0.029411765,0.082352941,0.129411765,0.053241466,3.33E+11,0.060996981,26
AUS,Equestrian,0,5,1,34,6,40,835,0,0.125,0.025,0.15,0.047904192,55511,0.079175946,23
AUS,Equestrianism,18,7,12,194,37,231,6344,0.077922078,0.03030303,0.051948052,0.16017316,0.036412358,1.82E+16,0.096174546,18
AUS,Fencing,0,0,0,147,0,147,11558,0,0,0,0,0.012718463,0,0.01821421,37
AUS,Football,0,0,0,224,0,224,7906,0,0,0,0,0.028332912,0,0.027876803,34
AUS,Golf,0,0,0,12,0,12,487,0,0,0,0,0.024640657,0,0.004768376,53
AUS,Gymnastics,0,0,0,513,0,513,26707,0,0,0,0,0.019208447,0,0.06111292,25
AUS,Handball,0,0,0,30,0,30,4419,0,0,0,0,0.006788866,0,0.003808221,56
AUS,Hockey,64,63,79,246,206,452,6264,0.14159292,0.139380531,0.174778761,0.455752212,0.072158365,6.46E+19,0.379333603,2
AUS,Judo,0,0,2,91,2,93,4876,0,0,0.021505376,0.021505376,0.019073011,22,0.015466141,40
AUS,Karate,0,0,0,1,0,1,81,0,0,0,0,0.012345679,0,0.002211196,57
AUS,Marathon Swimming,0,0,1,4,1,5,89,0,0,0.2,0.2,0.056179775,11,0.077438856,24
AUS,"Marathon Swimming, Swimming",0,0,0,2,0,2,52,0,0,0,0,0.038461538,0,0.007201437,49
AUS,Modern Pentathlon,1,0,0,55,1,56,1821,0.017857143,0,0,0.017857143,0.030752334,1111100000,0.014680378,41
AUS,Rhythmic Gymnastics,0,0,0,19,0,19,848,0,0,0,0,0.02240566,0,0.004711091,54
AUS,Rowing,30,56,76,425,162,587,11625,0.051107325,0.095400341,0.129471891,0.275979557,0.050494624,3.03E+19,0.28647175,4
AUS,Rugby Sevens,12,0,0,64,12,76,928,0.157894737,0,0,0.157894737,0.081896552,1.21E+14,0.102183618,15
AUS,Sailing,26,18,14,177,58,235,7266,0.110638298,0.076595745,0.059574468,0.246808511,0.032342417,2.63E+19,0.143677054,12
AUS,Shooting,5,1,6,275,12,287,12580,0.017421603,0.003484321,0.020905923,0.041811847,0.02281399,5555511166,0.044462843,29
AUS,Skateboarding,3,0,0,11,3,14,168,0.214285714,0,0,0.214285714,0.083333333,3333300000,0.123851317,13
AUS,Softball,0,15,45,0,60,60,478,0,0.25,0.75,1,0.125523013,1515154545,0.306809238,3
AUS,Sport Climbing,0,0,0,4,0,4,108,0,0,0,0,0.037037037,0,0.006939648,50
AUS,Surfing,0,1,1,6,2,8,88,0,0.125,0.125,0.25,0.090909091,11111,0.093917649,19
AUS,Swimming,155,184,166,925,505,1430,26416,0.108391608,0.128671329,0.116083916,0.353146853,0.054133858,1.55E+29,0.704548672,1
AUS,Synchronized Swimming,0,0,0,57,0,57,909,0,0,0,0,0.062706271,0,0.013690808,43
AUS,Table Tennis,0,0,0,96,0,96,2480,0,0,0,0,0.038709677,0,0.013840588,42
AUS,Taekwondo,1,1,0,27,2,29,870,0.034482759,0.034482759,0,0.068965517,0.033333333,1111111100,0.032358126,32
AUS,Tennis,4,2,8,111,14,125,3446,0.032,0.016,0.064,0.112,0.036273941,4444422288,0.046824004,28
AUS,Trampoline Gymnastics,0,0,0,3,0,3,64,0,0,0,0,0.046875,0,0.008802693,47
AUS,Trampolining,0,1,0,5,1,6,152,0,0.166666667,0,0.166666667,0.039473684,11100,0.098879756,16
AUS,Triathlon,1,2,2,40,5,45,822,0.022222222,0.044444444,0.044444444,0.111111111,0.054744526,1111122222,0.040662338,31
AUS,indoor.1,0,0,0,48,0,48,4003,0,0,0,0,0.011991007,0,0.006253183,51
AUS,Water Polo,13,13,26,249,52,301,4418,0.043189369,0.043189369,0.086378738,0.172757475,0.068130376,1.31E+19,0.110243732,14
AUS,Weightlifting,1,1,2,82,4,86,4256,0.011627907,0.011627907,0.023255814,0.046511628,0.020206767,1111111122,0.019883449,36
AUS,Wrestling,0,1,2,100,3,103,7734,0,0.009708738,0.019417476,0.029126214,0.013317817,11122,0.017457053,38
AUT,Archery,0,0,0,5,0,5,2846,0,0,0,0,0.001756852,0,0.001149479,46
AUT,Art Competitions,3,3,4,189,10,199,3578,0.015075377,0.015075377,0.020100503,0.050251256,0.055617663,3333333344,0.174873883,11
AUT,Artistic Gymnastics,0,0,0,11,0,11,2297,0,0,0,0,0.004788855,0,0.003219516,41
AUT,Artistic Swimming,0,0,0,4,0,4,257,0,0,0,0,0.015564202,0,0.006689693,36
AUT,Athletics,1,2,5,333,8,341,43294,0.002932551,0.005865103,0.014662757,0.023460411,0.00787638,1111122255,0.148747408,14
AUT,Badminton,0,0,0,11,0,11,1816,0,0,0,0,0.006057269,0,0.003538412,40
AUT,Beach Volleyball,0,0,0,22,0,22,756,0,0,0,0,0.029100529,0,0.014343668,30
AUT,Boxing,0,0,0,37,0,37,6584,0,0,0,0,0.005619684,0,0.010424845,32
AUT,Canoe Slalom,0,0,0,9,0,9,256,0,0,0,0,0.03515625,0,0.016063879,26
AUT,Canoe Sprint,0,0,0,4,0,4,756,0,0,0,0,0.005291005,0,0.001911241,44
AUT,Canoeing,4,7,10,99,21,120,6171,0.033333333,0.058333333,0.083333333,0.175,0.019445795,4.44E+11,0.317930604,6
AUT,Cycling,1,0,2,211,3,214,10859,0.004672897,0,0.009345794,0.014018692,0.019707155,1111100022,0.085015698,20
AUT,Cycling Mountain Bike,0,0,0,5,0,5,144,0,0,0,0,0.034722222,0,0.015740668,27
AUT,Cycling Road,1,0,0,11,1,12,493,0.083333333,0,0,0.083333333,0.024340771,1111100000,0.257024335,7
AUT,Cycling Track,0,0,0,8,0,8,878,0,0,0,0,0.009111617,0,0.004071879,39
AUT,Diving,0,0,1,75,1,76,3193,0,0,0.013157895,0.013157895,0.023802067,11,0.033485225,23
AUT,Equestrian,0,0,0,25,0,25,835,0,0,0,0,0.02994012,0,0.015064528,29
AUT,Equestrianism,1,4,1,104,6,110,6344,0.009090909,0.036363636,0.009090909,0.054545455,0.017339218,1111144411,0.103927834,19
AUT,Fencing,1,7,5,202,13,215,11558,0.004651163,0.03255814,0.023255814,0.060465116,0.018601834,1111177755,0.177531752,10
AUT,Football,0,13,0,37,13,50,7906,0,0.26,0,0.26,0.006324311,13131300,0.318161249,5
AUT,Golf,0,0,0,8,0,8,487,0,0,0,0,0.016427105,0,0.007323874,35
