Name,NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,Participation Count,Cutoff Year,TOPSIS Score,TOPSIS Rank
Ichrak Chaib,ALG,Boxing,0,0,1,0,0,1,2020,0,22629
Imane Khelif,ALG,Boxing,0,0,1,0,0,1,2020,0,22629
Mohamed Flissi,ALG,Boxing,0,0,3,0,0,3,2020,0.002327667,8721
Mohammed Houmri,ALG,Boxing,0,0,1,0,0,1,2020,0,22629
Roumaysa Boualam,ALG,Boxing,0,0,1,0,0,1,2020,0,22629
Younes Nemouchi,ALG,Boxing,0,0,1,0,0,1,2020,0,22629
Amira Kheris,ALG,Canoe Sprint,0,0,2,0,0,2,2020,0.001165157,11953
Azzedine Lagab,ALG,Cycling Road,0,0,2,0,0,2,2020,0.001165157,11953
Hamza Mansouri,ALG,Cycling Road,0,0,1,0,0,1,2020,0,22629
Akram Bounabi,ALG,Fencing,0,0,1,0,0,1,2020,0,22629
Kaouther Mohamed,ALG,Fencing,0,0,1,0,0,1,2020,0,22629
Meriem Mebarki,ALG,Fencing,0,0,1,0,0,1,2020,0,22629
Salim Heroui,ALG,Fencing,0,0,1,0,0,1,2020,0,22629
Fethi Nourine,ALG,Judo,0,0,1,0,0,1,2020,0,22629
Sonia Asselah,ALG,Judo,0,0,3,0,0,3,2020,0.002327667,8721
Lamya Matoub,ALG,Karate,0,0,1,0,0,1,2020,0,22629
Nefissa Cherouati,ALG,Marathon Swimming,0,0,1,0,0,1,2020,0,22629
Ali Boudina,ALG,Rowing,0,0,1,0,0,1,2020,0,22629
Kamel Ait,ALG,Rowing,0,0,1,0,0,1,2020,0,22629
Hamza Bouras,ALG,Sailing,0,0,2,0,0,2,2020,0.001165157,11953
Nadjet Berrichi,ALG,Sailing,0,0,1,0,0,1,2020,0,22629
Houda Chaabi,ALG,Shooting,0,0,1,0,0,1,2020,0,22629
Amel Melih,ALG,Swimming,0,0,2,0,0,2,2020,0.001165157,11953
Oussama Sahnoune,ALG,Swimming,0,0,4,0,0,4,2020,0.003487533,7794
Larbi Bouriah,ALG,Table Tennis,0,0,1,0,0,1,2020,0,22629
Walid Bidani,ALG,Weightlifting,0,0,3,0,0,3,2020,0.002327667,8721
Abdelkarim Fergat,ALG,Wrestling,0,0,1,0,0,1,2020,0,22629
Abdelmalek Merabet,ALG,Wrestling,0,0,1,0,0,1,2020,0,22629
Adem Boudjemline,ALG,Wrestling,0,0,2,0,0,2,2020,0.001165157,11953
Bachir Sid,ALG,Wrestling,0,0,1,0,0,1,2020,0,22629
Djahid Berrahal,ALG,Wrestling,0,0,1,0,0,1,2020,0,22629
Fateh Benferdjallah,ALG,Wrestling,0,0,1,0,0,1,2020,0,22629
Mohammed Fardj,ALG,Wrestling,0,0,1,0,0,1,2020,0,22629
Pol Moya,AND,Athletics,0,0,1,0,0,1,2020,0,22629
Monica Doria,AND,Canoe Slalom,0,0,2,0,0,2,2020,0.001165157,11953
Aveni Miguel,ANG,Athletics,0,0,1,0,0,1,2020,0,22629
Manuel Antonio,ANG,Athletics,0,0,1,0,0,1,2020,0,22629
Albertina Kassoma,ANG,Handball,0,0,2,0,0,2,2020,0.001165157,11953
Azenaide Carlos,ANG,Handball,0,0,4,0,0,4,2020,0.003487533,7794
Helena Paulo,ANG,Handball,0,0,1,0,0,1,2020,0,22629
Helena Sousa,ANG,Handball,0,0,1,0,0,1,2020,0,22629
Isabel Guialo,ANG,Handball,0,0,3,0,0,3,2020,0.002327667,8721
Juliana Machado,ANG,Handball,0,0,2,0,0,2,2020,0.001165157,11953
Liliana Venancio,ANG,Handball,0,0,1,0,0,1,2020,0,22629
Magda Cazanga,ANG,Handball,0,0,3,0,0,3,2020,0.002327667,8721
Marilia Quizelete,ANG,Handball,0,0,1,0,0,1,2020,0,22629
Natalia Fonseca,ANG,Handball,0,0,1,0,0,1,2020,0,22629
Natalia Santos,ANG,Handball,0,0,1,0,0,1,2020,0,22629
Stelvia Pascoal,ANG,Handball,0,0,1,0,0,1,2020,0,22629
Teresa Almeida,ANG,Handball,0,0,2,0,0,2,2020,0.001165157,11953
Vilma Nenganga,ANG,Handball,0,0,1,0,0,1,2020,0,22629
Wuta Dombaxi,ANG,Handball,0,0,3,0,0,3,2020,0.002327667,8721
Diassonema Mucungui,ANG,Judo,0,0,1,0,0,1,2020,0,22629
Matias Montinho,ANG,Sailing,0,0,2,0,0,2,2020,0.001165157,11953
Paixao Afonso,ANG,Sailing,0,0,1,0,0,1,2020,0,22629
Catarina Sousa,ANG,Swimming,0,0,1,0,0,1,2020,0,22629
Jorge Lima,ANG,Swimming,0,0,4,0,0,4,2020,0.003487533,7794
Salvador Gordo,ANG,Swimming,0,0,1,0,0,1,2020,0,22629
Cejhae Greene,ANT,Athletics,0,0,3,0,0,3,2020,0.002327667,8721
Joella Lloyd,ANT,Athletics,0,0,1,0,0,1,2020,0,22629
Alston Ryan,ANT,Boxing,0,0,1,0,0,1,2020,0,22629
Jalese Gordon,ANT,Sailing,0,0,1,0,0,1,2020,0,22629
Samantha Roberts,ANT,Swimming,0,0,2,0,0,2,2020,0.001165157,11953
Stefano Mitchell,ANT,Swimming,0,0,1,0,0,1,2020,0,22629
Abigail Magistrati,ARG,Artistic Gymnastics,0,0,5,0,0,5,2020,0.004644761,7393
Belen Casetta,ARG,Athletics,0,0,1,0,0,1,2020,0,22629
Cristina Gomez,ARG,Athletics,0,0,1,0,0,1,2020,0,22629
Eulalio Munoz,ARG,Athletics,0,0,1,0,0,1,2020,0,22629
German Chiaraviglio,ARG,Athletics,0,0,1,0,0,1,2020,0,22629
Joaquin Arbe,ARG,Athletics,0,0,1,0,0,1,2020,0,22629
Santiago Lorenzo,ARG,Athletics,0,0,1,0,0,1,2020,0,22629
Facundo Campazzo,ARG,Basketball,0,0,3,0,0,3,2020,0.002327667,8721
Francisco Caffaro,ARG,Basketball,0,0,1,0,0,1,2020,0,22629
Gabriel Deck,ARG,Basketball,0,0,2,0,0,2,2020,0.001165157,11953
Leandro Bolmaro,ARG,Basketball,0,0,1,0,0,1,2020,0,22629
Luca Vildoza,ARG,Basketball,0,0,1,0,0,1,2020,0,22629
Luis Scola,ARG,Basketball,0,0,1,0,0,1,2020,0,22629
Marcos Delia,ARG,Basketball,0,0,1,0,0,1,2020,0,22629
Nicolas Brussino,ARG,Basketball,0,0,1,0,0,1,2020,0,22629
Nicolas Laprovittola,ARG,Basketball,0,0,1,0,0,1,2020,0,22629
Pablo Vaulet,ARG,Basketball,0,0,1,0,0,1,2020,0,22629
Patricio Garino,ARG,Basketball,0,0,1,0,0,1,2020,0,22629
Tayavek Gallizzi,ARG,Basketball,0,0,1,0,0,1,2020,0,22629
Amado Azaad,ARG,Beach Volleyball,0,0,1,0,0,1,2020,0,22629
Ana Gallay,ARG,Beach Volleyball,0,0,3,0,0,3,2020,0.002327667,8721
Fernanda Pereyra,ARG,Beach Volleyball,0,0,1,0,0,1,2020,0,22629
Nicolas Capogrosso,ARG,Beach Volleyball,0,0,1,0,0,1,2020,0,22629
Agustin Arregui,ARG,Boxing,0,0,1,0,0,1,2020,0,22629
Jehiel Cuello,ARG,Boxing,0,0,1,0,0,1,2020,0,22629
Luis Romo,ARG,Boxing,0,0,1,0,0,1,2020,0,22629
Nicanor Quiroga,ARG,Boxing,0,0,1,0,0,1,2020,0,22629
Lucas Rossi,ARG,Canoe Slalom,0,0,1,0,0,1,2020,0,22629
Agustin Vernice,ARG,Canoe Sprint,0,0,1,0,0,1,2020,0,22629
Brenda Rojas,ARG,Canoe Sprint,0,0,2,0,0,2,2020,0.001165157,11953
Ruben Rezola,ARG,Canoe Sprint,0,0,1,0,0,1,2020,0,22629
Brenda Rojas,ARG,Canoeing,0,0,1,0,0,1,2020,0,22629
Nicolas Torres,ARG,Cycling BMX Racing,0,0,1,0,0,1,2020,0,22629
Sofia Gomez,ARG,Cycling Mountain Bike,0,0,1,0,0,1,2020,0,22629
Eduardo Sepulveda,ARG,Cycling Road,0,0,1,0,0,1,2020,0,22629
Fabian Sejanes,ARG,Equestrian,0,0,2,0,0,2,2020,0.001165157,11953
Martin Dopazo,ARG,Equestrian,0,0,2,0,0,2,2020,0.001165157,11953
Matias Albarracin,ARG,Equestrian,0,0,2,0,0,2,2020,0.001165157,11953
Carlos Bustamante,ARG,Equestrianism,0,0,2,0,0,2,2020,0.001165157,11953
Belen Perez,ARG,Fencing,0,0,1,0,0,1,2020,0,22629
Adolfo Gaich,ARG,Football,0,0,1,0,0,1,2020,0,22629
Agustin Urzi,ARG,Football,0,0,1,0,0,1,2020,0,22629
Claudio Bravo,ARG,Football,0,0,1,0,0,1,2020,0,22629
Esequiel Barco,ARG,Football,0,0,1,0,0,1,2020,0,22629
Ezequiel Ponce,ARG,Football,0,0,1,0,0,1,2020,0,22629
Facundo Medina,ARG,Football,0,0,1,0,0,1,2020,0,22629
Fausto Vera,ARG,Football,0,0,1,0,0,1,2020,0,22629
Fernando Valenzuela,ARG,Football,0,0,1,0,0,1,2020,0,22629
Francisco Ortega,ARG,Football,0,0,1,0,0,1,2020,0,22629
Hernan De,ARG,Football,0,0,1,0,0,1,2020,0,22629
Jeremias Ledesma,ARG,Football,0,0,1,0,0,1,2020,0,22629
Joaquin Blazquez,ARG,Football,0,0,1,0,0,1,2020,0,22629
Lautaro Morales,ARG,Football,0,0,1,0,0,1,2020,0,22629
Leonel Mosevich,ARG,Football,0,0,1,0,0,1,2020,0,22629
Mac Alexis,ARG,Football,0,0,1,0,0,1,2020,0,22629
Marcelo Herrera,ARG,Football,0,0,1,0,0,1,2020,0,22629
Martin Payero,ARG,Football,0,0,1,0,0,1,2020,0,22629
Nehuen Perez,ARG,Football,0,0,1,0,0,1,2020,0,22629
Santiago Colombatto,ARG,Football,0,0,1,0,0,1,2020,0,22629
Thiago Almada,ARG,Football,0,0,1,0,0,1,2020,0,22629
Tomas Belmonte,ARG,Football,0,0,1,0,0,1,2020,0,22629
Emiliano Grillo,ARG,Golf,0,0,1,0,0,1,2020,0,22629
Magdalena Simmermacher,ARG,Golf,0,0,1,0,0,1,2020,0,22629
Alberto Mourino,ARG,Handball,0,0,1,0,0,1,2020,0,22629
Ariel Simonet,ARG,Handball,0,0,1,0,0,1,2020,0,22629
Dario Moscariello,ARG,Handball,0,0,1,0,0,1,2020,0,22629
Esteban Simonet,ARG,Handball,0,0,1,0,0,1,2020,0,22629
Federico Pizarro,ARG,Handball,0,0,3,0,0,3,2020,0.002327667,8721
Gaston Fernandez,ARG,Handball,0,0,1,0,0,1,2020,0,22629
Ignacio Pizarro,ARG,Handball,0,0,1,0,0,1,2020,0,22629
Manuel Bar,ARG,Handball,0,0,1,0,0,1,2020,0,22629
Matias Carou,ARG,Handball,0,0,1,0,0,1,2020,0,22629
Nicolas Bonanno,ARG,Handball,0,0,1,0,0,1,2020,0,22629
Pablo Vainstein,ARG,Handball,0,0,2,0,0,2,2020,0.001165157,11953
Pedro Martinez,ARG,Handball,0,0,1,0,0,1,2020,0,22629
Ramiro Martinez,ARG,Handball,0,0,1,0,0,1,2020,0,22629
Santiago Baronetto,ARG,Handball,0,0,1,0,0,1,2020,0,22629
Sergio Maciel,ARG,Handball,0,0,1,0,0,1,2020,0,22629
Agostina Alonso,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Agustina Albertarrio,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Agustina Gorzelany,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Alejandro Mazzilli,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Alejandro Rey,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Belen Succi,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Delfina Merino,ARG,Hockey,0,0,1,2,2,3,2020,0.164773181,372
Emilia Forcherio,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Ezequiel Habif,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Fernando Bugallo,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Gonzalo Peillat,ARG,Hockey,0,1,1,0,1,2,2020,0.08062117,3590
Horacio Ortiz,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Ignacio Paz,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Isabel Costa,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Jorge Ruiz,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Jose Granatto,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Julieta Jankunas,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Leandro Tolini,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Lucas Martinez,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Lucas Rossi,ARG,Hockey,0,1,1,0,1,2,2020,0.08062117,3590
Maico Casella,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Manuel Vivaldi,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Maria Trinchinetti,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Martin Lopez,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Martin Vila,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Micaela Retegui,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Nahuel Salis,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Nicolas Cicileo,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Noel Barrionuevo,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Pedro Ibarra,ARG,Hockey,0,1,2,0,1,3,2020,0.080645817,3389
Rafael Rossi,ARG,Hockey,0,0,1,0,0,1,2020,0,22629
Rocio Sanchez,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Sofia Maccari,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Sofia Toccalino,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Valentina Raposo,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Victoria Granatto,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Victoria Sauze,ARG,Hockey,0,0,0,1,1,1,2020,0.086108042,2712
Emmanuel Lucenti,ARG,Judo,0,0,4,0,0,4,2020,0.003487533,7794
Paula Pareto,ARG,Judo,1,1,2,0,2,4,2020,0.120098087,1239
Cecilia Biagioli,ARG,Marathon Swimming,0,0,1,0,0,1,2020,0,22629
Sergio Villamayor,ARG,Modern Pentathlon,0,0,1,0,0,1,2020,0,22629
Maricel Silvestro,ARG,Rowing,0,0,1,0,0,1,2020,0,22629
Milka Kraljev,ARG,Rowing,0,0,3,0,0,3,2020,0.002327667,8721
Gaston Revol,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185
German Schulz,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185
Ignacio Mendy,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185
Lautaro Bazan,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185
Luciano Gonzalez,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185
Lucio Cinti,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185
Marcos Moneta,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185
Matias Osadczuk,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185
Rodrigo Etchart,ARG,Rugby Sevens,1,0,1,0,1,2,2020,0.079870749,5334
Rodrigo Isgro,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185
Santiago Alvarez,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185
Santiago Mare,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185
del Felipe,ARG,Rugby Sevens,1,0,0,0,1,1,2020,0.079861291,6185
Belen Tavella,ARG,Sailing,0,0,1,0,0,1,2020,0,22629
Cecilia Carranza,ARG,Sailing,0,0,1,0,0,1,2020,0,22629
Celia Tejerina,ARG,Sailing,0,0,1,0,0,1,2020,0,22629
Cruz Saubidet,ARG,Sailing,0,0,1,0,0,1,2020,0,22629
Francisco Guaragna,ARG,Sailing,0,0,1,0,0,1,2020,0,22629
Lourdes Hartkopf,ARG,Sailing,0,0,1,0,0,1,2020,0,22629
Lucia Falasca,ARG,Sailing,0,0,2,0,0,2,2020,0.001165157,11953
Mario Olezza,ARG,Sailing,0,0,1,0,0,1,2020,0,22629
Raul Lange,ARG,Sailing,0,0,1,0,0,1,2020,0,22629
Sol Branz,ARG,Sailing,0,0,1,0,0,1,2020,0,22629
Victoria Travascio,ARG,Sailing,0,0,2,0,0,2,2020,0.001165157,11953
Exequiel Eberhardt,ARG,Shooting,0,0,3,0,0,3,2020,0.002327667,8721
Federico Gil,ARG,Shooting,0,0,2,0,0,2,2020,0.001165157,11953
Fernanda Russo,ARG,Shooting,0,0,3,0,0,3,2020,0.002327667,8721
Melisa Gil,ARG,Shooting,0,0,2,0,0,2,2020,0.001165157,11953
Leandro Usuna,ARG,Surfing,0,0,1,0,0,1,2020,0,22629
Cecilia Biagioli,ARG,Swimming,0,0,6,0,0,6,2020,0.005799355,7170
Delfina Pignatiello,ARG,Swimming,0,0,2,0,0,2,2020,0.001165157,11953
Julia Sebastian,ARG,Swimming,0,0,2,0,0,2,2020,0.001165157,11953
Santiago Grassi,ARG,Swimming,0,0,3,0,0,3,2020,0.002327667,8721
Virginia Bardach,ARG,Swimming,0,0,1,0,0,1,2020,0,22629
Gaston Alto,ARG,Table Tennis,0,0,1,0,0,1,2020,0,22629
Horacio Cifuentes,ARG,Table Tennis,0,0,1,0,0,1,2020,0,22629
Lautaro Guzman,ARG,Taekwondo,0,0,1,0,0,1,2020,0,22629
Andres Molteni,ARG,Tennis,0,0,1,0,0,1,2020,0,22629
Diego Schwartzman,ARG,Tennis,0,0,2,0,0,2,2020,0.001165157,11953
Facundo Bagnis,ARG,Tennis,0,0,2,0,0,2,2020,0.001165157,11953
Federico Coria,ARG,Tennis,0,0,1,0,0,1,2020,0,22629
Francisco Cerundolo,ARG,Tennis,0,0,1,0,0,1,2020,0,22629
Horacio Zeballos,ARG,Tennis,0,0,2,0,0,2,2020,0.001165157,11953
Nadia Podoroska,ARG,Tennis,0,0,2,0,0,2,2020,0.001165157,11953
Romina Biagioli,ARG,Triathlon,0,0,1,0,0,1,2020,0,22629
Agustin Loser,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185
Antonela Fortuna,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629
Bianca Farriol,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629
Bruno Lima,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185
Constanza Lazcano,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629
Cristian Poglajen,ARG,Volleyball,1,0,2,0,1,3,2020,0.079894383,4975
Daniela Bulaich,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629
Erika Mercado,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629
Eugenia Nosach,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629
Ezequiel Palacios,ARG,Volleyball,1,0,1,0,1,2,2020,0.079870749,5334
Facundo Conte,ARG,Volleyball,1,0,2,0,1,3,2020,0.079894383,4975
Federico Pereyra,ARG,Volleyball,1,0,1,0,1,2,2020,0.079870749,5334
Lucia Herrera,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629
Martin Ramos,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185
Matias Sanchez,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185
Nicolas Mendez,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185
Santiago Danani,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185
Sebastian Sole,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185
Soledad Germanier,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629
Soledad Rizzo,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629
Victoria Mayer,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629
Yamila Nizetich,ARG,Volleyball,0,0,1,0,0,1,2020,0,22629
de Luciano,ARG,Volleyball,1,0,0,0,1,1,2020,0.079861291,6185
Alejandro Destribats,ARG,Wrestling,0,0,1,0,0,1,2020,0,22629
Artur Davtyan,ARM,Artistic Gymnastics,1,0,1,0,1,2,2020,0.079870749,5334
Levon Aghasyan,ARM,Athletics,0,0,2,0,0,2,2020,0.001165157,11953
Arman Darchinyan,ARM,Boxing,0,0,1,0,0,1,2020,0,22629
Hovhannes Bachkov,ARM,Boxing,1,0,1,0,1,2,2020,0.079870749,5334
Koryun Soghomonyan,ARM,Boxing,0,0,1,0,0,1,2020,0,22629
Artur Davtyan,ARM,Gymnastics,0,0,8,0,0,8,2020,0.008100656,6917
Ferdinand Karapetian,ARM,Judo,0,0,1,0,0,1,2020,0,22629
Elmira Karapetyan,ARM,Shooting,0,0,1,0,0,1,2020,0,22629
Artur Barseghyan,ARM,Swimming,0,0,2,0,0,2,2020,0.001165157,11953
Varsenik Manucharyan,ARM,Swimming,0,0,1,0,0,1,2020,0,22629
Andranik Karapetyan,ARM,Weightlifting,0,0,1,0,0,1,2020,0,22629
Gor Minasyan,ARM,Weightlifting,0,0,0,1,1,1,2020,0.086108042,2712
Izabella Yaylyan,ARM,Weightlifting,0,0,1,0,0,1,2020,0,22629
Simon Martirosyan,ARM,Weightlifting,0,0,0,2,2,2,2020,0.164759793,397
Armen Melikyan,ARM,Wrestling,0,0,1,0,0,1,2020,0,22629
Arsen Harutyunyan,ARM,Wrestling,0,0,1,0,0,1,2020,0,22629
Artur Aleksanyan,ARM,Wrestling,1,1,0,1,3,3,2020,0.159277166,442
Karapet Chalyan,ARM,Wrestling,0,0,1,0,0,1,2020,0,22629
Karen Aslanyan,ARM,Wrestling,0,0,1,0,0,1,2020,0,22629
Vazgen Tevanyan,ARM,Wrestling,0,0,1,0,0,1,2020,0,22629
Philip Elhage,ARU,Shooting,0,0,1,0,0,1,2020,0,22629
Allyson Ponson,ARU,Swimming,0,0,2,0,0,2,2020,0.001165157,11953
Mikel Schreuders,ARU,Swimming,0,0,3,0,0,3,2020,0.002327667,8721
Nathan Crumpton,ASA,Athletics,0,0,1,0,0,1,2020,0,22629
Adrian Hoesch,ASA,Sailing,0,0,1,0,0,1,2020,0,22629
Justus Paige,ASA,Sailing,0,0,1,0,0,1,2020,0,22629
Micah Masei,ASA,Swimming,0,0,1,0,0,1,2020,0,22629
Tilali Scanlan,ASA,Swimming,0,0,1,0,0,1,2020,0,22629
Malietoa Jungblut,ASA,Weightlifting,0,0,1,0,0,1,2020,0,22629
Alice Ingley,AUS,Archery,0,0,3,0,0,3,2020,0.002327667,8721
David Barnes,AUS,Archery,0,0,4,0,0,4,2020,0.003487533,7794
Ryan Tyack,AUS,Archery,1,0,3,0,1,4,2020,0.07993218,4857
Taylor Worth,AUS,Archery,1,0,5,0,1,6,2020,0.080050158,4757
Emily Whitehead,AUS,Artistic Gymnastics,0,0,5,0,0,5,2020,0.004644761,7393
Georgia Godwin,AUS,Artistic Gymnastics,0,0,5,0,0,5,2020,0.004644761,7393
Tyson Bull,AUS,Artistic Gymnastics,0,0,2,0,0,2,2020,0.001165157,11953
Alessandra Ho,AUS,Artistic Swimming,0,0,1,0,0,1,2020,0,22629
Amie Thompson,AUS,Artistic Swimming,0,0,2,0,0,2,2020,0.001165157,11953
Carolyn Buckle,AUS,Artistic Swimming,0,0,1,0,0,1,2020,0,22629
Emily Rogers,AUS,Artistic Swimming,0,0,2,0,0,2,2020,0.001165157,11953
Hannah Burkhill,AUS,Artistic Swimming,0,0,1,0,0,1,2020,0,22629
Kiera Gazzard,AUS,Artistic Swimming,0,0,1,0,0,1,2020,0,22629
Kirsten Kinash,AUS,Artistic Swimming,0,0,1,0,0,1,2020,0,22629
Rachel Presser,AUS,Artistic Swimming,0,0,1,0,0,1,2020,0,22629
Alex Beck,AUS,Athletics,0,0,1,0,0,1,2020,0,22629
Amy Cashin,AUS,Athletics,0,0,1,0,0,1,2020,0,22629
Angeline Blackburn,AUS,Athletics,0,0,1,0,0,1,2020,0,22629
Anneliese Rubie-renshaw,AUS,Athletics,0,0,1,0,0,1,2020,0,22629
Ashley Moloney,AUS,Athletics,1,0,0,0,1,1,2020,0.079861291,6185
Ben Buckingham,AUS,Athletics,0,0,1,0,0,1,2020,0,22629
Bendere Oboya,AUS,Athletics,0,0,2,0,0,2,2020,0.001165157,11953
Brandon Starc,AUS,Athletics,0,0,2,0,0,2,2020,0.001165157,11953
Brett Robinson,AUS,Athletics,0,0,2,0,0,2,2020,0.001165157,11953
Brooke Stratton,AUS,Athletics,0,0,2,0,0,2,2020,0.001165157,11953
Catriona Bisset,AUS,Athletics,0,0,1,0,0,1,2020,0,22629
Cedric Dubler,AUS,Athletics,0,0,2,0,0,2,2020,0.001165157,11953
Charlie Hunter,AUS,Athletics,0,0,1,0,0,1,2020,0,22629
Dani Stevens,AUS,Athletics,0,0,1,0,0,1,2020,0,22629
David Smith,AUS,Athletics,0,0,3,0,0,3,2020,0.002327667,8721
Declan Tingay,AUS,Athletics,0,0,1,0,0,1,2020,0,22629
Edward Trippas,AUS,Athletics,0,0,1,0,0,1,2020,0,22629
Eleanor Patterson,AUS,Athletics,0,0,2,0,0,2,2020,0.001165157,11953
Elizaveta Parnova,AUS,Athletics,0,0,1,0,0,1,2020,0,22629
