NOC,Sport,Gold_Medals,Silver_Medals,Bronze_Medals,No_Medals,Total_Medals,Country_Event_Participation,Event_Total_Participation,Parti_to_Gold,Parti_to_Silver,Parti_to_Bronze,Parti_to_Medal,Participate_Rate,Weight
ALG,Cycling Road,0,0,0,5,0,5,493,0,0,0,0,0.010141988,0
ALG,Fencing,0,0,0,33,0,33,11558,0,0,0,0,0.002855165,0
ALG,Football,0,0,0,32,0,32,7906,0,0,0,0,0.004047559,0
ALG,Gymnastics,0,0,0,24,0,24,26707,0,0,0,0,0.000898641,0
ALG,Handball,0,0,0,59,0,59,4419,0,0,0,0,0.013351437,0
ALG,Judo,0,1,1,55,2,57,4876,0,0.01754386,0.01754386,0.035087719,0.01168991,11111
ALG,Karate,0,0,0,1,0,1,81,0,0,0,0,0.012345679,0
ALG,Marathon Swimming,0,0,0,1,0,1,89,0,0,0,0,0.011235955,0
ALG,Rowing,0,0,0,14,0,14,11625,0,0,0,0,0.001204301,0
ALG,Sailing,0,0,0,6,0,6,7266,0,0,0,0,0.000825764,0
ALG,Shooting,0,0,0,6,0,6,12580,0,0,0,0,0.000476948,0
ALG,Swimming,0,0,0,44,0,44,26416,0,0,0,0,0.001665657,0
ALG,Table Tennis,0,0,0,13,0,13,2480,0,0,0,0,0.005241935,0
ALG,Taekwondo,0,0,0,1,0,1,870,0,0,0,0,0.001149425,0
ALG,Tennis,0,0,0,2,0,2,3446,0,0,0,0,0.000580383,0
ALG,Trampolining,0,0,0,1,0,1,152,0,0,0,0,0.006578947,0
ALG,Volleyball,0,0,0,31,0,31,4003,0,0,0,0,0.007744192,0
ALG,Weightlifting,0,0,0,21,0,21,4256,0,0,0,0,0.004934211,0
ALG,Wrestling,0,0,0,35,0,35,7734,0,0,0,0,0.004525472,0
AND,Athletics,0,0,0,15,0,15,43294,0,0,0,0,0.000346468,0
AND,Boxing,0,0,0,1,0,1,6584,0,0,0,0,0.000151883,0
AND,Canoe Slalom,0,0,0,5,0,5,256,0,0,0,0,0.01953125,0
AND,Canoeing,0,0,0,1,0,1,6171,0,0,0,0,0.000162048,0
AND,Cycling,0,0,0,5,0,5,10859,0,0,0,0,0.000460448,0
AND,Judo,0,0,0,6,0,6,4876,0,0,0,0,0.001230517,0
AND,Sailing,0,0,0,5,0,5,7266,0,0,0,0,0.000688137,0
AND,Shooting,0,0,0,12,0,12,12580,0,0,0,0,0.000953895,0
AND,Swimming,0,0,0,10,0,10,26416,0,0,0,0,0.000378558,0
ANG,Athletics,0,0,0,31,0,31,43294,0,0,0,0,0.000716035,0
ANG,Basketball,0,0,0,71,0,71,5111,0,0,0,0,0.013891606,0
ANG,Beach Volleyball,0,0,0,2,0,2,756,0,0,0,0,0.002645503,0
ANG,Boxing,0,0,0,7,0,7,6584,0,0,0,0,0.001063183,0
ANG,Canoe Sprint,0,0,0,3,0,3,756,0,0,0,0,0.003968254,0
ANG,Canoeing,0,0,0,6,0,6,6171,0,0,0,0,0.00097229,0
ANG,Handball,0,0,0,113,0,113,4419,0,0,0,0,0.025571396,0
ANG,Judo,0,0,0,16,0,16,4876,0,0,0,0,0.003281378,0
ANG,Rowing,0,0,0,3,0,3,11625,0,0,0,0,0.000258065,0
ANG,Sailing,0,0,0,11,0,11,7266,0,0,0,0,0.0015139,0
ANG,Shooting,0,0,0,3,0,3,12580,0,0,0,0,0.000238474,0
ANG,Swimming,0,0,0,47,0,47,26416,0,0,0,0,0.001779225,0
ANT,Athletics,0,0,0,100,0,100,43294,0,0,0,0,0.002309789,0
ANT,Boxing,0,0,0,3,0,3,6584,0,0,0,0,0.00045565,0
ANT,Canoeing,0,0,0,3,0,3,6171,0,0,0,0,0.000486145,0
ANT,Cycling,0,0,0,17,0,17,10859,0,0,0,0,0.001565522,0
ANT,Sailing,0,0,0,11,0,11,7266,0,0,0,0,0.0015139,0
ANT,Swimming,0,0,0,10,0,10,26416,0,0,0,0,0.000378558,0
ANZ,Athletics,0,0,1,21,1,22,43294,0,0,0.045454545,0.045454545,0.000508154,11
ANZ,Boxing,0,1,0,0,1,1,6584,0,1,0,1,0.000151883,11100
ANZ,Diving,0,0,0,1,0,1,3193,0,0,0,0,0.000313185,0
ANZ,Rowing,0,0,0,10,0,10,11625,0,0,0,0,0.000860215,0
ANZ,Rugby,15,0,0,0,15,15,162,1,0,0,1,0.092592593,1.51515E+14
ANZ,Shooting,0,0,0,3,0,3,12580,0,0,0,0,0.000238474,0
ANZ,Swimming,5,3,3,22,11,33,26416,0.151515152,0.090909091,0.090909091,0.333333333,0.001249243,5555533333
ANZ,Tennis,0,0,1,0,1,1,3446,0,0,1,1,0.000290192,11
ARG,Archery,0,0,0,3,0,3,2846,0,0,0,0,0.001054111,0
ARG,Art Competitions,0,0,0,2,0,2,3578,0,0,0,0,0.000558971,0
ARG,Artistic Gymnastics,0,0,0,5,0,5,2297,0,0,0,0,0.002176752,0
ARG,Athletics,2,3,0,253,5,258,43294,0.007751938,0.011627907,0,0.019379845,0.005959255,2222233300
ARG,Basketball,12,0,12,76,24,100,5111,0.12,0,0.12,0.24,0.019565643,1.21212E+16
ARG,Beach Volleyball,0,0,0,18,0,18,756,0,0,0,0,0.023809524,0
ARG,Boxing,7,7,10,114,24,138,6584,0.050724638,0.050724638,0.072463768,0.173913043,0.020959903,7.77778E+11
ARG,Canoe Slalom,0,0,0,1,0,1,256,0,0,0,0,0.00390625,0
ARG,Canoe Sprint,0,0,0,6,0,6,756,0,0,0,0,0.007936508,0
ARG,Canoeing,0,0,0,49,0,49,6171,0,0,0,0,0.007940366,0
ARG,Cycling,2,0,0,177,2,179,10859,0.011173184,0,0,0.011173184,0.016484022,2222200000
ARG,Cycling BMX Freestyle,1,0,0,0,1,1,42,1,0,0,1,0.023809524,1111100000
ARG,Cycling BMX Racing,0,0,0,3,0,3,115,0,0,0,0,0.026086957,0
ARG,Cycling Mountain Bike,0,0,0,1,0,1,144,0,0,0,0,0.006944444,0
ARG,Cycling Road,0,0,0,2,0,2,493,0,0,0,0,0.004056795,0
ARG,Diving,0,0,0,9,0,9,3193,0,0,0,0,0.002818666,0
ARG,Equestrian,0,0,0,9,0,9,835,0,0,0,0,0.010778443,0
ARG,Equestrianism,0,1,0,155,1,156,6344,0,0.006410256,0,0.006410256,0.024590164,11100
ARG,Fencing,0,0,5,236,5,241,11558,0,0,0.020746888,0.020746888,0.020851358,55
ARG,Figure Skating,0,0,0,1,0,1,54,0,0,0,0,0.018518519,0
ARG,Football,34,34,0,114,68,182,7906,0.186813187,0.186813187,0,0.373626374,0.023020491,3.43434E+17
ARG,Golf,0,0,0,5,0,5,487,0,0,0,0,0.01026694,0
ARG,Gymnastics,0,0,0,133,0,133,26707,0,0,0,0,0.004979968,0
ARG,Handball,0,0,0,75,0,75,4419,0,0,0,0,0.016972166,0
ARG,Hockey,18,49,48,241,115,356,6264,0.050561798,0.137640449,0.134831461,0.323033708,0.056832695,1.81818E+19
ARG,Judo,1,0,1,66,2,68,4876,0.014705882,0,0.014705882,0.029411765,0.013945857,1111100011
ARG,Marathon Swimming,0,0,0,1,0,1,89,0,0,0,0,0.011235955,0
ARG,Modern Pentathlon,0,0,0,20,0,20,1821,0,0,0,0,0.010982976,0
ARG,Polo,9,0,0,0,9,9,95,1,0,0,1,0.094736842,9999900000
ARG,Rowing,2,1,3,184,6,190,11625,0.010526316,0.005263158,0.015789474,0.031578947,0.016344086,2222211133
ARG,Rugby Sevens,0,0,13,27,13,40,928,0,0,0.325,0.325,0.043103448,1313
ARG,Sailing,2,12,9,173,23,196,7266,0.010204082,0.06122449,0.045918367,0.117346939,0.026974952,2.22221E+12
ARG,Shooting,0,1,0,131,1,132,12580,0,0.007575758,0,0.007575758,0.010492846,11100
ARG,Skateboarding,0,0,0,2,0,2,168,0,0,0,0,0.011904762,0
ARG,Surfing,0,0,0,1,0,1,88,0,0,0,0,0.011363636,0
ARG,Swimming,1,1,1,263,3,266,26416,0.003759398,0.003759398,0.003759398,0.011278195,0.010069655,1111111111
ARG,Synchronized Swimming,0,0,0,4,0,4,909,0,0,0,0,0.00440044,0
ARG,Table Tennis,0,0,0,17,0,17,2480,0,0,0,0,0.006854839,0
ARG,Taekwondo,1,0,0,8,1,9,870,0.111111111,0,0,0.111111111,0.010344828,1111100000
ARG,Tennis,0,2,5,108,7,115,3446,0,0.017391304,0.043478261,0.060869565,0.033372026,22255
ARG,Triathlon,0,0,0,8,0,8,822,0,0,0,0,0.00973236,0
ARG,Volleyball,0,0,24,107,24,131,4003,0,0,0.183206107,0.183206107,0.032725456,2424
ARG,Water Polo,0,0,0,28,0,28,4418,0,0,0,0,0.006337709,0
ARG,Weightlifting,0,1,1,34,2,36,4256,0,0.027777778,0.027777778,0.055555556,0.008458647,11111
ARG,Wrestling,0,0,0,69,0,69,7734,0,0,0,0,0.008921645,0
ARM,Artistic Gymnastics,0,1,1,4,2,6,2297,0,0.166666667,0.166666667,0.333333333,0.002612103,11111
ARM,Athletics,0,0,0,20,0,20,43294,0,0,0,0,0.000461958,0
ARM,Boxing,0,0,2,20,2,22,6584,0,0,0.090909091,0.090909091,0.003341434,22
ARM,Canoeing,0,0,0,2,0,2,6171,0,0,0,0,0.000324097,0
ARM,Cycling,0,0,0,1,0,1,10859,0,0,0,0,9.21E-05,0
ARM,Diving,0,0,0,3,0,3,3193,0,0,0,0,0.000939555,0
ARM,Gymnastics,0,0,0,20,0,20,26707,0,0,0,0,0.000748867,0
ARM,Judo,0,0,0,9,0,9,4876,0,0,0,0,0.001845775,0
ARM,Shooting,0,0,0,11,0,11,12580,0,0,0,0,0.000874404,0
ARM,Swimming,0,0,0,13,0,13,26416,0,0,0,0,0.000492126,0
ARM,Taekwondo,0,0,0,1,0,1,870,0,0,0,0,0.001149425,0
ARM,Tennis,0,0,0,3,0,3,3446,0,0,0,0,0.000870575,0
ARM,Weightlifting,0,4,5,32,9,41,4256,0,0.097560976,0.12195122,0.219512195,0.009633459,44455
ARM,Wrestling,2,5,4,47,11,58,7734,0.034482759,0.086206897,0.068965517,0.189655172,0.007499354,2222255544
ARU,Athletics,0,0,0,9,0,9,43294,0,0,0,0,0.000207881,0
ARU,Boxing,0,0,0,2,0,2,6584,0,0,0,0,0.000303767,0
ARU,Cycling,0,0,0,3,0,3,10859,0,0,0,0,0.000276269,0
ARU,Cycling BMX Racing,0,0,0,1,0,1,115,0,0,0,0,0.008695652,0
ARU,Fencing,0,0,0,2,0,2,11558,0,0,0,0,0.00017304,0
ARU,Judo,0,0,0,5,0,5,4876,0,0,0,0,0.001025431,0
ARU,Sailing,0,0,0,6,0,6,7266,0,0,0,0,0.000825764,0
ARU,Shooting,0,0,0,2,0,2,12580,0,0,0,0,0.000158983,0
ARU,Swimming,0,0,0,15,0,15,26416,0,0,0,0,0.000567838,0
ARU,Synchronized Swimming,0,0,0,4,0,4,909,0,0,0,0,0.00440044,0
ARU,Taekwondo,0,0,0,1,0,1,870,0,0,0,0,0.001149425,0
ARU,Weightlifting,0,0,0,3,0,3,4256,0,0,0,0,0.000704887,0
ASA,Archery,0,0,0,1,0,1,2846,0,0,0,0,0.00035137,0
ASA,Athletics,0,0,0,13,0,13,43294,0,0,0,0,0.000300273,0
ASA,Boxing,0,0,0,5,0,5,6584,0,0,0,0,0.000759417,0
ASA,Judo,0,0,0,3,0,3,4876,0,0,0,0,0.000615258,0
ASA,Sailing,0,0,0,4,0,4,7266,0,0,0,0,0.000550509,0
ASA,Swimming,0,0,0,7,0,7,26416,0,0,0,0,0.000264991,0
ASA,Weightlifting,0,0,0,8,0,8,4256,0,0,0,0,0.001879699,0
ASA,Wrestling,0,0,0,2,0,2,7734,0,0,0,0,0.000258598,0
AUS,3x3 Basketball,0,0,0,4,0,4,128,0,0,0,0,0.03125,0
AUS,"3x3 Basketball, Basketball",0,0,0,1,0,1,1,0,0,0,0,1,0
AUS,Archery,1,0,4,81,5,86,2846,0.011627907,0,0.046511628,0.058139535,0.03021785,1111100044
AUS,Art Competitions,0,0,0,3,0,3,3578,0,0,0,0,0.000838457,0
AUS,Artistic Gymnastics,0,0,0,52,0,52,2297,0,0,0,0,0.022638224,0
AUS,Artistic Swimming,0,0,0,21,0,21,257,0,0,0,0,0.081712062,0
AUS,Athletics,25,40,35,1049,100,1149,43294,0.02175805,0.034812881,0.030461271,0.087032202,0.026539474,2.52525E+19
AUS,Badminton,0,0,0,65,0,65,1816,0,0,0,0,0.035792952,0
AUS,Baseball,0,24,0,44,24,68,894,0,0.352941176,0,0.352941176,0.07606264,24242400
AUS,Baseball/Softball,0,0,0,15,0,15,234,0,0,0,0,0.064102564,0
AUS,Basketball,0,36,47,226,83,309,5111,0,0.116504854,0.15210356,0.268608414,0.060457836,3636364747
AUS,Beach Volleyball,2,2,2,40,6,46,756,0.043478261,0.043478261,0.043478261,0.130434783,0.060846561,2222222222
AUS,Boxing,0,1,6,135,7,142,6584,0,0.007042254,0.042253521,0.049295775,0.021567436,11166
AUS,Breaking,0,0,0,2,0,2,33,0,0,0,0,0.060606061,0
AUS,Canoe Slalom,4,0,1,7,5,12,256,0.333333333,0,0.083333333,0.416666667,0.046875,4444400011
AUS,Canoe Sprint,2,4,2,30,8,38,756,0.052631579,0.105263158,0.052631579,0.210526316,0.05026455,2222244422
AUS,Canoeing,6,10,25,201,41,242,6171,0.024793388,0.041322314,0.103305785,0.169421488,0.039215686,6.66661E+14
AUS,Cycling,26,29,29,344,84,428,10859,0.060747664,0.067757009,0.067757009,0.196261682,0.039414311,2.62626E+19
AUS,Cycling BMX Freestyle,1,0,1,2,2,4,42,0.25,0,0.25,0.5,0.095238095,1111100011
AUS,Cycling BMX Racing,1,0,0,5,1,6,115,0.166666667,0,0,0.166666667,0.052173913,1111100000
AUS,Cycling Mountain Bike,0,0,0,3,0,3,144,0,0,0,0,0.020833333,0
AUS,Cycling Road,1,0,1,17,2,19,493,0.052631579,0,0.052631579,0.105263158,0.038539554,1111100011
AUS,Cycling Track,5,2,11,51,18,69,878,0.072463768,0.028985507,0.15942029,0.260869565,0.078587699,5.55552E+11
AUS,Diving,3,5,14,148,22,170,3193,0.017647059,0.029411765,0.082352941,0.129411765,0.053241466,3.33336E+11
AUS,Equestrian,0,5,1,34,6,40,835,0,0.125,0.025,0.15,0.047904192,55511
AUS,Equestrianism,18,7,12,194,37,231,6344,0.077922078,0.03030303,0.051948052,0.16017316,0.036412358,1.81818E+16
AUS,Fencing,0,0,0,147,0,147,11558,0,0,0,0,0.012718463,0
AUS,Football,0,0,0,224,0,224,7906,0,0,0,0,0.028332912,0
AUS,Golf,0,0,0,12,0,12,487,0,0,0,0,0.024640657,0
AUS,Gymnastics,0,0,0,513,0,513,26707,0,0,0,0,0.019208447,0
AUS,Handball,0,0,0,30,0,30,4419,0,0,0,0,0.006788866,0
AUS,Hockey,64,63,79,246,206,452,6264,0.14159292,0.139380531,0.174778761,0.455752212,0.072158365,6.46465E+19
AUS,Judo,0,0,2,91,2,93,4876,0,0,0.021505376,0.021505376,0.019073011,22
AUS,Karate,0,0,0,1,0,1,81,0,0,0,0,0.012345679,0
AUS,Marathon Swimming,0,0,1,4,1,5,89,0,0,0.2,0.2,0.056179775,11
AUS,"Marathon Swimming, Swimming",0,0,0,2,0,2,52,0,0,0,0,0.038461538,0
AUS,Modern Pentathlon,1,0,0,55,1,56,1821,0.017857143,0,0,0.017857143,0.030752334,1111100000
AUS,Rhythmic Gymnastics,0,0,0,19,0,19,848,0,0,0,0,0.02240566,0
AUS,Rowing,30,56,76,425,162,587,11625,0.051107325,0.095400341,0.129471891,0.275979557,0.050494624,3.0303E+19
AUS,Rugby Sevens,12,0,0,64,12,76,928,0.157894737,0,0,0.157894737,0.081896552,1.21212E+14
AUS,Sailing,26,18,14,177,58,235,7266,0.110638298,0.076595745,0.059574468,0.246808511,0.032342417,2.62626E+19
AUS,Shooting,5,1,6,275,12,287,12580,0.017421603,0.003484321,0.020905923,0.041811847,0.02281399,5555511166
AUS,Skateboarding,3,0,0,11,3,14,168,0.214285714,0,0,0.214285714,0.083333333,3333300000
AUS,Softball,0,15,45,0,60,60,478,0,0.25,0.75,1,0.125523013,1515154545
AUS,Sport Climbing,0,0,0,4,0,4,108,0,0,0,0,0.037037037,0
AUS,Surfing,0,1,1,6,2,8,88,0,0.125,0.125,0.25,0.090909091,11111
AUS,Swimming,155,184,166,925,505,1430,26416,0.108391608,0.128671329,0.116083916,0.353146853,0.054133858,1.55155E+29
AUS,Synchronized Swimming,0,0,0,57,0,57,909,0,0,0,0,0.062706271,0
AUS,Table Tennis,0,0,0,96,0,96,2480,0,0,0,0,0.038709677,0
AUS,Taekwondo,1,1,0,27,2,29,870,0.034482759,0.034482759,0,0.068965517,0.033333333,1111111100
AUS,Tennis,4,2,8,111,14,125,3446,0.032,0.016,0.064,0.112,0.036273941,4444422288
AUS,Trampoline Gymnastics,0,0,0,3,0,3,64,0,0,0,0,0.046875,0
AUS,Trampolining,0,1,0,5,1,6,152,0,0.166666667,0,0.166666667,0.039473684,11100
AUS,Triathlon,1,2,2,40,5,45,822,0.022222222,0.044444444,0.044444444,0.111111111,0.054744526,1111122222
AUS,Volleyball,0,0,0,48,0,48,4003,0,0,0,0,0.011991007,0
AUS,Water Polo,13,13,26,249,52,301,4418,0.043189369,0.043189369,0.086378738,0.172757475,0.068130376,1.31313E+19
AUS,Weightlifting,1,1,2,82,4,86,4256,0.011627907,0.011627907,0.023255814,0.046511628,0.020206767,1111111122
AUS,Wrestling,0,1,2,100,3,103,7734,0,0.009708738,0.019417476,0.029126214,0.013317817,11122
AUT,Archery,0,0,0,5,0,5,2846,0,0,0,0,0.001756852,0
AUT,Art Competitions,3,3,4,189,10,199,3578,0.015075377,0.015075377,0.020100503,0.050251256,0.055617663,3333333344
AUT,Artistic Gymnastics,0,0,0,11,0,11,2297,0,0,0,0,0.004788855,0
AUT,Artistic Swimming,0,0,0,4,0,4,257,0,0,0,0,0.015564202,0
AUT,Athletics,1,2,5,333,8,341,43294,0.002932551,0.005865103,0.014662757,0.023460411,0.00787638,1111122255
AUT,Badminton,0,0,0,11,0,11,1816,0,0,0,0,0.006057269,0
AUT,Beach Volleyball,0,0,0,22,0,22,756,0,0,0,0,0.029100529,0
AUT,Boxing,0,0,0,37,0,37,6584,0,0,0,0,0.005619684,0
AUT,Canoe Slalom,0,0,0,9,0,9,256,0,0,0,0,0.03515625,0
AUT,Canoe Sprint,0,0,0,4,0,4,756,0,0,0,0,0.005291005,0
AUT,Canoeing,4,7,10,99,21,120,6171,0.033333333,0.058333333,0.083333333,0.175,0.019445795,4.44448E+11
AUT,Cycling,1,0,2,211,3,214,10859,0.004672897,0,0.009345794,0.014018692,0.019707155,1111100022
AUT,Cycling Mountain Bike,0,0,0,5,0,5,144,0,0,0,0,0.034722222,0
AUT,Cycling Road,1,0,0,11,1,12,493,0.083333333,0,0,0.083333333,0.024340771,1111100000
AUT,Cycling Track,0,0,0,8,0,8,878,0,0,0,0,0.009111617,0
AUT,Diving,0,0,1,75,1,76,3193,0,0,0.013157895,0.013157895,0.023802067,11
AUT,Equestrian,0,0,0,25,0,25,835,0,0,0,0,0.02994012,0
AUT,Equestrianism,1,4,1,104,6,110,6344,0.009090909,0.036363636,0.009090909,0.054545455,0.017339218,1111144411
AUT,Fencing,1,7,5,202,13,215,11558,0.004651163,0.03255814,0.023255814,0.060465116,0.018601834,1111177755
AUT,Football,0,13,0,37,13,50,7906,0,0.26,0,0.26,0.006324311,13131300
AUT,Golf,0,0,0,8,0,8,487,0,0,0,0,0.016427105,0
AUT,Gymnastics,2,1,0,362,3,365,26707,0.005479452,0.002739726,0,0.008219178,0.013666829,2222211100
AUT,Handball,0,22,0,44,22,66,4419,0,0.333333333,0,0.333333333,0.014935506,22222200
AUT,Hockey,0,0,0,55,0,55,6264,0,0,0,0,0.008780332,0
AUT,Judo,2,3,3,63,8,71,4876,0.028169014,0.042253521,0.042253521,0.112676056,0.014561116,2222233333
AUT,Karate,0,0,1,0,1,1,81,0,0,1,1,0.012345679,11
AUT,Marathon Swimming,0,0,0,1,0,1,89,0,0,0,0,0.011235955,0
AUT,"Marathon Swimming, Swimming",0,0,0,4,0,4,52,0,0,0,0,0.076923077,0
AUT,Modern Pentathlon,0,0,0,38,0,38,1821,0,0,0,0,0.020867655,0
AUT,Rhythmic Gymnastics,0,0,0,6,0,6,848,0,0,0,0,0.007075472,0
AUT,Rowing,0,5,5,128,10,138,11625,0,0.036231884,0.036231884,0.072463768,0.011870968,55555
AUT,Sailing,8,5,2,127,15,142,7266,0.056338028,0.035211268,0.014084507,0.105633803,0.019543077,8888855522
AUT,Shooting,1,2,5,187,8,195,12580,0.005128205,0.01025641,0.025641026,0.041025641,0.015500795,1111122255
AUT,Skateboarding,0,0,0,1,0,1,168,0,0,0,0,0.005952381,0
AUT,Sport Climbing,0,0,3,1,3,4,108,0,0,0.75,0.75,0.037037037,33
AUT,Swimming,2,6,9,217,17,234,26416,0.008547009,0.025641026,0.038461538,0.072649573,0.008858268,2222266699
AUT,Synchronized Swimming,0,0,0,14,0,14,909,0,0,0,0,0.01540154,0
AUT,Table Tennis,0,0,0,66,0,66,2480,0,0,0,0,0.026612903,0
AUT,Taekwondo,0,0,0,4,0,4,870,0,0,0,0,0.004597701,0
AUT,Tennis,0,2,0,41,2,43,3446,0,0.046511628,0,0.046511628,0.012478236,22200
AUT,Trampoline Gymnastics,0,0,0,1,0,1,64,0,0,0,0,0.015625,0
AUT,Triathlon,1,0,0,24,1,25,822,0.04,0,0,0.04,0.030413625,1111100000
AUT,Tug-Of-War,0,0,0,8,0,8,170,0,0,0,0,0.047058824,0
AUT,Water Polo,0,0,0,28,0,28,4418,0,0,0,0,0.006337709,0
AUT,Weightlifting,4,5,2,73,11,84,4256,0.047619048,0.05952381,0.023809524,0.130952381,0.019736842,4444455522
AUT,Wrestling,1,2,3,89,6,95,7734,0.010526316,0.021052632,0.031578947,0.063157895,0.012283424,1111122233
AZE,3x3 Basketball,0,0,0,4,0,4,128,0,0,0,0,0.03125,0
AZE,Archery,0,0,0,2,0,2,2846,0,0,0,0,0.000702741,0
AZE,Artistic Gymnastics,0,0,0,12,0,12,2297,0,0,0,0,0.005224205,0
AZE,Athletics,0,0,0,24,0,24,43294,0,0,0,0,0.000554349,0
AZE,Badminton,0,0,0,3,0,3,1816,0,0,0,0,0.001651982,0
AZE,Boxing,0,2,8,37,10,47,6584,0,0.042553191,0.170212766,0.212765957,0.007138518,22288
AZE,Canoeing,0,1,1,5,2,7,6171,0,0.142857143,0.142857143,0.285714286,0.001134338,11111
AZE,Cycling,0,0,0,6,0,6,10859,0,0,0,0,0.000552537,0
AZE,Cycling Road,0,0,0,1,0,1,493,0,0,0,0,0.002028398,0
AZE,Diving,0,0,0,2,0,2,3193,0,0,0,0,0.00062637,0
AZE,Equestrianism,0,0,0,2,0,2,6344,0,0,0,0,0.000315259,0
AZE,Fencing,0,0,0,6,0,6,11558,0,0,0,0,0.000519121,0
AZE,Gymnastics,0,0,0,18,0,18,26707,0,0,0,0,0.000673981,0
AZE,Judo,3,2,2,40,7,47,4876,0.063829787,0.042553191,0.042553191,0.14893617,0.009639048,3333322222
AZE,Karate,0,2,0,1,2,3,81,0,0.666666667,0,0.666666667,0.037037037,22200
AZE,Rhythmic Gymnastics,0,0,0,23,0,23,848,0,0,0,0,0.027122642,0
AZE,Rowing,0,0,0,5,0,5,11625,0,0,0,0,0.000430108,0
AZE,Shooting,1,0,2,16,3,19,12580,0.052631579,0,0.105263158,0.157894737,0.001510334,1111100022
