NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,Participation Count
ARG,Boxing,10,7,114,7,24,138
ARG,Canoe Slalom,0,0,1,0,0,1
ARG,Canoe Sprint,0,0,4,0,0,4
ARG,Canoeing,0,0,49,0,0,49
ARG,Cycling,0,2,177,0,2,179
ARG,Cycling BMX Racing,0,0,1,0,0,1
ARG,Cycling Mountain Bike,0,0,1,0,0,1
ARG,Cycling Road,0,0,1,0,0,1
ARG,Diving,0,0,9,0,0,9
ARG,Equestrian,0,0,8,0,0,8
ARG,Equestrianism,0,0,155,1,1,156
ARG,Fencing,5,0,235,0,5,240
ARG,Figure Skating,0,0,1,0,0,1
ARG,Football,0,34,96,34,68,164
ARG,Golf,0,0,3,0,0,3
ARG,Gymnastics,0,0,133,0,0,133
ARG,Handball,0,0,60,0,0,60
ARG,Hockey,32,18,223,49,99,322
ARG,Judo,1,1,65,0,2,67
ARG,Marathon Swimming,0,0,1,0,0,1
ARG,Modern Pentathlon,0,0,19,0,0,19
ARG,Polo,0,9,0,0,9,9
ARG,Rowing,3,2,180,1,6,186
ARG,Rugby Sevens,13,0,13,0,13,26
ARG,Sailing,9,2,168,10,21,189
ARG,Shooting,0,0,126,1,1,127
ARG,Surfing,0,0,1,0,0,1
ARG,Swimming,1,1,258,1,3,261
ARG,Synchronized Swimming,0,0,4,0,0,4
ARG,Table Tennis,0,0,16,0,0,16
ARG,Taekwondo,0,1,7,0,1,8
ARG,Tennis,5,0,93,2,7,100
ARG,Triathlon,0,0,7,0,0,7
ARG,Volleyball,24,0,94,0,24,118
ARG,Water Polo,0,0,28,0,0,28
ARG,Weightlifting,1,0,34,1,2,36
ARG,Wrestling,0,0,69,0,0,69
ARM,Artistic Gymnastics,1,0,1,0,1,2
ARM,Athletics,0,0,19,0,0,19
ARM,Boxing,2,0,19,0,2,21
ARM,Canoeing,0,0,2,0,0,2
ARM,Cycling,0,0,1,0,0,1
ARM,Diving,0,0,3,0,0,3
ARM,Gymnastics,0,0,20,0,0,20
ARM,Judo,0,0,9,0,0,9
ARM,Shooting,0,0,10,0,0,10
ARM,Swimming,0,0,11,0,0,11
ARM,Taekwondo,0,0,1,0,0,1
ARM,Tennis,0,0,3,0,0,3
ARM,Weightlifting,5,0,30,3,8,38
ARM,Wrestling,3,2,44,4,9,53
ARU,Athletics,0,0,9,0,0,9
ARU,Boxing,0,0,2,0,0,2
ARU,Cycling,0,0,3,0,0,3
ARU,Fencing,0,0,2,0,0,2
ARU,Judo,0,0,5,0,0,5
ARU,Sailing,0,0,4,0,0,4
ARU,Shooting,0,0,1,0,0,1
ARU,Swimming,0,0,12,0,0,12
ARU,Synchronized Swimming,0,0,4,0,0,4
ARU,Taekwondo,0,0,1,0,0,1
ARU,Weightlifting,0,0,3,0,0,3
ASA,Archery,0,0,1,0,0,1
ASA,Athletics,0,0,12,0,0,12
ASA,Boxing,0,0,5,0,0,5
ASA,Judo,0,0,3,0,0,3
ASA,Sailing,0,0,4,0,0,4
ASA,Swimming,0,0,6,0,0,6
ASA,Weightlifting,0,0,8,0,0,8
ASA,Wrestling,0,0,2,0,0,2
AUS,Archery,4,1,77,0,5,82
AUS,Art Competitions,0,0,3,0,0,3
AUS,Artistic Gymnastics,0,0,12,0,0,12
AUS,Artistic Swimming,0,0,10,0,0,10
AUS,Athletics,30,24,967,38,92,1059
AUS,Badminton,0,0,62,0,0,62
AUS,Baseball,0,0,44,24,24,68
AUS,Baseball/Softball,0,0,15,0,0,15
AUS,Basketball,36,0,214,36,72,286
AUS,Beach Volleyball,2,2,34,2,6,40
AUS,Boxing,4,0,125,1,5,130
AUS,Canoe Slalom,1,1,2,0,2,4
AUS,Canoe Sprint,0,2,22,0,2,24
AUS,Canoeing,25,6,201,10,41,242
AUS,Cycling,29,26,344,29,84,428
AUS,Cycling BMX Freestyle,0,1,1,0,1,2
AUS,Cycling BMX Racing,0,0,3,0,0,3
AUS,Cycling Mountain Bike,0,0,2,0,0,2
AUS,Cycling Road,1,0,10,0,1,11
AUS,Cycling Track,6,0,26,0,6,32
AUS,Diving,14,3,138,4,21,159
AUS,Equestrian,1,0,13,4,5,18
AUS,Equestrianism,12,18,194,7,37,231
AUS,Fencing,0,0,147,0,0,147
AUS,Football,0,0,205,0,0,205
AUS,Golf,0,0,8,0,0,8
AUS,Gymnastics,0,0,513,0,0,513
AUS,Handball,0,0,30,0,0,30
AUS,Hockey,79,64,211,63,206,417
AUS,Judo,2,0,88,0,2,90
AUS,Karate,0,0,1,0,0,1
AUS,Marathon Swimming,1,0,1,0,1,2
AUS,Modern Pentathlon,0,1,54,0,1,55
AUS,Rhythmic Gymnastics,0,0,13,0,0,13
AUS,Rowing,74,30,389,56,160,549
AUS,Rugby Sevens,0,12,39,0,12,51
AUS,Sailing,14,25,167,17,56,223
AUS,Shooting,5,5,261,1,11,272
AUS,Skateboarding,0,1,4,0,1,5
AUS,Softball,45,0,0,15,60,60
AUS,Sport Climbing,0,0,2,0,0,2
AUS,Surfing,1,0,3,0,1,4
AUS,Swimming,151,138,873,165,454,1327
AUS,Synchronized Swimming,0,0,57,0,0,57
AUS,Table Tennis,0,0,84,0,0,84
AUS,Taekwondo,0,1,24,1,2,26
AUS,Tennis,8,2,98,2,12,110
AUS,Trampoline Gymnastics,0,0,2,0,0,2
AUS,Trampolining,0,0,5,1,1,6
AUS,Triathlon,2,1,36,2,5,41
AUS,Volleyball,0,0,48,0,0,48
AUS,Water Polo,26,13,236,0,39,275
AUS,Weightlifting,2,1,79,1,4,83
AUS,Wrestling,2,0,98,1,3,101
AUT,Archery,0,0,4,0,0,4
AUT,Art Competitions,4,3,189,3,10,199
AUT,Artistic Gymnastics,0,0,5,0,0,5
AUT,Artistic Swimming,0,0,2,0,0,2
AUT,Athletics,5,1,326,2,8,334
AUT,Badminton,0,0,10,0,0,10
AUT,Beach Volleyball,0,0,20,0,0,20
AUT,Boxing,0,0,37,0,0,37
AUT,Canoe Slalom,0,0,3,0,0,3
AUT,Canoe Sprint,0,0,4,0,0,4
AUT,Canoeing,10,4,99,7,21,120
AUT,Cycling,2,1,211,0,3,214
AUT,Cycling Mountain Bike,0,0,2,0,0,2
AUT,Cycling Road,0,1,4,0,1,5
AUT,Cycling Track,0,0,5,0,0,5
AUT,Diving,1,0,74,0,1,75
AUT,Equestrian,0,0,8,0,0,8
AUT,Equestrianism,1,1,104,4,6,110
AUT,Fencing,5,1,202,7,13,215
AUT,Football,0,0,37,13,13,50
AUT,Golf,0,0,5,0,0,5
AUT,Gymnastics,0,2,362,1,3,365
AUT,Handball,0,0,44,22,22,66
AUT,Hockey,0,0,55,0,0,55
AUT,Judo,2,2,52,3,7,59
AUT,Karate,1,0,0,0,1,1
AUT,Modern Pentathlon,0,0,38,0,0,38
AUT,Rhythmic Gymnastics,0,0,6,0,0,6
AUT,Rowing,5,0,125,5,10,135
AUT,Sailing,2,5,121,5,12,133
AUT,Shooting,5,1,177,2,8,185
AUT,Skateboarding,0,0,1,0,0,1
AUT,Sport Climbing,1,0,1,0,1,2
AUT,Swimming,9,2,206,6,17,223
AUT,Synchronized Swimming,0,0,14,0,0,14
AUT,Table Tennis,0,0,64,0,0,64
AUT,Taekwondo,0,0,3,0,0,3
AUT,Tennis,0,0,39,2,2,41
AUT,Triathlon,0,1,20,0,1,21
AUT,Tug-Of-War,0,0,8,0,0,8
AUT,Water Polo,0,0,28,0,0,28
AUT,Weightlifting,2,4,73,5,11,84
AUT,Wrestling,3,1,89,2,6,95
AZE,Archery,0,0,1,0,0,1
AZE,Artistic Gymnastics,0,0,12,0,0,12
AZE,Athletics,0,0,23,0,0,23
AZE,Badminton,0,0,1,0,0,1
AZE,Boxing,8,0,33,1,9,42
AZE,Canoeing,1,0,5,1,2,7
AZE,Cycling,0,0,6,0,0,6
AZE,Cycling Road,0,0,1,0,0,1
AZE,Diving,0,0,2,0,0,2
AZE,Equestrianism,0,0,2,0,0,2
AZE,Fencing,0,0,5,0,0,5
AZE,Gymnastics,0,0,18,0,0,18
AZE,Judo,2,1,33,2,5,38
AZE,Karate,0,0,1,2,2,3
AZE,Rhythmic Gymnastics,0,0,17,0,0,17
AZE,Rowing,0,0,4,0,0,4
AZE,Shooting,2,1,14,0,3,17
AZE,Swimming,0,0,13,0,0,13
AZE,Taekwondo,2,1,8,0,3,11
AZE,Triathlon,0,0,2,0,0,2
AZE,Weightlifting,1,0,20,0,1,21
AZE,Wrestling,13,4,48,9,26,74
BAH,Athletics,13,14,231,11,38,269
BAH,Boxing,0,0,7,0,0,7
BAH,Cycling,0,0,2,0,0,2
BAH,Diving,0,0,1,0,0,1
BAH,Rowing,0,0,1,0,0,1
BAH,Sailing,2,2,50,0,4,54
BAH,Swimming,0,0,47,0,0,47
BAH,Tennis,0,0,13,0,0,13
BAH,Wrestling,0,0,2,0,0,2
BAN,Archery,0,0,6,0,0,6
BAN,Athletics,0,0,29,0,0,29
BAN,Golf,0,0,1,0,0,1
BAN,Gymnastics,0,0,3,0,0,3
BAN,Shooting,0,0,9,0,0,9
BAN,Swimming,0,0,15,0,0,15
BAR,Athletics,1,0,114,0,1,115
BAR,Boxing,0,0,9,0,0,9
BAR,Cycling,0,0,24,0,0,24
BAR,Diving,0,0,1,0,0,1
BAR,Gymnastics,0,0,7,0,0,7
BAR,Judo,0,0,5,0,0,5
BAR,Sailing,0,0,15,0,0,15
BAR,Shooting,0,0,8,0,0,8
BAR,Swimming,0,0,39,0,0,39
BAR,Synchronized Swimming,0,0,1,0,0,1
BAR,Tennis,0,0,1,0,0,1
BAR,Triathlon,0,0,1,0,0,1
BAR,Weightlifting,0,0,2,0,0,2
BDI,Athletics,0,1,32,1,2,34
BDI,Boxing,0,0,1,0,0,1
BDI,Judo,0,0,2,0,0,2
BDI,Swimming,0,0,9,0,0,9
BEL,3x3 Basketball,0,0,4,0,0,4
BEL,Archery,3,35,30,14,52,82
BEL,Art Competitions,5,2,163,1,8,171
BEL,Artistic Gymnastics,0,1,23,0,1,24
BEL,Athletics,3,5,544,10,18,562
BEL,Badminton,0,0,7,0,0,7
BEL,Basketball,0,0,46,0,0,46
BEL,Beach Volleyball,0,0,2,0,0,2
BEL,Boxing,2,1,53,1,4,57
BEL,Canoe Slalom,0,0,1,0,0,1
BEL,Canoe Sprint,0,0,5,0,0,5
BEL,Canoeing,0,0,96,0,0,96
BEL,Cycling,22,13,293,12,47,340
BEL,Cycling BMX Racing,0,0,1,0,0,1
BEL,Cycling Mountain Bike,0,0,2,0,0,2
BEL,Cycling Road,0,0,10,1,1,11
BEL,Cycling Track,0,0,8,0,0,8
BEL,Diving,0,0,12,0,0,12
BEL,Equestrian,4,0,14,0,4,18
BEL,Equestrianism,11,7,183,5,23,206
BEL,Fencing,19,10,296,19,48,344
BEL,Figure Skating,0,0,2,0,0,2
BEL,Football,9,14,44,0,23,67
BEL,Golf,0,0,6,0,0,6
BEL,Gymnastics,24,0,152,24,48,200
BEL,Hockey,14,18,198,16,48,246
BEL,Ice Hockey,0,0,7,0,0,7
BEL,Judo,10,2,46,1,13,59
BEL,Modern Pentathlon,0,0,15,0,0,15
BEL,Polo,0,0,4,0,0,4
BEL,Rhythmic Gymnastics,0,0,4,0,0,4
BEL,Rowing,4,0,152,26,30,182
BEL,Sailing,7,4,78,8,19,97
BEL,Shooting,3,1,201,13,17,218
BEL,Skateboarding,0,0,2,0,0,2
BEL,Swimming,2,1,278,2,5,283
BEL,Synchronized Swimming,0,0,5,0,0,5
BEL,Table Tennis,0,0,14,0,0,14
BEL,Taekwondo,0,0,5,0,0,5
BEL,Tennis,2,1,83,0,3,86
BEL,Triathlon,0,0,19,0,0,19
BEL,Tug-Of-War,8,0,0,0,8,8
BEL,Volleyball,0,0,12,0,0,12
BEL,Water Polo,18,0,46,36,54,100
BEL,Weightlifting,1,1,44,2,4,48
BEL,Wrestling,1,0,109,3,4,113
BEN,Athletics,0,0,45,0,0,45
BEN,Boxing,0,0,13,0,0,13
BEN,Cycling,0,0,2,0,0,2
BEN,Fencing,0,0,1,0,0,1
BEN,Judo,0,0,4,0,0,4
BEN,Rowing,0,0,1,0,0,1
BEN,Swimming,0,0,9,0,0,9
BEN,Taekwondo,0,0,2,0,0,2
BEN,Tennis,0,0,1,0,0,1
BER,Athletics,0,0,62,0,0,62
BER,Boxing,1,0,3,0,1,4
BER,Cycling,0,0,4,0,0,4
BER,Diving,0,0,4,0,0,4
BER,Equestrianism,0,0,11,0,0,11
BER,Rowing,0,0,3,0,0,3
BER,Sailing,0,0,61,0,0,61
BER,Swimming,0,0,51,0,0,51
BER,Tennis,0,0,1,0,0,1
BER,Triathlon,0,1,5,0,1,6
BHU,Archery,0,0,35,0,0,35
BHU,Judo,0,0,1,0,0,1
BHU,Shooting,0,0,3,0,0,3
BHU,Swimming,0,0,1,0,0,1
BIH,Athletics,0,0,23,0,0,23
BIH,Canoeing,0,0,3,0,0,3
BIH,Judo,0,0,8,0,0,8
BIH,Shooting,0,0,20,0,0,20
BIH,Swimming,0,0,18,0,0,18
BIH,Table Tennis,0,0,2,0,0,2
BIH,Taekwondo,0,0,2,0,0,2
BIH,Tennis,0,0,3,0,0,3
BIH,Weightlifting,0,0,1,0,0,1
BIH,Wrestling,0,0,1,0,0,1
BIZ,Athletics,0,0,40,0,0,40
BIZ,Boxing,0,0,1,0,0,1
BIZ,Canoe Sprint,0,0,2,0,0,2
BIZ,Cycling,0,0,27,0,0,27
BIZ,Judo,0,0,2,0,0,2
BIZ,Shooting,0,0,6,0,0,6
BIZ,Taekwondo,0,0,1,0,0,1
BIZ,Weightlifting,0,0,1,0,0,1
BLR,Archery,0,0,16,0,0,16
BLR,Artistic Gymnastics,0,0,5,0,0,5
BLR,Artistic Swimming,0,0,2,0,0,2
BLR,Athletics,8,4,259,6,18,277
BLR,Badminton,0,0,6,0,0,6
BLR,Basketball,0,0,22,0,0,22
BLR,Boxing,0,0,24,2,2,26
BLR,Canoe Sprint,0,0,14,4,4,18
BLR,Canoeing,12,6,38,4,22,60
BLR,Cycling,1,0,37,0,1,38
BLR,Cycling Road,0,0,3,0,0,3
BLR,Cycling Track,0,0,2,0,0,2
BLR,Diving,0,0,19,0,0,19
BLR,Equestrian,0,0,1,0,0,1
BLR,Equestrianism,0,0,6,0,0,6
BLR,Fencing,0,0,24,0,0,24
BLR,Football,0,0,16,0,0,16
BLR,Gymnastics,4,0,232,0,4,236
BLR,Judo,1,1,25,0,2,27
BLR,Modern Pentathlon,1,0,16,0,1,17
BLR,Rhythmic Gymnastics,8,0,32,14,22,54
BLR,Rowing,14,2,54,1,17,71
BLR,Sailing,0,0,21,0,0,21
BLR,Shooting,4,1,88,2,7,95
BLR,Swimming,1,0,108,2,3,111
BLR,Synchronized Swimming,0,0,8,0,0,8
BLR,Table Tennis,0,0,28,0,0,28
BLR,Tennis,1,2,32,0,3,35
BLR,Trampoline Gymnastics,0,1,1,0,1,2
BLR,Trampolining,0,1,11,0,1,12
BLR,Weightlifting,6,1,38,5,12,50
BLR,Wrestling,8,0,61,6,14,75
BOH,Art Competitions,0,0,1,0,0,1
BOH,Athletics,0,0,38,1,1,39
BOH,Cycling,0,0,11,0,0,11
BOH,Fencing,6,0,45,0,6,51
BOH,Gymnastics,0,0,7,0,0,7
BOH,Rowing,0,0,1,0,0,1
BOH,Shooting,0,0,5,0,0,5
BOH,Tennis,5,0,23,0,5,28
BOH,Wrestling,0,0,10,0,0,10
BOL,Art Competitions,0,0,1,0,0,1
BOL,Athletics,0,0,41,0,0,41
BOL,Boxing,0,0,1,0,0,1
BOL,Canoeing,0,0,2,0,0,2
BOL,Cycling,0,0,10,0,0,10
BOL,Diving,0,0,2,0,0,2
BOL,Equestrianism,0,0,3,0,0,3
BOL,Fencing,0,0,4,0,0,4
BOL,Gymnastics,0,0,5,0,0,5
BOL,Judo,0,0,6,0,0,6
BOL,Shooting,0,0,20,0,0,20
BOL,Swimming,0,0,25,0,0,25
BOL,Tennis,0,0,2,0,0,2
BOL,Weightlifting,0,0,3,0,0,3
BOL,Wrestling,0,0,1,0,0,1
BOT,Athletics,6,0,78,1,7,85
BOT,Boxing,0,0,12,0,0,12
BOT,Judo,0,0,1,0,0,1
BOT,Sailing,0,0,1,0,0,1
BOT,Swimming,0,0,6,0,0,6
BOT,Weightlifting,0,0,1,0,0,1
BRA,Archery,0,0,25,0,0,25
BRA,Art Competitions,0,0,1,0,0,1
BRA,Artistic Gymnastics,0,1,41,1,2,43
BRA,Athletics,16,5,558,7,28,586
BRA,Badminton,0,0,4,0,0,4
BRA,Basketball,46,0,197,12,58,255
BRA,Beach Volleyball,6,6,30,14,26,56
BRA,Boxing,4,2,79,2,8,87
BRA,Canoe Slalom,0,0,3,0,0,3
BRA,Canoe Sprint,0,1,4,0,1,5
BRA,Canoeing,1,0,45,3,4,49
BRA,Cycling,0,0,95,0,0,95
BRA,Cycling BMX Racing,0,0,2,0,0,2
BRA,Cycling Mountain Bike,0,0,3,0,0,3
BRA,Diving,0,0,50,0,0,50
BRA,Equestrian,0,0,17,0,0,17
BRA,Equestrianism,8,1,161,0,9,170
BRA,Fencing,0,0,96,0,0,96
BRA,Football,34,39,192,85,158,350
BRA,Golf,0,0,3,0,0,3
BRA,Gymnastics,1,1,197,2,4,201
BRA,Handball,0,0,175,0,0,175
BRA,Hockey,0,0,16,0,0,16
BRA,Judo,17,4,120,3,24,144
BRA,Marathon Swimming,0,1,0,0,1,1
BRA,Modern Pentathlon,1,0,31,0,1,32
BRA,Rhythmic Gymnastics,0,0,31,0,0,31
BRA,Rowing,0,0,138,0,0,138
BRA,Rugby Sevens,0,0,38,0,0,38
BRA,Sailing,16,14,158,6,36,194
BRA,Shooting,5,1,115,2,8,123
BRA,Skateboarding,0,0,9,3,3,12
BRA,Surfing,0,1,3,0,1,4
BRA,Swimming,17,1,531,4,22,553
BRA,Synchronized Swimming,0,0,33,0,0,33
BRA,Table Tennis,0,0,66,0,0,66
BRA,Taekwondo,2,0,14,0,2,16
BRA,Tennis,2,0,49,0,2,51
BRA,Trampolining,0,0,1,0,0,1
BRA,Triathlon,0,0,23,0,0,23
BRA,Volleyball,24,60,177,48,132,309
BRA,Water Polo,0,0,96,0,0,96
BRA,Weightlifting,0,0,27,0,0,27
BRA,Wrestling,0,0,16,0,0,16
BRN,Athletics,1,1,82,2,4,86
BRN,Boxing,0,0,1,0,0,1
BRN,Cycling,0,0,7,0,0,7
BRN,Fencing,0,0,7,0,0,7
BRN,Handball,0,0,16,0,0,16
BRN,Modern Pentathlon,0,0,12,0,0,12
BRN,Sailing,0,0,5,0,0,5
BRN,Shooting,0,0,10,0,0,10
BRN,Swimming,0,0,14,0,0,14
BRN,Wrestling,0,0,1,0,0,1
BRU,Athletics,0,0,7,0,0,7
BRU,Badminton,0,0,1,0,0,1
BRU,Shooting,0,0,2,0,0,2
BRU,Swimming,0,0,2,0,0,2
BUL,Archery,0,0,7,0,0,7
BUL,Art Competitions,0,0,5,0,0,5
BUL,Artistic Gymnastics,0,0,7,0,0,7
BUL,Athletics,6,5,293,8,19,312
BUL,Badminton,0,0,35,0,0,35
BUL,Basketball,12,0,61,12,24,85
BUL,Beach Volleyball,0,0,4,0,0,4
BUL,Boxing,9,5,83,5,19,102
BUL,Canoe Sprint,0,0,1,0,0,1
BUL,Canoeing,18,4,105,6,28,133
BUL,Cycling,0,0,81,0,0,81
BUL,Diving,0,0,5,0,0,5
BUL,Equestrianism,0,0,72,3,3,75
BUL,Fencing,0,0,46,0,0,46
BUL,Football,14,0,37,18,32,69
BUL,Gymnastics,6,2,964,2,10,974
BUL,Judo,2,0,27,1,3,30
BUL,Karate,0,1,0,0,1,1
BUL,Modern Pentathlon,0,0,28,0,0,28
BUL,Rhythmic Gymnastics,11,5,32,7,23,55
BUL,Rowing,16,5,142,13,34,176
BUL,Sailing,0,0,11,0,0,11
BUL,Shooting,6,4,129,7,17,146
BUL,Swimming,1,1,131,1,3,134
BUL,Synchronized Swimming,0,0,2,0,0,2
BUL,Table Tennis,0,0,4,0,0,4
BUL,Tennis,1,0,15,0,1,16
BUL,Volleyball,10,0,84,12,22,106
BUL,Water Polo,0,0,22,0,0,22
BUL,Weightlifting,8,12,59,16,36,95
BUL,Wrestling,23,16,159,32,71,230
BUR,Athletics,1,0,28,0,1,29
BUR,Boxing,0,0,4,0,0,4
BUR,Cycling Road,0,0,1,0,0,1
BUR,Fencing,0,0,1,0,0,1
BUR,Judo,0,0,7,0,0,7
BUR,Swimming,0,0,9,0,0,9
BUR,Taekwondo,0,0,1,0,0,1
CAF,Archery,0,0,1,0,0,1
CAF,Athletics,0,0,30,0,0,30
CAF,Basketball,0,0,12,0,0,12
CAF,Boxing,0,0,6,0,0,6
CAF,Cycling,0,0,7,0,0,7
CAF,Judo,0,0,4,0,0,4
CAF,Swimming,0,0,4,0,0,4
CAF,Taekwondo,0,0,4,0,0,4
CAF,Wrestling,0,0,1,0,0,1
CAM,Athletics,0,0,18,0,0,18
CAM,Boxing,0,0,5,0,0,5
CAM,Cycling,0,0,8,0,0,8
CAM,Equestrianism,0,0,2,0,0,2
CAM,Judo,0,0,1,0,0,1
CAM,Sailing,0,0,3,0,0,3
CAM,Swimming,0,0,25,0,0,25
CAM,Taekwondo,0,0,2,0,0,2
CAM,Wrestling,0,0,2,0,0,2
CAN,Archery,0,0,50,0,0,50
CAN,Art Competitions,1,0,81,1,2,83
CAN,Artistic Gymnastics,0,0,31,0,0,31
CAN,Artistic Swimming,0,0,10,0,0,10
CAN,Athletics,59,24,1112,27,110,1222
CAN,Badminton,0,0,69,0,0,69
CAN,Baseball,0,0,48,0,0,48
CAN,Baseball/Softball,15,0,0,0,15,15
CAN,Basketball,0,0,181,9,9,190
CAN,Beach Volleyball,2,0,28,0,2,30
CAN,Boxing,7,3,129,7,17,146
CAN,Canoe Slalom,0,0,4,0,0,4
CAN,Canoe Sprint,2,0,23,1,3,26
CAN,Canoeing,15,5,267,13,33,300
CAN,Cycling,17,1,299,5,23,322
CAN,Cycling BMX Racing,0,0,2,0,0,2
CAN,Cycling Mountain Bike,0,0,3,0,0,3
CAN,Cycling Road,0,0,9,0,0,9
CAN,Cycling Track,1,1,20,0,2,22
CAN,Diving,12,1,149,7,20,169
CAN,Equestrian,0,0,11,0,0,11
CAN,Equestrianism,8,4,243,5,17,260
CAN,Fencing,0,0,274,0,0,274
CAN,Football,36,35,46,0,71,117
CAN,Golf,0,1,10,0,1,11
CAN,Gymnastics,0,1,704,0,1,705
CAN,Handball,0,0,28,0,0,28
CAN,Hockey,0,0,173,0,0,173
CAN,Ice Hockey,0,8,0,0,8,8
CAN,Judo,5,0,80,2,7,87
CAN,Karate,0,0,1,0,0,1
CAN,Lacrosse,12,24,0,0,36,36
CAN,Marathon Swimming,0,0,2,0,0,2
CAN,Modern Pentathlon,0,0,29,0,0,29
CAN,Rhythmic Gymnastics,0,1,14,0,1,15
CAN,Rowing,65,59,374,90,214,588
CAN,Rugby Sevens,12,0,26,0,12,38
CAN,Sailing,15,0,196,10,25,221
CAN,Shooting,7,4,201,13,24,225
CAN,Skateboarding,0,0,4,0,0,4
CAN,Softball,0,0,60,0,0,60
CAN,Sport Climbing,0,0,2,0,0,2
CAN,Swimming,72,9,945,32,113,1058
CAN,Synchronized Swimming,8,4,41,14,26,67
CAN,Table Tennis,0,0,49,0,0,49
CAN,Taekwondo,1,0,10,1,2,12
CAN,Tennis,0,2,61,0,2,63
CAN,Trampoline Gymnastics,0,0,2,0,0,2
CAN,Trampolining,2,2,6,3,7,13
CAN,Triathlon,0,1,32,1,2,34
CAN,Volleyball,0,0,96,0,0,96
CAN,Water Polo,0,0,87,0,0,87
