Name,NOC,Sport,Participation_Count,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Medals,TOPSIS Score,TOPSIS Score Sum,
German Chiaraviglio,ARG,Athletics,1,0,0,0,0,0,0,1
Joaquin Arbe,ARG,Athletics,1,0,0,0,0,0,0,1
Facundo Campazzo,ARG,Basketball,3,0,0,0,0,0.002248224,0.003373572,1
Francisco Caffaro,ARG,Basketball,1,0,0,0,0,0,0.003373572,1
Gabriel Deck,ARG,Basketball,2,0,0,0,0,0.001125348,0.003373572,1
Leandro Bolmaro,ARG,Basketball,1,0,0,0,0,0,0.003373572,1
Luca Vildoza,ARG,Basketball,1,0,0,0,0,0,0.003373572,1
Luis Scola,ARG,Basketball,1,0,0,0,0,0,0.003373572,1
Marcos Delia,ARG,Basketball,1,0,0,0,0,0,0.003373572,1
Nicolas Brussino,ARG,Basketball,1,0,0,0,0,0,0.003373572,1
Nicolas Laprovittola,ARG,Basketball,1,0,0,0,0,0,0.003373572,1
Pablo Vaulet,ARG,Basketball,1,0,0,0,0,0,0.003373572,1
Patricio Garino,ARG,Basketball,1,0,0,0,0,0,0.003373572,1
Tayavek Gallizzi,ARG,Basketball,1,0,0,0,0,0,0.003373572,1
Amado Azaad,ARG,Beach Volleyball,1,0,0,0,0,0,0.002248224,1
Ana Gallay,ARG,Beach Volleyball,3,0,0,0,0,0.002248224,0.002248224,1
Fernanda Pereyra,ARG,Beach Volleyball,1,0,0,0,0,0,0.002248224,1
Nicolas Capogrosso,ARG,Beach Volleyball,1,0,0,0,0,0,0.002248224,1
Agustin Arregui,ARG,Boxing,1,0,0,0,0,0,0,1
Daniel Veron,ARG,Boxing,1,0,0,0,0,0,0,1
Iohanna Sanchez,ARG,Boxing,1,0,0,0,0,0,0,1
Jehiel Cuello,ARG,Boxing,1,0,0,0,0,0,0,1
Luis Romo,ARG,Boxing,1,0,0,0,0,0,0,1
Nicanor Quiroga,ARG,Boxing,1,0,0,0,0,0,0,1
Lucas Rossi,ARG,Canoe Slalom,1,0,0,0,0,0,0,1
Agustin Vernice,ARG,Canoe Sprint,1,0,0,0,0,0,0.001125348,1
Brenda Rojas,ARG,Canoe Sprint,2,0,0,0,0,0.001125348,0.001125348,1
Ruben Rezola,ARG,Canoe Sprint,1,0,0,0,0,0,0.001125348,1
Nicolas Torres,ARG,Cycling BMX Racing,1,0,0,0,0,0,0,1
Sofia Gomez,ARG,Cycling Mountain Bike,1,0,0,0,0,0,0,1
Eduardo Sepulveda,ARG,Cycling Road,1,0,0,0,0,0,0,1
Fabian Sejanes,ARG,Equestrian,2,0,0,0,0,0.001125348,0.004501392,1
Jr Larocca,ARG,Equestrian,2,0,0,0,0,0.001125348,0.004501392,1
Martin Dopazo,ARG,Equestrian,2,0,0,0,0,0.001125348,0.004501392,1
Matias Albarracin,ARG,Equestrian,2,0,0,0,0,0.001125348,0.004501392,1
Carlos Bustamante,ARG,Equestrianism,2,0,0,0,0,0.001125348,0.001125348,1
Belen Perez,ARG,Fencing,1,0,0,0,0,0,0,1
Adolfo Gaich,ARG,Football,1,0,0,0,0,0,0,1
Agustin Urzi,ARG,Football,1,0,0,0,0,0,0,1
Claudio Bravo,ARG,Football,1,0,0,0,0,0,0,1
Esequiel Barco,ARG,Football,1,0,0,0,0,0,0,1
Ezequiel Ponce,ARG,Football,1,0,0,0,0,0,0,1
Facundo Medina,ARG,Football,1,0,0,0,0,0,0,1
Fausto Vera,ARG,Football,1,0,0,0,0,0,0,1
Fernando Valenzuela,ARG,Football,1,0,0,0,0,0,0,1
Francisco Ortega,ARG,Football,1,0,0,0,0,0,0,1
Hernan De,ARG,Football,1,0,0,0,0,0,0,1
Jeremias Ledesma,ARG,Football,1,0,0,0,0,0,0,1
Joaquin Blazquez,ARG,Football,1,0,0,0,0,0,0,1
Lautaro Morales,ARG,Football,1,0,0,0,0,0,0,1
Leonel Mosevich,ARG,Football,1,0,0,0,0,0,0,1
Mac Alexis,ARG,Football,1,0,0,0,0,0,0,1
Marcelo Herrera,ARG,Football,1,0,0,0,0,0,0,1
Martin Payero,ARG,Football,1,0,0,0,0,0,0,1
Nehuen Perez,ARG,Football,1,0,0,0,0,0,0,1
Pedro De,ARG,Football,1,0,0,0,0,0,0,1
Santiago Colombatto,ARG,Football,1,0,0,0,0,0,0,1
Thiago Almada,ARG,Football,1,0,0,0,0,0,0,1
Tomas Belmonte,ARG,Football,1,0,0,0,0,0,0,1
Magdalena Simmermacher,ARG,Golf,1,0,0,0,0,0,0,1
Alberto Mourino,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Alejandro Simonet,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Ariel Simonet,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Dario Moscariello,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Esteban Simonet,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Federico Pizarro,ARG,Handball,3,0,0,0,0,0.002248224,0.003373572,1
Gaston Fernandez,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Ignacio Pizarro,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Manuel Bar,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Matias Carou,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Nicolas Bonanno,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Pablo Vainstein,ARG,Handball,2,0,0,0,0,0.001125348,0.003373572,1
Pedro Martinez,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Ramiro Martinez,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Santiago Baronetto,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Sergio Maciel,ARG,Handball,1,0,0,0,0,0,0.003373572,1
Agostina Alonso,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Agustina Albertarrio,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Agustina Gorzelany,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Alejandro Mazzilli,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Alejandro Rey,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Belen Succi,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Delfina Merino,ARG,Hockey,3,0,2,0,2,0.164843837,1.70985216,1
Emilia Forcherio,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Ezequiel Habif,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Fernando Bugallo,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Horacio Ortiz,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Ignacio Paz,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Isabel Costa,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Jorge Ruiz,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Jose Granatto,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Julieta Jankunas,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Leandro Tolini,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Lucas Martinez,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Maico Casella,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Manuel Vivaldi,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Maria Trinchinetti,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Martin Lopez,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Martin Vila,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Micaela Retegui,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Nahuel Salis,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Nicolas Cicileo,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Noel Barrionuevo,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Pedro Ibarra,ARG,Hockey,3,1,0,0,1,0.080614185,1.70985216,1
Rafael Rossi,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Rocio Sanchez,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Santiago Keenan,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Sofia Maccari,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Sofia Toccalino,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Tomas Tarazona,ARG,Hockey,1,0,0,0,0,0,1.70985216,1
Valentina Raposo,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Victoria Granatto,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Victoria Sauze,ARG,Hockey,1,0,1,0,1,0.086140832,1.70985216,1
Emmanuel Lucenti,ARG,Judo,4,0,0,0,0,0.003368633,0.123613999,1
Paula Pareto,ARG,Judo,4,1,0,1,2,0.120245366,0.123613999,1
Cecilia Biagioli,ARG,Marathon Swimming,1,0,0,0,0,0,0,1
Sergio Villamayor,ARG,Modern Pentathlon,1,0,0,0,0,0,0,1
Maricel Silvestro,ARG,Rowing,1,0,0,0,0,0,0.002248224,1
Milka Kraljev,ARG,Rowing,3,0,0,0,0,0.002248224,0.002248224,1
Gaston Revol,ARG,Rugby Sevens,1,0,0,1,1,0.079981078,1.039762834,1
German Schulz,ARG,Rugby Sevens,1,0,0,1,1,0.079981078,1.039762834,1
Ignacio Mendy,ARG,Rugby Sevens,1,0,0,1,1,0.079981078,1.039762834,1
Lautaro Bazan,ARG,Rugby Sevens,1,0,0,1,1,0.079981078,1.039762834,1
Luciano Gonzalez,ARG,Rugby Sevens,1,0,0,1,1,0.079981078,1.039762834,1
Lucio Cinti,ARG,Rugby Sevens,1,0,0,1,1,0.079981078,1.039762834,1
Marcos Moneta,ARG,Rugby Sevens,1,0,0,1,1,0.079981078,1.039762834,1
Matias Osadczuk,ARG,Rugby Sevens,1,0,0,1,1,0.079981078,1.039762834,1
Rodrigo Etchart,ARG,Rugby Sevens,2,0,0,1,1,0.079989894,1.039762834,1
Rodrigo Isgro,ARG,Rugby Sevens,1,0,0,1,1,0.079981078,1.039762834,1
Santiago Alvarez,ARG,Rugby Sevens,1,0,0,1,1,0.079981078,1.039762834,1
Santiago Mare,ARG,Rugby Sevens,1,0,0,1,1,0.079981078,1.039762834,1
del Felipe,ARG,Rugby Sevens,1,0,0,1,1,0.079981078,1.039762834,1
Belen Tavella,ARG,Sailing,1,0,0,0,0,0,0.002250696,1
Cecilia Carranza,ARG,Sailing,1,0,0,0,0,0,0.002250696,1
Celia Tejerina,ARG,Sailing,1,0,0,0,0,0,0.002250696,1
Cruz Saubidet,ARG,Sailing,1,0,0,0,0,0,0.002250696,1
Francisco Guaragna,ARG,Sailing,1,0,0,0,0,0,0.002250696,1
Lourdes Hartkopf,ARG,Sailing,1,0,0,0,0,0,0.002250696,1
Lucia Falasca,ARG,Sailing,2,0,0,0,0,0.001125348,0.002250696,1
Mario Olezza,ARG,Sailing,1,0,0,0,0,0,0.002250696,1
Raul Lange,ARG,Sailing,1,0,0,0,0,0,0.002250696,1
Sol Branz,ARG,Sailing,1,0,0,0,0,0,0.002250696,1
Victoria Travascio,ARG,Sailing,2,0,0,0,0,0.001125348,0.002250696,1
Exequiel Eberhardt,ARG,Shooting,3,0,0,0,0,0.002248224,0.006747145,1
Federico Gil,ARG,Shooting,2,0,0,0,0,0.001125348,0.006747145,1
Fernanda Russo,ARG,Shooting,3,0,0,0,0,0.002248224,0.006747145,1
Melisa Gil,ARG,Shooting,2,0,0,0,0,0.001125348,0.006747145,1
Leandro Usuna,ARG,Surfing,1,0,0,0,0,0,0,1
Delfina Pignatiello,ARG,Swimming,2,0,0,0,0,0.001125348,0.00449892,1
Julia Sebastian,ARG,Swimming,2,0,0,0,0,0.001125348,0.00449892,1
Santiago Grassi,ARG,Swimming,3,0,0,0,0,0.002248224,0.00449892,1
Virginia Bardach,ARG,Swimming,1,0,0,0,0,0,0.00449892,1
Gaston Alto,ARG,Table Tennis,1,0,0,0,0,0,0,1
Horacio Cifuentes,ARG,Table Tennis,1,0,0,0,0,0,0,1
Lautaro Guzman,ARG,Taekwondo,1,0,0,0,0,0,0,1
Andres Molteni,ARG,Tennis,1,0,0,0,0,0,0.004501392,1
Diego Schwartzman,ARG,Tennis,2,0,0,0,0,0.001125348,0.004501392,1
Facundo Bagnis,ARG,Tennis,2,0,0,0,0,0.001125348,0.004501392,1
Federico Coria,ARG,Tennis,1,0,0,0,0,0,0.004501392,1
Francisco Cerundolo,ARG,Tennis,1,0,0,0,0,0,0.004501392,1
Horacio Zeballos,ARG,Tennis,2,0,0,0,0,0.001125348,0.004501392,1
Nadia Podoroska,ARG,Tennis,2,0,0,0,0,0.001125348,0.004501392,1
Romina Biagioli,ARG,Triathlon,1,0,0,0,0,0,0,1
Agustin Loser,ARG,Volleyball,1,0,0,1,1,0.079981078,0.959852238,1
Antonela Fortuna,ARG,Volleyball,1,0,0,0,0,0,0.959852238,1
Bianca Farriol,ARG,Volleyball,1,0,0,0,0,0,0.959852238,1
Bruno Lima,ARG,Volleyball,1,0,0,1,1,0.079981078,0.959852238,1
Constanza Lazcano,ARG,Volleyball,1,0,0,0,0,0,0.959852238,1
Cristian Poglajen,ARG,Volleyball,3,0,0,1,1,0.080011912,0.959852238,1
Daniela Bulaich,ARG,Volleyball,1,0,0,0,0,0,0.959852238,1
Erika Mercado,ARG,Volleyball,1,0,0,0,0,0,0.959852238,1
Eugenia Nosach,ARG,Volleyball,1,0,0,0,0,0,0.959852238,1
Ezequiel Palacios,ARG,Volleyball,2,0,0,1,1,0.079989894,0.959852238,1
Facundo Conte,ARG,Volleyball,3,0,0,1,1,0.080011912,0.959852238,1
Federico Pereyra,ARG,Volleyball,2,0,0,1,1,0.079989894,0.959852238,1
Lucia Herrera,ARG,Volleyball,1,0,0,0,0,0,0.959852238,1
Maria Rodriguez,ARG,Volleyball,1,0,0,0,0,0,0.959852238,1
Martin Ramos,ARG,Volleyball,1,0,0,1,1,0.079981078,0.959852238,1
Matias Sanchez,ARG,Volleyball,1,0,0,1,1,0.079981078,0.959852238,1
Nicolas Mendez,ARG,Volleyball,1,0,0,1,1,0.079981078,0.959852238,1
Santiago Danani,ARG,Volleyball,1,0,0,1,1,0.079981078,0.959852238,1
Sebastian Sole,ARG,Volleyball,1,0,0,1,1,0.079981078,0.959852238,1
Soledad Germanier,ARG,Volleyball,1,0,0,0,0,0,0.959852238,1
Soledad Rizzo,ARG,Volleyball,1,0,0,0,0,0,0.959852238,1
Victoria Mayer,ARG,Volleyball,1,0,0,0,0,0,0.959852238,1
Yamila Nizetich,ARG,Volleyball,1,0,0,0,0,0,0.959852238,1
de Luciano,ARG,Volleyball,1,0,0,1,1,0.079981078,0.959852238,1
Alejandro Destribats,ARG,Wrestling,1,0,0,0,0,0,0,1
Artur Davtyan,ARM,Artistic Gymnastics,2,0,0,1,1,0.079989894,0.079989894,1
Levon Aghasyan,ARM,Athletics,2,0,0,0,0,0.001125348,0.001125348,1
Arman Darchinyan,ARM,Boxing,1,0,0,0,0,0,0.079989894,1
Hovhannes Bachkov,ARM,Boxing,2,0,0,1,1,0.079989894,0.079989894,1
Koryun Soghomonyan,ARM,Boxing,1,0,0,0,0,0,0.079989894,1
Ferdinand Karapetian,ARM,Judo,1,0,0,0,0,0,0,1
Elmira Karapetyan,ARM,Shooting,1,0,0,0,0,0,0,1
Artur Barseghyan,ARM,Swimming,2,0,0,0,0,0.001125348,0.001125348,1
Varsenik Manucharyan,ARM,Swimming,1,0,0,0,0,0,0.001125348,1
Izabella Yaylyan,ARM,Weightlifting,1,0,0,0,0,0,0.164831348,1
Simon Martirosyan,ARM,Weightlifting,2,0,2,0,2,0.164831348,0.164831348,1
Armen Melikyan,ARM,Wrestling,1,0,0,0,0,0,0.15954354,1
Arsen Harutyunyan,ARM,Wrestling,1,0,0,0,0,0,0.15954354,1
Artur Aleksanyan,ARM,Wrestling,3,1,1,1,3,0.15954354,0.15954354,1
Karapet Chalyan,ARM,Wrestling,1,0,0,0,0,0,0.15954354,1
Karen Aslanyan,ARM,Wrestling,1,0,0,0,0,0,0.15954354,1
Vazgen Tevanyan,ARM,Wrestling,1,0,0,0,0,0,0.15954354,1
Allyson Ponson,ARU,Swimming,2,0,0,0,0,0.001125348,0.003373572,1
Mikel Schreuders,ARU,Swimming,3,0,0,0,0,0.002248224,0.003373572,1
Nathan Crumpton,ASA,Athletics,1,0,0,0,0,0,0,1
Adrian Hoesch,ASA,Sailing,1,0,0,0,0,0,0,1
Justus Paige,ASA,Sailing,1,0,0,0,0,0,0,1
Micah Masei,ASA,Swimming,1,0,0,0,0,0,0,1
Tilali Scanlan,ASA,Swimming,1,0,0,0,0,0,0,1
Malietoa Jungblut,ASA,Weightlifting,1,0,0,0,0,0,0,1
Alice Ingley,AUS,Archery,3,0,0,0,0,0.002248224,0.165821,1
David Barnes,AUS,Archery,4,0,0,0,0,0.003368633,0.165821,1
Ryan Tyack,AUS,Archery,4,0,0,1,1,0.080047121,0.165821,1
Taylor Worth,AUS,Archery,6,0,0,1,1,0.080157022,0.165821,1
Emily Whitehead,AUS,Artistic Gymnastics,5,0,0,0,0,0.004486578,0.010098504,1
Georgia Godwin,AUS,Artistic Gymnastics,5,0,0,0,0,0.004486578,0.010098504,1
Tyson Bull,AUS,Artistic Gymnastics,2,0,0,0,0,0.001125348,0.010098504,1
Alessandra Ho,AUS,Artistic Swimming,1,0,0,0,0,0,0.002250696,1
Amie Thompson,AUS,Artistic Swimming,2,0,0,0,0,0.001125348,0.002250696,1
Carolyn Buckle,AUS,Artistic Swimming,1,0,0,0,0,0,0.002250696,1
Emily Rogers,AUS,Artistic Swimming,2,0,0,0,0,0.001125348,0.002250696,1
Hannah Burkhill,AUS,Artistic Swimming,1,0,0,0,0,0,0.002250696,1
Kiera Gazzard,AUS,Artistic Swimming,1,0,0,0,0,0,0.002250696,1
Kirsten Kinash,AUS,Artistic Swimming,1,0,0,0,0,0,0.002250696,1
Rachel Presser,AUS,Artistic Swimming,1,0,0,0,0,0,0.002250696,1
Alex Beck,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Amy Cashin,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Angeline Blackburn,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Anneliese Rubie-renshaw,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Ashley Moloney,AUS,Athletics,1,0,0,1,1,0.079981078,0.280954185,1
Ben Buckingham,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Bendere Oboya,AUS,Athletics,2,0,0,0,0,0.001125348,0.280954185,1
Brandon Starc,AUS,Athletics,2,0,0,0,0,0.001125348,0.280954185,1
Brett Robinson,AUS,Athletics,2,0,0,0,0,0.001125348,0.280954185,1
Brooke Stratton,AUS,Athletics,2,0,0,0,0,0.001125348,0.280954185,1
Catriona Bisset,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Cedric Dubler,AUS,Athletics,2,0,0,0,0,0.001125348,0.280954185,1
Charlie Hunter,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Dani Stevens,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
David Smith,AUS,Athletics,3,0,0,0,0,0.002248224,0.280954185,1
Declan Tingay,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Edward Trippas,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Eleanor Patterson,AUS,Athletics,2,0,0,0,0,0.001125348,0.280954185,1
Elizaveta Parnova,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Ellie Beer,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Ellie Pashley,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Genevieve Gregson,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Georgia Griffith,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Georgia Winkcup,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Hana Basic,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Henry Frayne,AUS,Athletics,4,0,0,0,0,0.003368633,0.280954185,1
Isobel Batt-doyle,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Jack Rayner,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Jeffrey Riseley,AUS,Athletics,4,0,0,0,0,0.003368633,0.280954185,1
Jemima Montag,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Jenny Blundell,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
Jessica Hull,AUS,Athletics,1,0,0,0,0,0,0.280954185,1
